week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
5.0,0.0,0.0,3.0,,,6.0,1.0,0.0,3.0,,,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,5.864,1.0,3.0,0.0,0.0,3.0,287.716,4.0,4.0,0.0,0.0,3.0,8.281,2.0,5.0,0.0,0.0,3.0,120.601,3.0,4.125,0.25,0.0,3.0,70.41033333333333,1.6666666666666667,2.03100960115899,0.4629100498862757,0.0,0.0,116.34635282064784,1.632993161855452,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.7488739003575609,0.3827327723098711,1.0
4.0,0.0,0.0,1.0,858.594,5.0,5.0,0.0,0.0,1.0,257.857,7.0,6.0,1.0,0.0,1.0,1299.0,1.0,7.0,1.0,0.0,1.0,1355.419,8.0,1.0,0.0,0.0,1.0,189.561,6.0,2.0,0.0,0.0,1.0,663.184,6.0,3.0,0.0,0.0,1.0,368.734,6.0,4.0,0.0,0.0,1.0,105.974,3.0,4.0,0.25,0.0,1.0,637.290375,5.25,2.0,0.4629100498862757,0.0,0.0,493.10459920702925,2.2519832529192065,0.0,1.4401645996461911,0.0,0.0,0.5674587273783248,-1.0131914337672605,-3.0
6.0,1.0,0.0,2.0,2485.622,3.0,7.0,1.0,0.0,2.0,423.0,1.0,1.0,0.0,0.0,2.0,2383.129,2.0,2.0,0.0,0.0,2.0,2244.575,5.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,1400.725,1.0,5.0,0.0,0.0,2.0,99.133,4.0,6.0,1.0,0.0,2.0,93.072,1.0,4.25,0.375,0.0,2.0,1141.157,2.125,2.1213203435596424,0.5175491695067657,0.0,0.0,1110.8087384202813,1.7268882005337975,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.2178655698013907,0.6345566452389959,-1.0
5.0,0.0,0.0,4.0,396.092,5.0,6.0,1.0,0.0,4.0,2204.627,2.0,7.0,1.0,0.0,4.0,2259.579,2.0,1.0,0.0,0.0,4.0,359.736,1.0,2.0,0.0,0.0,4.0,24.64,3.0,3.0,0.0,0.0,4.0,635.455,4.0,4.0,0.0,0.0,4.0,363.34,3.0,5.0,0.0,0.0,4.0,0.0,0.0,4.125,0.25,0.0,4.0,780.4336249999999,2.5,2.03100960115899,0.4629100498862757,0.0,0.0,919.3312263744364,1.6035674514745464,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.2284255743771204,0.0,-6.0
6.0,1.0,0.0,4.0,2484.723,3.0,7.0,1.0,0.0,4.0,860.505,2.0,1.0,0.0,0.0,4.0,533.07,6.0,2.0,0.0,0.0,4.0,202.556,6.0,3.0,0.0,0.0,4.0,237.962,3.0,4.0,0.0,0.0,4.0,836.772,4.0,5.0,0.0,0.0,4.0,160.652,2.0,6.0,1.0,0.0,4.0,27.079,2.0,4.25,0.375,0.0,4.0,667.914875,3.5,2.1213203435596424,0.5175491695067657,0.0,0.0,797.6736880806118,1.6903085094570331,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.038735721606995,0.8282511696339462,12.0
4.0,0.0,0.0,1.0,903.428,2.0,5.0,0.0,0.0,1.0,193.505,3.0,6.0,1.0,0.0,1.0,741.783,2.0,7.0,1.0,0.0,1.0,515.773,1.0,1.0,0.0,0.0,1.0,34.165,3.0,2.0,0.0,0.0,1.0,1263.315,3.0,3.0,0.0,0.0,1.0,678.851,6.0,4.0,0.0,0.0,1.0,371.263,2.0,4.0,0.25,0.0,1.0,587.7603750000001,2.75,2.0,0.4629100498862757,0.0,0.0,396.7725162007418,1.4880476182856899,0.0,1.4401645996461911,0.0,0.0,0.3132008400321058,1.6041803668511705,-15.0
5.0,0.0,0.0,1.0,962.773,4.0,6.0,1.0,0.0,1.0,1208.692,2.0,7.0,1.0,0.0,1.0,931.195,5.0,1.0,0.0,0.0,1.0,150.1,3.0,2.0,0.0,0.0,1.0,734.995,5.0,3.0,0.0,0.0,1.0,379.725,6.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,282.851,2.0,4.125,0.25,0.0,1.0,581.291375,3.375,2.03100960115899,0.4629100498862757,0.0,0.0,437.319505800291,1.9955307206712847,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0856162922686596,-0.40224416223951737,-11.0
5.0,0.0,1.0,3.0,2296.108,2.0,6.0,1.0,1.0,3.0,1931.599,1.0,7.0,1.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,4.0,412.179,2.0,2.0,0.0,1.0,4.0,823.023,3.0,3.0,0.0,1.0,4.0,2427.48,1.0,4.0,0.0,1.0,4.0,3133.382,1.0,5.0,0.0,1.0,4.0,0.0,0.0,4.125,0.25,1.0,3.625,1377.971375,1.25,2.03100960115899,0.4629100498862757,0.0,0.5175491695067657,1217.1832856936471,1.0350983390135313,-0.2238027108715141,1.4401645996461911,0.0,-0.6440611887195306,0.12718931877542947,0.38643671323171835,-7.0
6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,487.858,6.0,1.0,0.0,0.0,1.0,1260.667,4.0,2.0,0.0,0.0,1.0,667.986,5.0,3.0,0.0,0.0,1.0,427.095,3.0,4.0,0.0,0.0,1.0,978.413,6.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.0,1.0,477.75237500000003,3.0,2.1213203435596424,0.5175491695067657,0.0,0.0,476.1775617647978,2.6726124191242437,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.5027915876598993,-0.1795995545651492,1.0
6.0,1.0,0.0,2.0,1744.722,8.0,7.0,1.0,0.0,2.0,1307.309,4.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1230.964,6.0,3.0,0.0,0.0,2.0,217.521,2.0,4.0,0.0,0.0,2.0,3597.0,1.0,5.0,0.0,0.0,2.0,182.818,2.0,6.0,1.0,0.0,2.0,154.211,4.0,4.25,0.375,0.0,2.0,1054.318125,3.375,2.1213203435596424,0.5175491695067657,0.0,0.0,1219.9893569511682,2.669269563007828,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4309024580309722,0.6056118781656066,0.0
5.0,0.0,0.0,3.0,375.708,2.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,1235.979,7.0,1.0,0.0,0.0,3.0,0.05,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,182.243,2.0,5.0,0.0,0.0,3.0,37.363,6.0,4.125,0.25,0.0,3.0,228.917875,2.25,2.03100960115899,0.4629100498862757,0.0,0.0,428.31596299041985,2.7645717829090897,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.3498825640876437,1.1155840367752639,-8.0
1.0,0.0,0.0,1.0,110.133,4.0,2.0,0.0,0.0,1.0,481.54,3.0,3.0,0.0,0.0,1.0,222.726,5.0,4.0,0.0,0.0,1.0,72.044,4.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,600.05,2.0,7.0,1.0,0.0,1.0,1387.187,8.0,1.0,0.0,0.0,1.0,252.147,5.0,3.625,0.25,0.0,1.0,390.728375,3.875,2.2638462845343543,0.4629100498862757,0.0,0.0,451.24966784916546,2.356601669474803,0.22624995586066124,1.4401645996461911,0.0,0.0,1.8196836451423308,0.1105193822720785,0.0
