week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
6.0,1.0,0.0,3.0,169.715,6.0,7.0,1.0,0.0,3.0,1657.353,3.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,934.495,4.0,3.0,0.0,0.0,3.0,414.665,2.0,4.0,0.0,0.0,3.0,89.345,2.0,5.0,0.0,0.0,3.0,73.228,3.0,6.0,1.0,0.0,3.0,150.831,2.0,4.25,0.375,0.0,3.0,436.204,2.75,2.1213203435596424,0.5175491695067657,0.0,0.0,577.5259471877804,1.7525491637693282,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.71067293662218,0.5042488670228679,-8.0
7.0,1.0,0.0,3.0,20.525,1.0,1.0,0.0,0.0,3.0,697.87,3.0,2.0,0.0,0.0,3.0,176.101,6.0,3.0,0.0,0.0,3.0,8.877,3.0,4.0,0.0,0.0,3.0,94.428,2.0,5.0,0.0,0.0,3.0,321.629,6.0,6.0,1.0,0.0,3.0,452.274,2.0,7.0,1.0,0.0,3.0,0.0,0.0,4.375,0.375,0.0,3.0,221.46300000000002,2.875,2.2638462845343543,0.5175491695067657,0.0,0.0,251.5894969429368,2.1671244937540095,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.084881838820229,0.5491673744960932,-5.0
3.0,0.0,0.0,3.0,8.877,3.0,4.0,0.0,0.0,3.0,94.428,2.0,5.0,0.0,0.0,3.0,321.629,6.0,6.0,1.0,0.0,3.0,452.274,2.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,14.962,2.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,180.94,2.0,3.875,0.25,0.0,3.0,134.13875,2.125,2.03100960115899,0.4629100498862757,0.0,0.0,171.55171817497404,1.8850918886280925,0.2238027108715141,1.4401645996461911,0.0,0.0,1.14479155855424,1.1275992186516062,-1.0
4.0,0.0,0.0,3.0,35.151,2.0,5.0,0.0,0.0,3.0,77.761,3.0,6.0,1.0,0.0,3.0,114.773,3.0,7.0,1.0,0.0,3.0,2.56,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,640.843,1.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,4.0,0.25,0.375,3.0,108.886,1.25,2.0,0.4629100498862757,0.5175491695067657,0.0,219.1842746353592,1.2817398889233114,0.0,1.4401645996461911,0.6440611887195306,0.0,2.623371629447296,0.4748979550642137,-12.0
5.0,0.0,0.0,3.0,77.761,3.0,6.0,1.0,0.0,3.0,114.773,3.0,7.0,1.0,0.0,3.0,2.56,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,640.843,1.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,4.125,0.25,0.5,3.0,104.49212499999999,1.0,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,221.21646974428685,1.3093073414159542,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.6155355860193263,1.018350154434631,-11.0
1.0,0.0,1.0,4.0,109.226,6.0,2.0,0.0,1.0,4.0,426.934,2.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,1.0,4.0,28.352,2.0,7.0,1.0,1.0,4.0,20.26,1.0,1.0,0.0,1.0,4.0,891.469,9.0,3.625,0.25,1.0,4.0,184.530125,2.5,2.2638462845343543,0.4629100498862757,0.0,0.0,320.2060284604441,3.295017884191656,0.22624995586066124,1.4401645996461911,0.0,0.0,1.9727113969938548,1.4216039763513864,8.0
1.0,0.0,1.0,4.0,891.469,9.0,2.0,0.0,1.0,4.0,82.038,3.0,3.0,0.0,1.0,4.0,1515.219,1.0,4.0,0.0,1.0,4.0,2.821,1.0,5.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,392.834,3.0,7.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.875,0.25,0.625,4.0,360.547625,2.125,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,562.1013660259757,3.044315545875155,0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,1.588567685121256,1.9892407980308742,1.0
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,71.113,4.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,455.332,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,26.158,2.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,33.45,2.0,4.0,0.25,0.0,4.0,73.25662499999999,1.25,2.0,0.4629100498862757,0.0,0.0,156.41299160778308,1.4880476182856899,0.0,1.4401645996461911,0.0,0.0,2.6897033611747365,0.8237682964911416,7.0
7.0,1.0,0.0,4.0,455.332,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,26.158,2.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,33.45,2.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,236.668,2.0,7.0,1.0,0.0,4.0,0.0,0.0,4.375,0.375,0.0,4.0,93.951,1.0,2.2638462845343543,0.5175491695067657,0.0,0.0,166.702383522252,1.0690449676496976,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.9017044923297455,0.0,1.0
3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,33.45,2.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,236.668,2.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,3.907,1.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.875,0.25,0.0,4.0,34.253125,0.625,2.03100960115899,0.4629100498862757,0.0,0.0,82.60032583373558,0.9161253813129043,0.2238027108715141,1.4401645996461911,0.0,0.0,2.7256370689171585,0.9986554631966833,-2.0
1.0,0.0,0.0,4.0,3.907,1.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,171.487,3.0,1.0,0.0,0.0,4.0,0.0,0.0,3.625,0.25,0.0,4.0,21.92425,0.5,2.2638462845343543,0.4629100498862757,0.0,0.0,60.447939718523784,1.0690449676496976,0.22624995586066124,1.4401645996461911,0.0,0.0,2.8255653727011842,2.338535866733713,-2.0
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,171.487,3.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,20.079,1.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,39.061,1.0,4.0,0.25,0.0,4.0,28.828375,0.625,2.0,0.4629100498862757,0.0,0.0,59.387489651651386,1.0606601717798212,0.0,1.4401645996461911,0.0,0.0,2.5317049745092155,1.9604441975754017,3.0
7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,3.592,1.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,7.44,1.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,37.871,1.0,4.375,0.375,0.0,4.0,6.112875,0.375,2.2638462845343543,0.5175491695067657,0.0,0.0,13.112321244185345,0.5175491695067657,-0.22624995586066124,0.6440611887195306,0.0,0.0,2.608589463092579,0.6440611887195306,-2.0
3.0,0.0,0.0,4.0,3.592,1.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,7.44,1.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,37.871,1.0,1.0,0.0,0.0,4.0,117.399,1.0,2.0,0.0,0.0,4.0,28.668,1.0,3.0,0.0,0.0,4.0,6.762,1.0,3.875,0.25,0.0,4.0,25.216500000000003,0.75,2.03100960115899,0.4629100498862757,0.0,0.0,39.759271687781926,0.4629100498862757,0.2238027108715141,1.4401645996461911,0.0,0.0,2.216308148989376,-1.4401645996461911,-4.0
7.0,1.0,0.0,4.0,37.871,1.0,1.0,0.0,0.0,4.0,117.399,1.0,2.0,0.0,0.0,4.0,28.668,1.0,3.0,0.0,0.0,4.0,6.762,1.0,4.0,0.0,0.0,4.0,5.014,1.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,165.01,7.0,7.0,1.0,0.0,4.0,32.266,2.0,4.375,0.375,0.0,4.0,49.12375,1.75,2.2638462845343543,0.5175491695067657,0.0,0.0,59.849465028639024,2.187627547301936,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.4033179512870002,2.4970825467532016,-6.0
5.0,0.0,0.0,4.0,201.988,4.0,6.0,1.0,0.0,4.0,20.166,3.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,820.802,2.0,2.0,0.0,0.0,4.0,107.146,3.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,4.125,0.25,0.0,3.25,143.76275,1.5,2.03100960115899,0.4629100498862757,0.0,1.3887301496588271,283.1103222419285,1.6903085094570331,-0.2238027108715141,1.4401645996461911,0.0,-1.4401645996461911,2.490676730146117,0.35496478698597694,5.0
1.0,0.0,0.0,4.0,820.802,2.0,2.0,0.0,0.0,4.0,107.146,3.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,1452.731,2.0,1.0,0.0,1.0,1.0,0.0,0.0,3.625,0.25,0.125,2.125,297.584875,0.875,2.2638462845343543,0.4629100498862757,0.3535533905932738,1.5526475085202969,546.046764644473,1.246423454758225,0.22624995586066124,1.4401645996461911,2.8284271247461903,0.6440611887195306,1.8086115301675025,0.8945134372105534,-1.0
1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,29.025,1.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,95.772,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.625,0.25,0.875,1.0,15.599625,0.25,2.2638462845343543,0.4629100498862757,0.3535533905932738,0.0,33.94941659055845,0.4629100498862757,0.22624995586066124,1.4401645996461911,-2.8284271247461903,0.0,2.409425897479327,1.4401645996461911,-3.0
4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,95.772,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.561,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.25,0.5,1.0,12.041625000000002,0.25,2.0,0.4629100498862757,0.5345224838248488,0.0,33.83275007587218,0.4629100498862757,0.0,1.4401645996461911,0.0,0.0,2.8282372082871783,1.4401645996461911,-3.0
5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,1086.547,4.0,7.0,1.0,0.0,1.0,6.447,1.0,1.0,0.0,0.0,1.0,23.421,1.0,2.0,0.0,0.0,1.0,6.468,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,6.597,1.0,4.125,0.25,0.0,1.0,141.185,1.0,2.03100960115899,0.4629100498862757,0.0,0.0,382.06099211887255,1.3093073414159542,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.8261609952457243,2.036700308869262,-5.0
1.0,0.0,0.0,1.0,23.421,1.0,2.0,0.0,0.0,1.0,6.468,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,6.597,1.0,6.0,1.0,0.0,1.0,288.654,1.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.625,0.25,0.0,1.0,40.6425,0.5,2.2638462845343543,0.4629100498862757,0.0,0.0,100.52755694691027,0.5345224838248488,0.22624995586066124,1.4401645996461911,0.0,0.0,2.7940404931665737,0.0,9.0
5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,304.915,4.0,7.0,1.0,0.0,1.0,35.509,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,7.902,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,25.509,1.0,5.0,0.0,0.0,1.0,2.679,1.0,4.125,0.25,0.0,1.0,47.06425,1.0,2.03100960115899,0.4629100498862757,0.0,0.0,105.0401453917909,1.3093073414159542,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.7400611298114397,2.036700308869262,-4.0
