week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
5.0,0.0,0.0,3.0,88.519,5.0,6.0,1.0,0.0,3.0,272.938,4.0,7.0,1.0,0.0,3.0,1127.503,11.0,1.0,0.0,0.0,3.0,738.162,9.0,2.0,0.0,0.0,3.0,10.519,2.0,3.0,0.0,0.0,3.0,402.564,4.0,4.0,0.0,0.0,3.0,221.447,10.0,5.0,0.0,0.0,3.0,487.24,9.0,4.125,0.25,0.0,3.0,418.6115,6.75,2.03100960115899,0.4629100498862757,0.0,0.0,367.46277359871044,3.370036032024414,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.0537625479368313,-0.1007771543930405,4.0
5.0,0.0,0.0,3.0,487.24,9.0,6.0,1.0,0.0,3.0,1039.355,9.0,7.0,1.0,0.0,3.0,1870.372,14.0,1.0,0.0,0.0,3.0,190.649,4.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,376.627,4.0,4.0,0.0,0.0,3.0,1004.504,11.0,5.0,0.0,0.0,3.0,493.096,3.0,4.125,0.25,0.0,3.0,682.730375,6.75,2.03100960115899,0.4629100498862757,0.0,0.0,599.6848960662443,4.713203338949606,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.1247606287818808,0.14326586590824994,1.0
1.0,0.0,0.0,3.0,190.649,4.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,376.627,4.0,4.0,0.0,0.0,3.0,1004.504,11.0,5.0,0.0,0.0,3.0,493.096,3.0,6.0,1.0,0.0,3.0,253.484,6.0,7.0,1.0,0.0,3.0,44.006,2.0,1.0,0.0,0.0,3.0,2184.319,8.0,3.625,0.25,0.0,3.0,568.3356249999999,4.75,2.2638462845343543,0.4629100498862757,0.0,0.0,725.4322837809857,3.494894235064305,0.22624995586066124,1.4401645996461911,0.0,0.0,1.9372302490072113,0.6525810513816596,-11.0
4.0,0.0,0.0,3.0,1004.504,11.0,5.0,0.0,0.0,3.0,493.096,3.0,6.0,1.0,0.0,3.0,253.484,6.0,7.0,1.0,0.0,3.0,44.006,2.0,1.0,0.0,0.0,3.0,2184.319,8.0,2.0,0.0,0.0,3.0,110.568,2.0,3.0,0.0,0.0,3.0,240.003,1.0,4.0,0.0,0.0,3.0,1816.693,3.0,4.0,0.25,0.0,3.0,768.3341250000001,4.5,2.0,0.4629100498862757,0.0,0.0,822.6363255717102,3.5050983275386565,0.0,1.4401645996461911,0.0,0.0,1.038440989629494,1.061576562153406,-1.0
7.0,1.0,0.0,3.0,44.006,2.0,1.0,0.0,0.0,3.0,2184.319,8.0,2.0,0.0,0.0,3.0,110.568,2.0,3.0,0.0,0.0,3.0,240.003,1.0,4.0,0.0,0.0,3.0,1816.693,3.0,5.0,0.0,0.0,3.0,64.513,2.0,6.0,1.0,0.0,3.0,526.808,3.0,7.0,1.0,0.0,3.0,1400.801,4.0,4.375,0.375,0.0,3.0,798.4638749999999,3.125,2.2638462845343543,0.5175491695067657,0.0,0.0,869.068611533789,2.1671244937540095,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.7519763856092401,1.9212085465598152,9.0
3.0,0.0,0.0,3.0,240.003,1.0,4.0,0.0,0.0,3.0,1816.693,3.0,5.0,0.0,0.0,3.0,64.513,2.0,6.0,1.0,0.0,3.0,526.808,3.0,7.0,1.0,0.0,3.0,1400.801,4.0,1.0,0.0,0.0,3.0,671.655,6.0,2.0,0.0,0.0,3.0,95.546,1.0,3.0,0.0,0.0,3.0,1115.147,10.0,3.875,0.25,0.0,3.0,741.39575,3.75,2.03100960115899,0.4629100498862757,0.0,0.0,644.5782649694848,3.011881234615431,0.2238027108715141,1.4401645996461911,0.0,0.0,0.6162595767790279,1.4483322497164908,3.0
7.0,1.0,0.0,3.0,507.601,4.0,1.0,0.0,1.0,3.0,674.272,7.0,2.0,0.0,1.0,3.0,4.978,2.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,274.319,14.0,5.0,0.0,1.0,3.0,9.147,2.0,6.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,3.0,48.932,3.0,4.375,0.375,0.875,3.0,189.90612500000003,4.0,2.2638462845343543,0.5175491695067657,0.3535533905932738,0.0,267.6726457988977,4.6291004988627575,-0.22624995586066124,0.6440611887195306,-2.8284271247461903,0.0,1.1677231226917837,1.6936335691839208,-9.0
1.0,0.0,1.0,3.0,205.353,6.0,2.0,0.0,1.0,3.0,12.463,3.0,3.0,0.0,1.0,3.0,859.497,7.0,4.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,239.143,7.0,6.0,1.0,0.0,4.0,18.153,2.0,7.0,1.0,0.0,4.0,1258.688,8.0,4.0,0.25,0.625,3.625,324.162125,4.125,2.0,0.4629100498862757,0.5175491695067657,0.5175491695067657,475.4285277384536,3.2705394924123103,0.0,1.4401645996461911,-0.6440611887195306,-0.6440611887195306,1.489283304873515,-0.21285793023657198,-3.0
4.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,239.143,7.0,6.0,1.0,0.0,4.0,18.153,2.0,7.0,1.0,0.0,4.0,1258.688,8.0,1.0,0.0,0.0,4.0,795.041,10.0,2.0,0.0,0.0,4.0,145.795,2.0,3.0,0.0,0.0,4.0,279.79,9.0,4.0,0.25,0.25,4.0,342.07625,4.75,2.0,0.4629100498862757,0.4629100498862757,0.0,453.134152084205,4.166190448976482,0.0,1.4401645996461911,1.4401645996461911,0.0,1.5151635115275688,0.029633016453625333,9.0
1.0,0.0,0.0,4.0,368.229,9.0,2.0,0.0,0.0,4.0,62.482,4.0,3.0,0.0,0.0,4.0,536.043,12.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,201.106,11.0,6.0,1.0,0.0,4.0,425.098,5.0,7.0,1.0,0.0,4.0,125.993,7.0,1.0,0.0,0.0,4.0,642.409,7.0,3.625,0.25,0.0,4.0,295.17,6.875,2.2638462845343543,0.4629100498862757,0.0,0.0,232.85542896336835,3.9074105418879577,0.22624995586066124,1.4401645996461911,0.0,0.0,0.21780615919709986,-0.44988739166187974,5.0
