week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
3.0,0.0,0.0,3.0,109.88,3.0,4.0,0.0,0.0,3.0,1155.354,7.0,5.0,0.0,0.0,3.0,250.657,2.0,6.0,1.0,0.0,3.0,214.057,3.0,7.0,1.0,0.0,3.0,392.255,3.0,1.0,0.0,0.0,3.0,0.05,1.0,2.0,0.0,0.0,3.0,151.535,5.0,3.0,0.0,0.0,3.0,9.696,2.0,3.875,0.25,0.0,3.0,285.4355,3.25,2.03100960115899,0.4629100498862757,0.0,0.0,374.29920604053035,1.9086270308410553,0.2238027108715141,1.4401645996461911,0.0,0.0,2.2052224953479858,1.171152918578364,-7.0
2.0,0.0,0.0,3.0,2160.705,4.0,3.0,0.0,0.0,3.0,1010.711,2.0,4.0,0.0,0.0,3.0,356.202,4.0,5.0,0.0,0.0,3.0,519.462,4.0,6.0,1.0,0.0,3.0,145.531,2.0,7.0,1.0,0.0,3.0,799.382,2.0,1.0,0.0,1.0,3.0,150.1,3.0,2.0,0.0,1.0,3.0,0.0,0.0,3.75,0.25,0.25,3.0,642.761625,2.625,2.1213203435596424,0.4629100498862757,0.4629100498862757,0.0,703.510002781753,1.407885953173359,0.31426968052735443,1.4401645996461911,1.4401645996461911,0.0,1.6508768584052647,-0.7486785784588789,4.0
6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,0.05,1.0,2.0,0.0,1.0,4.0,0.1,2.0,3.0,0.0,1.0,4.0,439.596,1.0,4.0,0.0,1.0,4.0,64.097,5.0,5.0,0.0,1.0,4.0,550.956,3.0,6.0,1.0,1.0,4.0,1021.479,5.0,4.25,0.375,1.0,4.0,259.53475,2.125,2.1213203435596424,0.5175491695067657,0.0,0.0,378.9946571130183,2.03100960115899,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.3841230430033387,0.5946757746014516,-6.0
6.0,1.0,0.0,4.0,176.093,4.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,1455.96,4.0,2.0,0.0,0.0,4.0,2534.557,6.0,3.0,0.0,0.0,4.0,289.873,4.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,186.709,6.0,6.0,1.0,0.0,4.0,0.0,0.0,4.25,0.375,0.0,4.0,580.399,3.0,2.1213203435596424,0.5175491695067657,0.0,0.0,925.7267466081523,2.6186146828319083,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.7756467853913016,-0.25458753860865774,-6.0
4.0,0.0,0.0,4.0,400.759,7.0,5.0,0.0,0.0,4.0,412.781,2.0,6.0,1.0,0.0,4.0,978.097,2.0,7.0,1.0,0.0,4.0,1763.997,4.0,1.0,0.0,0.0,4.0,336.205,5.0,2.0,0.0,0.0,4.0,469.449,2.0,3.0,0.0,0.0,4.0,423.03,1.0,4.0,0.0,0.0,4.0,3600.0,1.0,4.0,0.25,0.0,4.0,1048.03975,3.0,2.0,0.4629100498862757,0.0,0.0,1139.2119515164545,2.138089935299395,0.0,1.4401645996461911,0.0,0.0,2.0175512047819097,1.052341140030171,6.0
3.0,0.0,0.0,4.0,272.477,5.0,4.0,0.0,0.0,4.0,990.659,3.0,5.0,0.0,0.0,4.0,211.167,4.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,1210.514,3.0,1.0,0.0,0.0,4.0,1262.185,11.0,2.0,0.0,0.0,4.0,957.748,7.0,3.0,0.0,0.0,4.0,468.422,2.0,3.875,0.25,0.0,4.0,671.6465,4.375,2.03100960115899,0.4629100498862757,0.0,0.0,490.8482197773273,3.3779748793788102,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.08749090930107982,1.0215304579134932,4.0
7.0,1.0,1.0,1.0,1193.831,7.0,1.0,0.0,1.0,1.0,112.607,5.0,2.0,0.0,1.0,1.0,1484.47,4.0,3.0,0.0,1.0,1.0,299.428,3.0,4.0,0.0,1.0,1.0,502.163,5.0,5.0,0.0,1.0,1.0,25.852,3.0,6.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,42.804,3.0,4.375,0.375,0.875,1.0,457.644375,3.75,2.2638462845343543,0.5175491695067657,0.3535533905932738,0.0,574.5037978526556,2.052872551885702,-0.22624995586066124,0.6440611887195306,-2.8284271247461903,0.0,1.1943361578205034,-0.3467650274371712,0.0
7.0,1.0,0.0,1.0,42.804,3.0,1.0,0.0,0.0,1.0,1569.445,10.0,2.0,0.0,0.0,1.0,487.968,2.0,3.0,0.0,0.0,1.0,1159.069,4.0,4.0,0.0,0.0,1.0,1272.676,4.0,5.0,0.0,0.0,1.0,2406.746,4.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,1049.242,2.0,4.375,0.375,0.0,1.0,998.49375,3.625,2.2638462845343543,0.5175491695067657,0.0,0.0,809.2028387749002,2.9246489410818914,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.36033481930727645,1.5439998820409924,1.0
5.0,0.0,0.0,1.0,301.328,3.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,143.401,2.0,1.0,0.0,0.0,1.0,702.275,2.0,2.0,0.0,0.0,1.0,566.804,2.0,3.0,0.0,0.0,1.0,1106.429,5.0,4.0,0.0,0.0,1.0,887.511,3.0,5.0,0.0,0.0,1.0,808.897,5.0,4.125,0.25,0.0,1.0,564.580625,2.75,2.03100960115899,0.4629100498862757,0.0,0.0,385.817197127247,1.6690459207925603,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.2088202296009007,0.030725368693091185,-2.0
6.0,1.0,0.0,1.0,1430.778,3.0,7.0,1.0,0.0,1.0,0.05,1.0,1.0,0.0,0.0,1.0,715.557,4.0,2.0,0.0,0.0,1.0,1297.185,3.0,3.0,0.0,0.0,1.0,220.818,4.0,4.0,0.0,0.0,1.0,246.842,3.0,5.0,0.0,0.0,1.0,185.834,4.0,6.0,1.0,0.0,1.0,369.425,2.0,4.25,0.375,0.0,1.0,558.311125,3.0,2.1213203435596424,0.5175491695067657,0.0,0.0,538.3634728291811,1.0690449676496976,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.9403482317102506,-0.9354143466934852,4.0
