week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
6.0,1.0,0.0,3.0,233.967,7.0,7.0,1.0,0.0,3.0,600.0,1.0,1.0,0.0,0.0,3.0,186.691,5.0,2.0,0.0,0.0,3.0,2530.057,2.0,3.0,0.0,0.0,3.0,486.584,1.0,4.0,0.0,0.0,3.0,3401.27,2.0,5.0,0.0,0.0,3.0,1404.221,2.0,6.0,1.0,0.0,3.0,343.131,5.0,4.25,0.375,0.0,3.0,1148.240125,3.125,2.1213203435596424,0.5175491695067657,0.0,0.0,1207.0102694850657,2.2320714274285347,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.241600290970866,0.8205567241851333,0.0
3.0,0.0,0.0,4.0,576.736,4.0,4.0,0.0,0.0,4.0,3471.252,4.0,5.0,0.0,0.0,4.0,1614.149,9.0,6.0,1.0,0.0,4.0,541.032,5.0,7.0,1.0,0.0,4.0,260.282,5.0,1.0,0.0,0.0,4.0,246.069,4.0,2.0,0.0,0.0,4.0,60.185,2.0,3.0,0.0,0.0,4.0,2137.047,5.0,3.875,0.25,0.0,4.0,1113.344,4.75,2.03100960115899,0.4629100498862757,0.0,0.0,1198.9887029407028,1.9820624179302297,0.2238027108715141,1.4401645996461911,0.0,0.0,1.2735597899970248,1.3392844899997982,0.0
2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,2386.793,4.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,275.288,4.0,6.0,1.0,0.0,4.0,1312.726,4.0,7.0,1.0,0.0,4.0,2150.716,2.0,1.0,0.0,0.0,4.0,3045.889,2.0,2.0,0.0,0.0,4.0,600.0,1.0,3.75,0.25,0.0,4.0,1221.4265,2.125,2.1213203435596424,0.4629100498862757,0.0,0.0,1184.6501239141091,1.7268882005337975,0.31426968052735443,1.4401645996461911,0.0,0.0,0.4270669425425887,-0.031207703864212913,-13.0
6.0,1.0,1.0,1.0,30.41,4.0,7.0,1.0,1.0,1.0,1050.947,1.0,1.0,0.0,0.0,1.0,1407.746,4.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,737.729,13.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,2125.48,7.0,6.0,1.0,0.0,1.0,1.389,1.0,4.25,0.375,0.25,1.0,669.212625,3.75,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,807.6694959584003,4.464142854857069,-0.31426968052735443,0.6440611887195306,1.4401645996461911,0.0,0.8637475325707015,1.453236468468778,-4.0
5.0,0.0,0.0,2.0,540.378,1.0,6.0,1.0,0.0,2.0,1478.073,3.0,7.0,1.0,0.0,2.0,2944.752,4.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,503.543,9.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,144.155,1.0,5.0,0.0,0.0,2.0,0.0,0.0,4.125,0.25,0.0,2.0,701.362625,2.25,2.03100960115899,0.4629100498862757,0.0,0.0,1034.2238277095862,3.1052950170405937,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.814692239304006,1.750892268593094,0.0
5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,767.928,13.0,7.0,1.0,0.0,2.0,2401.463,4.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1397.372,2.0,3.0,0.0,0.0,2.0,709.038,8.0,4.0,0.0,0.0,2.0,589.951,2.0,5.0,0.0,0.0,2.0,2090.466,5.0,4.125,0.25,0.0,2.0,994.5272499999999,4.25,2.03100960115899,0.4629100498862757,0.0,0.0,895.8265151720824,4.432026302139591,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.5559254161409248,1.1962515157589864,6.0
3.0,0.0,0.0,3.0,46.559,5.0,4.0,0.0,0.0,3.0,834.757,7.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,150.0,1.0,7.0,1.0,0.0,3.0,1846.432,2.0,1.0,0.0,0.0,3.0,242.426,4.0,2.0,0.0,0.0,3.0,1253.975,5.0,3.0,0.0,0.0,3.0,502.526,6.0,3.875,0.25,0.0,3.0,609.584375,3.75,2.03100960115899,0.4629100498862757,0.0,0.0,659.1996537986558,2.49284690951645,0.2238027108715141,1.4401645996461911,0.0,0.0,1.0761061506431915,-0.35964973248671733,3.0
6.0,1.0,0.0,3.0,150.0,1.0,7.0,1.0,0.0,3.0,1846.432,2.0,1.0,0.0,0.0,3.0,242.426,4.0,2.0,0.0,0.0,3.0,1253.975,5.0,3.0,0.0,0.0,3.0,502.526,6.0,4.0,0.0,0.0,3.0,979.517,7.0,5.0,0.0,0.0,3.0,575.163,4.0,6.0,1.0,0.0,3.0,1879.135,7.0,4.25,0.375,0.0,3.0,928.6467499999999,4.5,2.1213203435596424,0.5175491695067657,0.0,0.0,680.115879328085,2.2038926600773587,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.4538413179577447,-0.4270518649284848,-12.0
6.0,1.0,0.0,3.0,2717.007,3.0,7.0,1.0,0.0,3.0,302.711,2.0,1.0,0.0,0.0,3.0,212.296,2.0,2.0,0.0,0.0,3.0,783.803,6.0,3.0,0.0,0.0,3.0,1054.412,7.0,4.0,0.0,0.0,3.0,1385.651,9.0,5.0,0.0,0.0,3.0,536.229,3.0,6.0,1.0,0.0,3.0,0.0,0.0,4.25,0.375,0.0,3.0,874.013625,4.0,2.1213203435596424,0.5175491695067657,0.0,0.0,873.5260310534438,3.0237157840738176,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4907399266640111,0.537418235059995,0.0
6.0,1.0,0.0,2.0,412.357,5.0,7.0,1.0,0.0,2.0,752.691,4.0,1.0,0.0,0.0,2.0,215.852,5.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,715.093,3.0,4.0,0.0,0.0,2.0,0.938,1.0,5.0,0.0,0.0,2.0,35.971,1.0,6.0,1.0,0.0,2.0,3086.066,1.0,4.25,0.375,0.0,2.0,652.371,2.5,2.1213203435596424,0.5175491695067657,0.0,0.0,1029.210994430477,2.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.363953617331295,0.21428571428571427,0.0
