week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
3.0,0.0,0.0,4.0,3.065,1.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,880.709,5.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,88.068,1.0,3.0,0.0,1.0,1.0,0.0,0.0,3.875,0.25,0.375,1.375,121.48025,0.875,2.03100960115899,0.4629100498862757,0.5175491695067657,1.0606601717798212,308.302750186867,1.7268882005337975,0.2238027108715141,1.4401645996461911,0.6440611887195306,2.8284271247461903,2.7753357132644694,2.4723436505759784,5.0
6.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.763,1.0,2.0,0.0,0.0,1.0,324.558,2.0,3.0,0.0,0.0,1.0,774.043,2.0,4.0,0.0,0.0,1.0,76.921,3.0,5.0,0.0,0.0,1.0,11.878,1.0,6.0,1.0,0.0,1.0,699.649,1.0,4.25,0.375,0.25,1.0,236.1015,1.25,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,328.22006408810535,1.0350983390135313,-0.31426968052735443,0.6440611887195306,1.4401645996461911,0.0,1.0853150609248385,0.38643671323171835,-13.0
3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,55.562,2.0,5.0,0.0,0.0,1.0,2041.911,4.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,392.195,4.0,2.0,0.0,0.0,1.0,2642.525,4.0,3.0,0.0,0.0,1.0,0.0,0.0,3.875,0.25,0.0,1.0,641.524125,1.75,2.03100960115899,0.4629100498862757,0.0,0.0,1070.168033385337,1.9820624179302297,0.2238027108715141,1.4401645996461911,0.0,0.0,1.4741637973914496,0.31188816890406257,-2.0
5.0,0.0,0.0,1.0,16.06,2.0,6.0,1.0,0.0,1.0,1025.485,13.0,7.0,1.0,0.0,1.0,154.803,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,211.191,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,991.212,5.0,5.0,0.0,0.0,1.0,0.0,0.0,4.125,0.25,0.0,1.0,299.843875,2.875,2.03100960115899,0.4629100498862757,0.0,0.0,444.6014989465888,4.421942042651783,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.3114196868795915,2.1331977265518365,-4.0
4.0,0.0,0.0,2.0,1127.682,6.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,877.405,6.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,31.112,1.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.25,0.0,2.0,254.524875,1.625,2.0,0.4629100498862757,0.0,0.0,466.6309168225959,2.7222627143085005,0.0,1.4401645996461911,0.0,0.0,1.52552849295502,1.3764240799070069,-4.0
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.05,1.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,151.539,3.0,3.0,0.0,1.0,1.0,1189.834,6.0,4.0,0.0,1.0,1.0,782.533,6.0,4.0,0.25,0.25,1.75,265.4945,2.0,2.0,0.4629100498862757,0.4629100498862757,1.3887301496588271,460.9196208860221,2.6726124191242437,0.0,1.4401645996461911,1.4401645996461911,1.4401645996461911,1.6202360497567934,0.957864291014129,-2.0
6.0,1.0,0.0,1.0,544.054,8.0,7.0,1.0,0.0,1.0,153.802,2.0,1.0,0.0,0.0,1.0,308.657,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1562.206,6.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.0,1.0,321.089875,2.375,2.1213203435596424,0.5175491695067657,0.0,0.0,538.5982968495796,3.113908889391045,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.1770547219564156,1.086434192652631,0.0
5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,651.119,2.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,520.78,1.0,2.0,0.0,0.0,2.0,756.795,2.0,3.0,0.0,0.0,2.0,476.913,5.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.125,0.25,0.0,2.0,300.700875,1.25,2.03100960115899,0.4629100498862757,0.0,0.0,332.08955598256387,1.7525491637693282,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.23548800601292527,1.6189042572839438,1.0
6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.1,2.0,1.0,0.0,0.0,2.0,2432.052,3.0,2.0,0.0,0.0,2.0,1063.314,3.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,150.25,6.0,5.0,0.0,0.0,2.0,518.226,3.0,6.0,1.0,0.0,2.0,0.0,0.0,4.25,0.375,0.0,2.0,520.49275,2.125,2.1213203435596424,0.5175491695067657,0.0,0.0,859.3473628661878,2.100170061141308,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.960019204124528,0.6457930853974158,11.0
6.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,3.0,210.162,1.0,1.0,0.0,1.0,4.0,1848.301,4.0,2.0,0.0,1.0,4.0,998.53,4.0,3.0,0.0,1.0,4.0,2599.386,2.0,4.0,0.0,1.0,4.0,810.304,2.0,5.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,4.25,0.375,1.0,3.75,808.335375,1.625,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,974.210180853178,1.685018016012207,-0.31426968052735443,0.6440611887195306,0.0,-1.4401645996461911,1.0462143658800511,0.5486756183621094,4.0
