week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
7.0,1.0,0.0,3.0,14.293,1.0,1.0,0.0,0.0,3.0,1280.764,11.0,2.0,0.0,0.0,3.0,554.029,6.0,3.0,0.0,0.0,3.0,10.915,1.0,4.0,0.0,0.0,3.0,10.516,1.0,5.0,0.0,0.0,3.0,101.5,7.0,6.0,1.0,0.0,3.0,310.934,6.0,7.0,1.0,0.0,3.0,123.415,1.0,4.375,0.375,0.0,3.0,300.79575,4.25,2.2638462845343543,0.5175491695067657,0.0,0.0,438.52469692685,3.8078865529319543,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.9684749458525346,0.6959887771283816,-2.0
3.0,0.0,0.0,3.0,10.915,1.0,4.0,0.0,0.0,3.0,10.516,1.0,5.0,0.0,0.0,3.0,101.5,7.0,6.0,1.0,0.0,3.0,310.934,6.0,7.0,1.0,0.0,3.0,123.415,1.0,1.0,0.0,0.0,3.0,1386.534,7.0,2.0,0.0,0.0,3.0,300.212,8.0,3.0,0.0,0.0,3.0,1179.137,16.0,3.875,0.25,0.0,3.0,427.89537499999994,5.875,2.03100960115899,0.4629100498862757,0.0,0.0,542.5673645285078,5.0832357523811265,0.2238027108715141,1.4401645996461911,0.0,0.0,1.3035357873315967,1.0192453239018806,-4.0
7.0,1.0,0.0,3.0,123.415,1.0,1.0,0.0,0.0,3.0,1386.534,7.0,2.0,0.0,0.0,3.0,300.212,8.0,3.0,0.0,0.0,3.0,1179.137,16.0,4.0,0.0,0.0,3.0,634.173,8.0,5.0,0.0,0.0,3.0,405.184,9.0,6.0,1.0,0.0,3.0,214.094,9.0,7.0,1.0,0.0,3.0,112.873,2.0,4.375,0.375,0.0,3.0,544.4527499999999,7.5,2.2638462845343543,0.5175491695067657,0.0,0.0,488.68551850616865,4.6291004988627575,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.0529764450651697,0.3456395039150859,6.0
3.0,0.0,0.0,3.0,1179.137,16.0,4.0,0.0,0.0,3.0,634.173,8.0,5.0,0.0,0.0,3.0,405.184,9.0,6.0,1.0,0.0,3.0,214.094,9.0,7.0,1.0,0.0,3.0,112.873,2.0,1.0,0.0,0.0,3.0,292.212,3.0,2.0,0.0,0.0,3.0,863.963,4.0,3.0,0.0,0.0,3.0,1141.095,3.0,3.875,0.25,0.0,3.0,605.341375,6.75,2.03100960115899,0.4629100498862757,0.0,0.0,417.08210266802644,4.713203338949606,0.2238027108715141,1.4401645996461911,0.0,0.0,0.37271246350664566,1.0601674077210494,-2.0
1.0,0.0,0.0,3.0,466.778,6.0,2.0,0.0,0.0,3.0,181.105,6.0,3.0,0.0,0.0,3.0,1142.361,9.0,4.0,0.0,0.0,3.0,678.98,17.0,5.0,0.0,0.0,3.0,492.593,6.0,6.0,1.0,0.0,3.0,66.056,9.0,7.0,1.0,0.0,3.0,800.715,7.0,1.0,0.0,1.0,3.0,1101.029,2.0,3.625,0.25,0.125,3.0,616.202125,7.75,2.2638462845343543,0.4629100498862757,0.3535533905932738,0.0,392.69460599534506,4.334248987508019,0.22624995586066124,1.4401645996461911,2.8284271247461903,0.0,0.037914788214658116,1.3773047571227899,0.0
2.0,0.0,1.0,3.0,4.391,1.0,3.0,0.0,1.0,3.0,385.873,11.0,4.0,0.0,1.0,3.0,916.948,20.0,5.0,0.0,1.0,3.0,347.064,5.0,6.0,1.0,1.0,3.0,279.847,13.0,7.0,1.0,1.0,3.0,81.272,1.0,1.0,0.0,1.0,3.0,575.955,8.0,2.0,0.0,1.0,3.0,262.087,4.0,3.75,0.25,1.0,3.0,356.679625,7.875,2.1213203435596424,0.4629100498862757,0.0,0.0,287.28649405773,6.556076788533128,0.31426968052735443,1.4401645996461911,0.0,0.0,0.9682134988088276,0.8218382840843869,0.0
4.0,0.0,1.0,4.0,14.758,4.0,5.0,0.0,1.0,4.0,1586.603,2.0,6.0,1.0,1.0,4.0,48.514,3.0,7.0,1.0,1.0,4.0,495.307,6.0,1.0,0.0,1.0,4.0,603.494,13.0,2.0,0.0,1.0,4.0,779.547,13.0,3.0,0.0,1.0,4.0,22.818,3.0,4.0,0.0,1.0,4.0,8.669,3.0,4.0,0.25,1.0,4.0,444.96375000000006,5.875,2.0,0.4629100498862757,0.0,0.0,554.6893527057027,4.54933276112317,0.0,1.4401645996461911,0.0,0.0,1.3719838474484076,1.1882010583879719,-2.0
1.0,0.0,1.0,4.0,207.714,7.0,2.0,0.0,1.0,4.0,62.16,5.0,3.0,0.0,1.0,4.0,850.43,24.0,4.0,0.0,1.0,4.0,80.96,2.0,5.0,0.0,0.0,4.0,276.89,12.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,355.27,3.0,1.0,0.0,0.0,4.0,279.062,18.0,3.625,0.25,0.5,4.0,264.06075,8.875,2.2638462845343543,0.4629100498862757,0.5345224838248488,0.0,267.1892013470979,8.458934414485753,0.22624995586066124,1.4401645996461911,0.0,0.0,1.6917460505379316,0.9311416542832395,0.0
3.0,0.0,0.0,4.0,301.282,3.0,4.0,0.0,0.0,4.0,57.391,2.0,5.0,0.0,0.0,4.0,15.13,2.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,379.536,8.0,2.0,0.0,0.0,4.0,2.24,1.0,3.0,0.0,0.0,4.0,34.664,4.0,3.875,0.25,0.0,4.0,98.78037499999999,2.5,2.03100960115899,0.4629100498862757,0.0,0.0,151.88678735721692,2.6186146828319083,0.2238027108715141,1.4401645996461911,0.0,0.0,1.4507031592507302,1.4320549046737001,0.0
6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,379.536,8.0,2.0,0.0,0.0,4.0,2.24,1.0,3.0,0.0,0.0,4.0,34.664,4.0,4.0,0.0,0.0,4.0,461.526,8.0,5.0,0.0,0.0,4.0,96.607,6.0,6.0,1.0,0.0,4.0,90.34,4.0,4.25,0.375,0.0,4.0,133.114125,3.875,2.1213203435596424,0.5175491695067657,0.0,0.0,182.8347029895251,3.313931631332013,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.3196486713735842,0.05151938130010506,-9.0
