week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
7.0,1.0,0.0,3.0,,,1.0,0.0,0.0,3.0,,,2.0,0.0,0.0,3.0,,,3.0,0.0,0.0,3.0,,,4.0,0.0,0.0,3.0,,,7.0,1.0,0.0,3.0,,,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.375,0.25,0.0,3.0,0.0,0.0,2.445841952609133,0.4629100498862757,0.0,0.0,0.0,0.0,0.8262576084412339,1.4401645996461911,0.0,0.0,,,-4.0
4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,1820.382,15.0,6.0,1.0,0.0,3.0,1427.867,14.0,7.0,1.0,0.0,3.0,2024.885,7.0,1.0,0.0,0.0,3.0,874.27,19.0,2.0,0.0,0.0,3.0,381.741,12.0,3.0,0.0,0.0,3.0,357.972,4.0,4.0,0.0,0.0,3.0,345.827,7.0,4.0,0.25,0.0,3.0,904.1179999999999,9.75,2.0,0.4629100498862757,0.0,0.0,762.6208275358264,6.3189058727418494,0.0,1.4401645996461911,0.0,0.0,0.4733370500334294,-0.10135130210855106,0.0
3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,1525.215,20.0,6.0,1.0,0.0,4.0,1908.097,4.0,7.0,1.0,0.0,4.0,1313.073,14.0,1.0,0.0,0.0,4.0,114.09,4.0,2.0,0.0,0.0,4.0,280.865,2.0,3.0,0.0,0.0,4.0,371.112,6.0,3.875,0.25,0.0,4.0,689.0565,6.25,2.03100960115899,0.4629100498862757,0.0,0.0,767.41780130271,7.126409634992524,0.2238027108715141,1.4401645996461911,0.0,0.0,0.7141918475547812,1.3037616017586777,-3.0
1.0,0.0,0.0,4.0,1692.729,15.0,2.0,0.0,0.0,4.0,920.547,7.0,3.0,0.0,0.0,4.0,1434.364,17.0,4.0,0.0,0.0,1.0,1217.531,19.0,5.0,0.0,0.0,1.0,1047.889,12.0,6.0,1.0,0.0,1.0,2332.281,15.0,7.0,1.0,0.0,1.0,1059.102,29.0,1.0,0.0,1.0,1.0,138.446,3.0,3.625,0.25,0.125,2.125,1230.361125,14.625,2.2638462845343543,0.4629100498862757,0.3535533905932738,1.5526475085202969,634.7870784105346,7.854707414756362,0.22624995586066124,1.4401645996461911,2.8284271247461903,0.6440611887195306,0.07641152032753981,0.4069199740257436,0.0
6.0,1.0,0.0,1.0,1579.985,27.0,7.0,1.0,0.0,1.0,14.889,1.0,1.0,0.0,0.0,1.0,297.494,3.0,2.0,0.0,0.0,1.0,2225.656,22.0,3.0,0.0,0.0,1.0,2998.115,6.0,4.0,0.0,0.0,1.0,891.928,3.0,5.0,0.0,0.0,1.0,330.073,7.0,6.0,1.0,0.0,1.0,919.708,15.0,4.25,0.375,0.0,1.0,1157.2309999999998,10.5,2.1213203435596424,0.5175491695067657,0.0,0.0,1039.5186382601735,9.710083124552245,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.815538808689444,0.8881739026966474,-11.0
6.0,1.0,0.0,1.0,1335.311,10.0,7.0,1.0,0.0,1.0,462.954,4.0,1.0,0.0,0.0,1.0,560.501,8.0,2.0,0.0,0.0,1.0,930.228,11.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,28.736,1.0,5.0,0.0,0.0,1.0,483.716,17.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.0,1.0,475.18075,6.375,2.1213203435596424,0.5175491695067657,0.0,0.0,478.8826788636679,6.162965427222747,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.741670888356142,0.5398734550658262,5.0
2.0,0.0,0.0,1.0,930.228,11.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,28.736,1.0,5.0,0.0,0.0,1.0,483.716,17.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,38.112,2.0,2.0,0.0,0.0,1.0,1495.147,26.0,3.75,0.25,0.0,1.0,371.992375,7.125,2.1213203435596424,0.4629100498862757,0.0,0.0,564.4240450005999,9.891374308673477,0.31426968052735443,1.4401645996461911,0.0,0.0,1.4407689843691807,1.239213921504645,-7.0
3.0,0.0,0.0,1.0,643.255,2.0,4.0,0.0,0.0,1.0,354.177,11.0,5.0,0.0,0.0,1.0,1460.877,16.0,6.0,1.0,0.0,1.0,288.832,8.0,7.0,1.0,0.0,1.0,608.51,6.0,1.0,0.0,0.0,1.0,2041.82,13.0,2.0,0.0,0.0,1.0,1006.364,19.0,3.0,0.0,0.0,1.0,1061.723,8.0,3.875,0.25,0.0,1.0,933.1947499999999,10.375,2.03100960115899,0.4629100498862757,0.0,0.0,593.9362527135021,5.527528509973641,0.2238027108715141,1.4401645996461911,0.0,0.0,0.9016079211518692,0.15786243844600134,-13.0
5.0,0.0,0.0,2.0,1141.311,25.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,1001.362,7.0,1.0,0.0,0.0,2.0,1199.232,10.0,2.0,0.0,0.0,2.0,1263.749,17.0,3.0,0.0,0.0,2.0,457.726,5.0,4.0,0.0,0.0,2.0,2011.633,11.0,5.0,0.0,0.0,2.0,230.464,9.0,4.125,0.25,0.0,2.0,913.184625,10.5,2.03100960115899,0.4629100498862757,0.0,0.0,652.3124116731486,7.634508123364221,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.15797731100837797,0.8359874451694242,0.0
1.0,0.0,0.0,2.0,1199.232,10.0,2.0,0.0,0.0,2.0,1263.749,17.0,3.0,0.0,0.0,2.0,457.726,5.0,4.0,0.0,0.0,2.0,2011.633,11.0,5.0,0.0,0.0,2.0,230.464,9.0,6.0,1.0,0.0,2.0,859.219,32.0,7.0,1.0,0.0,2.0,183.028,4.0,1.0,0.0,0.0,2.0,1509.839,18.0,3.625,0.25,0.0,2.0,964.36125,13.25,2.2638462845343543,0.4629100498862757,0.0,0.0,649.8288102635186,9.067209367511357,0.22624995586066124,1.4401645996461911,0.0,0.0,0.24103509867352993,1.3481714621383796,-7.0
3.0,0.0,0.0,2.0,1953.917,16.0,4.0,0.0,0.0,2.0,1965.245,16.0,5.0,0.0,0.0,2.0,770.849,2.0,6.0,1.0,0.0,2.0,635.319,14.0,7.0,1.0,0.0,2.0,857.38,9.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,916.346,19.0,3.0,0.0,0.0,2.0,717.296,20.0,3.875,0.25,0.0,2.0,977.044,12.0,2.03100960115899,0.4629100498862757,0.0,0.0,668.7090067243641,7.578164119928482,0.2238027108715141,1.4401645996461911,0.0,0.0,0.5709903529237291,-0.7720532540686031,3.0
3.0,0.0,0.0,2.0,864.956,11.0,4.0,0.0,0.0,2.0,2732.307,2.0,5.0,0.0,0.0,2.0,150.15,4.0,6.0,1.0,0.0,2.0,433.66,2.0,7.0,1.0,0.0,2.0,821.759,11.0,1.0,0.0,0.0,2.0,569.114,5.0,2.0,0.0,0.0,2.0,671.978,10.0,3.0,0.0,0.0,2.0,0.0,0.0,3.875,0.25,0.0,2.0,780.4905000000001,5.625,2.03100960115899,0.4629100498862757,0.0,0.0,845.2950549215682,4.438065859293728,0.2238027108715141,1.4401645996461911,0.0,0.0,2.0996937712597337,0.25392290237349696,-7.0
3.0,0.0,0.0,2.0,2679.0,1.0,4.0,0.0,0.0,2.0,208.037,1.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,1464.827,17.0,7.0,1.0,0.0,2.0,1665.548,7.0,1.0,0.0,0.0,2.0,104.038,4.0,2.0,0.0,0.0,2.0,912.965,8.0,3.0,0.0,0.0,2.0,863.475,5.0,3.875,0.25,0.0,2.0,987.2362499999999,5.375,2.03100960115899,0.4629100498862757,0.0,0.0,920.6304857761882,5.527528509973641,0.2238027108715141,1.4401645996461911,0.0,0.0,0.7656362261409915,1.4300666309324637,-2.0
5.0,0.0,0.0,2.0,2068.279,9.0,6.0,1.0,0.0,2.0,9.013,2.0,7.0,1.0,0.0,2.0,1587.544,12.0,1.0,0.0,0.0,2.0,3258.474,3.0,2.0,0.0,0.0,2.0,560.154,15.0,3.0,0.0,0.0,2.0,428.095,7.0,4.0,0.0,0.0,2.0,1069.377,14.0,5.0,0.0,0.0,2.0,2449.651,4.0,4.125,0.25,0.0,2.0,1428.823375,8.25,2.03100960115899,0.4629100498862757,0.0,0.0,1116.430097851558,5.063877678504601,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.3953136176790019,0.12211677302932393,12.0
