week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,225.263,4.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,314.787,2.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,23.411,1.0,6.0,1.0,0.0,3.0,372.141,1.0,7.0,1.0,0.0,3.0,0.0,0.0,4.375,0.375,0.0,3.0,116.95025,1.0,2.2638462845343543,0.5175491695067657,0.0,0.0,160.11263247186784,1.4142135623730951,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.8545832551131369,1.616244071283537,5.0
4.0,0.0,1.0,4.0,331.15,10.0,5.0,0.0,1.0,4.0,742.777,8.0,6.0,1.0,0.0,4.0,150.55,3.0,7.0,1.0,0.0,4.0,258.988,3.0,1.0,0.0,0.0,4.0,323.591,5.0,2.0,0.0,0.0,4.0,203.007,3.0,3.0,0.0,0.0,4.0,500.602,7.0,4.0,0.0,0.0,4.0,373.768,3.0,4.0,0.25,0.25,4.0,360.554125,5.25,2.0,0.4629100498862757,0.4629100498862757,0.0,187.97861656311375,2.7645717829090897,0.0,1.4401645996461911,1.4401645996461911,0.0,1.2701661930236967,0.7910504988042779,7.0
6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,223.718,7.0,1.0,0.0,0.0,1.0,296.85,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,280.512,3.0,4.0,0.0,0.0,1.0,252.908,11.0,5.0,0.0,0.0,1.0,326.708,5.0,6.0,1.0,0.0,1.0,1053.806,19.0,4.25,0.375,0.0,1.0,304.31275000000005,6.0,2.1213203435596424,0.5175491695067657,0.0,0.0,328.8973589416396,6.391959234627741,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.948749599390576,1.3390949856298715,-7.0
6.0,1.0,0.0,1.0,222.247,9.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,616.962,8.0,2.0,0.0,0.0,1.0,59.71,2.0,3.0,0.0,0.0,1.0,419.144,3.0,4.0,0.0,0.0,1.0,221.132,4.0,5.0,0.0,0.0,1.0,275.093,4.0,6.0,1.0,0.0,1.0,974.479,15.0,4.25,0.375,0.0,1.0,348.59587500000004,5.625,2.1213203435596424,0.5175491695067657,0.0,0.0,318.7733149494156,4.808846015417836,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.1401829453575787,1.0680124336360315,3.0
6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,840.49,12.0,2.0,0.0,0.0,2.0,459.071,1.0,3.0,0.0,0.0,2.0,47.96,2.0,4.0,0.0,0.0,2.0,869.596,3.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,4.25,0.375,0.0,2.0,277.139625,2.25,2.1213203435596424,0.5175491695067657,0.0,0.0,389.3613844665344,4.0970372570571385,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.9538058010047707,2.4366336201138012,4.0
5.0,0.0,1.0,2.0,347.596,4.0,6.0,1.0,1.0,2.0,332.166,8.0,7.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,153.801,5.0,2.0,0.0,0.0,2.0,69.78,1.0,3.0,0.0,0.0,2.0,343.168,3.0,4.0,0.0,0.0,2.0,89.923,5.0,5.0,0.0,0.0,2.0,369.59,2.0,4.125,0.25,0.375,2.0,213.253,3.5,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,150.38696797357713,2.5634797778466227,-0.2238027108715141,1.4401645996461911,0.6440611887195306,0.0,-0.2585961410299095,0.4070553900550403,-3.0
7.0,1.0,0.0,4.0,904.3,7.0,1.0,0.0,0.0,4.0,373.218,4.0,2.0,0.0,0.0,4.0,1008.075,12.0,3.0,0.0,0.0,4.0,443.22,5.0,4.0,0.0,0.0,4.0,995.141,8.0,5.0,0.0,0.0,4.0,280.315,3.0,6.0,1.0,0.0,4.0,884.2,6.0,7.0,1.0,0.0,4.0,77.059,2.0,4.375,0.375,0.0,4.0,620.691,5.875,2.2638462845343543,0.5175491695067657,0.0,0.0,367.28358803674155,3.181980515339464,-0.22624995586066124,0.6440611887195306,0.0,0.0,-0.2656439099482653,0.8962505703928256,3.0
6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,968.634,6.0,2.0,0.0,0.0,2.0,354.801,6.0,3.0,0.0,0.0,2.0,644.823,5.0,4.0,0.0,0.0,2.0,169.775,4.0,5.0,0.0,0.0,2.0,263.817,5.0,6.0,1.0,0.0,2.0,207.796,7.0,4.25,0.375,0.0,2.0,326.20574999999997,4.125,2.1213203435596424,0.5175491695067657,0.0,0.0,331.7169369790842,2.6958963523950885,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.160329885646723,-0.9924994606334,4.0
6.0,1.0,0.0,2.0,10.005,1.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,693.479,5.0,2.0,0.0,0.0,2.0,7.627,3.0,3.0,0.0,0.0,2.0,0.05,1.0,4.0,0.0,0.0,2.0,150.0,1.0,5.0,0.0,0.0,2.0,243.731,2.0,6.0,1.0,0.0,2.0,410.373,6.0,4.25,0.375,0.0,2.0,189.40812499999998,2.375,2.1213203435596424,0.5175491695067657,0.0,0.0,251.95767616715625,2.1339098923270936,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.352809003012549,0.8766013232424655,3.0
5.0,0.0,0.0,2.0,210.871,5.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,120.431,2.0,1.0,0.0,0.0,3.0,285.906,7.0,2.0,0.0,0.0,3.0,8.868,1.0,3.0,0.0,0.0,3.0,0.05,1.0,4.0,0.0,0.0,3.0,695.234,9.0,5.0,0.0,0.0,3.0,547.786,6.0,4.125,0.25,0.0,2.625,233.64324999999997,3.875,2.03100960115899,0.4629100498862757,0.0,0.5175491695067657,263.8986709081185,3.313931631332013,-0.2238027108715141,1.4401645996461911,0.0,-0.6440611887195306,0.944925498970965,0.3341399872892528,-4.0
