week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
5.0,0.0,0.0,3.0,98.753,7.0,6.0,1.0,0.0,3.0,168.684,9.0,7.0,1.0,0.0,3.0,344.129,5.0,1.0,0.0,0.0,3.0,39.693,5.0,2.0,0.0,0.0,3.0,166.059,2.0,3.0,0.0,0.0,3.0,262.009,7.0,4.0,0.0,0.0,3.0,157.528,6.0,5.0,0.0,0.0,3.0,522.285,6.0,4.125,0.25,0.0,3.0,219.89249999999998,5.875,2.03100960115899,0.4629100498862757,0.0,0.0,153.62573113902502,2.03100960115899,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.1285276226195822,-0.5946757746014516,7.0
5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,40.091,3.0,1.0,0.0,0.0,3.0,776.728,5.0,2.0,0.0,1.0,3.0,29.241,1.0,3.0,0.0,1.0,3.0,849.053,3.0,4.0,0.0,1.0,3.0,85.605,2.0,5.0,0.0,1.0,3.0,758.322,6.0,4.125,0.25,0.5,3.0,317.38,2.5,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,396.98860430999775,2.2038926600773587,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.6433284511714955,0.4270518649284848,9.0
5.0,0.0,0.0,3.0,1480.54,11.0,6.0,1.0,0.0,3.0,2108.559,13.0,7.0,1.0,0.0,3.0,1392.698,2.0,1.0,0.0,0.0,3.0,467.41,5.0,2.0,0.0,0.0,3.0,1786.817,3.0,3.0,0.0,0.0,3.0,1132.101,18.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,396.176,5.0,4.125,0.25,0.0,3.0,1095.537625,7.125,2.03100960115899,0.4629100498862757,0.0,0.0,739.2854814641611,6.2206453500765155,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.21283576699608936,0.7607488617473585,0.0
2.0,0.0,0.0,4.0,253.418,4.0,3.0,0.0,0.0,4.0,145.847,2.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.05,1.0,6.0,1.0,0.0,4.0,74.973,2.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,1648.802,13.0,2.0,0.0,0.0,4.0,0.0,0.0,3.75,0.25,0.0,4.0,265.38624999999996,2.75,2.1213203435596424,0.4629100498862757,0.0,0.0,566.470542047548,4.367084676466507,0.31426968052735443,1.4401645996461911,0.0,0.0,2.687027085202119,2.310440119199466,-9.0
6.0,1.0,0.0,2.0,446.64,2.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,663.484,6.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,4.25,0.375,0.0,2.0,138.7655,1.0,2.1213203435596424,0.5175491695067657,0.0,0.0,263.39850198456764,2.138089935299395,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.6429099621700738,2.338535866733713,7.0
5.0,0.0,0.0,3.0,11.54,2.0,6.0,1.0,0.0,3.0,1083.412,8.0,7.0,1.0,0.0,3.0,699.364,5.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,265.254,2.0,3.0,0.0,0.0,3.0,330.521,2.0,4.0,0.0,0.0,3.0,0.15,3.0,5.0,0.0,0.0,3.0,150.0,1.0,4.125,0.25,0.0,3.0,317.530125,2.875,2.03100960115899,0.4629100498862757,0.0,0.0,388.86750112839115,2.5319388392523003,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.3197740504152569,1.3124802722881392,-2.0
3.0,0.0,0.0,3.0,1766.617,4.0,4.0,0.0,0.0,3.0,723.964,4.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,1737.806,9.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,458.402,2.0,2.0,0.0,0.0,3.0,54.999,2.0,3.0,0.0,0.0,3.0,204.634,4.0,3.875,0.25,0.0,3.0,618.3027500000001,3.125,2.03100960115899,0.4629100498862757,0.0,0.0,742.743488111234,2.9001231500945415,0.2238027108715141,1.4401645996461911,0.0,0.0,1.0190078567491057,1.1003266542125096,-4.0
6.0,1.0,0.0,4.0,931.77,7.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,293.819,7.0,2.0,0.0,0.0,4.0,0.1,2.0,3.0,0.0,0.0,4.0,0.05,1.0,4.0,0.0,0.0,4.0,1273.809,4.0,5.0,0.0,0.0,4.0,382.77,1.0,6.0,1.0,0.0,4.0,0.0,0.0,4.25,0.375,0.0,4.0,360.28975,2.75,2.1213203435596424,0.5175491695067657,0.0,0.0,490.6493597994833,2.9154759474226504,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.2282995949820232,0.7897581904041583,-5.0
6.0,1.0,0.0,4.0,1433.811,3.0,7.0,1.0,0.0,4.0,896.316,3.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,2690.241,3.0,3.0,0.0,0.0,4.0,3205.522,6.0,4.0,0.0,0.0,4.0,1730.495,11.0,5.0,0.0,0.0,4.0,2374.317,3.0,6.0,1.0,0.0,4.0,1653.604,6.0,4.25,0.375,0.0,4.0,1748.03825,4.375,2.1213203435596424,0.5175491695067657,0.0,0.0,1020.732429523561,3.2923070504261465,-0.31426968052735443,0.6440611887195306,0.0,0.0,-0.3247080267600652,1.0953596494207847,7.0
5.0,0.0,0.0,1.0,418.885,1.0,6.0,1.0,0.0,1.0,1725.719,4.0,7.0,1.0,0.0,1.0,594.22,5.0,1.0,0.0,0.0,1.0,719.813,2.0,2.0,0.0,0.0,1.0,3030.528,3.0,3.0,0.0,0.0,1.0,356.082,3.0,4.0,0.0,0.0,1.0,808.574,2.0,5.0,0.0,0.0,1.0,1050.616,2.0,4.125,0.25,0.0,1.0,1088.054625,2.75,2.03100960115899,0.4629100498862757,0.0,0.0,896.2123616423472,1.2817398889233114,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.7740992148019987,0.6105830850825604,-4.0
