week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
4.0,0.0,0.0,3.0,2223.386,3.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,1265.799,3.0,1.0,0.0,0.0,3.0,210.094,2.0,2.0,0.0,0.0,3.0,476.1,3.0,3.0,0.0,0.0,3.0,0.05,1.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.25,0.0,3.0,521.928625,1.5,2.0,0.4629100498862757,0.0,0.0,813.917089317182,1.4142135623730951,0.0,1.4401645996461911,0.0,0.0,1.6738280717141447,0.0,-3.0
3.0,0.0,0.0,4.0,0.1,2.0,4.0,0.0,0.0,4.0,28.43,3.0,5.0,0.0,0.0,4.0,39.592,1.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.05,1.0,1.0,0.0,0.0,4.0,,,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.875,0.25,0.0,4.0,9.738857142857142,1.0,2.03100960115899,0.4629100498862757,0.0,0.0,16.891252641812088,1.1547005383792515,0.2238027108715141,1.4401645996461911,0.0,0.0,1.3827309983000455,0.9093266739736604,8.0
2.0,0.0,1.0,1.0,364.826,2.0,3.0,0.0,1.0,1.0,665.574,1.0,4.0,0.0,1.0,1.0,167.953,1.0,5.0,0.0,1.0,1.0,86.152,2.0,6.0,1.0,1.0,1.0,1544.05,2.0,7.0,1.0,0.0,1.0,999.696,9.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,46.286,1.0,3.75,0.25,0.625,1.0,484.31712500000003,2.25,2.1213203435596424,0.4629100498862757,0.5175491695067657,0.0,550.433258602566,2.815771906346718,0.31426968052735443,1.4401645996461911,-0.6440611887195306,0.0,1.1864999921543475,2.4763983749024456,12.0
5.0,0.0,1.0,1.0,86.152,2.0,6.0,1.0,1.0,1.0,1544.05,2.0,7.0,1.0,0.0,1.0,999.696,9.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,46.286,1.0,3.0,0.0,0.0,1.0,615.704,3.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,138.367,1.0,4.125,0.25,0.25,1.0,428.781875,2.25,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,575.7545021836098,2.9154759474226504,-0.2238027108715141,1.4401645996461911,1.4401645996461911,0.0,1.2988603570579234,2.161746871544229,-12.0
1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,46.286,1.0,3.0,0.0,0.0,1.0,615.704,3.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,138.367,1.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,980.804,3.0,1.0,0.0,0.0,1.0,0.05,1.0,3.625,0.25,0.0,1.0,222.651375,1.125,2.2638462845343543,0.4629100498862757,0.0,0.0,371.4386407127745,1.246423454758225,0.22624995586066124,1.4401645996461911,0.0,0.0,1.6587646102680063,0.8760698611855934,0.0
3.0,0.0,0.0,1.0,210.0,1.0,4.0,0.0,0.0,1.0,0.05,1.0,5.0,0.0,0.0,1.0,26.091,1.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.05,1.0,3.0,0.0,0.0,1.0,972.322,2.0,3.875,0.25,0.0,1.0,151.064125,0.75,2.03100960115899,0.4629100498862757,0.0,0.0,339.6695575048691,0.7071067811865476,0.2238027108715141,1.4401645996461911,0.0,0.0,2.599977679445241,0.40406101782088427,-2.0
6.0,1.0,0.0,1.0,0.05,1.0,7.0,1.0,0.0,1.0,103.198,1.0,1.0,0.0,0.0,1.0,210.8,2.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,2608.873,4.0,4.0,0.0,0.0,1.0,39.414,2.0,5.0,0.0,0.0,1.0,2510.846,1.0,6.0,1.0,0.0,1.0,284.924,1.0,4.25,0.375,0.0,1.0,719.7631250000001,1.5,2.1213203435596424,0.5175491695067657,0.0,0.0,1140.4207203511014,1.1952286093343936,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4098921610619726,1.338656042454521,5.0
5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,727.189,4.0,7.0,1.0,0.0,1.0,0.05,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,4.125,0.25,0.0,1.25,90.90487499999999,0.625,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,257.09761176611363,1.407885953173359,-0.2238027108715141,1.4401645996461911,0.0,1.4401645996461911,2.82842709854869,2.5275900725748475,0.0
3.0,0.0,0.0,2.0,0.05,1.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,485.155,11.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,426.914,2.0,3.0,0.0,0.0,3.0,0.0,0.0,3.875,0.25,0.0,2.75,114.01487499999999,1.75,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,211.67218798040219,3.8078865529319543,0.2238027108715141,1.4401645996461911,0.0,-1.4401645996461911,1.4634488601276432,2.636477932690784,-7.0
3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,4.0,24.28,2.0,6.0,1.0,1.0,4.0,1254.738,3.0,7.0,1.0,1.0,4.0,183.1,3.0,1.0,0.0,1.0,4.0,181.995,1.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,3.875,0.25,1.0,3.75,205.514125,1.125,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,431.5613368874986,1.3562026818605375,0.2238027108715141,1.4401645996461911,0.0,-1.4401645996461911,2.640824573643212,0.6228126558605466,1.0
4.0,0.0,0.0,4.0,125.906,3.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,73.641,2.0,7.0,1.0,0.0,4.0,38.379,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,539.075,1.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,3095.629,1.0,4.0,0.25,0.0,4.0,484.07874999999996,1.0,2.0,0.4629100498862757,0.0,0.0,1070.4879486217953,1.0690449676496976,0.0,1.4401645996461911,0.0,0.0,2.6811748941202547,0.9354143466934852,0.0
6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,39.595,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,38.467,1.0,3.0,0.0,0.0,4.0,134.407,1.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,56.825,1.0,6.0,1.0,0.0,4.0,46.289,1.0,4.25,0.375,0.0,4.0,39.447875,0.625,2.1213203435596424,0.5175491695067657,0.0,0.0,44.77784715822099,0.5175491695067657,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4377176067128772,-0.6440611887195306,-8.0
3.0,0.0,0.0,1.0,144.239,4.0,4.0,0.0,0.0,1.0,581.105,2.0,5.0,0.0,0.0,1.0,39.239,2.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,22.713,1.0,1.0,0.0,0.0,1.0,1207.192,5.0,2.0,0.0,0.0,1.0,240.886,2.0,3.0,0.0,0.0,1.0,113.294,1.0,3.875,0.25,0.0,1.0,293.5835,2.125,2.03100960115899,0.4629100498862757,0.0,0.0,413.8991316309532,1.6420805617960927,0.2238027108715141,1.4401645996461911,0.0,0.0,1.9217116160627508,0.7703036572506035,1.0
5.0,0.0,0.0,3.0,425.309,1.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,600.0,1.0,1.0,0.0,0.0,3.0,51.291,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,10.39,2.0,5.0,0.0,0.0,3.0,0.0,0.0,4.125,0.25,0.0,3.0,135.87375,0.625,2.03100960115899,0.4629100498862757,0.0,0.0,237.82738540783856,0.7440238091428449,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.5803801211430148,0.8237682964911416,7.0
4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,170.559,2.0,6.0,1.0,0.0,3.0,1160.772,11.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,371.855,3.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,1671.237,11.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.25,0.0,3.0,421.802875,3.375,2.0,0.4629100498862757,0.0,0.0,641.9223291681764,4.838461975226661,0.0,1.4401645996461911,0.0,0.0,1.4674484546910136,1.2279245428445142,0.0
6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,197.98,1.0,6.0,1.0,1.0,4.0,286.142,2.0,4.25,0.375,1.0,4.0,60.515249999999995,0.375,2.1213203435596424,0.5175491695067657,0.0,0.0,114.50300102336682,0.7440238091428449,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.6182176708285896,1.9510301759000723,1.0
