week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_10_t-7,unlock_num_hr_10_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_10_t-6,unlock_num_hr_10_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_10_t-5,unlock_num_hr_10_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_10_t-4,unlock_num_hr_10_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_10_t-3,unlock_num_hr_10_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_10_t-2,unlock_num_hr_10_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_10_t-1,unlock_num_hr_10_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_10_t-0,unlock_num_hr_10_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_10_mean,unlock_num_hr_10_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_10_std,unlock_num_hr_10_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_10_skew,unlock_num_hr_10_skew,target
6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,220.712,6.0,1.0,0.0,0.0,3.0,20.464,1.0,2.0,0.0,0.0,3.0,1192.816,3.0,3.0,0.0,0.0,3.0,134.206,5.0,4.0,0.0,0.0,3.0,1668.714,6.0,5.0,0.0,0.0,3.0,929.234,7.0,6.0,1.0,0.0,3.0,1100.843,1.0,4.25,0.375,0.0,3.0,658.3736250000001,3.625,2.1213203435596424,0.5175491695067657,0.0,0.0,641.6769027842901,2.7222627143085005,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.3732128638671476,-0.15313271114077956,0.0
2.0,0.0,0.0,3.0,1192.816,3.0,3.0,0.0,0.0,3.0,134.206,5.0,4.0,0.0,0.0,3.0,1668.714,6.0,5.0,0.0,0.0,3.0,929.234,7.0,6.0,1.0,0.0,3.0,1100.843,1.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,115.571,3.0,2.0,0.0,0.0,3.0,2196.969,6.0,3.75,0.25,0.0,3.0,917.2941249999999,3.875,2.1213203435596424,0.4629100498862757,0.0,0.0,793.6678110806521,2.5319388392523003,0.31426968052735443,1.4401645996461911,0.0,0.0,0.2970146975544801,-0.3773518301716947,0.0
5.0,0.0,0.0,1.0,1426.2,16.0,6.0,1.0,0.0,1.0,602.102,11.0,7.0,1.0,0.0,1.0,2127.079,26.0,1.0,0.0,0.0,1.0,420.616,12.0,2.0,0.0,0.0,1.0,202.01,6.0,3.0,0.0,0.0,1.0,970.105,14.0,4.0,0.0,0.0,1.0,1117.799,10.0,5.0,0.0,0.0,1.0,82.339,6.0,4.125,0.25,0.0,1.0,868.53125,12.625,2.03100960115899,0.4629100498862757,0.0,0.0,686.7469859245834,6.435115716575289,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7601837103709913,1.3077100041638403,-5.0
6.0,1.0,0.0,2.0,604.471,4.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,758.263,8.0,4.0,0.0,0.0,2.0,2506.097,21.0,5.0,0.0,0.0,2.0,66.773,2.0,6.0,1.0,0.0,2.0,85.135,5.0,4.25,0.375,0.0,2.0,502.592375,5.0,2.1213203435596424,0.5175491695067657,0.0,0.0,862.8676424663349,7.0710678118654755,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.2306346970666286,2.004142648391586,-11.0
7.0,1.0,1.0,2.0,564.723,10.0,1.0,0.0,1.0,2.0,2661.751,8.0,2.0,0.0,1.0,2.0,805.195,14.0,3.0,0.0,1.0,2.0,2642.106,9.0,4.0,0.0,1.0,2.0,1859.886,27.0,5.0,0.0,1.0,2.0,1934.452,13.0,6.0,1.0,1.0,2.0,1076.359,15.0,7.0,1.0,1.0,2.0,1169.816,5.0,4.375,0.375,1.0,2.0,1589.286,12.625,2.2638462845343543,0.5175491695067657,0.0,0.0,806.6289890348776,6.696214282285605,-0.22624995586066124,0.6440611887195306,0.0,0.0,0.25227625765704353,1.5089037217729229,14.0
5.0,0.0,0.0,3.0,1840.281,20.0,6.0,1.0,0.0,3.0,3013.431,18.0,7.0,1.0,0.0,3.0,1037.756,3.0,1.0,0.0,0.0,3.0,70.953,7.0,2.0,0.0,0.0,3.0,15.617,2.0,3.0,0.0,0.0,3.0,314.07,2.0,4.0,0.0,0.0,3.0,888.83,4.0,5.0,0.0,0.0,3.0,450.743,4.0,4.125,0.25,0.0,3.0,953.960125,7.5,2.03100960115899,0.4629100498862757,0.0,0.0,1025.470269143791,7.289914755527471,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.3296102923720132,1.2788326006271309,0.0
6.0,1.0,0.0,3.0,63.765,4.0,7.0,1.0,0.0,3.0,745.852,8.0,1.0,0.0,0.0,3.0,659.632,14.0,2.0,0.0,0.0,3.0,802.202,3.0,3.0,0.0,0.0,3.0,281.395,9.0,4.0,0.0,0.0,3.0,479.549,7.0,5.0,0.0,0.0,3.0,66.611,3.0,6.0,1.0,0.0,3.0,141.334,4.0,4.25,0.375,0.0,3.0,405.0425,6.5,2.1213203435596424,0.5175491695067657,0.0,0.0,307.08093516902954,3.8172540616821107,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.13422785965649225,1.1095132912847658,15.0
1.0,0.0,1.0,4.0,489.452,5.0,2.0,0.0,1.0,4.0,2366.419,9.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,322.891,3.0,5.0,0.0,1.0,4.0,1346.12,15.0,6.0,1.0,1.0,4.0,13.783,1.0,7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,1443.817,11.0,3.625,0.25,1.0,4.0,747.81025,5.5,2.2638462845343543,0.4629100498862757,0.0,0.0,875.6088442321964,5.606119105813881,0.22624995586066124,1.4401645996461911,0.0,0.0,0.9834444304065729,0.677830764612042,0.0
6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,415.688,2.0,1.0,0.0,0.0,1.0,374.869,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,690.355,3.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.0,1.0,185.114,0.75,2.1213203435596424,0.5175491695067657,0.0,0.0,271.44474906428275,1.164964745021435,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.108022771039953,1.3553606451772928,-12.0
6.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,3.0,608.419,2.0,1.0,0.0,1.0,3.0,1024.549,4.0,2.0,0.0,1.0,3.0,355.172,2.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,3.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,4.25,0.375,1.0,3.0,248.51749999999998,1.0,2.1213203435596424,0.5175491695067657,0.0,0.0,387.6548354429308,1.5118578920369088,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4335351464584127,1.3228756555322954,-1.0
5.0,0.0,0.0,2.0,1085.348,9.0,6.0,1.0,0.0,2.0,318.589,1.0,7.0,1.0,0.0,2.0,3191.0,1.0,1.0,0.0,0.0,2.0,219.495,3.0,2.0,0.0,0.0,2.0,652.332,8.0,3.0,0.0,0.0,2.0,1244.478,9.0,4.0,0.0,0.0,2.0,570.558,2.0,5.0,0.0,0.0,2.0,56.407,1.0,4.125,0.25,0.0,2.0,917.275875,4.25,2.03100960115899,0.4629100498862757,0.0,0.0,1005.837160344902,3.7321001364608946,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.9732302369082406,0.5523802647732259,1.0
6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,277.457,4.0,1.0,0.0,0.0,3.0,1950.144,6.0,2.0,0.0,0.0,3.0,1.934,4.0,3.0,0.0,0.0,3.0,895.751,12.0,4.0,0.0,0.0,3.0,365.133,4.0,5.0,0.0,0.0,3.0,1321.787,7.0,6.0,1.0,0.0,3.0,2016.361,12.0,4.25,0.375,0.0,3.0,853.570875,6.125,2.1213203435596424,0.5175491695067657,0.0,0.0,828.0705936206573,4.155461122770509,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.4851347962650681,0.3919537830392175,12.0
2.0,0.0,0.0,3.0,1.934,4.0,3.0,0.0,0.0,3.0,895.751,12.0,4.0,0.0,0.0,3.0,365.133,4.0,5.0,0.0,0.0,3.0,1321.787,7.0,6.0,1.0,0.0,3.0,2016.361,12.0,7.0,1.0,0.0,3.0,1240.213,4.0,1.0,0.0,0.0,3.0,715.469,11.0,2.0,0.0,0.0,3.0,0.0,0.0,3.75,0.25,0.0,3.0,819.581,6.75,2.1213203435596424,0.4629100498862757,0.0,0.0,699.4741196660328,4.496029994816062,0.31426968052735443,1.4401645996461911,0.0,0.0,0.4026910210799656,-0.007859309009654866,-8.0
5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,1628.401,10.0,7.0,1.0,0.0,3.0,1094.29,2.0,1.0,0.0,0.0,3.0,1564.04,5.0,2.0,0.0,0.0,3.0,534.511,4.0,3.0,0.0,0.0,3.0,892.604,9.0,4.0,0.0,0.0,3.0,383.766,2.0,5.0,0.0,0.0,3.0,181.369,1.0,4.125,0.25,0.0,3.0,784.872625,4.125,2.03100960115899,0.4629100498862757,0.0,0.0,612.9316216302336,3.6815175442433286,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.2651794051657931,0.7612001050718759,3.0
