week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
4.0,0.0,0.0,3.0,-1.0,-1.0,5.0,0.0,0.0,3.0,-1.0,-1.0,6.0,1.0,0.0,3.0,-1.0,-1.0,7.0,1.0,0.0,3.0,-1.0,-1.0,1.0,0.0,1.0,3.0,-1.0,-1.0,2.0,0.0,1.0,3.0,-1.0,-1.0,3.0,0.0,1.0,3.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,0.0,4.0,0.25,0.5,3.0,0.0,0.0,2.0,0.4629100498862757,0.5345224838248488,0.0,0.0,0.0,0.0,1.4401645996461911,0.0,0.0,-1.0,-1.0,-6.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0,1,1,1,1,1,0,0
3.0,0.0,0.0,4.0,1481.135,3.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,283.831,4.0,6.0,1.0,0.0,4.0,83.793,1.0,7.0,1.0,0.0,4.0,0.05,1.0,1.0,0.0,0.0,4.0,0.05,1.0,2.0,0.0,0.0,4.0,691.683,9.0,3.0,0.0,0.0,4.0,361.628,4.0,3.875,0.25,0.0,4.0,362.77125,2.875,2.03100960115899,0.4629100498862757,0.0,0.0,512.3780051172461,2.900123150094541,0.2238027108715141,1.4401645996461911,0.0,0.0,1.796888862508515,1.4766193356930353,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,361.628,4.0,4.0,0.0,0.0,4.0,720.027,3.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,184.022,5.0,7.0,1.0,0.0,4.0,1.416,3.0,1.0,0.0,0.0,4.0,0.15,3.0,2.0,0.0,0.0,4.0,142.58,10.0,3.0,0.0,0.0,4.0,197.992,1.0,3.875,0.25,0.0,4.0,200.976875,3.625,2.03100960115899,0.4629100498862757,0.0,0.0,244.79614531829628,3.020761493398643,0.2238027108715141,1.4401645996461911,0.0,0.0,1.5531624904640768,1.3494348852905929,14.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,4.0,181.143,4.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,1074.894,5.0,3.0,0.0,0.0,4.0,486.56,8.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,338.734,1.0,4.375,0.375,0.0,4.0,260.166375,2.25,2.2638462845343543,0.5175491695067657,0.0,0.0,377.62394608466445,3.058944729337694,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.7047876191376414,1.1229737075244723,3.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,0,1,1,1,1,1
1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1615.561,4.0,3.0,0.0,0.0,1.0,2566.567,1.0,4.0,0.0,0.0,2.0,2092.311,9.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,608.593,5.0,7.0,1.0,0.0,2.0,890.893,1.0,1.0,0.0,0.0,2.0,1677.954,13.0,3.625,0.25,0.0,1.625,1181.484875,4.125,2.2638462845343543,0.4629100498862757,0.0,0.5175491695067657,955.2428378850566,4.733995594179856,0.2262499558606612,1.4401645996461911,0.0,-0.6440611887195306,0.0231526194341226,1.1026457914626406,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,0,1,1,1
3.0,0.0,0.0,2.0,45.764,4.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,210.069,1.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,1331.312,6.0,1.0,0.0,0.0,2.0,0.1,2.0,2.0,0.0,0.0,2.0,2092.887,4.0,3.0,0.0,0.0,2.0,32.756,1.0,3.875,0.25,0.0,2.0,464.111,2.25,2.03100960115899,0.4629100498862757,0.0,0.0,799.702781175428,2.187627547301936,0.2238027108715141,1.4401645996461911,0.0,0.0,1.6772595448523808,0.6686177310978518,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,1.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,2019.834,7.0,1.0,0.0,0.0,2.0,557.641,6.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,68.544,2.0,6.0,1.0,0.0,3.0,0.0,0.0,4.25,0.375,0.125,2.25,330.752375,1.875,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.4629100498862757,709.1457722225558,2.948970764763288,-0.3142696805273544,0.6440611887195306,2.8284271247461903,1.4401645996461911,2.4738460301160976,1.2763301741012612,1.0,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,0,2,2,1,1,1
6.0,1.0,0.0,4.0,1785.954,8.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,511.78,6.0,2.0,0.0,0.0,4.0,518.597,6.0,3.0,0.0,0.0,4.0,1211.349,5.0,4.0,0.0,0.0,4.0,2454.438,3.0,5.0,0.0,0.0,4.0,1765.105,3.0,6.0,1.0,0.0,4.0,101.948,1.0,4.25,0.375,0.0,4.0,1043.646375,4.0,2.1213203435596424,0.5175491695067657,0.0,0.0,896.3842136920239,2.7255405754769875,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.3517775272365756,-0.1128922131854373,0.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
5.0,0.0,0.0,4.0,97.115,3.0,6.0,1.0,0.0,4.0,1264.48,9.0,7.0,1.0,0.0,4.0,876.067,3.0,1.0,0.0,0.0,4.0,2287.142,2.0,2.0,0.0,0.0,4.0,480.896,4.0,3.0,0.0,0.0,4.0,1684.287,4.0,4.0,0.0,0.0,4.0,1443.393,5.0,5.0,0.0,0.0,4.0,113.121,2.0,4.125,0.25,0.0,4.0,1030.812625,4.0,2.03100960115899,0.4629100498862757,0.0,0.0,781.0724259154273,2.2677868380553634,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.2351012173334421,1.7638342073763935,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,2031.683,5.0,6.0,1.0,0.0,4.0,525.552,1.0,7.0,1.0,0.0,4.0,271.516,3.0,1.0,0.0,0.0,4.0,219.62,2.0,2.0,0.0,0.0,4.0,151.12,5.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,4.125,0.25,0.0,4.0,399.936375,2.0,2.03100960115899,0.4629100498862757,0.0,0.0,683.3885134140519,2.138089935299395,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.4656534979567923,0.5846339666834283,0.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
