week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
1.0,0.0,0.0,4.0,61.816,2.0,2.0,0.0,0.0,4.0,199.935,2.0,3.0,0.0,0.0,4.0,195.423,2.0,4.0,0.0,0.0,4.0,0.2,4.0,5.0,0.0,0.0,4.0,1749.027,1.0,6.0,1.0,0.0,4.0,21.457,4.0,7.0,1.0,0.0,4.0,71.447,1.0,1.0,0.0,0.0,4.0,244.269,6.0,3.625,0.25,0.0,4.0,317.94675,2.75,2.2638462845343543,0.4629100498862757,0.0,0.0,585.2462475712376,1.7525491637693282,0.2262499558606612,1.4401645996461911,0.0,0.0,2.695807875441396,0.92887949188423,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,701.073,4.0,7.0,1.0,0.0,4.0,955.502,8.0,1.0,0.0,0.0,4.0,1541.287,3.0,2.0,0.0,0.0,4.0,156.407,5.0,3.0,0.0,0.0,4.0,15.462,2.0,4.0,0.0,0.0,4.0,996.995,5.0,5.0,0.0,0.0,4.0,2030.751,2.0,4.125,0.25,0.0,4.0,799.684625,3.625,2.03100960115899,0.4629100498862757,0.0,0.0,737.4415154660329,2.445841952609133,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.4864508345464202,0.4235027919189189,-15.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,15.462,2.0,4.0,0.0,0.0,4.0,996.995,5.0,5.0,0.0,0.0,4.0,2030.751,2.0,6.0,1.0,0.0,4.0,800.501,6.0,7.0,1.0,0.0,4.0,478.423,8.0,1.0,0.0,0.0,4.0,243.522,9.0,2.0,0.0,0.0,4.0,4.677,2.0,3.0,0.0,0.0,4.0,0.1,2.0,3.875,0.25,0.0,4.0,571.303875,4.5,2.03100960115899,0.4629100498862757,0.0,0.0,700.6219740337739,2.9277002188456,0.2238027108715141,1.4401645996461911,0.0,0.0,1.4520402379941215,0.569275042553311,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,800.501,6.0,7.0,1.0,0.0,4.0,478.423,8.0,1.0,0.0,0.0,4.0,243.522,9.0,2.0,0.0,0.0,4.0,4.677,2.0,3.0,0.0,0.0,4.0,0.1,2.0,4.0,0.0,0.0,4.0,600.483,9.0,5.0,0.0,0.0,4.0,861.821,15.0,6.0,1.0,0.0,4.0,238.783,4.0,4.25,0.375,0.0,4.0,403.53875,6.875,2.1213203435596424,0.5175491695067657,0.0,0.0,335.2184096439429,4.356850107261306,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.1475099094629826,0.6928892665863274,0.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,21.543,3.0,5.0,0.0,0.0,4.0,247.183,8.0,6.0,1.0,0.0,4.0,194.762,6.0,7.0,1.0,0.0,4.0,280.081,11.0,1.0,0.0,0.0,4.0,799.541,4.0,2.0,0.0,0.0,4.0,2100.414,3.0,3.0,0.0,0.0,4.0,1023.512,8.0,4.0,0.0,0.0,4.0,2.415,6.0,4.0,0.25,0.0,4.0,583.6813750000001,6.125,2.0,0.4629100498862757,0.0,0.0,712.2456425995052,2.799872446074234,0.0,1.4401645996461911,0.0,0.0,1.6265389449593362,0.5068568028322699,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,4.0,280.081,11.0,1.0,0.0,0.0,4.0,799.541,4.0,2.0,0.0,0.0,4.0,2100.414,3.0,3.0,0.0,0.0,4.0,1023.512,8.0,4.0,0.0,0.0,4.0,2.415,6.0,5.0,0.0,0.0,4.0,0.1,2.0,6.0,1.0,0.0,4.0,447.72,6.0,7.0,1.0,0.0,4.0,917.114,9.0,4.375,0.375,0.0,4.0,696.3621250000001,6.125,2.2638462845343543,0.5175491695067657,0.0,0.0,690.6748686535175,3.090885217631258,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.1883542301868302,0.231612564058888,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,4.0,2100.414,3.0,3.0,0.0,0.0,4.0,1023.512,8.0,4.0,0.0,0.0,4.0,2.415,6.0,5.0,0.0,0.0,4.0,0.1,2.0,6.0,1.0,0.0,4.0,447.72,6.0,7.0,1.0,0.0,4.0,917.114,9.0,1.0,0.0,0.0,4.0,310.458,4.0,2.0,0.0,0.0,4.0,141.438,8.0,3.75,0.25,0.0,4.0,617.896375,5.75,2.1213203435596424,0.4629100498862757,0.0,0.0,713.4317817887481,2.549509756796392,0.3142696805273544,1.4401645996461911,0.0,0.0,1.4376681022061355,-0.2499941942420807,-2.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,4.0,381.752,6.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,513.787,4.0,3.0,0.0,0.0,1.0,193.864,6.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,1468.742,10.0,7.0,1.0,1.0,1.0,410.242,4.0,4.375,0.375,0.125,2.125,371.048375,3.75,2.2638462845343543,0.5175491695067657,0.3535533905932738,1.5526475085202969,488.63970217268536,3.615443067098218,-0.2262499558606612,0.6440611887195306,2.8284271247461903,0.6440611887195306,1.9048911047123176,0.4383140390103844,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1
2.0,0.0,0.0,4.0,513.787,4.0,3.0,0.0,0.0,1.0,193.864,6.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,1468.742,10.0,7.0,1.0,1.0,1.0,410.242,4.0,1.0,0.0,1.0,1.0,668.399,4.0,2.0,0.0,1.0,1.0,762.928,3.0,3.75,0.25,0.375,1.375,502.24525,3.875,2.1213203435596424,0.4629100498862757,0.5175491695067657,1.0606601717798212,483.7171428778688,3.226563851175781,0.3142696805273544,1.4401645996461911,0.6440611887195306,2.8284271247461903,1.0798271198900449,0.693747918420208,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1
1.0,0.0,0.0,1.0,188.075,2.0,2.0,0.0,0.0,1.0,34.447,1.0,3.0,0.0,0.0,1.0,513.441,4.0,4.0,0.0,0.0,1.0,762.742,5.0,5.0,0.0,0.0,1.0,367.717,7.0,6.0,1.0,0.0,1.0,1619.095,7.0,7.0,1.0,0.0,1.0,251.4,9.0,1.0,0.0,0.0,1.0,1273.627,3.0,3.625,0.25,0.0,1.0,626.318,4.75,2.2638462845343543,0.4629100498862757,0.0,0.0,558.7964144646702,2.7645717829090897,0.2262499558606612,1.4401645996461911,0.0,0.0,0.97081383852399,0.1825501151086795,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
