week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,966.767,50.0,3.875,0.25,0.0,2.75,120.845875,6.25,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,341.8037507636876,17.67766952966369,0.2238027108715141,1.4401645996461911,0.0,-1.4401645996461911,2.82842712474619,2.8284271247461903,2.0,-1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,2,1,0
3.0,0.0,0.0,3.0,966.767,50.0,4.0,0.0,0.0,3.0,694.942,39.0,5.0,0.0,0.0,3.0,979.954,39.0,6.0,1.0,0.0,3.0,2011.255,53.0,7.0,1.0,0.0,3.0,1580.404,71.0,1.0,0.0,0.0,3.0,1509.222,39.0,2.0,0.0,0.0,3.0,2359.639,57.0,3.0,0.0,0.0,3.0,1757.746,43.0,3.875,0.25,0.0,3.0,1482.491125,48.875,2.03100960115899,0.4629100498862757,0.0,0.0,569.9367015606551,11.344444833107902,0.2238027108715141,1.4401645996461911,0.0,0.0,0.0946281866522592,1.0889632855685776,7.0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,5014.695,118.0,4.25,0.375,0.75,1.0,626.836875,14.75,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,1772.9624200411367,41.71930009000631,-0.3142696805273544,0.6440611887195306,-1.4401645996461911,0.0,2.8284271247461907,2.82842712474619,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,2,1,1
1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,5014.695,118.0,7.0,1.0,1.0,1.0,1199.376,39.0,1.0,0.0,0.0,1.0,1875.087,87.0,3.625,0.25,0.875,1.0,1011.14475,30.5,2.2638462845343543,0.4629100498862757,0.3535533905932738,0.0,1769.677547155716,47.16536259344805,0.2262499558606612,1.4401645996461911,-2.8284271247461903,0.0,2.050174440510913,1.287178680008744,5.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
3.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,5014.695,118.0,7.0,1.0,1.0,1.0,1199.376,39.0,1.0,0.0,0.0,1.0,1875.087,87.0,2.0,0.0,0.0,1.0,6664.456,240.0,3.0,0.0,0.0,1.0,2552.138,135.0,3.875,0.25,0.625,1.0,2163.219,77.375,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,2495.5351731002083,85.30941582598857,0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,1.0191659268966449,0.9553619561395588,4.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,0,1,1,1,1
1.0,0.0,0.0,1.0,2017.863,108.0,2.0,0.0,0.0,1.0,5294.723,113.0,3.0,0.0,0.0,1.0,4040.503,168.0,4.0,0.0,0.0,1.0,6014.813,137.0,5.0,0.0,0.0,1.0,1827.416,56.0,6.0,1.0,0.0,1.0,2071.416,97.0,7.0,1.0,0.0,1.0,4538.794,128.0,1.0,0.0,0.0,1.0,3732.67,118.0,3.625,0.25,0.0,1.0,3692.274750000001,115.625,2.2638462845343543,0.4629100498862757,0.0,0.0,1590.5996084596302,32.3504802348987,0.2262499558606612,1.4401645996461911,0.0,0.0,0.0877425045136234,-0.3575367397378521,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,2071.416,97.0,7.0,1.0,0.0,1.0,4538.794,128.0,1.0,0.0,0.0,1.0,3732.67,118.0,2.0,0.0,0.0,1.0,2288.294,73.0,3.0,0.0,0.0,1.0,1052.236,89.0,4.0,0.0,0.0,1.0,2487.157,95.0,5.0,0.0,0.0,1.0,3455.4880000000003,195.0,6.0,1.0,0.0,1.0,4689.576,144.0,4.25,0.375,0.0,1.0,3039.453875,117.375,2.1213203435596424,0.5175491695067657,0.0,0.0,1275.0328865827553,38.79962260493927,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.0990812241363079,1.167221347179242,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,4689.576,144.0,7.0,1.0,0.0,1.0,5699.998,179.0,1.0,0.0,0.0,1.0,3404.436,141.0,2.0,0.0,0.0,1.0,3937.757,97.0,3.0,0.0,0.0,1.0,3707.356,125.0,4.0,0.0,0.0,1.0,2857.222,92.0,5.0,0.0,0.0,1.0,2417.617,111.0,6.0,1.0,0.0,1.0,8208.751,173.0,4.25,0.375,0.0,1.0,4365.339125,132.75,2.1213203435596424,0.5175491695067657,0.0,0.0,1861.8500985229289,32.56970546820641,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.390525058357141,0.2316139998550469,-13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,2102.318,82.0,7.0,1.0,0.0,1.0,2934.289,117.0,1.0,0.0,0.0,1.0,4733.463,101.0,2.0,0.0,0.0,1.0,1785.4140000000002,92.0,3.0,0.0,0.0,1.0,1575.404,101.0,4.0,0.0,0.0,1.0,4138.005,181.0,5.0,0.0,0.0,1.0,2505.477,112.0,6.0,1.0,0.0,1.0,1730.909,82.0,4.25,0.375,0.0,1.0,2688.1598750000003,108.5,2.1213203435596424,0.5175491695067657,0.0,0.0,1176.6771635767311,31.91506585566492,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.9845081821545932,1.987392733977904,11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,1.0,1785.4140000000002,92.0,3.0,0.0,0.0,1.0,1575.404,101.0,4.0,0.0,0.0,1.0,4138.005,181.0,5.0,0.0,0.0,1.0,2505.477,112.0,6.0,1.0,0.0,1.0,1730.909,82.0,7.0,1.0,0.0,1.0,2645.206,119.0,1.0,0.0,0.0,1.0,1457.166,68.0,2.0,0.0,0.0,1.0,3693.861,83.0,3.75,0.25,0.0,1.0,2441.43025,104.75,2.1213203435596424,0.4629100498862757,0.0,0.0,1010.4136744663048,35.0255009141299,0.3142696805273544,1.4401645996461911,0.0,0.0,0.8516959459993574,1.652472037049472,-11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
