week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
6.0,1.0,0.0,1.0,0.2,4.0,7.0,1.0,0.0,1.0,12.979,6.0,1.0,0.0,0.0,1.0,6.925,2.0,2.0,0.0,0.0,1.0,16.665,6.0,3.0,0.0,0.0,1.0,1045.286,5.0,4.0,0.0,0.0,1.0,201.7,11.0,5.0,0.0,0.0,1.0,724.225,3.0,6.0,1.0,0.0,1.0,1223.877,7.0,4.25,0.375,0.0,1.0,403.982125,5.5,2.1213203435596424,0.5175491695067657,0.0,0.0,514.1656469166993,2.7774602993176543,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.8311952882869663,0.9601097330974608,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,1.0,2.0,1231.493,34.0,7.0,1.0,0.0,2.0,648.211,21.0,1.0,0.0,0.0,2.0,79.485,6.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,144.576,5.0,4.0,0.0,0.0,2.0,558.536,6.0,5.0,0.0,0.0,3.0,866.875,10.0,6.0,1.0,0.0,3.0,608.911,18.0,4.25,0.375,0.125,2.25,517.2608749999999,12.5,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.4629100498862757,423.8782552584906,11.135528725660045,-0.3142696805273544,0.6440611887195306,2.8284271247461903,1.4401645996461911,0.3404097830297372,1.0730796040447634,0.0,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,2,2,1,2,1,1,2,2,1,1,1
6.0,1.0,0.0,4.0,71.39,5.0,7.0,1.0,0.0,4.0,539.242,8.0,1.0,0.0,0.0,4.0,408.539,15.0,2.0,0.0,0.0,4.0,149.406,13.0,3.0,0.0,0.0,4.0,170.119,7.0,4.0,0.0,0.0,4.0,304.742,10.0,5.0,0.0,0.0,4.0,763.602,8.0,6.0,1.0,0.0,4.0,470.28,7.0,4.25,0.375,0.0,4.0,359.665,9.125,2.1213203435596424,0.5175491695067657,0.0,0.0,231.85367606993609,3.3567628964311944,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.5034456426577403,0.8531160787110376,-8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,311.734,10.0,7.0,1.0,0.0,1.0,852.438,9.0,1.0,0.0,0.0,1.0,214.209,8.0,2.0,0.0,0.0,1.0,389.621,8.0,3.0,0.0,0.0,1.0,615.367,9.0,4.0,0.0,0.0,1.0,408.008,17.0,5.0,0.0,0.0,1.0,45.888,1.0,6.0,1.0,0.0,1.0,344.381,10.0,4.25,0.375,0.0,1.0,397.70575,9.0,2.1213203435596424,0.5175491695067657,0.0,0.0,245.5346340758992,4.342481186734475,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.6926792565334571,0.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,2253.345,4.0,7.0,1.0,0.0,1.0,72.911,4.0,1.0,0.0,0.0,1.0,193.967,6.0,2.0,0.0,0.0,1.0,15.751,1.0,3.0,0.0,0.0,1.0,90.769,4.0,4.0,0.0,0.0,1.0,175.17,8.0,5.0,0.0,0.0,2.0,5.705,2.0,6.0,1.0,0.0,2.0,55.475,3.0,4.25,0.375,0.0,1.25,357.886625,4.0,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,768.8694730498681,2.2038926600773587,-0.3142696805273544,0.6440611887195306,0.0,1.4401645996461911,2.7850470758228307,0.6405777973927271,-6.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1
5.0,0.0,0.0,2.0,153.809,11.0,6.0,1.0,1.0,2.0,0.0,0.0,7.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,182.127,7.0,2.0,0.0,1.0,2.0,39.782,3.0,3.0,0.0,1.0,2.0,511.021,16.0,4.0,0.0,1.0,2.0,30.14,4.0,5.0,0.0,1.0,2.0,153.131,5.0,4.125,0.25,0.875,2.0,133.75125000000003,5.75,2.03100960115899,0.4629100498862757,0.3535533905932738,0.0,169.3664118849594,5.496752287877426,-0.2238027108715141,1.4401645996461911,-2.8284271247461903,0.0,1.8465810222965944,0.9367233414480518,0.0,-1,0,0,1,1,1,1,0,1,2,1,1,1,2,2,2,1,1,1,0,1,2,1,1,1,0,1,2,1,1,1,0,1,2,1,1,1,0,1,2,1,1,1,0,0,2,1,1,1,0,0,2,1,1,1,0,0,2,1,1,1,2,2,0,1,2,1,0
5.0,0.0,0.0,4.0,1538.727,8.0,6.0,1.0,0.0,4.0,405.159,10.0,7.0,1.0,0.0,4.0,3599.992,3.0,1.0,0.0,0.0,4.0,986.861,8.0,2.0,0.0,0.0,4.0,37.172,7.0,3.0,0.0,0.0,4.0,664.15,9.0,4.0,0.0,0.0,4.0,1546.586,6.0,5.0,0.0,0.0,4.0,1371.853,5.0,4.125,0.25,0.0,4.0,1268.8125,7.0,2.03100960115899,0.4629100498862757,0.0,0.0,1089.1002995286651,2.2677868380553634,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.467800230300252,-0.5879447357921312,-3.0,1,0,0,1,1,1,1,0,1,1,1,1,1,2,2,1,1,2,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,2,1,0,0,1,1,2,1,2,2,1,1,1,0,1
2.0,0.0,0.0,4.0,417.388,3.0,3.0,0.0,0.0,4.0,30.038,7.0,4.0,0.0,0.0,4.0,247.542,9.0,5.0,0.0,0.0,4.0,1226.42,3.0,6.0,1.0,0.0,4.0,30.617,3.0,7.0,1.0,0.0,4.0,786.299,6.0,1.0,0.0,0.0,4.0,342.351,4.0,2.0,0.0,0.0,4.0,1156.773,7.0,3.75,0.25,0.0,4.0,529.6785,5.25,2.1213203435596424,0.4629100498862757,0.0,0.0,473.6718384936981,2.3145502494313788,0.3142696805273544,1.4401645996461911,0.0,0.0,0.5775816675024404,0.4262887214952726,-1.0,1,0,0,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,2,2,1,1,1,1,1
6.0,1.0,0.0,1.0,1033.033,2.0,7.0,1.0,0.0,1.0,147.125,2.0,1.0,0.0,0.0,1.0,504.935,10.0,2.0,0.0,0.0,1.0,830.85,5.0,3.0,0.0,0.0,1.0,1285.213,7.0,4.0,0.0,0.0,1.0,134.0,1.0,5.0,0.0,0.0,1.0,385.875,6.0,6.0,1.0,0.0,1.0,763.289,3.0,4.25,0.375,0.0,1.0,635.54,4.5,2.1213203435596424,0.5175491695067657,0.0,0.0,414.7328498398525,3.070597894314954,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.2298740666485736,0.7105515788497414,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,2241.456,17.0,7.0,1.0,0.0,1.0,1196.512,15.0,1.0,0.0,0.0,1.0,181.734,3.0,2.0,0.0,0.0,1.0,1282.656,2.0,3.0,0.0,0.0,1.0,588.368,5.0,4.0,0.0,0.0,1.0,972.549,5.0,5.0,0.0,0.0,1.0,1302.89,9.0,6.0,1.0,0.0,1.0,922.778,7.0,4.25,0.375,0.0,1.0,1086.117875,7.875,2.1213203435596424,0.5175491695067657,0.0,0.0,602.121650051463,5.488624600025037,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.6041749824692055,0.8710152550345095,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
