week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
4.0,0.0,0.0,3.0,5035.615,58.0,5.0,0.0,0.0,3.0,10185.293,92.0,6.0,1.0,0.0,3.0,9436.216,77.0,7.0,1.0,0.0,3.0,9543.62,57.0,1.0,0.0,0.0,3.0,8046.011,72.0,2.0,0.0,0.0,3.0,7543.44,75.0,3.0,0.0,0.0,3.0,9144.116,103.0,4.0,0.0,0.0,3.0,5639.236999999999,56.0,4.0,0.25,0.0,3.0,8071.693500000001,73.75,2.0,0.4629100498862757,0.0,0.0,1892.0967497513743,17.10263137648707,0.0,1.4401645996461911,0.0,0.0,-0.7345046019715488,0.6448464675285966,-2.0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,2830.898,43.0,7.0,1.0,0.0,1.0,9518.986,51.0,1.0,0.0,0.0,1.0,6278.646,42.0,2.0,0.0,0.0,1.0,5249.298000000001,46.0,3.0,0.0,0.0,1.0,9758.753,42.0,4.0,0.0,0.0,1.0,10875.787,42.0,5.0,0.0,0.0,1.0,8736.707999999999,60.0,6.0,1.0,0.0,1.0,16508.338,47.0,4.25,0.375,0.0,1.0,8719.676749999999,46.625,2.1213203435596424,0.5175491695067657,0.0,0.0,4135.401090042649,6.2777953363991,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.602202296182712,1.6412013874060212,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,11655.684,34.0,4.0,0.0,0.0,1.0,4509.546,34.0,5.0,0.0,0.0,1.0,5831.686000000001,26.0,6.0,1.0,0.0,1.0,10322.326,49.0,7.0,1.0,0.0,1.0,12484.094,60.0,1.0,0.0,0.0,1.0,3586.213,42.0,2.0,0.0,0.0,1.0,9294.957,52.0,3.0,0.0,0.0,1.0,7140.199999999999,67.0,3.875,0.25,0.0,1.0,8103.08825,45.5,2.03100960115899,0.4629100498862757,0.0,0.0,3328.7029894238185,14.061091199273466,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.0497087411088525,0.1921836719804471,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,10322.326,49.0,7.0,1.0,0.0,1.0,12484.094,60.0,1.0,0.0,0.0,1.0,3586.213,42.0,2.0,0.0,0.0,1.0,9294.957,52.0,3.0,0.0,0.0,1.0,7140.199999999999,67.0,4.0,0.0,0.0,1.0,9181.675,52.0,5.0,0.0,0.0,1.0,12602.428,44.0,6.0,1.0,0.0,1.0,9151.587,36.0,4.25,0.375,0.0,1.0,9220.435,50.25,2.1213203435596424,0.5175491695067657,0.0,0.0,2912.709627279039,9.953463144626024,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.8715876825958251,0.3739102119515562,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,8243.661,43.0,6.0,1.0,0.0,3.0,12032.211,47.0,7.0,1.0,0.0,3.0,10886.773,83.0,1.0,0.0,0.0,3.0,6265.462,39.0,2.0,0.0,0.0,3.0,6134.254000000001,30.0,3.0,0.0,0.0,3.0,8502.823,37.0,4.0,0.0,0.0,3.0,13299.729,79.0,5.0,0.0,0.0,3.0,3134.266,26.0,4.125,0.25,0.0,3.0,8562.397375,48.0,2.03100960115899,0.4629100498862757,0.0,0.0,3393.821784554185,21.454270304200847,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.1254976394045903,1.041581391407578,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,5253.751,68.0,7.0,1.0,0.0,3.0,7626.372,60.0,1.0,0.0,0.0,3.0,8904.220000000001,37.0,2.0,0.0,0.0,3.0,6159.364,50.0,3.0,0.0,0.0,3.0,9442.449,42.0,4.0,0.0,0.0,3.0,12896.211,53.0,5.0,0.0,0.0,3.0,6367.745,55.0,6.0,1.0,0.0,3.0,5964.281,71.0,4.25,0.375,0.0,3.0,7826.799125,54.5,2.1213203435596424,0.5175491695067657,0.0,0.0,2521.592391060596,11.771636613972952,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.2414624972496264,-0.0336296728859169,3.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,8401.416000000001,39.0,6.0,1.0,0.0,4.0,13493.821,58.0,7.0,1.0,0.0,4.0,8987.046,46.0,1.0,0.0,0.0,4.0,11461.873,33.0,2.0,0.0,0.0,4.0,6112.339000000001,51.0,3.0,0.0,0.0,4.0,12411.157,46.0,4.0,0.0,0.0,4.0,8933.021999999999,33.0,5.0,0.0,0.0,4.0,8919.032,43.0,4.125,0.25,0.0,4.0,9839.96325,43.625,2.03100960115899,0.4629100498862757,0.0,0.0,2418.82587714475,8.617880084037903,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.176666062563213,0.2679276666103126,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,10737.003,42.0,6.0,1.0,0.0,2.0,12346.181,50.0,7.0,1.0,0.0,2.0,10455.225,67.0,1.0,0.0,0.0,2.0,9338.137,38.0,2.0,0.0,0.0,2.0,5244.014999999999,55.0,3.0,0.0,0.0,2.0,9429.037,43.0,4.0,0.0,0.0,2.0,6457.159,52.0,5.0,0.0,0.0,2.0,9609.148,48.0,4.125,0.25,0.0,2.0,9201.988125,49.375,2.03100960115899,0.4629100498862757,0.0,0.0,2306.770383700209,9.07016301633312,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.7127796869685641,0.9028091324446328,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,10130.366,37.0,1.0,0.0,0.0,3.0,8415.510999999999,57.0,2.0,0.0,0.0,3.0,7565.102,49.0,3.0,0.0,0.0,3.0,6928.465,51.0,4.0,0.0,0.0,3.0,8668.245,66.0,5.0,0.0,0.0,3.0,8843.449,54.0,6.0,1.0,0.0,3.0,10967.91,51.0,7.0,1.0,0.0,3.0,9254.989,58.0,4.375,0.375,0.0,3.0,8846.754625000001,52.875,2.2638462845343543,0.5175491695067657,0.0,0.0,1301.3141602616222,8.374067112222113,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.2140619715601019,-0.5205722978915306,-2.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,1.0,8236.807,41.0,5.0,0.0,1.0,1.0,5526.178,38.0,6.0,1.0,1.0,1.0,6812.263999999999,52.0,7.0,1.0,1.0,1.0,7330.715000000001,46.0,1.0,0.0,1.0,1.0,6751.012,46.0,2.0,0.0,1.0,1.0,9594.891,27.0,3.0,0.0,1.0,1.0,9376.435,29.0,4.0,0.0,0.0,1.0,10225.567,50.0,4.0,0.25,0.875,1.0,7981.733625,41.125,2.0,0.4629100498862757,0.3535533905932738,0.0,1646.7818349282627,9.264949309860562,0.0,1.4401645996461911,-2.8284271247461903,0.0,-0.0137007936315482,-0.5782433649415812,0.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
1.0,0.0,0.0,4.0,4409.723,41.0,2.0,0.0,0.0,4.0,5821.528,38.0,3.0,0.0,0.0,4.0,5017.3,23.0,4.0,0.0,0.0,4.0,10154.661,51.0,5.0,0.0,0.0,4.0,8753.225999999999,63.0,6.0,1.0,0.0,4.0,5867.155,19.0,7.0,1.0,0.0,4.0,3945.929,37.0,1.0,0.0,0.0,1.0,5074.107,34.0,3.625,0.25,0.0,3.625,6130.453625,38.25,2.2638462845343543,0.4629100498862757,0.0,1.0606601717798212,2181.9382615928525,14.169887589028866,0.2262499558606612,1.4401645996461911,0.0,-2.8284271247461903,1.1934274919416927,0.434881350460262,0.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,2,1,1,1,1,1,0,1,1,0
