week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
1.0,0.0,0.0,3.0,779.667,6.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,2984.154,12.0,4.0,0.0,0.0,3.0,843.982,8.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,153.043,2.0,7.0,1.0,0.0,3.0,165.831,10.0,1.0,0.0,0.0,3.0,1637.376,15.0,3.625,0.25,0.0,3.0,820.506625,6.625,2.2638462845343543,0.4629100498862757,0.0,0.0,1040.016113567743,5.629958132298016,0.2262499558606612,1.4401645996461911,0.0,0.0,1.5224193491738796,0.1099750504405155,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,843.982,8.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,153.043,2.0,7.0,1.0,0.0,3.0,165.831,10.0,1.0,0.0,0.0,3.0,1637.376,15.0,2.0,0.0,0.0,3.0,995.112,3.0,3.0,0.0,0.0,3.0,1972.719,10.0,4.0,0.0,0.0,3.0,6.4,1.0,4.0,0.25,0.0,3.0,721.807875,6.125,2.0,0.4629100498862757,0.0,0.0,770.7217489673351,5.383506557731945,0.0,1.4401645996461911,0.0,0.0,0.6860940447307807,0.4357115881780994,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,6.4,1.0,5.0,0.0,0.0,3.0,32.097,2.0,6.0,1.0,0.0,3.0,1520.005,11.0,7.0,1.0,0.0,3.0,29.44,3.0,1.0,0.0,0.0,3.0,371.38,8.0,2.0,0.0,0.0,3.0,225.4,7.0,3.0,0.0,0.0,3.0,181.986,4.0,4.0,0.0,0.0,3.0,23.559,1.0,4.0,0.25,0.0,3.0,298.78337500000004,4.625,2.0,0.4629100498862757,0.0,0.0,509.9836474549069,3.6620642110310255,0.0,1.4401645996461911,0.0,0.0,2.4920664421128143,0.7486700409905679,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,917.736,15.0,2.0,0.0,0.0,3.0,3482.091,5.0,3.0,0.0,0.0,3.0,2591.514,6.0,4.0,0.0,0.0,3.0,738.375,4.0,5.0,0.0,0.0,3.0,63.37,2.0,6.0,1.0,0.0,3.0,247.514,9.0,7.0,1.0,0.0,3.0,96.469,8.0,1.0,0.0,0.0,3.0,39.26,4.0,3.625,0.25,0.0,3.0,1022.041125,6.625,2.2638462845343543,0.4629100498862757,0.0,0.0,1306.463143317258,4.0686080455816125,0.2262499558606612,1.4401645996461911,0.0,0.0,1.3361101042464365,1.3116450440792355,-9.0,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,738.375,4.0,5.0,0.0,0.0,3.0,63.37,2.0,6.0,1.0,0.0,3.0,247.514,9.0,7.0,1.0,0.0,3.0,96.469,8.0,1.0,0.0,0.0,3.0,39.26,4.0,2.0,0.0,0.0,3.0,2869.305,8.0,3.0,0.0,0.0,3.0,2.706,1.0,4.0,0.0,0.0,3.0,740.373,13.0,4.0,0.25,0.0,3.0,599.6715,6.125,2.0,0.4629100498862757,0.0,0.0,965.51596972618,4.051013982414068,0.0,1.4401645996461911,0.0,0.0,2.324207743354503,0.3951240085859295,8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,3.0,0.0,0.0,6.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,3.0,18.513,1.0,1.0,0.0,1.0,3.0,3592.621,2.0,2.0,0.0,1.0,3.0,841.585,2.0,3.0,0.0,1.0,3.0,1864.634,8.0,4.0,0.0,1.0,3.0,77.574,1.0,5.0,0.0,1.0,4.0,1621.753,10.0,4.125,0.25,1.0,3.125,1002.085,3.0,2.03100960115899,0.4629100498862757,0.0,0.3535533905932738,1292.5666265046898,3.817254061682111,-0.2238027108715141,1.4401645996461911,0.0,2.8284271247461903,1.279472894757941,1.356071800459158,4.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,0
5.0,0.0,1.0,4.0,1621.753,10.0,6.0,1.0,1.0,4.0,531.558,8.0,7.0,1.0,1.0,4.0,865.059,12.0,1.0,0.0,1.0,4.0,3600.0,1.0,2.0,0.0,1.0,4.0,186.316,3.0,3.0,0.0,1.0,4.0,784.663,5.0,4.0,0.0,1.0,4.0,779.411,5.0,5.0,0.0,1.0,4.0,346.135,2.0,4.125,0.25,1.0,4.0,1089.361875,5.75,2.03100960115899,0.4629100498862757,0.0,0.0,1102.2697386235675,3.9188190640986296,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.0745464028456007,0.4771252286154048,5.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,4.0,3600.0,1.0,2.0,0.0,1.0,4.0,186.316,3.0,3.0,0.0,1.0,4.0,784.663,5.0,4.0,0.0,1.0,4.0,779.411,5.0,5.0,0.0,1.0,4.0,346.135,2.0,6.0,1.0,1.0,4.0,497.083,9.0,7.0,1.0,1.0,4.0,1565.404,7.0,1.0,0.0,1.0,4.0,1070.204,9.0,3.625,0.25,1.0,4.0,1103.652,5.125,2.2638462845343543,0.4629100498862757,0.0,0.0,1097.8053768093089,3.044315545875155,0.2262499558606612,1.4401645996461911,0.0,0.0,2.038392053366544,0.0854430505040305,4.0,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,4.0,779.411,5.0,5.0,0.0,1.0,4.0,346.135,2.0,6.0,1.0,1.0,4.0,497.083,9.0,7.0,1.0,1.0,4.0,1565.404,7.0,1.0,0.0,1.0,4.0,1070.204,9.0,2.0,0.0,1.0,4.0,110.543,4.0,3.0,0.0,1.0,4.0,540.591,6.0,4.0,0.0,1.0,4.0,255.879,12.0,4.0,0.25,1.0,4.0,645.65625,6.75,2.0,0.4629100498862757,0.0,0.0,478.8625272941076,3.1959796173138706,0.0,1.4401645996461911,0.0,0.0,1.0636886828753442,0.1969257331808634,0.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,1.0,4.0,1565.404,7.0,1.0,0.0,1.0,4.0,1070.204,9.0,2.0,0.0,1.0,4.0,110.543,4.0,3.0,0.0,1.0,4.0,540.591,6.0,4.0,0.0,1.0,4.0,255.879,12.0,5.0,0.0,1.0,4.0,1550.746,3.0,6.0,1.0,0.0,4.0,249.791,4.0,7.0,1.0,0.0,4.0,9.011,3.0,4.375,0.375,0.75,4.0,669.021125,6.0,2.2638462845343543,0.5175491695067657,0.4629100498862757,0.0,638.3387484434975,3.2071349029490928,-0.2262499558606612,0.6440611887195306,-1.4401645996461911,0.0,0.6314502368325907,1.0047042983004102,-10.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
