week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
6.0,1.0,0.0,1.0,347.882,3.0,7.0,1.0,0.0,1.0,2073.107,4.0,1.0,0.0,0.0,1.0,1234.32,7.0,2.0,0.0,0.0,1.0,1372.19,11.0,3.0,0.0,0.0,1.0,678.45,4.0,4.0,0.0,0.0,1.0,956.718,4.0,5.0,0.0,0.0,1.0,901.819,7.0,6.0,1.0,0.0,1.0,1177.474,12.0,4.25,0.375,0.0,1.0,1092.745,6.5,2.1213203435596424,0.5175491695067657,0.0,0.0,513.7869154111597,3.4226138716316967,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.6651966347532231,0.7981348231288669,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,1.0,1372.19,11.0,3.0,0.0,0.0,1.0,678.45,4.0,4.0,0.0,0.0,1.0,956.718,4.0,5.0,0.0,0.0,1.0,901.819,7.0,6.0,1.0,0.0,1.0,1177.474,12.0,7.0,1.0,0.0,1.0,2090.161,7.0,1.0,0.0,0.0,1.0,1901.25,10.0,2.0,0.0,0.0,1.0,22.902,1.0,3.75,0.25,0.0,1.0,1137.6205,7.0,2.1213203435596424,0.4629100498862757,0.0,0.0,664.2759230302678,3.854496446637726,0.3142696805273544,1.4401645996461911,0.0,0.0,-0.1159614711099554,-0.1796104113448053,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,870.128,5.0,6.0,1.0,0.0,2.0,990.184,4.0,7.0,1.0,0.0,2.0,1442.422,15.0,1.0,0.0,0.0,2.0,1400.587,8.0,2.0,0.0,0.0,2.0,31.607,1.0,3.0,0.0,0.0,2.0,921.323,8.0,4.0,0.0,0.0,2.0,61.24,3.0,5.0,0.0,0.0,2.0,2423.626,5.0,4.125,0.25,0.0,2.0,1017.639625,6.125,2.03100960115899,0.4629100498862757,0.0,0.0,776.6813474360803,4.290770826519903,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.4368497705011543,1.2891676151091227,-10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,334.612,8.0,5.0,0.0,0.0,3.0,1142.612,11.0,6.0,1.0,0.0,3.0,1250.454,10.0,7.0,1.0,0.0,3.0,1008.572,10.0,1.0,0.0,0.0,3.0,7.006,1.0,2.0,0.0,0.0,3.0,530.85,8.0,3.0,0.0,0.0,3.0,434.962,9.0,4.0,0.0,0.0,3.0,610.33,16.0,4.0,0.25,0.0,3.0,664.92475,9.125,2.0,0.4629100498862757,0.0,0.0,431.761529743892,4.155461122770509,0.0,1.4401645996461911,0.0,0.0,0.0349559407861119,-0.5477398580757573,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,530.85,8.0,3.0,0.0,0.0,3.0,434.962,9.0,4.0,0.0,0.0,3.0,610.33,16.0,5.0,0.0,0.0,3.0,1071.447,24.0,6.0,1.0,0.0,3.0,917.001,27.0,7.0,1.0,0.0,3.0,1399.309,7.0,1.0,0.0,0.0,3.0,844.173,14.0,2.0,0.0,0.0,3.0,1315.802,10.0,3.75,0.25,0.0,3.0,890.48425,14.375,2.1213203435596424,0.4629100498862757,0.0,0.0,356.7145556090431,7.539183358579741,0.3142696805273544,1.4401645996461911,0.0,0.0,0.2160987037158301,0.8929784132121443,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,1641.73,12.0,6.0,1.0,0.0,3.0,1268.031,19.0,7.0,1.0,0.0,3.0,1095.346,14.0,1.0,0.0,0.0,3.0,1294.464,8.0,2.0,0.0,0.0,3.0,42.386,3.0,3.0,0.0,0.0,3.0,1977.957,11.0,4.0,0.0,0.0,3.0,461.269,3.0,5.0,0.0,0.0,3.0,553.599,13.0,4.125,0.25,0.0,3.0,1041.84775,10.375,2.03100960115899,0.4629100498862757,0.0,0.0,646.7918028281148,5.50162313711664,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.1734863094625632,-0.1187099386591257,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,507.704,5.0,7.0,1.0,0.0,3.0,1199.026,5.0,1.0,0.0,0.0,3.0,859.749,6.0,2.0,0.0,0.0,3.0,149.62,4.0,3.0,0.0,0.0,3.0,1454.413,5.0,4.0,0.0,0.0,3.0,989.737,5.0,5.0,0.0,0.0,3.0,0.0,0.0,4.125,0.25,0.0,3.0,645.031125,3.75,2.03100960115899,0.4629100498862757,0.0,0.0,563.5799440922132,2.3754698783308417,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.095959136547729,-1.2256069553317273,12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,376.746,3.0,7.0,1.0,0.0,4.0,781.987,3.0,1.0,0.0,0.0,4.0,863.9,6.0,2.0,0.0,0.0,4.0,1115.152,8.0,3.0,0.0,0.0,4.0,1252.358,5.0,4.0,0.0,0.0,4.0,1105.442,4.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,351.299,6.0,4.25,0.375,0.0,4.0,730.8605,4.375,2.1213203435596424,0.5175491695067657,0.0,0.0,444.6323375290774,2.445841952609133,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.5110762806358125,-0.4235027919189189,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,2736.6,1.0,7.0,1.0,0.0,4.0,547.741,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,1076.36,6.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,1190.317,9.0,5.0,0.0,0.0,4.0,551.046,7.0,6.0,1.0,0.0,1.0,491.891,4.0,4.25,0.375,0.0,3.625,824.244375,3.5,2.1213203435596424,0.5175491695067657,0.0,1.0606601717798212,884.3870601733057,3.5050983275386565,-0.3142696805273544,0.6440611887195306,0.0,-2.8284271247461903,1.6138152376187542,0.4777094529690326,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
2.0,0.0,0.0,4.0,1076.36,6.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,1190.317,9.0,5.0,0.0,0.0,4.0,551.046,7.0,6.0,1.0,0.0,1.0,491.891,4.0,7.0,1.0,0.0,1.0,35.49,1.0,1.0,0.0,0.0,1.0,500.797,3.0,2.0,0.0,0.0,1.0,544.87,2.0,3.75,0.25,0.0,2.5,548.846375,4.0,2.1213203435596424,0.4629100498862757,0.0,1.6035674514745464,424.2801644280875,3.116774889895918,0.3142696805273544,1.4401645996461911,0.0,0.0,0.2739160291418438,0.3774640870116165,8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
