week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,-1.0,-1.0,6.0,1.0,0.0,3.0,-1.0,-1.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,713.116,2.0,3.0,0.0,0.0,3.0,569.636,8.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,582.624,6.0,4.125,0.25,0.0,3.0,310.896,2.6666666666666665,2.03100960115899,0.4629100498862757,0.0,0.0,344.2476987379872,3.5023801430836525,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.090497874722597,0.9186299524628676,1.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,1.0,522.476,9.0,5.0,0.0,0.0,1.0,129.365,2.0,6.0,1.0,0.0,1.0,764.576,9.0,7.0,1.0,0.0,1.0,128.102,3.0,1.0,0.0,0.0,1.0,1203.132,16.0,2.0,0.0,0.0,1.0,134.919,4.0,3.0,0.0,0.0,1.0,129.704,1.0,4.0,0.0,0.0,1.0,405.993,5.0,4.0,0.25,0.0,1.0,427.283375,6.125,2.0,0.4629100498862757,0.0,0.0,392.3405199604539,4.969550137731641,0.0,1.4401645996461911,0.0,0.0,1.2668590918390858,1.1859643557674218,-3.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,2681.946,4.0,7.0,1.0,0.0,2.0,1771.248,13.0,1.0,0.0,0.0,2.0,2.07,1.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,1312.817,7.0,4.0,0.0,0.0,2.0,380.085,7.0,5.0,0.0,0.0,2.0,649.074,7.0,6.0,1.0,0.0,2.0,0.05,1.0,4.25,0.375,0.0,2.0,849.6612499999999,5.0,2.1213203435596424,0.5175491695067657,0.0,0.0,988.7953951289488,4.375255094603872,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.0021364998843454,0.6413272114612047,-1.0,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,2365.87,9.0,6.0,1.0,0.0,4.0,193.304,2.0,7.0,1.0,0.0,4.0,643.08,10.0,1.0,0.0,0.0,4.0,1428.242,9.0,2.0,0.0,0.0,4.0,1489.234,8.0,3.0,0.0,0.0,4.0,243.197,4.0,4.0,0.0,0.0,4.0,323.702,4.0,5.0,0.0,0.0,4.0,788.916,12.0,4.125,0.25,0.0,4.0,934.443125,7.25,2.03100960115899,0.4629100498862757,0.0,0.0,765.9538299053647,3.494894235064305,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.9457055023462874,-0.3313103799322271,-6.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,296.022,2.0,7.0,1.0,0.0,4.0,1169.898,10.0,1.0,0.0,0.0,4.0,1429.759,8.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,569.591,6.0,4.0,0.0,0.0,4.0,361.453,3.0,5.0,0.0,0.0,4.0,1187.76,10.0,6.0,1.0,0.0,4.0,138.528,2.0,4.25,0.375,0.0,4.0,644.126375,5.125,2.1213203435596424,0.5175491695067657,0.0,0.0,543.3174368212217,3.9074105418879577,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.3910105920000347,0.162534167446707,12.0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,1.0,360.681,4.0,5.0,0.0,0.0,1.0,361.524,2.0,6.0,1.0,0.0,1.0,670.932,2.0,7.0,1.0,0.0,1.0,0.05,1.0,1.0,0.0,0.0,1.0,0.312,1.0,2.0,0.0,0.0,1.0,1032.584,3.0,3.0,0.0,0.0,1.0,927.448,6.0,4.0,0.0,0.0,1.0,1048.548,6.0,4.0,0.25,0.0,1.0,550.259875,3.125,2.0,0.4629100498862757,0.0,0.0,433.341701627987,2.03100960115899,0.0,1.4401645996461911,0.0,0.0,-0.1289336645165347,0.5946757746014516,-15.0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,0.1,2.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,194.26,2.0,1.0,0.0,0.0,1.0,346.331,1.0,2.0,0.0,0.0,1.0,21.389,1.0,3.0,0.0,0.0,1.0,543.463,2.0,4.0,0.0,0.0,1.0,501.838,3.0,5.0,0.0,0.0,1.0,1008.456,4.0,4.125,0.25,0.0,1.0,326.97962500000006,1.875,2.03100960115899,0.4629100498862757,0.0,0.0,351.9316333181519,1.246423454758225,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.010402009391295,0.3043190044118377,-11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,3.0,543.24,7.0,6.0,1.0,1.0,3.0,714.842,6.0,7.0,1.0,1.0,3.0,335.057,2.0,1.0,0.0,1.0,4.0,0.05,1.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,600.729,6.0,4.0,0.0,1.0,4.0,1609.734,7.0,5.0,0.0,1.0,4.0,213.277,2.0,4.125,0.25,1.0,3.625,502.116125,3.875,2.03100960115899,0.4629100498862757,0.0,0.5175491695067657,520.8527506967882,2.900123150094541,-0.2238027108715141,1.4401645996461911,0.0,-0.6440611887195306,1.4660915104886396,-0.1164018217031197,-7.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,193.359,2.0,1.0,0.0,0.0,1.0,2395.598,9.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,871.962,9.0,4.0,0.0,0.0,1.0,2783.944,5.0,5.0,0.0,0.0,1.0,0.05,1.0,6.0,1.0,0.0,1.0,0.05,1.0,4.25,0.375,0.0,1.0,780.620375,3.375,2.1213203435596424,0.5175491695067657,0.0,0.0,1159.5561990411843,3.814914340921881,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.2397502028593386,0.8712977758669321,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,1813.801,5.0,7.0,1.0,0.0,2.0,281.212,2.0,1.0,0.0,0.0,2.0,625.205,2.0,2.0,0.0,0.0,2.0,0.05,1.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,915.169,7.0,5.0,0.0,0.0,2.0,174.561,6.0,6.0,1.0,0.0,2.0,827.129,4.0,4.25,0.375,0.0,2.0,579.640875,3.375,2.1213203435596424,0.5175491695067657,0.0,0.0,612.2692478718441,2.5035688811888406,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.2036049676609344,0.1604547031750317,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
