week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
1.0,0.0,0.0,3.0,1518.041,3.0,2.0,0.0,0.0,3.0,532.402,12.0,3.0,0.0,0.0,3.0,150.2,5.0,4.0,0.0,0.0,3.0,1402.936,5.0,5.0,0.0,0.0,3.0,356.285,4.0,6.0,1.0,0.0,3.0,268.424,5.0,7.0,1.0,0.0,3.0,88.776,4.0,1.0,0.0,0.0,3.0,213.022,7.0,3.625,0.25,0.0,3.0,566.26075,5.625,2.2638462845343543,0.4629100498862757,0.0,0.0,568.9250424035916,2.8252686345094435,0.2262499558606612,1.4401645996461911,0.0,0.0,1.2280233284035105,1.978786710247234,3.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,268.424,5.0,7.0,1.0,0.0,3.0,88.776,4.0,1.0,0.0,0.0,3.0,213.022,7.0,2.0,0.0,0.0,3.0,210.211,3.0,3.0,0.0,0.0,3.0,175.005,5.0,4.0,0.0,0.0,3.0,793.05,6.0,5.0,0.0,0.0,3.0,412.73,4.0,6.0,1.0,0.0,3.0,370.412,4.0,4.25,0.375,0.0,3.0,316.45375,4.75,2.1213203435596424,0.5175491695067657,0.0,0.0,218.9135533928209,1.2817398889233114,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.675022323178318,0.6105830850825604,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,1.0,3.0,956.793,2.0,4.0,0.0,1.0,4.0,1986.542,6.0,5.0,0.0,1.0,4.0,387.878,5.0,6.0,1.0,1.0,4.0,221.689,2.0,7.0,1.0,1.0,4.0,136.214,1.0,1.0,0.0,1.0,4.0,394.542,1.0,2.0,0.0,1.0,4.0,2176.799,4.0,3.0,0.0,1.0,4.0,705.0,1.0,3.875,0.25,1.0,3.875,870.682125,2.75,2.03100960115899,0.4629100498862757,0.0,0.3535533905932738,793.4009026087698,1.9820624179302295,0.2238027108715141,1.4401645996461911,0.0,-2.8284271247461903,1.038742715367882,0.7522008779450922,10.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,0
3.0,0.0,1.0,4.0,1771.376,2.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,553.845,8.0,6.0,1.0,0.0,4.0,1698.226,4.0,7.0,1.0,0.0,4.0,667.055,3.0,1.0,0.0,0.0,4.0,0.05,1.0,2.0,0.0,0.0,4.0,321.775,7.0,3.0,0.0,0.0,4.0,131.061,5.0,3.875,0.25,0.25,4.0,642.9235,3.75,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,715.8773100718547,2.815771906346718,0.2238027108715141,1.4401645996461911,1.4401645996461911,0.0,0.9931349015784712,0.2879532994072611,1.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
6.0,1.0,0.0,1.0,326.777,5.0,7.0,1.0,0.0,1.0,0.2,4.0,1.0,0.0,0.0,1.0,420.363,4.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,198.787,5.0,4.0,0.0,0.0,1.0,163.471,6.0,5.0,0.0,0.0,1.0,821.487,3.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.0,1.0,241.385625,3.375,2.1213203435596424,0.5175491695067657,0.0,0.0,282.4464728616417,2.2638462845343543,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.3429122374253972,-0.8172702487211639,-8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,198.787,5.0,4.0,0.0,0.0,1.0,163.471,6.0,5.0,0.0,0.0,1.0,821.487,3.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,151.403,3.0,1.0,0.0,0.0,1.0,365.269,7.0,2.0,0.0,0.0,1.0,811.034,3.0,3.75,0.25,0.0,1.0,313.931375,3.375,2.1213203435596424,0.4629100498862757,0.0,0.0,330.96765587114294,2.559994419636775,0.3142696805273544,1.4401645996461911,0.0,0.0,0.959492513553175,-0.0798281712869978,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,244.854,5.0,4.0,0.0,0.0,1.0,143.314,2.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,651.303,2.0,7.0,1.0,0.0,1.0,150.377,4.0,1.0,0.0,0.0,1.0,1045.599,7.0,2.0,0.0,0.0,1.0,1393.0,2.0,3.0,0.0,0.0,1.0,7.067,2.0,3.875,0.25,0.0,1.0,454.43925,3.0,2.03100960115899,0.4629100498862757,0.0,0.0,522.2146766575027,2.2038926600773587,0.2238027108715141,1.4401645996461911,0.0,0.0,1.056859195592134,0.7473407636248484,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,199.84,5.0,4.0,0.0,0.0,1.0,220.413,7.0,5.0,0.0,0.0,1.0,286.734,9.0,6.0,1.0,0.0,1.0,1371.05,2.0,7.0,1.0,0.0,1.0,207.605,1.0,1.0,0.0,0.0,1.0,412.028,4.0,2.0,0.0,0.0,1.0,738.209,2.0,3.0,0.0,0.0,1.0,362.05,3.0,3.875,0.25,0.0,1.0,474.741125,4.125,2.03100960115899,0.4629100498862757,0.0,0.0,402.9141982898512,2.748376143938713,0.2238027108715141,1.4401645996461911,0.0,0.0,1.961996268279469,0.818020108096508,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,830.584,8.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,329.625,3.0,7.0,1.0,1.0,2.0,600.0,1.0,1.0,0.0,1.0,2.0,77.396,5.0,2.0,0.0,1.0,2.0,59.698,2.0,3.0,0.0,1.0,2.0,115.332,1.0,3.875,0.25,0.75,2.0,251.579375,2.5,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,310.53880100833845,2.7774602993176543,0.2238027108715141,1.4401645996461911,-1.4401645996461911,0.0,1.209499148468384,1.2801463107966145,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
4.0,0.0,0.0,3.0,1.277,2.0,5.0,0.0,0.0,3.0,583.462,5.0,6.0,1.0,0.0,3.0,0.1,2.0,7.0,1.0,0.0,3.0,1308.338,6.0,1.0,0.0,0.0,3.0,1057.452,4.0,2.0,0.0,0.0,3.0,1546.207,11.0,3.0,0.0,0.0,3.0,588.012,8.0,4.0,0.0,0.0,3.0,29.02,1.0,4.0,0.25,0.0,3.0,639.2334999999999,4.875,2.0,0.4629100498862757,0.0,0.0,613.9780382224014,3.399054490379851,0.0,1.4401645996461911,0.0,0.0,0.3049388930692874,0.7534598259266455,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
