week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
6.0,1.0,0.0,3.0,3030.563,15.0,7.0,1.0,0.0,3.0,6700.886,36.0,1.0,0.0,0.0,3.0,220.997,7.0,2.0,0.0,0.0,3.0,1337.492,19.0,3.0,0.0,0.0,3.0,1099.916,14.0,4.0,0.0,0.0,3.0,1508.608,13.0,5.0,0.0,0.0,3.0,2799.311,28.0,6.0,1.0,0.0,3.0,2979.432,14.0,4.25,0.375,0.0,3.0,2459.650625,18.25,2.1213203435596424,0.5175491695067657,0.0,0.0,1990.1087784914052,9.34650431215558,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.4657093537327652,1.1112107666709694,-8.0,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,4515.835000000001,20.0,1.0,0.0,0.0,3.0,1990.9039999999995,23.0,2.0,0.0,0.0,3.0,633.51,19.0,3.0,0.0,0.0,3.0,1439.6139999999998,20.0,4.0,0.0,0.0,3.0,163.232,9.0,5.0,0.0,0.0,3.0,611.5360000000001,22.0,6.0,1.0,0.0,3.0,2296.481,14.0,7.0,1.0,0.0,3.0,712.835,10.0,4.375,0.375,0.0,3.0,1545.4933750000002,17.125,2.2638462845343543,0.5175491695067657,0.0,0.0,1409.3802782931573,5.409977554746151,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.4918405529845464,-0.668662601244243,-5.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,1439.6139999999998,20.0,4.0,0.0,0.0,3.0,163.232,9.0,5.0,0.0,0.0,3.0,611.5360000000001,22.0,6.0,1.0,0.0,3.0,2296.481,14.0,7.0,1.0,0.0,3.0,712.835,10.0,1.0,0.0,0.0,3.0,806.7009999999999,15.0,2.0,0.0,0.0,3.0,1543.508,20.0,3.0,0.0,0.0,3.0,1798.864,22.0,3.875,0.25,0.0,3.0,1171.596375,16.5,2.03100960115899,0.4629100498862757,0.0,0.0,711.4430774697977,5.237229365663817,0.2238027108715141,1.4401645996461911,0.0,0.0,0.2088210409329241,-0.3938150987852675,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,1204.66,13.0,5.0,0.0,0.0,3.0,379.947,12.0,6.0,1.0,0.0,3.0,1786.544,10.0,7.0,1.0,0.0,3.0,576.021,7.0,1.0,0.0,0.0,3.0,1148.9149999999995,11.0,2.0,0.0,1.0,3.0,1473.5769999999998,11.0,3.0,0.0,1.0,3.0,736.0250000000001,5.0,4.0,0.0,1.0,3.0,1883.295,23.0,4.0,0.25,0.375,3.0,1148.623,11.5,2.0,0.4629100498862757,0.5175491695067657,0.0,553.4817632249245,5.345224838248488,0.0,1.4401645996461911,0.6440611887195306,0.0,-0.0241991156905149,1.4405380939079673,-12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
5.0,0.0,0.0,3.0,379.947,12.0,6.0,1.0,0.0,3.0,1786.544,10.0,7.0,1.0,0.0,3.0,576.021,7.0,1.0,0.0,0.0,3.0,1148.9149999999995,11.0,2.0,0.0,1.0,3.0,1473.5769999999998,11.0,3.0,0.0,1.0,3.0,736.0250000000001,5.0,4.0,0.0,1.0,3.0,1883.295,23.0,5.0,0.0,1.0,3.0,4545.122000000001,24.0,4.125,0.25,0.5,3.0,1566.18075,12.875,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,1324.6360120268891,6.957780844904091,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.9006306632804548,0.9534769076452198,-11.0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,4.0,1166.6160000000002,32.0,2.0,0.0,1.0,4.0,6030.401,19.0,3.0,0.0,1.0,4.0,327.278,4.0,4.0,0.0,1.0,4.0,2234.562,36.0,5.0,0.0,1.0,4.0,1950.4210000000005,12.0,6.0,1.0,1.0,4.0,1297.4749999999997,11.0,7.0,1.0,1.0,4.0,1309.46,18.0,1.0,0.0,1.0,4.0,5308.321999999999,31.0,3.625,0.25,1.0,4.0,2453.066875,20.375,2.2638462845343543,0.4629100498862757,0.0,0.0,2072.519584183081,11.500776371308902,0.2262499558606612,1.4401645996461911,0.0,0.0,1.158541214553538,0.096036624972684,8.0,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,4.0,5308.321999999999,31.0,2.0,0.0,1.0,4.0,1480.056,13.0,3.0,0.0,1.0,4.0,6137.403,36.0,4.0,0.0,1.0,4.0,1217.195,34.0,5.0,0.0,1.0,4.0,635.89,13.0,6.0,1.0,0.0,4.0,2815.12,23.0,7.0,1.0,0.0,4.0,1146.773,19.0,3.0,0.0,0.0,4.0,0.0,0.0,3.875,0.25,0.625,4.0,2342.594875,21.125,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,2244.372852404522,12.36859502357252,0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,0.9979922784563878,-0.4141966183323994,1.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,2750.4170000000004,48.0,6.0,1.0,0.0,4.0,2137.098,16.0,7.0,1.0,0.0,4.0,3596.936,17.0,1.0,0.0,0.0,4.0,3375.7920000000004,27.0,2.0,0.0,0.0,4.0,1499.731,38.0,3.0,0.0,0.0,4.0,432.581,6.0,4.0,0.0,0.0,4.0,328.293,13.0,4.0,0.25,0.0,4.0,1765.1060000000002,20.625,2.0,0.4629100498862757,0.0,0.0,1418.5104817950012,16.141671890748228,0.0,1.4401645996461911,0.0,0.0,0.0322486155407271,0.6126404536473405,7.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,4.0,3596.936,17.0,1.0,0.0,0.0,4.0,3375.7920000000004,27.0,2.0,0.0,0.0,4.0,1499.731,38.0,3.0,0.0,0.0,4.0,432.581,6.0,4.0,0.0,0.0,4.0,328.293,13.0,5.0,0.0,0.0,4.0,848.323,21.0,6.0,1.0,0.0,4.0,989.547,45.0,7.0,1.0,0.0,4.0,250.513,6.0,4.375,0.375,0.0,4.0,1415.2145,21.625,2.2638462845343543,0.5175491695067657,0.0,0.0,1342.5440240590144,14.282231718367507,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.0901530522786276,0.585016115893234,1.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,432.581,6.0,4.0,0.0,0.0,4.0,328.293,13.0,5.0,0.0,0.0,4.0,848.323,21.0,6.0,1.0,0.0,4.0,989.547,45.0,7.0,1.0,0.0,4.0,250.513,6.0,1.0,0.0,0.0,4.0,3576.4970000000003,22.0,2.0,0.0,0.0,4.0,1164.228,17.0,3.0,0.0,0.0,4.0,1734.294,18.0,3.875,0.25,0.0,4.0,1165.5345,18.5,2.03100960115899,0.4629100498862757,0.0,0.0,1091.7405824791897,12.340409810282408,0.2238027108715141,1.4401645996461911,0.0,0.0,1.8171870577768137,1.478995220584026,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
