week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
4.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,2350.608,36.0,4.0,0.25,0.375,2.0,293.826,4.5,2.0,0.4629100498862757,0.5175491695067657,0.0,831.0654283556742,12.727922061357855,0.0,1.4401645996461911,0.6440611887195306,0.0,2.8284271247461894,2.8284271247461903,7.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,2,1,1,1,1,1,2,1,2,2,0
5.0,0.0,0.0,3.0,1952.727,36.0,6.0,1.0,0.0,3.0,3106.628,55.0,7.0,1.0,0.0,3.0,3337.805,59.0,1.0,0.0,0.0,3.0,1370.9119999999998,21.0,2.0,0.0,0.0,3.0,626.543,25.0,3.0,0.0,0.0,3.0,1844.583,27.0,4.0,0.0,0.0,3.0,3228.197,42.0,5.0,0.0,0.0,3.0,2738.998,46.0,4.125,0.25,0.0,3.0,2275.799125,38.875,2.03100960115899,0.4629100498862757,0.0,0.0,983.3570364119952,14.075688260259248,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.5220813059123117,0.1813475270356765,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,1844.583,27.0,4.0,0.0,0.0,3.0,3228.197,42.0,5.0,0.0,0.0,3.0,2738.998,46.0,6.0,1.0,0.0,3.0,4384.295,67.0,7.0,1.0,0.0,3.0,3778.678,53.0,1.0,0.0,0.0,3.0,1447.809,22.0,2.0,0.0,0.0,3.0,2452.232,33.0,3.0,0.0,0.0,3.0,975.104,22.0,3.875,0.25,0.0,3.0,2606.237,39.0,2.03100960115899,0.4629100498862757,0.0,0.0,1167.840040733319,16.01784718903975,0.2238027108715141,1.4401645996461911,0.0,0.0,0.1358604527721743,0.6162391198366689,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,6237.792,43.0,3.0,0.0,0.0,3.0,1365.063,23.0,4.0,0.0,0.0,3.0,1247.391,10.0,5.0,0.0,0.0,3.0,2888.755,53.0,6.0,1.0,0.0,3.0,1387.545,14.0,7.0,1.0,0.0,3.0,2849.81,38.0,1.0,0.0,0.0,3.0,3300.051,38.0,2.0,0.0,0.0,3.0,4480.561000000001,44.0,3.75,0.25,0.0,3.0,2969.621,32.875,2.1213203435596424,0.4629100498862757,0.0,0.0,1737.7163321628273,15.40350145722904,0.3142696805273544,1.4401645996461911,0.0,0.0,0.9144317621185852,-0.4597874150676477,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,3804.425,66.0,6.0,1.0,0.0,3.0,5079.337,53.0,7.0,1.0,0.0,3.0,1910.477,24.0,1.0,0.0,0.0,3.0,4156.644,39.0,2.0,0.0,0.0,3.0,1024.56,27.0,3.0,0.0,0.0,3.0,4045.653,42.0,4.0,0.0,0.0,3.0,3107.313,45.0,5.0,0.0,0.0,3.0,2105.73,33.0,4.125,0.25,0.0,3.0,3154.2673750000004,41.125,2.03100960115899,0.4629100498862757,0.0,0.0,1368.640022035528,13.829962297231946,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.2683865966450476,0.6292667556510173,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,4156.644,39.0,2.0,0.0,0.0,3.0,1024.56,27.0,3.0,0.0,0.0,3.0,4045.653,42.0,4.0,0.0,0.0,3.0,3107.313,45.0,5.0,0.0,0.0,3.0,2105.73,33.0,6.0,1.0,0.0,3.0,3079.0910000000003,39.0,7.0,1.0,0.0,3.0,6127.003000000001,77.0,1.0,0.0,0.0,3.0,5262.165000000001,49.0,3.625,0.25,0.0,3.0,3613.519875,43.875,2.2638462845343543,0.4629100498862757,0.0,0.0,1649.0410280336907,15.018441045214097,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.0196288291733629,1.6955008521348744,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1
7.0,1.0,0.0,3.0,4461.23,44.0,1.0,0.0,0.0,3.0,4859.945,35.0,2.0,0.0,0.0,3.0,3141.915,36.0,3.0,0.0,0.0,3.0,3652.08,18.0,4.0,0.0,0.0,3.0,1444.093,10.0,5.0,0.0,0.0,3.0,2823.742,23.0,6.0,1.0,0.0,3.0,1733.7110000000002,12.0,7.0,1.0,0.0,3.0,5458.049999999999,23.0,4.375,0.375,0.0,3.0,3446.8457499999995,25.125,2.2638462845343543,0.5175491695067657,0.0,0.0,1441.228584251223,12.147163102081548,-0.2262499558606612,0.6440611887195306,0.0,0.0,-0.0840987386453911,0.3051747234404542,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,3652.08,18.0,4.0,0.0,0.0,3.0,1444.093,10.0,5.0,0.0,0.0,3.0,2823.742,23.0,6.0,1.0,0.0,3.0,1733.7110000000002,12.0,7.0,1.0,0.0,3.0,5458.049999999999,23.0,1.0,0.0,0.0,3.0,4669.53,23.0,2.0,0.0,0.0,3.0,4832.195,37.0,3.0,0.0,0.0,3.0,5354.219000000001,30.0,3.875,0.25,0.0,3.0,3745.9525,22.0,2.03100960115899,0.4629100498862757,0.0,0.0,1592.7368366821574,8.88015443881146,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.4658360493188146,0.2986630391755271,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,1733.7110000000002,12.0,7.0,1.0,0.0,3.0,5458.049999999999,23.0,1.0,0.0,0.0,3.0,4669.53,23.0,2.0,0.0,0.0,3.0,4832.195,37.0,3.0,0.0,0.0,3.0,5354.219000000001,30.0,4.0,0.0,0.0,3.0,6353.106,19.0,5.0,0.0,0.0,3.0,2988.2700000000004,14.0,6.0,1.0,0.0,3.0,6563.4,39.0,4.25,0.375,0.0,3.0,4744.060125,24.625,2.1213203435596424,0.5175491695067657,0.0,0.0,1644.8805825574984,9.98480989160177,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.9378996218641806,0.3104662281107675,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,1.0,3.0,2190.02,31.0,4.0,0.0,1.0,3.0,7202.684000000001,36.0,5.0,0.0,1.0,3.0,3627.007,26.0,6.0,1.0,1.0,3.0,1663.732,12.0,7.0,1.0,1.0,3.0,1895.435,16.0,1.0,0.0,1.0,3.0,7521.260999999999,35.0,2.0,0.0,1.0,3.0,4163.620999999999,27.0,3.0,0.0,1.0,3.0,4633.067999999999,14.0,3.875,0.25,1.0,3.0,4112.103499999999,24.625,2.03100960115899,0.4629100498862757,0.0,0.0,2276.776122567108,9.500939803138271,0.2238027108715141,1.4401645996461911,0.0,0.0,0.5890847223481421,-0.219812707266436,6.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,1.0,3.0,1663.732,12.0,7.0,1.0,1.0,3.0,1895.435,16.0,1.0,0.0,1.0,3.0,7521.260999999999,35.0,2.0,0.0,1.0,3.0,4163.620999999999,27.0,3.0,0.0,1.0,3.0,4633.067999999999,14.0,4.0,0.0,1.0,3.0,5950.700999999999,14.0,5.0,0.0,1.0,4.0,4375.954,31.0,6.0,1.0,1.0,4.0,4237.891,32.0,4.25,0.375,1.0,3.25,4305.207874999999,22.625,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,1926.21468597042,9.530964574180606,-0.3142696805273544,0.6440611887195306,0.0,1.4401645996461911,0.141982555820347,0.1356942026616919,-8.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
3.0,0.0,0.0,4.0,4285.757,53.0,4.0,0.0,0.0,4.0,5707.395,49.0,5.0,0.0,0.0,4.0,5591.457,80.0,6.0,1.0,0.0,4.0,3195.326,58.0,7.0,1.0,0.0,4.0,4770.235000000001,38.0,1.0,0.0,0.0,4.0,3468.8110000000006,46.0,2.0,0.0,0.0,4.0,4105.454,63.0,3.0,0.0,0.0,4.0,5326.959,60.0,3.875,0.25,0.0,4.0,4556.42425,55.875,2.03100960115899,0.4629100498862757,0.0,0.0,952.259812463977,12.687873850931169,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.1806205731911436,0.6956476412967424,12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,3195.326,58.0,7.0,1.0,0.0,4.0,4770.235000000001,38.0,1.0,0.0,0.0,4.0,3468.8110000000006,46.0,2.0,0.0,0.0,4.0,4105.454,63.0,3.0,0.0,0.0,4.0,5326.959,60.0,4.0,0.0,0.0,4.0,1571.047,44.0,5.0,0.0,0.0,4.0,3681.31,25.0,6.0,1.0,0.0,4.0,1740.06,21.0,4.25,0.375,0.0,4.0,3482.40025,44.375,2.1213203435596424,0.5175491695067657,0.0,0.0,1323.431334250235,15.774640589068447,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.2986304006931931,-0.3636936558866112,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,5326.959,60.0,4.0,0.0,0.0,4.0,1571.047,44.0,5.0,0.0,0.0,4.0,3681.31,25.0,6.0,1.0,0.0,4.0,1740.06,21.0,7.0,1.0,0.0,4.0,4205.0830000000005,39.0,1.0,0.0,0.0,4.0,2705.46,43.0,2.0,0.0,0.0,4.0,4279.887,53.0,3.0,0.0,0.0,4.0,2963.243,32.0,3.875,0.25,0.0,4.0,3309.131125,39.625,2.03100960115899,0.4629100498862757,0.0,0.0,1305.0572632399192,13.330282389035448,0.2238027108715141,1.4401645996461911,0.0,0.0,0.0451073575106903,0.0756504125904032,8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,1740.06,21.0,7.0,1.0,0.0,4.0,4205.0830000000005,39.0,1.0,0.0,0.0,4.0,2705.46,43.0,2.0,0.0,0.0,4.0,4279.887,53.0,3.0,0.0,0.0,4.0,2963.243,32.0,4.0,0.0,0.0,4.0,2848.883,30.0,5.0,0.0,0.0,4.0,8974.936,48.0,6.0,1.0,0.0,4.0,1804.442,12.0,4.25,0.375,0.0,4.0,3690.24925,34.75,2.1213203435596424,0.5175491695067657,0.0,0.0,2333.1888885646704,13.791819521523829,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.9776437200185293,-0.3963774899913989,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,4.0,4279.887,53.0,3.0,0.0,0.0,4.0,2963.243,32.0,4.0,0.0,0.0,4.0,2848.883,30.0,5.0,0.0,0.0,4.0,8974.936,48.0,6.0,1.0,0.0,4.0,1804.442,12.0,7.0,1.0,0.0,4.0,774.0909999999999,21.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,1354.102,19.0,3.875,0.25,0.0,4.0,2874.9480000000003,26.875,2.03100960115899,0.4629100498862757,0.0,0.0,2811.457790999944,17.74773627416023,0.2238027108715141,1.4401645996461911,0.0,0.0,1.645466595291106,0.1373093161577232,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,1354.102,19.0,4.0,0.0,0.0,1.0,1322.747,18.0,5.0,0.0,0.0,1.0,1137.323,11.0,6.0,1.0,0.0,1.0,3647.698,26.0,7.0,1.0,0.0,1.0,5554.772999999999,48.0,1.0,0.0,1.0,1.0,2925.8040000000005,43.0,2.0,0.0,1.0,1.0,3757.401,50.0,3.0,0.0,1.0,1.0,1911.091,39.0,3.875,0.25,0.375,1.375,2701.367375,31.75,2.03100960115899,0.4629100498862757,0.5175491695067657,1.0606601717798212,1557.907654207026,15.078366717159485,0.2238027108715141,1.4401645996461911,0.6440611887195306,2.8284271247461903,0.8001303631743573,-0.0901354383208674,-10.0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,2,0,1,1,1,1,2,0,1,1,1,1,2,0,1,1,1,1,2,0,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1
5.0,0.0,0.0,1.0,1137.323,11.0,6.0,1.0,0.0,1.0,3647.698,26.0,7.0,1.0,0.0,1.0,5554.772999999999,48.0,1.0,0.0,1.0,1.0,2925.8040000000005,43.0,2.0,0.0,1.0,1.0,3757.401,50.0,3.0,0.0,1.0,1.0,1911.091,39.0,4.0,0.0,1.0,1.0,1445.373,17.0,5.0,0.0,1.0,1.0,1242.358,32.0,4.125,0.25,0.625,1.0,2702.7276249999995,33.25,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,1557.4719033626195,14.340253036221402,-0.2238027108715141,1.4401645996461911,-0.6440611887195306,0.0,0.7962240465131286,-0.4304165363599606,4.0,-1,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,0,1,1,1,1,2,0,1,1,1,1,2,0,1,1,1,1,2,0,1,1,1,1,2,0,1,1,1,1,2,0,1,1,1,1,2,0,1,1,1,1,2,1,1,1,1,1,0,1,1,1,0
6.0,1.0,0.0,1.0,2844.939,41.0,7.0,1.0,0.0,1.0,2120.853,38.0,1.0,0.0,0.0,1.0,3295.369,47.0,2.0,0.0,0.0,1.0,2440.897,38.0,3.0,0.0,0.0,1.0,1973.565,32.0,4.0,0.0,0.0,1.0,1977.184,33.0,5.0,0.0,0.0,1.0,3940.311,51.0,6.0,1.0,0.0,1.0,2189.728,29.0,4.25,0.375,0.0,1.0,2597.85575,38.625,2.1213203435596424,0.5175491695067657,0.0,0.0,711.48428949842,7.539183358579741,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.1164343543765638,0.5045167599402414,-2.0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,3143.611,61.0,6.0,1.0,0.0,1.0,4453.784,77.0,7.0,1.0,0.0,1.0,3715.952,53.0,1.0,0.0,0.0,1.0,5404.661,71.0,2.0,0.0,0.0,1.0,2369.9,34.0,3.0,0.0,0.0,1.0,5263.618,69.0,4.0,0.0,0.0,1.0,3705.056,53.0,5.0,0.0,0.0,1.0,1471.992,18.0,4.125,0.25,0.0,1.0,3691.07175,54.5,2.03100960115899,0.4629100498862757,0.0,0.0,1360.7433573046703,19.95709684011465,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.3049182641943547,-0.911639973326172,-11.0,1,1,1,1,0,1,1,1,1,1,0,1,2,1,2,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,4134.734,35.0,7.0,1.0,0.0,2.0,437.885,13.0,1.0,0.0,0.0,2.0,4494.97,26.0,2.0,0.0,0.0,2.0,6190.367,25.0,3.0,0.0,0.0,2.0,3226.136,33.0,4.0,0.0,0.0,2.0,3020.49,14.0,5.0,0.0,0.0,2.0,3969.152,60.0,6.0,1.0,0.0,2.0,3582.19,46.0,4.25,0.375,0.0,2.0,3631.9905,31.5,2.1213203435596424,0.5175491695067657,0.0,0.0,1621.2822794957258,15.84748740787817,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.685160598269287,0.675379724045983,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
