week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,1524.717,20.0,3.0,0.0,0.0,3.0,2917.934,33.0,3.875,0.25,0.0,3.0,555.331375,6.625,2.03100960115899,0.4629100498862757,0.0,0.0,1093.615058286042,12.749649855136076,0.2238027108715141,1.4401645996461911,0.0,0.0,1.9035385702611805,1.7458115686502276,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,1524.717,20.0,3.0,0.0,0.0,3.0,2917.934,33.0,4.0,0.0,0.0,3.0,3720.939,35.0,5.0,0.0,0.0,3.0,5458.831,52.0,4.125,0.25,0.0,3.0,1702.802625,17.5,2.03100960115899,0.4629100498862757,0.0,0.0,2114.1370900633897,20.591260281974,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.8717790468594994,0.6266888229158224,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,2917.934,33.0,4.0,0.0,0.0,3.0,3720.939,35.0,5.0,0.0,0.0,3.0,5458.831,52.0,6.0,1.0,0.0,3.0,4229.442,34.0,7.0,1.0,0.0,3.0,3445.677,48.0,1.0,0.0,0.0,3.0,5067.871,41.0,2.0,0.0,0.0,3.0,7453.351000000001,28.0,3.0,0.0,0.0,3.0,5030.168000000001,27.0,3.875,0.25,0.0,3.0,4665.526625,37.25,2.03100960115899,0.4629100498862757,0.0,0.0,1430.318125339648,9.035643703846292,0.2238027108715141,1.4401645996461911,0.0,0.0,0.9244390004332284,0.6489318583767831,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,4229.442,34.0,7.0,1.0,0.0,3.0,3445.677,48.0,1.0,0.0,0.0,3.0,5067.871,41.0,2.0,0.0,0.0,3.0,7453.351000000001,28.0,3.0,0.0,0.0,3.0,5030.168000000001,27.0,4.0,0.0,0.0,3.0,6350.597,22.0,5.0,0.0,0.0,3.0,1951.383,33.0,6.0,1.0,0.0,3.0,2819.4040000000005,16.0,4.25,0.375,0.0,3.0,4543.486625,31.125,2.1213203435596424,0.5175491695067657,0.0,0.0,1822.0893980593453,10.232127274981902,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.2173999303364151,0.2628229222922144,-5.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
2.0,0.0,0.0,3.0,7453.351000000001,28.0,3.0,0.0,0.0,3.0,5030.168000000001,27.0,4.0,0.0,0.0,3.0,6350.597,22.0,5.0,0.0,0.0,3.0,1951.383,33.0,6.0,1.0,0.0,3.0,2819.4040000000005,16.0,7.0,1.0,0.0,3.0,5883.813,25.0,1.0,0.0,0.0,3.0,2001.004,17.0,2.0,0.0,0.0,3.0,5672.772000000001,28.0,3.75,0.25,0.0,3.0,4645.3115,24.5,2.1213203435596424,0.4629100498862757,0.0,0.0,2108.293526475517,5.830951894845301,0.3142696805273544,1.4401645996461911,0.0,0.0,-0.284275412466101,-0.3228208661506048,12.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,2810.5910000000003,26.0,6.0,1.0,0.0,3.0,3259.515,10.0,7.0,1.0,0.0,3.0,4429.094,24.0,1.0,0.0,0.0,3.0,2976.491,28.0,2.0,0.0,0.0,3.0,4866.435,25.0,3.0,0.0,0.0,3.0,2151.04,21.0,4.0,0.0,0.0,3.0,2655.348,14.0,5.0,0.0,0.0,3.0,4437.612,30.0,4.125,0.25,0.0,3.0,3448.26575,22.25,2.03100960115899,0.4629100498862757,0.0,0.0,994.870747664633,6.943650748294136,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.3311020093284197,-0.9485884163002912,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,2976.491,28.0,2.0,0.0,0.0,3.0,4866.435,25.0,3.0,0.0,0.0,3.0,2151.04,21.0,4.0,0.0,0.0,3.0,2655.348,14.0,5.0,0.0,0.0,3.0,4437.612,30.0,6.0,1.0,0.0,3.0,3336.6240000000003,26.0,7.0,1.0,0.0,3.0,2534.121,25.0,1.0,0.0,0.0,3.0,4994.266,30.0,3.625,0.25,0.0,3.0,3493.992125,24.875,2.2638462845343543,0.4629100498862757,0.0,0.0,1117.7534043039109,5.303300858899107,0.2262499558606612,1.4401645996461911,0.0,0.0,0.3769245217844507,-1.3321442800868086,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,3225.208,18.0,6.0,1.0,0.0,4.0,1037.2669999999998,16.0,7.0,1.0,0.0,4.0,997.865,20.0,1.0,0.0,0.0,4.0,1403.881,16.0,2.0,0.0,0.0,4.0,1130.642,22.0,3.0,0.0,0.0,4.0,5335.344999999999,17.0,4.0,0.0,0.0,4.0,4702.196,22.0,5.0,0.0,0.0,4.0,2452.763,18.0,4.125,0.25,0.0,4.0,2535.645875,18.625,2.03100960115899,0.4629100498862757,0.0,0.0,1727.0725447364423,2.445841952609133,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7845417607630749,0.5016128169414285,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,2108.295,42.0,7.0,1.0,0.0,1.0,2417.409,17.0,1.0,0.0,0.0,1.0,3476.735,74.0,2.0,0.0,0.0,1.0,2964.695,40.0,3.0,0.0,0.0,1.0,4138.817,57.0,4.0,0.0,0.0,1.0,4556.882,36.0,5.0,0.0,0.0,1.0,6903.714,55.0,6.0,1.0,0.0,1.0,377.58,13.0,4.25,0.375,0.0,1.0,3368.015875,41.75,2.1213203435596424,0.5175491695067657,0.0,0.0,1931.5590550178028,20.436312219743986,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.4407046576840874,0.0065778947935499,0.0,1,1,2,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,2,1,1,1,0,1,1,1,1,1,0,1,1,1,2,1,0,1,1,1,2,1,0,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
3.0,0.0,0.0,2.0,2042.072,25.0,4.0,0.0,0.0,2.0,2131.887,29.0,5.0,0.0,0.0,2.0,2487.442,31.0,6.0,1.0,0.0,2.0,1303.471,28.0,7.0,1.0,0.0,2.0,3212.381,36.0,1.0,0.0,0.0,2.0,2257.544,42.0,2.0,0.0,0.0,2.0,3797.835,49.0,3.0,0.0,0.0,2.0,1177.708,23.0,3.875,0.25,0.0,2.0,2301.2925,32.875,2.03100960115899,0.4629100498862757,0.0,0.0,883.1979750796858,8.903249807955358,0.2238027108715141,1.4401645996461911,0.0,0.0,0.4645285014192277,0.9044438236694852,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
