week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
1.0,0.0,0.0,3.0,852.308,15.0,2.0,0.0,0.0,3.0,135.382,3.0,3.0,0.0,0.0,3.0,1675.656,12.0,4.0,0.0,0.0,3.0,1203.335,22.0,5.0,0.0,0.0,3.0,1743.581,7.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,1178.694,7.0,1.0,0.0,0.0,3.0,107.397,6.0,3.625,0.25,0.0,3.0,862.0441249999999,9.0,2.2638462845343543,0.4629100498862757,0.0,0.0,706.7595208898219,7.050835816716038,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.085755090073631,0.7890154494330142,-11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,107.397,6.0,2.0,0.0,0.0,3.0,1423.772,27.0,3.0,0.0,0.0,3.0,121.749,1.0,4.0,0.0,0.0,3.0,583.615,14.0,5.0,0.0,0.0,3.0,739.517,17.0,6.0,1.0,0.0,3.0,3156.669,3.0,7.0,1.0,0.0,3.0,180.482,4.0,1.0,0.0,0.0,3.0,1112.087,33.0,3.625,0.25,0.0,3.0,928.1609999999998,13.125,2.2638462845343543,0.4629100498862757,0.0,0.0,1020.012828504342,11.87359014187128,0.2262499558606612,1.4401645996461911,0.0,0.0,1.732439359291954,0.7554245098682466,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,583.615,14.0,5.0,0.0,0.0,3.0,739.517,17.0,6.0,1.0,0.0,3.0,3156.669,3.0,7.0,1.0,0.0,3.0,180.482,4.0,1.0,0.0,0.0,3.0,1112.087,33.0,2.0,0.0,0.0,3.0,1933.382,20.0,3.0,0.0,0.0,3.0,566.006,8.0,4.0,0.0,0.0,3.0,748.949,23.0,4.0,0.25,0.0,3.0,1127.5883749999998,15.25,2.0,0.4629100498862757,0.0,0.0,968.7231133262763,10.222524150130436,0.0,1.4401645996461911,0.0,0.0,1.5875714353509338,0.4502675411472026,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,225.297,19.0,1.0,0.0,0.0,3.0,913.052,38.0,2.0,0.0,0.0,3.0,1001.956,38.0,3.0,0.0,0.0,3.0,368.985,11.0,4.0,0.0,0.0,3.0,559.898,9.0,5.0,0.0,0.0,3.0,1928.914,38.0,6.0,1.0,0.0,3.0,61.016,6.0,7.0,1.0,0.0,3.0,504.979,13.0,4.375,0.375,0.0,3.0,695.512125,21.5,2.2638462845343543,0.5175491695067657,0.0,0.0,591.3076614462069,14.152233544063437,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.392811391941244,0.4040031097944893,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,368.985,11.0,4.0,0.0,0.0,3.0,559.898,9.0,5.0,0.0,0.0,3.0,1928.914,38.0,6.0,1.0,0.0,3.0,61.016,6.0,7.0,1.0,0.0,3.0,504.979,13.0,1.0,0.0,0.0,3.0,1317.324,21.0,2.0,0.0,0.0,3.0,1048.985,16.0,3.0,0.0,0.0,3.0,371.357,12.0,3.875,0.25,0.0,3.0,770.1822500000001,15.75,2.03100960115899,0.4629100498862757,0.0,0.0,616.1219904313361,10.05342869728674,0.2238027108715141,1.4401645996461911,0.0,0.0,1.000603719200758,1.826706575828244,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
1.0,0.0,1.0,3.0,1636.075,12.0,2.0,0.0,1.0,3.0,499.593,11.0,3.0,0.0,1.0,3.0,84.466,6.0,4.0,0.0,1.0,3.0,625.394,3.0,5.0,0.0,1.0,3.0,967.922,14.0,6.0,1.0,1.0,3.0,801.754,40.0,7.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,4.0,277.179,5.0,4.375,0.375,1.0,3.125,611.547875,11.375,2.2638462845343543,0.5175491695067657,0.0,0.3535533905932738,533.0734306119662,12.512136964906173,-0.2262499558606612,0.6440611887195306,0.0,2.8284271247461903,0.8973109948582301,2.0420186560679325,-7.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,0
6.0,1.0,1.0,3.0,801.754,40.0,7.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,4.0,277.179,5.0,1.0,0.0,1.0,4.0,657.583,8.0,2.0,0.0,1.0,4.0,1301.227,41.0,3.0,0.0,1.0,4.0,343.423,7.0,4.0,0.0,1.0,4.0,11.001,2.0,5.0,0.0,0.0,4.0,137.724,3.0,4.375,0.375,0.875,3.75,441.236375,13.25,2.2638462845343543,0.5175491695067657,0.3535533905932738,0.4629100498862757,451.1503949580886,17.018897060116945,-0.2262499558606612,0.6440611887195306,-2.8284271247461903,-1.4401645996461911,1.0250614158126925,1.3421216576043715,2.0,-1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,0,0,1,1,0
7.0,1.0,0.0,4.0,1030.885,8.0,1.0,0.0,0.0,4.0,6.105,1.0,2.0,0.0,0.0,4.0,144.053,3.0,3.0,0.0,0.0,4.0,1066.1,7.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,975.055,14.0,6.0,1.0,0.0,4.0,2391.897,16.0,7.0,1.0,0.0,4.0,1308.784,10.0,4.375,0.375,0.0,4.0,865.359875,7.375,2.2638462845343543,0.5175491695067657,0.0,0.0,811.8866032069886,5.853875395228117,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.7121050726084214,0.1962863707628381,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,1066.1,7.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,975.055,14.0,6.0,1.0,0.0,4.0,2391.897,16.0,7.0,1.0,0.0,4.0,1308.784,10.0,1.0,0.0,0.0,4.0,928.084,11.0,2.0,0.0,0.0,4.0,3.072,1.0,3.0,0.0,0.0,4.0,533.186,11.0,3.875,0.25,0.0,4.0,900.77225,8.75,2.03100960115899,0.4629100498862757,0.0,0.0,772.3710958716209,5.7507763451058125,0.2238027108715141,1.4401645996461911,0.0,0.0,0.7789746344002918,-0.5911494084534223,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,975.055,14.0,6.0,1.0,0.0,4.0,2391.897,16.0,7.0,1.0,0.0,4.0,1308.784,10.0,1.0,0.0,0.0,4.0,928.084,11.0,2.0,0.0,0.0,4.0,3.072,1.0,3.0,0.0,0.0,4.0,533.186,11.0,4.0,0.0,0.0,4.0,4.947,1.0,4.0,0.25,0.0,4.0,768.128125,8.0,2.0,0.4629100498862757,0.0,0.0,828.9678324455983,6.369570517030843,0.0,1.4401645996461911,0.0,0.0,1.034466298059325,-0.3007256066362509,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
