week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
4.0,0.0,0.0,3.0,6901.126,42.0,5.0,0.0,0.0,3.0,4066.619,18.0,6.0,1.0,0.0,3.0,5002.731,25.0,7.0,1.0,0.0,3.0,3502.993,25.0,1.0,0.0,0.0,3.0,9251.049,23.0,2.0,0.0,0.0,3.0,4417.153,19.0,3.0,0.0,0.0,3.0,8892.676,39.0,4.0,0.0,0.0,3.0,2592.539,25.0,4.0,0.25,0.0,3.0,5578.36075,27.0,2.0,0.4629100498862757,0.0,0.0,2490.279142460869,8.799350625391138,0.0,1.4401645996461911,0.0,0.0,0.5857493112295685,1.0550929536252824,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,4594.814,24.0,4.0,0.0,0.0,3.0,5468.5650000000005,14.0,5.0,0.0,0.0,3.0,7142.224999999999,19.0,6.0,1.0,0.0,3.0,3320.144,26.0,7.0,1.0,0.0,3.0,2476.022,16.0,1.0,0.0,1.0,3.0,2587.08,19.0,2.0,0.0,1.0,3.0,6602.7880000000005,28.0,3.0,0.0,1.0,3.0,1779.074,16.0,3.875,0.25,0.375,3.0,4246.339,20.25,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,2013.762480784876,5.1478150704935,0.2238027108715141,1.4401645996461911,0.6440611887195306,0.0,0.3104133111821033,0.4283082670664378,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,1993.586,34.0,3.0,0.0,0.0,4.0,1934.53,16.0,4.0,0.0,0.0,4.0,2115.987,35.0,4.0,0.25,0.0,4.0,755.512875,10.625,2.0,0.4629100498862757,0.0,0.0,1043.879769358992,15.738374394181522,0.0,1.4401645996461911,0.0,0.0,0.6528157482340833,1.0462101956600358,12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,1842.955,5.0,4.0,0.0,0.0,4.0,4324.023999999999,22.0,5.0,0.0,0.0,4.0,1783.8670000000002,15.0,6.0,1.0,0.0,4.0,7575.248,30.0,7.0,1.0,0.0,4.0,5134.373,40.0,1.0,0.0,0.0,4.0,5659.718999999999,27.0,2.0,0.0,0.0,4.0,1745.797,15.0,3.0,0.0,0.0,4.0,2390.562,16.0,3.875,0.25,0.0,4.0,3807.068125,21.25,2.03100960115899,0.4629100498862757,0.0,0.0,2199.574239834638,10.89888591947426,0.2238027108715141,1.4401645996461911,0.0,0.0,0.6243392603096761,0.3719755479495671,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,2390.562,16.0,4.0,0.0,0.0,4.0,2154.274,12.0,5.0,0.0,0.0,4.0,9864.938,24.0,6.0,1.0,0.0,4.0,3132.156,19.0,7.0,1.0,0.0,4.0,2709.941,16.0,1.0,0.0,0.0,4.0,3749.378,23.0,2.0,0.0,0.0,4.0,1953.497,16.0,3.0,0.0,0.0,4.0,5384.679,16.0,3.875,0.25,0.0,4.0,3917.428125,17.75,2.03100960115899,0.4629100498862757,0.0,0.0,2643.743969967777,4.026696625558687,0.2238027108715141,1.4401645996461911,0.0,0.0,2.006737374552688,0.5229415245442126,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
6.0,1.0,0.0,4.0,3965.013,25.0,7.0,1.0,0.0,4.0,2871.101,22.0,1.0,0.0,0.0,4.0,4414.247,20.0,2.0,0.0,0.0,4.0,2240.784,22.0,3.0,0.0,0.0,4.0,4734.382,31.0,4.0,0.0,0.0,4.0,3740.903,23.0,5.0,0.0,0.0,4.0,2856.606,25.0,6.0,1.0,0.0,4.0,4399.949,21.0,4.25,0.375,0.0,4.0,3652.873125,23.625,2.1213203435596424,0.5175491695067657,0.0,0.0,898.5591032653233,3.461523198989552,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.4316066739409209,1.5236695762237231,8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,1867.836,14.0,6.0,1.0,0.0,1.0,4596.475,24.0,7.0,1.0,1.0,1.0,3781.798,35.0,1.0,0.0,1.0,1.0,2901.995,23.0,2.0,0.0,1.0,1.0,2076.706,24.0,3.0,0.0,1.0,1.0,5158.851,24.0,4.0,0.0,1.0,1.0,3922.673,21.0,5.0,0.0,1.0,1.0,1448.6129999999998,21.0,4.125,0.25,0.75,1.0,3219.368375,23.25,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,1354.2313322684925,5.800246300189083,-0.2238027108715141,1.4401645996461911,-1.4401645996461911,0.0,0.0680965868902863,0.7899217963375235,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1
6.0,1.0,0.0,1.0,3943.529000000001,31.0,7.0,1.0,0.0,1.0,4620.064,26.0,1.0,0.0,0.0,1.0,1757.065,19.0,2.0,0.0,0.0,1.0,2301.812,13.0,3.0,0.0,0.0,1.0,4619.037,10.0,4.0,0.0,0.0,1.0,1018.847,16.0,5.0,0.0,0.0,1.0,2978.9260000000004,33.0,6.0,1.0,0.0,1.0,1911.525,20.0,4.25,0.375,0.0,1.0,2893.850625,21.0,2.1213203435596424,0.5175491695067657,0.0,0.0,1372.6167227432989,8.315218406202998,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.163457587491806,0.2902176494481069,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,1.0,2301.812,13.0,3.0,0.0,0.0,1.0,4619.037,10.0,4.0,0.0,0.0,1.0,1018.847,16.0,5.0,0.0,0.0,1.0,2978.9260000000004,33.0,6.0,1.0,0.0,1.0,1911.525,20.0,7.0,1.0,0.0,1.0,5014.753000000001,32.0,1.0,0.0,0.0,1.0,4960.105,20.0,2.0,0.0,0.0,1.0,3236.0820000000003,19.0,3.75,0.25,0.0,1.0,3255.135875,20.375,2.1213203435596424,0.4629100498862757,0.0,0.0,1495.4768897428612,8.262436513696013,0.3142696805273544,1.4401645996461911,0.0,0.0,-0.0885676629570928,0.6682750181392504,11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,2413.632,16.0,4.0,0.0,0.0,1.0,1766.458,14.0,5.0,0.0,0.0,1.0,1661.323,30.0,6.0,1.0,0.0,1.0,1014.002,9.0,7.0,1.0,0.0,1.0,742.974,12.0,1.0,0.0,0.0,1.0,1628.648,18.0,2.0,0.0,0.0,1.0,3159.086,14.0,3.0,0.0,0.0,1.0,3771.085,24.0,3.875,0.25,0.0,1.0,2019.651,17.125,2.03100960115899,0.4629100498862757,0.0,0.0,1035.6279857661243,6.8334785118143575,0.2238027108715141,1.4401645996461911,0.0,0.0,0.6333219338691944,1.0305242048226606,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
