week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
6.0,1.0,0.0,3.0,11113.752,36.0,7.0,1.0,0.0,3.0,10683.483,70.0,1.0,0.0,0.0,3.0,10618.533,67.0,2.0,0.0,0.0,3.0,9855.151,65.0,3.0,0.0,0.0,3.0,13291.671,59.0,4.0,0.0,0.0,3.0,10275.872,65.0,5.0,0.0,0.0,3.0,13423.261,73.0,6.0,1.0,0.0,3.0,11615.871,51.0,4.25,0.375,0.0,3.0,11359.69925,60.75,2.1213203435596424,0.5175491695067657,0.0,0.0,1339.6086169083385,12.08008987667606,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.8402662659735676,-1.4117719353920235,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,9346.56,39.0,6.0,1.0,0.0,3.0,3572.307,37.0,7.0,1.0,0.0,3.0,5352.701,58.0,1.0,0.0,0.0,3.0,5325.27,25.0,2.0,0.0,1.0,3.0,13894.571,33.0,3.0,0.0,1.0,3.0,4628.946,60.0,4.0,0.0,1.0,3.0,12023.839,45.0,5.0,0.0,1.0,3.0,8159.195,59.0,4.125,0.25,0.5,3.0,7787.923624999999,44.5,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,3732.996618658066,13.2664991614216,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.6288691243825227,-0.0237391237208141,1.0,-1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0
6.0,1.0,0.0,2.0,7392.626999999999,21.0,7.0,1.0,0.0,2.0,6971.897999999999,75.0,1.0,0.0,0.0,2.0,10157.567,67.0,2.0,0.0,0.0,2.0,12771.625,47.0,3.0,0.0,0.0,2.0,10734.394,60.0,4.0,0.0,0.0,2.0,9209.028,49.0,5.0,0.0,0.0,2.0,15598.795,134.0,6.0,1.0,0.0,2.0,14482.677,113.0,4.25,0.375,0.0,2.0,10914.826375,70.75,2.1213203435596424,0.5175491695067657,0.0,0.0,3152.89299358215,36.73359692239712,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.268521058874335,0.6933076300005342,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,4329.831,46.0,7.0,1.0,0.0,3.0,7632.072,46.0,1.0,0.0,0.0,3.0,3437.014,40.0,2.0,0.0,0.0,3.0,4505.927,30.0,3.0,0.0,0.0,3.0,2044.268,38.0,4.0,0.0,0.0,3.0,6897.977999999999,64.0,5.0,0.0,0.0,3.0,7619.764999999999,50.0,6.0,1.0,0.0,3.0,6726.42,32.0,4.25,0.375,0.0,3.0,5399.159374999999,43.25,2.1213203435596424,0.5175491695067657,0.0,0.0,2103.456476170315,10.89888591947426,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.3983108575604664,0.7877583615579827,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,1.0,8186.913,35.0,5.0,0.0,0.0,1.0,9413.747,26.0,6.0,1.0,0.0,1.0,10839.612,26.0,7.0,1.0,0.0,1.0,10929.52,25.0,1.0,0.0,0.0,1.0,7118.041,30.0,2.0,0.0,0.0,1.0,8477.85,26.0,3.0,0.0,0.0,1.0,9918.601,24.0,4.0,0.0,0.0,1.0,8267.078,18.0,4.0,0.25,0.0,1.0,9143.92025,26.25,2.0,0.4629100498862757,0.0,0.0,1361.1562962164348,4.862392121462145,0.0,1.4401645996461911,0.0,0.0,0.0674255598146217,0.2448038530315093,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,9517.862,19.0,7.0,1.0,0.0,2.0,8525.854,28.0,1.0,0.0,0.0,2.0,5198.205,48.0,2.0,0.0,0.0,2.0,6849.491,38.0,3.0,0.0,0.0,2.0,11101.580999999998,36.0,4.0,0.0,0.0,2.0,9686.920999999998,37.0,5.0,0.0,0.0,2.0,12630.807,42.0,6.0,1.0,0.0,2.0,11885.99,37.0,4.25,0.375,0.0,2.0,9424.588875,35.625,2.1213203435596424,0.5175491695067657,0.0,0.0,2522.1681395867918,8.765802057671944,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.4830409353477773,-0.8103290239164601,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,2.0,12643.23,31.0,5.0,0.0,0.0,2.0,9438.052,46.0,6.0,1.0,0.0,2.0,10045.66,15.0,7.0,1.0,0.0,2.0,10545.587,21.0,1.0,0.0,0.0,2.0,8111.342000000001,21.0,2.0,0.0,0.0,2.0,11559.606000000002,26.0,3.0,0.0,0.0,2.0,9618.901,38.0,4.0,0.0,0.0,2.0,5981.196,40.0,4.0,0.25,0.0,2.0,9742.94675,29.75,2.0,0.4629100498862757,0.0,0.0,2048.3098037687246,10.846329201294656,0.0,1.4401645996461911,0.0,0.0,-0.5911007852204768,0.1985008406552776,-12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,7672.219,23.0,7.0,1.0,0.0,3.0,13201.968,28.0,1.0,0.0,0.0,3.0,8073.053,41.0,2.0,0.0,0.0,3.0,9725.314,37.0,3.0,0.0,0.0,3.0,10058.437999999998,39.0,4.0,0.0,0.0,3.0,13050.958,32.0,5.0,0.0,0.0,3.0,13093.721,41.0,6.0,1.0,0.0,3.0,14084.068,27.0,4.25,0.375,0.0,3.0,11119.967375,33.5,2.1213203435596424,0.5175491695067657,0.0,0.0,2535.113578744631,6.969320524371696,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.271489583944954,-0.3089169408899703,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,2.0,10088.783,46.0,5.0,0.0,0.0,2.0,7873.802000000001,24.0,6.0,1.0,0.0,2.0,5556.232,33.0,7.0,1.0,0.0,2.0,5420.9710000000005,23.0,1.0,0.0,0.0,2.0,3906.29,38.0,2.0,0.0,0.0,2.0,9706.857,48.0,3.0,0.0,0.0,2.0,9394.63,23.0,4.0,0.0,0.0,2.0,5567.219,28.0,4.0,0.25,0.0,2.0,7189.348,32.875,2.0,0.4629100498862757,0.0,0.0,2368.8550058003007,10.176127526155096,0.0,1.4401645996461911,0.0,0.0,0.0263028582613867,0.563027153005704,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,3974.749,19.0,7.0,1.0,0.0,2.0,13005.303,27.0,1.0,0.0,0.0,2.0,16976.511,39.0,2.0,0.0,0.0,3.0,12223.107,32.0,3.0,0.0,0.0,3.0,15412.98,66.0,4.0,0.0,0.0,3.0,10580.03,42.0,5.0,0.0,0.0,3.0,8683.308,35.0,6.0,1.0,0.0,3.0,3236.1890000000003,29.0,4.25,0.375,0.0,2.625,10511.522125,36.125,2.1213203435596424,0.5175491695067657,0.0,0.5175491695067657,4985.346691975664,14.045207621920625,-0.3142696805273544,0.6440611887195306,0.0,-0.6440611887195306,-0.4028017943899589,1.4213630015532095,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,0,1,1,1
