week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,306.698,4.0,7.0,1.0,0.0,3.0,171.677,2.0,1.0,0.0,0.0,3.0,461.909,4.0,2.0,0.0,0.0,3.0,213.8,4.0,3.0,0.0,0.0,3.0,435.509,5.0,4.0,0.0,0.0,3.0,414.42,5.0,5.0,0.0,0.0,3.0,44.273,3.0,4.125,0.25,0.0,3.0,256.03575,3.375,2.03100960115899,0.4629100498862757,0.0,0.0,177.9023414282197,1.685018016012207,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.2823499603720337,-1.2653131607126196,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,234.354,3.0,5.0,0.0,0.0,4.0,531.187,2.0,6.0,1.0,0.0,4.0,45.527,2.0,7.0,1.0,0.0,4.0,0.05,1.0,1.0,0.0,0.0,4.0,195.461,2.0,2.0,0.0,0.0,4.0,0.2,4.0,3.0,0.0,0.0,4.0,665.335,5.0,4.0,0.0,0.0,4.0,806.685,3.0,4.0,0.25,0.0,4.0,309.849875,2.75,2.0,0.4629100498862757,0.0,0.0,316.84042179550505,1.2817398889233114,0.0,1.4401645996461911,0.0,0.0,0.5904032596438998,0.6105830850825604,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,2.0,879.709,2.0,6.0,1.0,1.0,2.0,84.075,4.0,7.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,349.815,6.0,3.0,0.0,1.0,2.0,48.717,1.0,4.0,0.0,1.0,2.0,270.746,9.0,5.0,0.0,1.0,2.0,639.624,9.0,4.125,0.25,1.0,2.0,284.08575,3.875,2.03100960115899,0.4629100498862757,0.0,0.0,325.6827908273193,3.758324094593227,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.0456348861218805,0.4739584618356383,4.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,16.862,1.0,2.0,0.0,0.0,3.0,307.898,2.0,3.0,0.0,0.0,3.0,112.511,3.0,4.0,0.0,0.0,3.0,3581.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,73.543,3.0,7.0,1.0,0.0,3.0,182.173,3.0,1.0,0.0,0.0,3.0,600.0,1.0,3.625,0.25,0.0,3.0,609.248375,1.75,2.2638462845343543,0.4629100498862757,0.0,0.0,1216.5778787722477,1.164964745021435,0.2262499558606612,1.4401645996461911,0.0,0.0,2.6899725398697263,-0.0903573763451528,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,3581.0,1.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,73.543,3.0,7.0,1.0,0.0,3.0,182.173,3.0,1.0,0.0,0.0,3.0,600.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,231.479,3.0,4.0,0.0,0.0,3.0,552.285,5.0,4.0,0.25,0.0,3.0,652.56,2.0,2.0,0.4629100498862757,0.0,0.0,1205.587076587526,1.772810520855837,0.0,1.4401645996461911,0.0,0.0,2.6288744070581744,0.4102371453220118,13.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,653.893,5.0,6.0,1.0,0.0,3.0,82.842,1.0,7.0,1.0,0.0,3.0,194.524,4.0,1.0,0.0,0.0,3.0,60.663,3.0,2.0,0.0,0.0,3.0,168.141,3.0,3.0,0.0,0.0,3.0,26.338,2.0,4.0,0.0,0.0,3.0,541.84,9.0,4.0,0.25,0.0,3.0,216.030125,3.375,2.0,0.4629100498862757,0.0,0.0,246.4496445300381,2.774243783705493,0.0,1.4401645996461911,0.0,0.0,1.213880637139184,1.141591587181636,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,0.05,1.0,6.0,1.0,0.0,3.0,1646.417,5.0,7.0,1.0,0.0,3.0,1086.753,3.0,1.0,0.0,0.0,3.0,0.05,1.0,2.0,0.0,1.0,3.0,195.763,1.0,3.0,0.0,1.0,3.0,21.152,2.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,3.0,13.0,1.0,4.125,0.25,0.5,3.0,370.398125,1.75,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,636.183084288396,1.5811388300841898,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.6269432130948156,1.409472328532192,9.0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,358.168,6.0,1.0,0.0,1.0,1.0,687.954,6.0,2.0,0.0,1.0,1.0,292.673,5.0,3.0,0.0,1.0,1.0,219.646,2.0,4.0,0.0,1.0,1.0,80.615,10.0,5.0,0.0,1.0,1.0,669.858,7.0,6.0,1.0,1.0,1.0,224.01,5.0,4.25,0.375,0.75,1.0,316.6155,5.125,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,250.3976472824204,3.044315545875155,-0.3142696805273544,0.6440611887195306,-1.4401645996461911,0.0,0.5914694712367935,-0.2791139649798331,0.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,0,0,1,1,1,1
5.0,0.0,0.0,2.0,40.135,2.0,6.0,1.0,0.0,2.0,800.803,14.0,7.0,1.0,0.0,2.0,695.253,7.0,1.0,0.0,0.0,2.0,829.604,9.0,2.0,0.0,0.0,2.0,833.043,11.0,3.0,0.0,0.0,2.0,916.883,10.0,4.0,0.0,0.0,2.0,188.527,1.0,5.0,0.0,0.0,2.0,646.104,15.0,4.125,0.25,0.0,2.0,618.794,8.625,2.03100960115899,0.4629100498862757,0.0,0.0,324.894612023653,5.097268175909804,-0.2238027108715141,1.4401645996461911,0.0,0.0,-1.228730374669401,-0.4429297970691737,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,1438.073,8.0,7.0,1.0,0.0,1.0,479.991,4.0,1.0,0.0,0.0,1.0,348.684,2.0,2.0,0.0,0.0,1.0,280.682,4.0,3.0,0.0,0.0,1.0,1810.654,8.0,4.0,0.0,0.0,1.0,6.438,1.0,5.0,0.0,0.0,1.0,1162.35,5.0,6.0,1.0,0.0,1.0,6.153,2.0,4.25,0.375,0.0,1.0,691.6281250000001,4.25,2.1213203435596424,0.5175491695067657,0.0,0.0,686.7747875323649,2.659215781283755,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.6812204681479233,0.4938039712209401,-6.0,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
