week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
3.0,0.0,0.0,3.0,1709.9499999999998,23.0,4.0,0.0,0.0,3.0,7098.433,31.0,5.0,0.0,0.0,3.0,2477.497,30.0,6.0,1.0,0.0,3.0,6308.826999999999,41.0,7.0,1.0,0.0,3.0,4078.301,19.0,1.0,0.0,0.0,3.0,886.524,25.0,2.0,0.0,0.0,3.0,2810.739,28.0,3.0,0.0,0.0,3.0,6062.073,18.0,3.875,0.25,0.0,3.0,3929.043,26.875,2.03100960115899,0.4629100498862757,0.0,0.0,2324.385787525753,7.434235478033847,0.2238027108715141,1.4401645996461911,0.0,0.0,0.1740251986032926,0.7733074821494619,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,4550.099,34.0,3.0,0.0,0.0,3.0,3165.032,27.0,4.0,0.0,0.0,3.0,3700.358,35.0,5.0,0.0,0.0,3.0,4580.632,32.0,6.0,1.0,0.0,3.0,2086.983,22.0,7.0,1.0,0.0,3.0,3416.528,21.0,1.0,0.0,1.0,3.0,1899.5,31.0,2.0,0.0,1.0,3.0,3475.326,40.0,3.75,0.25,0.25,3.0,3359.30725,30.25,2.1213203435596424,0.4629100498862757,0.4629100498862757,0.0,987.8011940337489,6.541078984824621,0.3142696805273544,1.4401645996461911,1.4401645996461911,0.0,-0.3213651580071773,-0.2006071141078484,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
6.0,1.0,1.0,4.0,2601.173,24.0,7.0,1.0,1.0,4.0,3851.542,20.0,1.0,0.0,1.0,4.0,2587.19,29.0,2.0,0.0,1.0,4.0,4073.223,46.0,3.0,0.0,1.0,4.0,2488.811,35.0,4.0,0.0,1.0,4.0,2023.991,30.0,5.0,0.0,1.0,4.0,4181.080999999999,30.0,6.0,1.0,1.0,4.0,2956.0260000000003,28.0,4.25,0.375,1.0,4.0,3095.379625,30.25,2.1213203435596424,0.5175491695067657,0.0,0.0,823.2706617631785,7.7597864477243,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.3206989586405193,1.0924100018097962,-6.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,3324.12,31.0,7.0,1.0,0.0,4.0,3292.329,36.0,1.0,0.0,0.0,4.0,5178.786,19.0,2.0,0.0,0.0,4.0,8837.846,31.0,3.0,0.0,0.0,4.0,7597.523999999999,34.0,4.0,0.0,0.0,4.0,5289.016,18.0,5.0,0.0,0.0,4.0,930.704,40.0,6.0,1.0,0.0,4.0,3375.924,20.0,4.25,0.375,0.0,4.0,4728.281125,28.625,2.1213203435596424,0.5175491695067657,0.0,0.0,2561.3206739639745,8.484229066753375,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.3437397890185426,-0.2113747179108479,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,3692.771,25.0,5.0,0.0,0.0,4.0,8811.703,27.0,6.0,1.0,0.0,4.0,2771.6540000000005,30.0,7.0,1.0,0.0,4.0,5253.732,22.0,1.0,0.0,0.0,4.0,3565.174,22.0,2.0,0.0,0.0,4.0,3903.399,29.0,3.0,0.0,0.0,4.0,8028.72,22.0,4.0,0.0,0.0,4.0,7264.945,24.0,4.0,0.25,0.0,4.0,5411.51225,25.125,2.0,0.4629100498862757,0.0,0.0,2313.8549986021007,3.226563851175781,0.0,1.4401645996461911,0.0,0.0,0.4674597200727456,0.4970531063010685,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,3408.725,21.0,4.0,0.0,0.0,4.0,9525.947,26.0,5.0,0.0,0.0,4.0,1979.404,22.0,6.0,1.0,0.0,4.0,3950.081,15.0,7.0,1.0,0.0,4.0,5902.236999999999,31.0,1.0,0.0,0.0,4.0,3607.691,41.0,2.0,0.0,0.0,4.0,2130.937,34.0,3.0,0.0,0.0,4.0,6224.029,26.0,3.875,0.25,0.0,4.0,4591.131375,27.0,2.03100960115899,0.4629100498862757,0.0,0.0,2518.151802430728,8.176621726430962,0.2238027108715141,1.4401645996461911,0.0,0.0,1.088012446786278,0.3763073772847912,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,1.0,1.0,4246.210999999999,49.0,1.0,0.0,1.0,1.0,908.181,17.0,2.0,0.0,1.0,1.0,6377.639,20.0,3.0,0.0,1.0,1.0,3110.432,16.0,4.0,0.0,1.0,1.0,4372.946,17.0,5.0,0.0,1.0,1.0,3504.709,22.0,6.0,1.0,1.0,1.0,1555.1220000000003,16.0,7.0,1.0,0.0,1.0,2663.553,32.0,4.375,0.375,0.875,1.0,3342.349125,23.625,2.2638462845343543,0.5175491695067657,0.3535533905932738,0.0,1721.807461917807,11.55035559131035,-0.2262499558606612,0.6440611887195306,-2.8284271247461903,0.0,0.3486956300158465,1.9043440220104324,0.0,-1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,0,1,1,2,0
7.0,1.0,0.0,1.0,2663.553,32.0,1.0,0.0,0.0,1.0,5429.831,45.0,2.0,0.0,0.0,1.0,2507.213,28.0,3.0,0.0,0.0,1.0,3079.642,19.0,4.0,0.0,0.0,1.0,7549.759,21.0,5.0,0.0,0.0,1.0,7652.366,38.0,6.0,1.0,0.0,1.0,3462.7790000000005,12.0,7.0,1.0,0.0,1.0,5369.351000000001,17.0,4.375,0.375,0.0,1.0,4714.31175,26.5,2.2638462845343543,0.5175491695067657,0.0,0.0,2101.9835482052085,11.301074538037774,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.4737868401951577,0.4655968729993492,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,5841.098,24.0,6.0,1.0,0.0,1.0,4431.238,15.0,7.0,1.0,0.0,1.0,5076.393,13.0,1.0,0.0,0.0,1.0,5752.271,25.0,2.0,0.0,0.0,1.0,3885.768,11.0,3.0,0.0,0.0,1.0,6791.657,18.0,4.0,0.0,0.0,1.0,5204.781,19.0,5.0,0.0,0.0,1.0,3463.575,24.0,4.125,0.25,0.0,1.0,5055.847625,18.625,2.03100960115899,0.4629100498862757,0.0,0.0,1097.5177670186922,5.370222128951997,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0248929226245253,-0.1223349665055015,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,7727.205,22.0,7.0,1.0,0.0,1.0,6853.175000000001,18.0,1.0,0.0,0.0,1.0,2725.765,17.0,2.0,0.0,0.0,1.0,6330.224,26.0,3.0,0.0,0.0,1.0,6984.389999999999,32.0,4.0,0.0,0.0,1.0,2318.884,21.0,5.0,0.0,0.0,1.0,3803.985,32.0,6.0,1.0,0.0,1.0,1331.77,20.0,4.25,0.375,0.0,1.0,4759.42475,23.5,2.1213203435596424,0.5175491695067657,0.0,0.0,2488.9206984276625,5.903993805649092,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.171497023064431,0.6858374959666272,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
