week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,1156.238,14.0,4.0,0.0,0.0,3.0,3553.6450000000004,32.0,5.0,0.0,0.0,3.0,2520.5660000000003,46.0,6.0,1.0,0.0,3.0,8643.036,30.0,4.25,0.375,0.0,3.0,1984.185625,15.25,2.1213203435596424,0.5175491695067657,0.0,0.0,3012.466066214757,18.42164875512349,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.863523382116168,0.694574149165393,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,1963.733,49.0,6.0,1.0,0.0,4.0,4087.927,35.0,7.0,1.0,0.0,4.0,6225.031999999999,49.0,1.0,0.0,0.0,4.0,1220.309,23.0,2.0,0.0,0.0,4.0,1031.879,15.0,3.0,0.0,0.0,4.0,760.0830000000001,9.0,4.0,0.0,0.0,4.0,937.446,11.0,5.0,0.0,0.0,4.0,2786.798,32.0,4.125,0.25,0.0,4.0,2376.6508750000003,27.875,2.03100960115899,0.4629100498862757,0.0,0.0,1923.811892692915,15.99497689008289,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.3595526696241398,0.256314327587115,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,4.0,2002.844,12.0,2.0,0.0,0.0,4.0,1117.012,13.0,3.0,0.0,0.0,1.0,2379.772,41.0,4.0,0.0,0.0,1.0,4819.031999999999,7.0,5.0,0.0,0.0,1.0,3395.35,29.0,6.0,1.0,0.0,1.0,1493.4640000000002,9.0,7.0,1.0,1.0,1.0,4883.141,47.0,1.0,0.0,1.0,1.0,2709.028,26.0,3.625,0.25,0.25,1.75,2849.955375,23.0,2.2638462845343543,0.4629100498862757,0.4629100498862757,1.3887301496588271,1419.7713116664684,15.203383082158298,0.2262499558606612,1.4401645996461911,1.4401645996461911,1.4401645996461911,0.5182611454107244,0.5814853071557257,7.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,1,1,2,2,1,1,0
1.0,0.0,0.0,1.0,3910.525,20.0,2.0,0.0,0.0,1.0,1362.073,22.0,3.0,0.0,0.0,1.0,2879.439,19.0,4.0,0.0,0.0,1.0,1010.011,15.0,5.0,0.0,0.0,1.0,2672.826,11.0,6.0,1.0,0.0,1.0,5805.633,20.0,7.0,1.0,0.0,1.0,3303.6330000000007,23.0,1.0,0.0,0.0,1.0,3936.306,20.0,3.625,0.25,0.0,1.0,3110.0557499999995,18.75,2.2638462845343543,0.4629100498862757,0.0,0.0,1527.6983127858673,3.9188190640986296,0.2262499558606612,1.4401645996461911,0.0,0.0,0.3190608575695741,-1.2699601856181173,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1
4.0,0.0,0.0,1.0,2113.265,21.0,5.0,0.0,0.0,1.0,420.288,20.0,6.0,1.0,0.0,1.0,792.496,27.0,7.0,1.0,0.0,1.0,2666.985,20.0,1.0,0.0,0.0,1.0,745.335,12.0,2.0,0.0,0.0,1.0,740.2280000000001,19.0,3.0,0.0,0.0,1.0,1072.706,18.0,4.0,0.0,0.0,1.0,4669.032,23.0,4.0,0.25,0.0,1.0,1652.541875,20.0,2.0,0.4629100498862757,0.0,0.0,1443.7180377686968,4.27617987059879,0.0,1.4401645996461911,0.0,0.0,1.5432958901730072,-0.3653962291771427,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,4949.166,69.0,7.0,1.0,0.0,3.0,3903.84,52.0,1.0,0.0,0.0,3.0,2541.452,37.0,2.0,0.0,0.0,3.0,3149.691,98.0,3.0,0.0,0.0,3.0,3766.299,70.0,4.0,0.0,0.0,3.0,6118.192,88.0,5.0,0.0,0.0,3.0,3409.698,66.0,6.0,1.0,0.0,3.0,2706.021,37.0,4.25,0.375,0.0,3.0,3818.044875,64.625,2.1213203435596424,0.5175491695067657,0.0,0.0,1198.801828895411,22.02555334151676,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.0829149736109491,0.107203222333921,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,2815.4800000000005,67.0,7.0,1.0,0.0,4.0,3046.5640000000003,67.0,1.0,0.0,0.0,4.0,4976.903,100.0,2.0,0.0,0.0,4.0,2528.389,42.0,3.0,0.0,0.0,4.0,1564.306,28.0,4.0,0.0,0.0,4.0,753.107,8.0,5.0,0.0,0.0,4.0,4900.907999999999,110.0,6.0,1.0,0.0,4.0,3470.504,66.0,4.25,0.375,0.0,4.0,3007.020125,61.0,2.1213203435596424,0.5175491695067657,0.0,0.0,1469.2541664566158,34.38853629585633,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.0019866550670245,-0.0662665978997655,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,7403.453,145.0,6.0,1.0,0.0,4.0,4397.062,43.0,7.0,1.0,0.0,4.0,4015.466,77.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,2643.153,73.0,3.0,0.0,0.0,4.0,3924.667,82.0,4.0,0.0,0.0,4.0,4048.576,60.0,5.0,0.0,0.0,4.0,3334.653,92.0,4.125,0.25,0.0,4.0,3720.87875,71.5,2.03100960115899,0.4629100498862757,0.0,0.0,2049.7343198947065,41.441869786829976,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.0554201813927276,0.0449926996535234,0.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,4.0,7720.382,94.0,6.0,1.0,0.0,4.0,6106.022000000001,62.0,7.0,1.0,0.0,4.0,6970.424,74.0,1.0,0.0,0.0,4.0,4684.984,61.0,2.0,0.0,0.0,4.0,8238.75,70.0,3.0,0.0,0.0,4.0,7720.975,102.0,4.0,0.0,0.0,1.0,3547.64,35.0,5.0,0.0,0.0,1.0,7968.617,115.0,4.125,0.25,0.0,3.25,6619.724249999999,76.625,2.03100960115899,0.4629100498862757,0.0,1.3887301496588271,1708.4980253155318,25.80109355379009,-0.2238027108715141,1.4401645996461911,0.0,-1.4401645996461911,-1.029748782800386,-0.0141530967998077,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
3.0,0.0,0.0,1.0,5395.369000000001,61.0,4.0,0.0,0.0,1.0,2857.694,55.0,5.0,0.0,0.0,1.0,4962.1,75.0,6.0,1.0,0.0,1.0,5043.447,59.0,7.0,1.0,0.0,1.0,4414.133,41.0,1.0,0.0,0.0,1.0,7453.946,53.0,2.0,0.0,0.0,1.0,4301.389999999999,43.0,3.0,0.0,0.0,1.0,8929.905,112.0,3.875,0.25,0.0,1.0,5419.748,62.375,2.03100960115899,0.4629100498862757,0.0,0.0,1913.7438618471688,22.708950406644263,0.2238027108715141,1.4401645996461911,0.0,0.0,0.8773658770505456,1.7226970245616342,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
