week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
4.0,0.0,0.0,3.0,-1.0,-1.0,5.0,0.0,0.0,3.0,-1.0,-1.0,6.0,1.0,0.0,3.0,-1.0,-1.0,7.0,1.0,0.0,3.0,-1.0,-1.0,1.0,0.0,0.0,3.0,-1.0,-1.0,2.0,0.0,0.0,3.0,-1.0,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,77.302,1.0,4.0,0.25,0.0,3.0,38.651,0.5,2.0,0.4629100498862757,0.0,0.0,54.6607683992825,0.7071067811865476,0.0,1.4401645996461911,0.0,0.0,-1.0,-1.0,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,-1.0,-1.0,1.0,0.0,0.0,3.0,-1.0,-1.0,2.0,0.0,0.0,3.0,-1.0,-1.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,77.302,1.0,5.0,0.0,0.0,3.0,81.024,4.0,6.0,1.0,0.0,3.0,374.036,3.0,7.0,1.0,0.0,3.0,572.331,7.0,4.375,0.375,0.0,3.0,220.9386,3.0,2.2638462845343543,0.5175491695067657,0.0,0.0,242.86666392652572,2.7386127875258306,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.8868308752138373,0.6085806194501846,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,77.302,1.0,5.0,0.0,0.0,3.0,81.024,4.0,6.0,1.0,0.0,3.0,374.036,3.0,7.0,1.0,0.0,3.0,572.331,7.0,1.0,0.0,0.0,3.0,245.06,9.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,180.859,6.0,3.875,0.25,0.0,3.0,191.3265,3.75,2.03100960115899,0.4629100498862757,0.0,0.0,199.9728321904896,3.370036032024414,0.2238027108715141,1.4401645996461911,0.0,0.0,1.0654294711753611,0.3172614119780905,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,305.277,5.0,4.0,0.0,0.0,3.0,237.379,4.0,5.0,0.0,0.0,3.0,171.551,6.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,980.281,9.0,1.0,0.0,0.0,3.0,20.588,2.0,2.0,0.0,0.0,3.0,664.826,6.0,3.0,0.0,0.0,3.0,182.358,6.0,3.875,0.25,0.0,3.0,320.2825,4.75,2.03100960115899,0.4629100498862757,0.0,0.0,336.99264482562734,2.7645717829090897,0.2238027108715141,1.4401645996461911,0.0,0.0,1.304683219190769,-0.4124280378381278,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,63.548,3.0,2.0,0.0,0.0,3.0,1078.698,7.0,3.0,0.0,0.0,3.0,301.307,10.0,4.0,0.0,0.0,3.0,198.177,3.0,5.0,0.0,0.0,3.0,232.966,5.0,6.0,1.0,0.0,3.0,1301.159,16.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,588.842,6.0,3.625,0.25,0.0,3.0,470.587125,6.25,2.2638462845343543,0.4629100498862757,0.0,0.0,481.0839871375112,4.949747468305833,0.2262499558606612,1.4401645996461911,0.0,0.0,1.0082419303844032,1.044904148125727,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,630.808,5.0,1.0,0.0,0.0,3.0,38.937,1.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,21.646,1.0,4.0,0.0,0.0,3.0,600.0,1.0,5.0,0.0,0.0,3.0,2539.162,2.0,6.0,1.0,0.0,3.0,213.869,3.0,7.0,1.0,0.0,3.0,1011.07,15.0,4.375,0.375,0.0,3.0,631.9364999999999,3.5,2.2638462845343543,0.5175491695067657,0.0,0.0,851.9305478228341,4.898979485566356,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.9194138063652808,2.3182670779912216,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,4.0,1178.596,9.0,6.0,1.0,1.0,4.0,888.21,21.0,7.0,1.0,1.0,4.0,473.08,11.0,1.0,0.0,1.0,4.0,223.306,8.0,2.0,0.0,1.0,4.0,2718.997,1.0,3.0,0.0,1.0,4.0,677.73,6.0,4.0,0.0,1.0,4.0,831.494,15.0,5.0,0.0,1.0,4.0,164.056,10.0,4.125,0.25,1.0,4.0,894.433625,10.125,2.03100960115899,0.4629100498862757,0.0,0.0,812.5922362756185,5.962681563572839,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.888517408946519,0.5046455442894414,-7.0,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,4.0,407.472,18.0,2.0,0.0,0.0,4.0,240.469,6.0,3.0,0.0,0.0,4.0,170.849,9.0,4.0,0.0,0.0,4.0,67.633,2.0,5.0,0.0,0.0,4.0,273.881,10.0,6.0,1.0,0.0,4.0,283.662,6.0,7.0,1.0,0.0,4.0,479.377,9.0,1.0,0.0,0.0,4.0,356.812,7.0,3.625,0.25,0.0,4.0,285.019375,8.375,2.2638462845343543,0.4629100498862757,0.0,0.0,131.10849656997553,4.627171304989074,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.194643717228565,1.1688942419487969,4.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,67.633,2.0,5.0,0.0,0.0,4.0,273.881,10.0,6.0,1.0,0.0,4.0,283.662,6.0,7.0,1.0,0.0,4.0,479.377,9.0,1.0,0.0,0.0,4.0,356.812,7.0,2.0,0.0,0.0,4.0,176.153,6.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,448.177,7.0,4.0,0.25,0.0,4.0,260.711875,5.875,2.0,0.4629100498862757,0.0,0.0,171.25307720983963,3.3567628964311944,0.0,1.4401645996461911,0.0,0.0,-0.287391960556443,-0.7926850559799846,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,283.662,6.0,7.0,1.0,0.0,4.0,479.377,9.0,1.0,0.0,0.0,4.0,356.812,7.0,2.0,0.0,0.0,4.0,176.153,6.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,448.177,7.0,5.0,0.0,0.0,4.0,465.251,15.0,6.0,1.0,0.0,4.0,1209.301,24.0,4.25,0.375,0.0,4.0,427.341625,9.25,2.1213203435596424,0.5175491695067657,0.0,0.0,356.04458597121044,7.245688373094719,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.6084425966064009,1.2599564362414142,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
