week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
2.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,1.0,3.0,745.533,7.0,4.0,0.0,1.0,3.0,405.909,5.0,5.0,0.0,1.0,3.0,259.805,4.0,6.0,1.0,1.0,3.0,0.0,0.0,7.0,1.0,1.0,3.0,235.706,7.0,1.0,0.0,1.0,3.0,939.949,10.0,2.0,0.0,1.0,3.0,385.21,4.0,3.75,0.25,1.0,3.0,371.514,4.625,2.1213203435596424,0.4629100498862757,0.0,0.0,331.9524871260085,3.461523198989552,0.3142696805273544,1.4401645996461911,0.0,0.0,0.674778658151987,-0.074482858628625,4.0,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1
6.0,1.0,1.0,4.0,1381.216,7.0,7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,94.576,1.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,532.444,2.0,4.25,0.375,0.75,4.0,251.0295,1.25,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,492.2357728635449,2.434865792722759,-0.3142696805273544,0.6440611887195306,-1.4401645996461911,0.0,2.208692439450432,2.3850303918265605,-4.0,-1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,0,1,2,2,1,1,1,1,0,0,1,1,2,0
2.0,0.0,1.0,4.0,94.576,1.0,3.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,532.444,2.0,7.0,1.0,0.0,4.0,65.275,1.0,1.0,0.0,0.0,4.0,158.065,2.0,2.0,0.0,0.0,4.0,1259.912,6.0,3.75,0.25,0.375,4.0,263.784,1.5,2.1213203435596424,0.4629100498862757,0.5175491695067657,0.0,439.5466595186454,2.0,0.3142696805273544,1.4401645996461911,0.6440611887195306,0.0,2.1059531449243334,1.9285714285714288,7.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,2,1,1,1,1,1,2,1,1,1,1
1.0,0.0,0.0,4.0,910.765,4.0,2.0,0.0,0.0,4.0,29.589,3.0,3.0,0.0,0.0,4.0,183.273,3.0,4.0,0.0,0.0,4.0,116.845,3.0,5.0,0.0,0.0,4.0,1806.102,3.0,6.0,1.0,0.0,4.0,395.301,3.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,189.475,5.0,3.625,0.25,0.0,4.0,453.9187500000001,3.0,2.2638462845343543,0.4629100498862757,0.0,0.0,619.1515367844128,1.4142135623730951,0.2262499558606612,1.4401645996461911,0.0,0.0,1.8625692308868236,-1.2121830534626528,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,116.845,3.0,5.0,0.0,0.0,4.0,1806.102,3.0,6.0,1.0,0.0,4.0,395.301,3.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,189.475,5.0,2.0,0.0,0.0,4.0,1172.934,5.0,3.0,0.0,0.0,4.0,21.469,4.0,4.0,0.0,0.0,4.0,0.05,1.0,4.0,0.25,0.0,4.0,462.772,3.0,2.0,0.4629100498862757,0.0,0.0,668.7720668295204,1.772810520855837,0.0,1.4401645996461911,0.0,0.0,1.5512587908426838,-0.6153557179830177,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,395.301,3.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,189.475,5.0,2.0,0.0,0.0,4.0,1172.934,5.0,3.0,0.0,0.0,4.0,21.469,4.0,4.0,0.0,0.0,4.0,0.05,1.0,5.0,0.0,0.0,4.0,582.87,5.0,6.0,1.0,0.0,4.0,158.959,3.0,4.25,0.375,0.0,4.0,315.13225,3.25,2.1213203435596424,0.5175491695067657,0.0,0.0,403.3675151067041,1.9086270308410556,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.6171593713900407,-0.8013151548167753,-6.0,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
7.0,1.0,0.0,4.0,0.1,2.0,1.0,0.0,0.0,4.0,2009.733,2.0,2.0,0.0,0.0,4.0,788.662,6.0,3.0,0.0,0.0,4.0,699.72,4.0,4.0,0.0,0.0,4.0,95.105,1.0,5.0,0.0,0.0,4.0,6.814,3.0,6.0,1.0,0.0,4.0,0.05,1.0,7.0,1.0,0.0,4.0,1411.113,2.0,4.375,0.375,0.0,4.0,626.4121250000001,2.625,2.2638462845343543,0.5175491695067657,0.0,0.0,757.0446920235173,1.685018016012207,-0.2262499558606612,0.6440611887195306,0.0,0.0,0.990266336041414,1.2653131607126196,-1.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
2.0,0.0,0.0,4.0,788.662,6.0,3.0,0.0,0.0,4.0,699.72,4.0,4.0,0.0,0.0,4.0,95.105,1.0,5.0,0.0,0.0,4.0,6.814,3.0,6.0,1.0,0.0,4.0,0.05,1.0,7.0,1.0,0.0,4.0,1411.113,2.0,1.0,0.0,0.0,4.0,451.857,6.0,2.0,0.0,0.0,4.0,1497.88,4.0,3.75,0.25,0.0,4.0,618.900125,3.375,2.1213203435596424,0.4629100498862757,0.0,0.0,597.0699225124158,1.995530720671285,0.3142696805273544,1.4401645996461911,0.0,0.0,0.5074210605968096,0.1730324049857141,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,162.106,3.0,5.0,0.0,0.0,4.0,109.088,3.0,6.0,1.0,0.0,4.0,360.786,4.0,7.0,1.0,0.0,4.0,30.411,3.0,1.0,0.0,0.0,4.0,135.942,8.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,1001.902,4.0,4.0,0.0,0.0,4.0,17.246,3.0,4.0,0.25,0.0,4.0,227.18512500000003,3.5,2.0,0.4629100498862757,0.0,0.0,333.5845437946675,2.2038926600773587,0.0,1.4401645996461911,0.0,0.0,2.2376288701927978,0.8541037298569696,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,1.0,237.612,7.0,2.0,0.0,0.0,1.0,22.98,1.0,3.0,0.0,0.0,1.0,67.706,2.0,4.0,0.0,0.0,1.0,93.619,3.0,5.0,0.0,0.0,1.0,354.04,5.0,6.0,1.0,0.0,1.0,867.306,6.0,7.0,1.0,0.0,1.0,0.2,4.0,1.0,0.0,0.0,1.0,184.033,3.0,3.625,0.25,0.0,1.0,228.437,3.875,2.2638462845343543,0.4629100498862757,0.0,0.0,283.9267166803032,2.03100960115899,0.2262499558606612,1.4401645996461911,0.0,0.0,1.9596914445757987,0.2238027108715141,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
