week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
7.0,1.0,0.0,3.0,-1.0,-1.0,1.0,0.0,0.0,3.0,-1.0,-1.0,2.0,0.0,0.0,3.0,-1.0,-1.0,3.0,0.0,0.0,3.0,-1.0,-1.0,4.0,0.0,0.0,3.0,-1.0,-1.0,7.0,1.0,0.0,3.0,-1.0,-1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,1194.724,20.0,3.375,0.25,0.0,3.0,597.362,10.0,2.445841952609133,0.4629100498862757,0.0,0.0,844.7974420463167,14.142135623730953,0.8262576084412339,1.4401645996461911,0.0,0.0,-1.0,-1.0,-4.0,-1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,0
4.0,0.0,0.0,3.0,2786.633,18.0,5.0,0.0,0.0,3.0,1190.376,8.0,6.0,1.0,0.0,3.0,2500.779,6.0,7.0,1.0,0.0,3.0,1379.394,8.0,1.0,0.0,0.0,3.0,1282.41,2.0,2.0,0.0,0.0,3.0,1779.415,17.0,3.0,0.0,0.0,3.0,1956.977,7.0,4.0,0.0,0.0,3.0,1927.294,3.0,4.0,0.25,0.0,3.0,1850.40975,8.625,2.0,0.4629100498862757,0.0,0.0,573.4514875821792,5.902481318419036,0.0,1.4401645996461911,0.0,0.0,0.526977814429868,0.8519642770271741,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,1099.228,19.0,5.0,0.0,0.0,4.0,922.034,18.0,6.0,1.0,0.0,4.0,874.344,11.0,7.0,1.0,0.0,4.0,1387.415,17.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,1357.378,16.0,3.0,0.0,0.0,4.0,223.199,10.0,3.875,0.25,0.0,4.0,732.94975,11.375,2.03100960115899,0.4629100498862757,0.0,0.0,578.4729708447306,7.707834604200734,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.3320367221954824,-0.8049846977185311,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,157.527,2.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,300.53,2.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,1893.778,10.0,7.0,1.0,0.0,1.0,1763.79,17.0,1.0,0.0,1.0,1.0,1347.432,41.0,3.625,0.25,0.125,2.125,682.882125,9.0,2.2638462845343543,0.4629100498862757,0.3535533905932738,1.5526475085202969,836.4407873740868,14.292855358035156,0.2262499558606612,1.4401645996461911,2.8284271247461903,0.6440611887195306,0.708144187454304,1.9836797366390737,0.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,2,1,2,2,1,2,1,1,2,2,1,2,0
6.0,1.0,0.0,1.0,2056.935,14.0,7.0,1.0,0.0,1.0,564.194,17.0,1.0,0.0,0.0,1.0,1018.365,13.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,1062.301,12.0,5.0,0.0,0.0,1.0,807.442,14.0,6.0,1.0,0.0,1.0,867.692,18.0,4.25,0.375,0.0,1.0,797.116125,11.0,2.1213203435596424,0.5175491695067657,0.0,0.0,658.6291182703309,7.071067811865476,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.669175880084878,-1.0990459684728051,-11.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
6.0,1.0,0.0,1.0,582.314,15.0,7.0,1.0,0.0,1.0,641.949,2.0,1.0,0.0,0.0,1.0,2137.468,9.0,2.0,0.0,0.0,1.0,2327.845,16.0,3.0,0.0,0.0,1.0,212.989,4.0,4.0,0.0,0.0,1.0,802.204,22.0,5.0,0.0,0.0,1.0,1921.836,32.0,6.0,1.0,0.0,1.0,281.228,16.0,4.25,0.375,0.0,1.0,1113.4791249999998,14.5,2.1213203435596424,0.5175491695067657,0.0,0.0,868.6255303949102,9.739463170891035,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.523492024407689,0.5177049890972073,5.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,1,1
2.0,0.0,0.0,1.0,2327.845,16.0,3.0,0.0,0.0,1.0,212.989,4.0,4.0,0.0,0.0,1.0,802.204,22.0,5.0,0.0,0.0,1.0,1921.836,32.0,6.0,1.0,0.0,1.0,281.228,16.0,7.0,1.0,0.0,1.0,1363.717,14.0,1.0,0.0,0.0,1.0,1847.117,20.0,2.0,0.0,0.0,1.0,1351.939,26.0,3.75,0.25,0.0,1.0,1263.609375,18.75,2.1213203435596424,0.4629100498862757,0.0,0.0,775.1438411618354,8.413424646700907,0.3142696805273544,1.4401645996461911,0.0,0.0,-0.210652497562467,-0.1964569663786848,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,176.843,6.0,4.0,0.0,0.0,1.0,1151.509,17.0,5.0,0.0,0.0,1.0,1733.438,18.0,6.0,1.0,0.0,1.0,1141.744,18.0,7.0,1.0,0.0,1.0,2129.408,19.0,1.0,0.0,0.0,1.0,465.625,5.0,2.0,0.0,0.0,1.0,389.232,10.0,3.0,0.0,0.0,1.0,0.0,0.0,3.875,0.25,0.0,1.0,898.4748749999999,11.625,2.03100960115899,0.4629100498862757,0.0,0.0,766.2769825566503,7.347254103210454,0.2238027108715141,1.4401645996461911,0.0,0.0,0.4925736039263259,-0.4655853761751767,-13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,584.928,7.0,6.0,1.0,0.0,2.0,1864.654,11.0,7.0,1.0,0.0,2.0,1500.038,16.0,1.0,0.0,0.0,2.0,987.393,21.0,2.0,0.0,0.0,2.0,561.716,20.0,3.0,0.0,0.0,2.0,821.57,16.0,4.0,0.0,0.0,2.0,1349.193,19.0,5.0,0.0,0.0,2.0,1188.411,27.0,4.125,0.25,0.0,2.0,1107.237875,17.125,2.03100960115899,0.4629100498862757,0.0,0.0,456.6137995916829,6.174544517614234,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.3600385155511559,-0.1772784340635247,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,2.0,987.393,21.0,2.0,0.0,0.0,2.0,561.716,20.0,3.0,0.0,0.0,2.0,821.57,16.0,4.0,0.0,0.0,2.0,1349.193,19.0,5.0,0.0,0.0,2.0,1188.411,27.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,535.576,9.0,1.0,0.0,0.0,2.0,1926.882,18.0,3.625,0.25,0.0,2.0,921.342625,16.25,2.2638462845343543,0.4629100498862757,0.0,0.0,586.3723286615614,8.276472678623424,0.2262499558606612,1.4401645996461911,0.0,0.0,0.2147937056181973,-1.0898135781660128,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1
