week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1621.693,27.0,2.0,0.0,0.0,3.0,2127.453,32.0,3.0,0.0,0.0,3.0,4557.155,44.0,3.875,0.25,0.0,2.75,1038.287625,12.875,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,1660.433532444286,18.37263104262891,0.2238027108715141,1.4401645996461911,0.0,-1.4401645996461911,1.642105673476411,0.8997493213957795,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,1621.693,27.0,2.0,0.0,0.0,3.0,2127.453,32.0,3.0,0.0,0.0,3.0,4557.155,44.0,4.0,0.0,0.0,3.0,3948.223,45.0,5.0,0.0,0.0,3.0,2398.514,35.0,6.0,1.0,0.0,3.0,3248.003,35.0,4.25,0.375,0.0,3.0,2237.630125,27.25,2.1213203435596424,0.5175491695067657,0.0,0.0,1680.0746280600104,17.822537898482842,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.165565672966084,-0.9804329026010064,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,5423.371,34.0,7.0,1.0,0.0,3.0,7027.206,74.0,1.0,0.0,0.0,3.0,5269.427,32.0,2.0,0.0,0.0,3.0,2261.053,38.0,3.0,0.0,0.0,3.0,1332.753,17.0,4.0,0.0,0.0,3.0,2054.69,24.0,5.0,0.0,0.0,3.0,4260.415,36.0,6.0,1.0,0.0,3.0,2117.594,33.0,4.25,0.375,0.0,3.0,3718.313625,36.0,2.1213203435596424,0.5175491695067657,0.0,0.0,2059.82908141497,16.826849293401814,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.4293520309315393,1.8467914336379667,2.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,2155.144,27.0,7.0,1.0,0.0,4.0,2681.491,20.0,1.0,0.0,0.0,4.0,6536.771999999999,50.0,2.0,0.0,0.0,4.0,3650.305,19.0,3.0,0.0,0.0,4.0,3008.702,16.0,4.0,0.0,0.0,4.0,7199.899,52.0,5.0,0.0,0.0,4.0,1883.458,21.0,6.0,1.0,0.0,4.0,11713.135,23.0,4.25,0.375,0.0,4.0,4853.61325,28.5,2.1213203435596424,0.5175491695067657,0.0,0.0,3403.0331150148872,14.252819269985048,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.3355534227131522,1.243369374974216,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,1532.3850000000002,8.0,7.0,1.0,0.0,2.0,5951.516,29.0,1.0,0.0,0.0,2.0,2126.479,22.0,2.0,0.0,0.0,2.0,2875.581,24.0,3.0,0.0,0.0,2.0,3421.303,24.0,4.0,0.0,0.0,2.0,3231.669,9.0,5.0,0.0,0.0,2.0,7123.419,35.0,6.0,1.0,0.0,2.0,2485.561,30.0,4.25,0.375,0.0,2.0,3593.489125,22.625,2.1213203435596424,0.5175491695067657,0.0,0.0,1939.2348733157944,9.650129532809393,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.1335499520595855,-0.6564673753443259,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,4357.913,30.0,6.0,1.0,0.0,3.0,2502.608,31.0,7.0,1.0,0.0,3.0,4185.108,16.0,1.0,0.0,0.0,3.0,4233.870000000001,25.0,2.0,0.0,0.0,3.0,2211.686,30.0,3.0,0.0,0.0,3.0,4940.521,38.0,4.0,0.0,0.0,3.0,2885.2210000000005,28.0,5.0,0.0,0.0,3.0,2006.721,21.0,4.125,0.25,0.0,3.0,3415.456,27.375,2.03100960115899,0.4629100498862757,0.0,0.0,1135.4200775187005,6.7175144212722016,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.0080066799685738,-0.2895407351785459,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,3584.7,30.0,4.0,0.0,0.0,4.0,4652.019,34.0,5.0,0.0,0.0,4.0,2872.301,46.0,6.0,1.0,0.0,4.0,2691.6850000000004,31.0,7.0,1.0,0.0,4.0,8314.314999999999,38.0,1.0,0.0,0.0,4.0,2673.179,49.0,2.0,0.0,0.0,4.0,5220.928,40.0,3.0,0.0,0.0,4.0,5158.534,49.0,3.875,0.25,0.0,4.0,4395.957625,39.625,2.03100960115899,0.4629100498862757,0.0,0.0,1909.8754861967857,7.726346392146069,0.2238027108715141,1.4401645996461911,0.0,0.0,1.286368978109817,0.0790965999408756,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,2691.6850000000004,31.0,7.0,1.0,0.0,4.0,8314.314999999999,38.0,1.0,0.0,0.0,4.0,2673.179,49.0,2.0,0.0,0.0,4.0,5220.928,40.0,3.0,0.0,0.0,4.0,5158.534,49.0,4.0,0.0,0.0,4.0,7061.696,48.0,5.0,0.0,0.0,4.0,2950.432,41.0,6.0,1.0,0.0,4.0,8893.172,52.0,4.25,0.375,0.0,4.0,5370.492625,43.5,2.1213203435596424,0.5175491695067657,0.0,0.0,2515.978354381675,7.151423434733616,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.2514950635772495,-0.5937013931023195,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,2.0,3503.051,31.0,5.0,0.0,0.0,2.0,5712.066000000001,31.0,6.0,1.0,0.0,2.0,6913.186,21.0,7.0,1.0,0.0,2.0,3330.065,34.0,1.0,0.0,0.0,2.0,3613.474,30.0,2.0,0.0,0.0,2.0,2897.311,21.0,3.0,0.0,0.0,2.0,2456.518,13.0,4.0,0.0,0.0,2.0,3540.5470000000005,28.0,4.0,0.25,0.0,2.0,3995.77725,26.125,2.0,0.4629100498862757,0.0,0.0,1515.2656693873614,7.100050301632678,0.0,1.4401645996461911,0.0,0.0,1.3330856540296367,-0.9288324828938236,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,4810.88,23.0,4.0,0.0,0.0,3.0,2286.2930000000006,17.0,5.0,0.0,0.0,3.0,4629.655,26.0,6.0,1.0,0.0,3.0,2748.231,26.0,7.0,1.0,0.0,3.0,4692.667,26.0,1.0,0.0,0.0,3.0,4654.571,32.0,2.0,0.0,0.0,3.0,3763.45,24.0,3.0,0.0,0.0,3.0,6892.177000000001,48.0,3.875,0.25,0.0,3.0,4309.7405,27.75,2.03100960115899,0.4629100498862757,0.0,0.0,1420.215786153237,9.176834188013082,0.2238027108715141,1.4401645996461911,0.0,0.0,0.3472813022198668,1.7159777657530333,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
