week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
2.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,4.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2110.953,22.0,3.75,0.25,0.625,2.0,263.869125,2.75,2.1213203435596424,0.4629100498862757,0.5175491695067657,0.0,746.3345905330431,7.7781745930520225,0.3142696805273544,1.4401645996461911,-0.6440611887195306,0.0,2.82842712474619,2.8284271247461903,-9.0,-1,1,1,2,1,1,0,1,1,2,1,1,1,1,1,2,1,0,0,1,1,2,1,1,1,1,1,2,1,1,0,1,2,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,0,0,1,1,2,1,1,1,1,1,0,1,2,2,0
3.0,0.0,0.0,2.0,6395.359,25.0,4.0,0.0,0.0,2.0,11678.116,53.0,5.0,0.0,0.0,3.0,9432.849,29.0,6.0,1.0,0.0,3.0,9864.869,46.0,7.0,1.0,0.0,3.0,4570.420999999999,30.0,1.0,0.0,0.0,3.0,5717.773000000001,45.0,2.0,0.0,0.0,3.0,10627.824,49.0,3.0,0.0,0.0,3.0,6232.254,66.0,3.875,0.25,0.0,2.75,8064.933125,42.875,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,2634.968942586905,13.973827576682671,0.2238027108715141,1.4401645996461911,0.0,-1.4401645996461911,0.0622785619558971,0.220419904458289,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
6.0,1.0,0.0,3.0,6635.995000000001,51.0,7.0,1.0,0.0,3.0,11245.259,50.0,1.0,0.0,0.0,3.0,4670.086,38.0,2.0,0.0,0.0,3.0,7579.065,69.0,3.0,0.0,0.0,3.0,3995.366,49.0,4.0,0.0,0.0,3.0,5973.691,55.0,5.0,0.0,0.0,3.0,5507.182000000001,47.0,6.0,1.0,0.0,3.0,5760.900000000001,37.0,4.25,0.375,0.0,3.0,6420.943,49.5,2.1213203435596424,0.5175491695067657,0.0,0.0,2238.656902612304,10.05698051817031,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.580054036303412,0.7668170772376817,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,5760.900000000001,37.0,7.0,1.0,0.0,3.0,9105.598,56.0,1.0,0.0,0.0,3.0,7780.399000000001,73.0,2.0,0.0,0.0,3.0,5283.902,57.0,3.0,0.0,0.0,3.0,3452.8990000000003,75.0,4.0,0.0,0.0,3.0,4715.733,36.0,5.0,0.0,0.0,3.0,3595.595,34.0,6.0,1.0,0.0,3.0,866.838,17.0,4.25,0.375,0.0,3.0,5070.233,48.125,2.1213203435596424,0.5175491695067657,0.0,0.0,2583.916519324217,20.42713531415644,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.0464639724774836,-0.0031362550672079,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,3200.2989999999995,49.0,5.0,0.0,0.0,3.0,2334.679,63.0,6.0,1.0,0.0,3.0,4069.712,42.0,7.0,1.0,0.0,3.0,4851.969999999999,35.0,1.0,0.0,0.0,3.0,4835.039,52.0,2.0,0.0,0.0,3.0,3639.506,34.0,3.0,0.0,0.0,3.0,3253.154,29.0,4.0,0.0,0.0,3.0,5132.261,43.0,4.0,0.25,0.0,3.0,3914.5775,43.375,2.0,0.4629100498862757,0.0,0.0,982.1399604675204,11.070391656512042,0.0,1.4401645996461911,0.0,0.0,-0.2423420945649949,0.560663171125228,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,3639.506,34.0,3.0,0.0,0.0,3.0,3253.154,29.0,4.0,0.0,0.0,3.0,5132.261,43.0,5.0,0.0,0.0,3.0,4700.24,36.0,6.0,1.0,0.0,3.0,4705.129000000001,45.0,7.0,1.0,0.0,3.0,5661.918,40.0,1.0,0.0,0.0,3.0,6832.494,33.0,2.0,0.0,0.0,3.0,6957.253,28.0,3.75,0.25,0.0,3.0,5110.244375,36.0,2.1213203435596424,0.4629100498862757,0.0,0.0,1343.0504317267505,6.233549779791836,0.3142696805273544,1.4401645996461911,0.0,0.0,0.1459198198059926,0.1934503445934534,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,4700.24,36.0,6.0,1.0,0.0,3.0,4705.129000000001,45.0,7.0,1.0,0.0,3.0,5661.918,40.0,1.0,0.0,0.0,3.0,6832.494,33.0,2.0,0.0,0.0,3.0,6957.253,28.0,3.0,0.0,0.0,3.0,2658.228,23.0,4.0,0.0,0.0,3.0,4674.146000000001,31.0,5.0,0.0,0.0,3.0,3631.762,27.0,4.125,0.25,0.0,3.0,4977.646250000001,32.875,2.03100960115899,0.4629100498862757,0.0,0.0,1476.5775390525548,7.239524451627626,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.0310956806277385,0.4450770943858998,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,8879.287,47.0,3.0,0.0,0.0,3.0,8948.24,35.0,4.0,0.0,0.0,3.0,12480.92,62.0,5.0,0.0,0.0,3.0,4246.584,38.0,6.0,1.0,0.0,3.0,1293.356,12.0,7.0,1.0,0.0,3.0,3610.652,27.0,1.0,0.0,0.0,3.0,3067.153,21.0,2.0,0.0,0.0,3.0,3252.5880000000006,33.0,3.75,0.25,0.0,3.0,5722.3475,34.375,2.1213203435596424,0.4629100498862757,0.0,0.0,3881.344078434097,15.45442608815629,0.3142696805273544,1.4401645996461911,0.0,0.0,0.7833136586204646,0.4718510331144757,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,4246.584,38.0,6.0,1.0,0.0,3.0,1293.356,12.0,7.0,1.0,0.0,3.0,3610.652,27.0,1.0,0.0,0.0,3.0,3067.153,21.0,2.0,0.0,0.0,3.0,3252.5880000000006,33.0,3.0,0.0,0.0,3.0,5772.537,52.0,4.0,0.0,0.0,3.0,4259.628,44.0,5.0,0.0,0.0,3.0,4921.551,51.0,4.125,0.25,0.0,3.0,3803.006125,34.75,2.03100960115899,0.4629100498862757,0.0,0.0,1347.762334183319,14.280356138016003,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.5568497219020384,-0.3005610677937405,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,3.0,3959.698,39.0,5.0,0.0,1.0,4.0,4684.966,54.0,6.0,1.0,1.0,4.0,4402.159,49.0,7.0,1.0,1.0,4.0,5526.776,38.0,1.0,0.0,1.0,4.0,9136.932,26.0,2.0,0.0,1.0,4.0,7289.729,63.0,3.0,0.0,1.0,4.0,5853.963,73.0,4.0,0.0,1.0,4.0,3392.168,39.0,4.0,0.25,1.0,3.875,5530.798875,47.625,2.0,0.4629100498862757,0.0,0.3535533905932738,1898.640255320516,15.26843148460247,0.0,1.4401645996461911,0.0,-2.8284271247461903,1.0204701350730323,0.4252810246215439,4.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
