week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.05,1.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,231.657,3.0,5.0,0.0,0.0,4.0,166.849,1.0,6.0,1.0,0.0,4.0,0.1,2.0,7.0,1.0,0.0,4.0,1319.399,2.0,4.375,0.375,0.0,4.0,214.75687499999995,1.125,2.2638462845343543,0.5175491695067657,0.0,0.0,455.6554408248274,1.1259916264596033,-0.2262499558606612,0.6440611887195306,0.0,0.0,2.6140316446646805,0.487832912554607,0.0,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,33.833,2.0,3.0,0.0,0.0,4.0,1944.925,3.0,4.0,0.0,0.0,4.0,205.382,6.0,5.0,0.0,0.0,4.0,839.24,3.0,6.0,1.0,0.0,4.0,277.576,4.0,7.0,1.0,0.0,4.0,160.382,2.0,1.0,0.0,0.0,4.0,0.2,4.0,3.625,0.25,0.0,4.0,432.69225,3.0,2.2638462845343543,0.4629100498862757,0.0,0.0,669.2611776170475,1.772810520855837,0.2262499558606612,1.4401645996461911,0.0,0.0,2.0742373965308274,0.0,6.0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,210.101,2.0,6.0,1.0,0.0,4.0,0.05,1.0,7.0,1.0,0.0,4.0,211.878,1.0,1.0,0.0,0.0,4.0,1493.618,8.0,2.0,0.0,0.0,4.0,193.114,2.0,3.0,0.0,0.0,4.0,95.908,1.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.25,0.0,4.0,275.583625,1.875,2.0,0.4629100498862757,0.0,0.0,501.2627107079359,2.5877458475338284,0.0,1.4401645996461911,0.0,0.0,2.6275204752734584,2.358809697566409,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
6.0,1.0,0.0,1.0,1409.981,1.0,7.0,1.0,0.0,1.0,0.05,1.0,1.0,0.0,0.0,1.0,0.05,1.0,2.0,0.0,0.0,1.0,209.925,2.0,3.0,0.0,0.0,1.0,365.186,5.0,4.0,0.0,0.0,1.0,0.05,1.0,5.0,0.0,0.0,1.0,150.0,1.0,6.0,1.0,0.0,1.0,590.439,7.0,4.25,0.375,0.0,1.0,340.71012499999995,2.375,2.1213203435596424,0.5175491695067657,0.0,0.0,479.2742797460813,2.326094212561969,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.921102463054622,1.5734814122466043,15.0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1
5.0,0.0,0.0,1.0,303.879,1.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.05,1.0,1.0,0.0,0.0,1.0,26.228,2.0,2.0,0.0,0.0,1.0,68.812,1.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,616.863,4.0,5.0,0.0,0.0,2.0,0.0,0.0,4.125,0.25,0.0,1.25,126.979,1.125,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,223.3818248489728,1.3562026818605375,-0.2238027108715141,1.4401645996461911,0.0,1.4401645996461911,1.9428425779910172,1.5391347242530748,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
4.0,0.0,1.0,4.0,348.588,6.0,5.0,0.0,1.0,4.0,319.158,4.0,6.0,1.0,1.0,4.0,123.699,2.0,7.0,1.0,1.0,4.0,122.536,2.0,1.0,0.0,1.0,4.0,59.577,1.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,530.683,3.0,4.0,0.0,1.0,4.0,0.0,0.0,4.0,0.25,1.0,4.0,188.030125,2.25,2.0,0.4629100498862757,0.0,0.0,191.2452347727071,2.052872551885702,0.0,1.4401645996461911,0.0,0.0,0.834980153687311,0.7430679159367953,0.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,973.956,3.0,6.0,1.0,0.0,4.0,292.308,3.0,7.0,1.0,0.0,4.0,16.093,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,22.756,1.0,4.0,0.0,0.0,4.0,591.682,8.0,4.0,0.25,0.0,4.0,237.099375,2.0,2.0,0.4629100498862757,0.0,0.0,365.50742753951465,2.7255405754769875,0.0,1.4401645996461911,0.0,0.0,1.498692336975507,1.8062754109669976,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,138.113,2.0,6.0,1.0,0.0,4.0,41.683,1.0,7.0,1.0,0.0,4.0,18.549,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,85.482,2.0,3.875,0.25,0.0,4.0,35.478375,0.75,2.03100960115899,0.4629100498862757,0.0,0.0,51.26150078884737,0.8864052604279183,0.2238027108715141,1.4401645996461911,0.0,0.0,1.446473374532737,0.6153557179830177,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
4.0,0.0,1.0,1.0,247.328,4.0,5.0,0.0,1.0,1.0,280.755,4.0,6.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,144.784,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,102.203,1.0,3.0,0.0,0.0,1.0,636.109,8.0,4.0,0.0,0.0,1.0,1088.947,3.0,4.0,0.25,0.5,1.0,312.51575,2.75,2.0,0.4629100498862757,0.5345224838248488,0.0,374.2638195138176,2.659215781283755,0.0,1.4401645996461911,0.0,0.0,1.549905212313934,1.0255928633050293,10.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
7.0,1.0,1.0,1.0,144.784,2.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,102.203,1.0,3.0,0.0,0.0,1.0,636.109,8.0,4.0,0.0,0.0,1.0,1088.947,3.0,5.0,0.0,0.0,1.0,19.063,1.0,6.0,1.0,0.0,1.0,1256.68,3.0,7.0,1.0,0.0,1.0,56.654,1.0,4.375,0.375,0.125,1.0,413.055,2.375,2.2638462845343543,0.5175491695067657,0.3535533905932738,0.0,512.6611691444666,2.5035688811888406,-0.2262499558606612,0.6440611887195306,2.8284271247461903,0.0,0.98113008651195,1.9083867888264412,-13.0,-1,1,2,2,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,0,2,1,1,1,0
