week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,1101.532,8.0,6.0,1.0,0.0,3.0,1131.95,6.0,7.0,1.0,0.0,3.0,340.767,2.0,1.0,0.0,0.0,3.0,108.641,6.0,2.0,0.0,0.0,3.0,540.103,6.0,3.0,0.0,0.0,3.0,20.132,2.0,4.0,0.0,0.0,3.0,47.293,1.0,5.0,0.0,0.0,3.0,559.583,2.0,4.125,0.25,0.0,3.0,481.250125,4.125,2.03100960115899,0.4629100498862757,0.0,0.0,443.5701606550575,2.6423744732991303,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.6123570648005994,0.1926113848708833,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,862.554,3.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,428.41,3.0,1.0,0.0,0.0,3.0,23.621,4.0,2.0,0.0,1.0,3.0,417.227,1.0,3.0,0.0,1.0,3.0,123.113,3.0,4.0,0.0,1.0,3.0,173.607,6.0,5.0,0.0,1.0,3.0,0.0,0.0,4.125,0.25,0.5,3.0,253.5665,2.5,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,300.73702181379093,2.070196678027062,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.317146647415571,0.2576244754878122,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,1407.6,22.0,6.0,1.0,0.0,3.0,1469.047,22.0,7.0,1.0,0.0,3.0,2186.554,4.0,1.0,0.0,0.0,3.0,3406.921,2.0,2.0,0.0,0.0,3.0,2098.523,15.0,3.0,0.0,0.0,3.0,1140.475,9.0,4.0,0.0,0.0,3.0,530.019,6.0,5.0,0.0,0.0,3.0,434.6,13.0,4.125,0.25,0.0,3.0,1584.217375,11.625,2.03100960115899,0.4629100498862757,0.0,0.0,972.7639356027806,7.726346392146069,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.750052281557575,0.3070558659476677,0.0,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1
2.0,0.0,0.0,4.0,1961.455,8.0,3.0,0.0,0.0,4.0,1085.988,15.0,4.0,0.0,0.0,4.0,884.375,10.0,5.0,0.0,0.0,4.0,517.944,7.0,6.0,1.0,0.0,4.0,94.712,2.0,7.0,1.0,0.0,4.0,995.373,4.0,1.0,0.0,0.0,4.0,1952.153,4.0,2.0,0.0,0.0,4.0,1315.242,6.0,3.75,0.25,0.0,4.0,1100.90525,7.0,2.1213203435596424,0.4629100498862757,0.0,0.0,646.0453822134767,4.105745103771404,0.3142696805273544,1.4401645996461911,0.0,0.0,0.0252998752609775,0.9907572212490604,-9.0,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0
6.0,1.0,0.0,2.0,773.376,4.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1483.967,2.0,2.0,0.0,0.0,2.0,179.173,2.0,3.0,0.0,0.0,2.0,358.977,1.0,4.0,0.0,0.0,2.0,1174.112,1.0,5.0,0.0,0.0,2.0,364.311,3.0,6.0,1.0,0.0,2.0,0.0,0.0,4.25,0.375,0.0,2.0,541.7395,1.625,2.1213203435596424,0.5175491695067657,0.0,0.0,550.9270046678469,1.407885953173359,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.8252503326281253,0.4799221656787685,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,894.286,4.0,6.0,1.0,0.0,3.0,721.011,1.0,7.0,1.0,0.0,3.0,1676.192,5.0,1.0,0.0,0.0,3.0,0.05,1.0,2.0,0.0,0.0,3.0,730.039,3.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,657.299,3.0,5.0,0.0,0.0,3.0,0.1,2.0,4.125,0.25,0.0,3.0,584.872125,2.375,2.03100960115899,0.4629100498862757,0.0,0.0,580.3471425900284,1.685018016012207,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7165094885248801,0.1679619239884008,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,372.981,3.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,933.174,2.0,6.0,1.0,0.0,3.0,397.694,3.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,180.061,3.0,2.0,0.0,0.0,3.0,2021.067,1.0,3.0,0.0,0.0,3.0,1193.82,6.0,3.875,0.25,0.0,3.0,637.349625,2.25,2.03100960115899,0.4629100498862757,0.0,0.0,703.126962420817,1.9820624179302295,0.2238027108715141,1.4401645996461911,0.0,0.0,1.2065291344410614,0.715508152191673,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,685.056,4.0,7.0,1.0,0.0,4.0,388.528,3.0,1.0,0.0,0.0,4.0,1551.869,3.0,2.0,0.0,0.0,4.0,307.91,4.0,3.0,0.0,0.0,4.0,587.43,3.0,4.0,0.0,0.0,4.0,1016.399,1.0,5.0,0.0,0.0,4.0,292.291,5.0,6.0,1.0,0.0,4.0,1105.619,4.0,4.25,0.375,0.0,4.0,741.88775,3.375,2.1213203435596424,0.5175491695067657,0.0,0.0,448.1948804965951,1.1877349391654208,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.8031102522994246,-0.9698281124798884,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
6.0,1.0,0.0,4.0,1101.998,6.0,7.0,1.0,0.0,4.0,1229.428,3.0,1.0,0.0,0.0,4.0,1063.037,4.0,2.0,0.0,0.0,4.0,921.077,5.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,913.808,9.0,5.0,0.0,0.0,4.0,271.564,1.0,6.0,1.0,0.0,4.0,1972.919,2.0,4.25,0.375,0.0,4.0,934.228875,3.75,2.1213203435596424,0.5175491695067657,0.0,0.0,600.3874966501545,2.9154759474226504,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.0412073569030996,0.6052891240323841,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,330.365,1.0,6.0,1.0,0.0,1.0,1230.574,3.0,7.0,1.0,0.0,1.0,1074.634,3.0,1.0,0.0,0.0,1.0,861.067,5.0,2.0,0.0,0.0,1.0,3600.0,1.0,3.0,0.0,0.0,1.0,80.839,1.0,4.0,0.0,0.0,1.0,991.656,2.0,5.0,0.0,0.0,1.0,600.0,1.0,4.125,0.25,0.0,1.0,1096.141875,2.125,2.03100960115899,0.4629100498862757,0.0,0.0,1083.475129939036,1.4577379737113252,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.1067557293195542,1.1932842730924145,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,1.0,399.861,4.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,1438.262,11.0,7.0,1.0,0.0,1.0,565.578,2.0,1.0,0.0,0.0,2.0,133.69,2.0,2.0,0.0,0.0,2.0,967.32,2.0,3.0,0.0,0.0,2.0,725.554,7.0,4.0,0.0,0.0,2.0,1259.306,5.0,4.0,0.25,0.0,1.5,686.196375,4.125,2.0,0.4629100498862757,0.0,0.5345224838248488,513.7123097882532,3.5228843701879127,0.0,1.4401645996461911,0.0,0.0,0.1670452261076437,1.0909144507121311,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,1060.995,8.0,5.0,0.0,0.0,4.0,2038.421,2.0,6.0,1.0,0.0,4.0,150.402,4.0,7.0,1.0,0.0,4.0,1247.978,4.0,1.0,0.0,0.0,4.0,63.63,6.0,2.0,0.0,0.0,4.0,458.62,3.0,3.0,0.0,0.0,4.0,0.1,2.0,4.0,0.0,0.0,4.0,1791.417,7.0,4.0,0.25,0.0,4.0,851.445375,4.5,2.0,0.4629100498862757,0.0,0.0,800.4304698697958,2.2677868380553634,0.0,1.4401645996461911,0.0,0.0,0.3949143096825371,0.4409585518440984,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,209.24,3.0,7.0,1.0,0.0,1.0,450.736,6.0,1.0,0.0,0.0,1.0,76.776,1.0,2.0,0.0,0.0,1.0,1070.452,2.0,3.0,0.0,0.0,1.0,154.003,1.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,341.378,2.0,6.0,1.0,0.0,1.0,133.939,8.0,4.25,0.375,0.0,1.0,304.56550000000004,2.875,2.1213203435596424,0.5175491695067657,0.0,0.0,341.1787813842724,2.748376143938713,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.9333860722948648,1.1638077878597006,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
