week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,2683.788,41.0,6.0,1.0,0.0,3.0,2156.556,34.0,7.0,1.0,0.0,3.0,2610.7,28.0,1.0,0.0,0.0,3.0,1384.9989999999998,32.0,2.0,0.0,0.0,3.0,2679.3279999999995,33.0,3.0,0.0,0.0,3.0,1913.639,29.0,4.0,0.0,0.0,3.0,2221.548,24.0,5.0,0.0,0.0,3.0,4823.334,25.0,4.125,0.25,0.0,3.0,2559.2365,30.75,2.03100960115899,0.4629100498862757,0.0,0.0,1016.333464145082,5.496752287877426,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.74506979905317,0.6889948544535257,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,2717.772,20.0,6.0,1.0,0.0,3.0,3702.606,8.0,7.0,1.0,0.0,3.0,2830.875,30.0,1.0,0.0,0.0,3.0,3860.18,44.0,2.0,0.0,1.0,3.0,2371.687,21.0,3.0,0.0,1.0,3.0,3569.2200000000003,27.0,4.0,0.0,1.0,3.0,3798.135,37.0,5.0,0.0,1.0,3.0,941.915,10.0,4.125,0.25,0.5,3.0,2974.04875,24.625,2.03100960115899,0.4629100498862757,0.5345224838248488,0.0,994.8406171020204,12.466383368311527,-0.2238027108715141,1.4401645996461911,0.0,0.0,-1.3110745051272292,0.1442555827947512,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,9706.824,113.0,6.0,1.0,0.0,3.0,10248.833,87.0,7.0,1.0,0.0,3.0,8255.577000000001,83.0,1.0,0.0,0.0,3.0,10033.036,65.0,2.0,0.0,0.0,3.0,9924.420999999998,37.0,3.0,0.0,0.0,3.0,8547.086,87.0,4.0,0.0,0.0,3.0,8113.565,78.0,5.0,0.0,0.0,3.0,3774.086,69.0,4.125,0.25,0.0,3.0,8575.4285,77.375,2.03100960115899,0.4629100498862757,0.0,0.0,2117.749977197835,21.84319115880278,-0.2238027108715141,1.4401645996461911,0.0,0.0,-1.988026596215367,-0.3860865367935643,0.0,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,0,1,1
2.0,0.0,0.0,4.0,6774.305,65.0,3.0,0.0,0.0,4.0,5616.232,57.0,4.0,0.0,0.0,4.0,7044.496999999999,74.0,5.0,0.0,0.0,4.0,2461.672,33.0,6.0,1.0,0.0,4.0,2206.923,39.0,7.0,1.0,0.0,4.0,5786.494000000001,40.0,1.0,0.0,0.0,4.0,11491.794,56.0,2.0,0.0,0.0,4.0,7844.455,36.0,3.75,0.25,0.0,4.0,6153.2965,50.0,2.1213203435596424,0.4629100498862757,0.0,0.0,2980.0383535300343,15.08073510902474,0.3142696805273544,1.4401645996461911,0.0,0.0,0.3307527221028176,0.4315132943716991,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,4903.841,20.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,2125.185,3.0,2.0,0.0,0.0,2.0,3059.586,11.0,3.0,0.0,0.0,2.0,2947.135,13.0,4.0,0.0,0.0,2.0,2135.495,9.0,5.0,0.0,0.0,2.0,2759.163,16.0,6.0,1.0,0.0,2.0,2886.57,6.0,4.25,0.375,0.0,2.0,2602.1218750000003,9.75,2.1213203435596424,0.5175491695067657,0.0,0.0,1360.0440506937832,6.670832032063167,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.4142490712230766,0.0447553432273612,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,4069.218,32.0,6.0,1.0,0.0,3.0,3178.02,29.0,7.0,1.0,0.0,3.0,4105.437,33.0,1.0,0.0,0.0,3.0,3674.982,28.0,2.0,0.0,0.0,3.0,4883.287,20.0,3.0,0.0,0.0,3.0,3229.553,20.0,4.0,0.0,0.0,3.0,1936.099,25.0,5.0,0.0,0.0,3.0,1949.827,16.0,4.125,0.25,0.0,3.0,3378.302875,25.375,2.03100960115899,0.4629100498862757,0.0,0.0,1037.9800826095484,6.186101934405635,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.3026246882172953,-0.2693708564721571,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,2910.8,18.0,4.0,0.0,0.0,3.0,3325.299,24.0,5.0,0.0,0.0,3.0,3875.103,20.0,6.0,1.0,0.0,3.0,6327.088000000001,28.0,7.0,1.0,0.0,3.0,4030.04,26.0,1.0,0.0,0.0,3.0,5676.859,22.0,2.0,0.0,0.0,3.0,5500.144,21.0,3.0,0.0,0.0,3.0,3989.346,23.0,3.875,0.25,0.0,3.0,4454.3348750000005,22.75,2.03100960115899,0.4629100498862757,0.0,0.0,1223.8381374393357,3.24037034920393,0.2238027108715141,1.4401645996461911,0.0,0.0,0.4209661283309848,0.2645200285064433,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,4597.25,33.0,7.0,1.0,0.0,4.0,5571.644,17.0,1.0,0.0,0.0,4.0,4064.611,34.0,2.0,0.0,0.0,4.0,1913.163,29.0,3.0,0.0,0.0,4.0,3069.549,17.0,4.0,0.0,0.0,4.0,3927.484,22.0,5.0,0.0,0.0,4.0,3242.803,33.0,6.0,1.0,0.0,4.0,5615.722,32.0,4.25,0.375,0.0,4.0,4000.27825,27.125,2.1213203435596424,0.5175491695067657,0.0,0.0,1267.2093954541836,7.31803057034961,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.1894606742272902,-0.6598236356207912,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,5143.514999999999,29.0,7.0,1.0,0.0,4.0,4924.743,20.0,1.0,0.0,0.0,4.0,4893.879999999999,20.0,2.0,0.0,0.0,4.0,8296.122,39.0,3.0,0.0,0.0,4.0,5628.576,11.0,4.0,0.0,0.0,4.0,8877.930999999999,44.0,5.0,0.0,0.0,4.0,6438.6140000000005,21.0,6.0,1.0,0.0,4.0,8599.863000000001,35.0,4.25,0.375,0.0,4.0,6600.4055,27.375,2.1213203435596424,0.5175491695067657,0.0,0.0,1726.8319563134764,11.27497228377968,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.4066768141102677,0.1543482738922199,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,3653.396,20.0,6.0,1.0,0.0,1.0,5243.239,28.0,7.0,1.0,0.0,1.0,3781.641,32.0,1.0,0.0,0.0,1.0,8947.883999999998,37.0,2.0,0.0,0.0,1.0,11129.989999999998,27.0,3.0,0.0,0.0,1.0,3319.824,22.0,4.0,0.0,0.0,1.0,5071.959999999999,20.0,5.0,0.0,0.0,1.0,10326.273,21.0,4.125,0.25,0.0,1.0,6434.275874999999,25.875,2.03100960115899,0.4629100498862757,0.0,0.0,3190.603326121943,6.266407036161723,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.60858983745743,0.8035658455359427,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
