week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
5.0,0.0,0.0,3.0,-1.0,-1.0,6.0,1.0,0.0,3.0,-1.0,-1.0,7.0,1.0,0.0,3.0,-1.0,-1.0,1.0,0.0,0.0,3.0,-1.0,-1.0,2.0,0.0,0.0,3.0,-1.0,-1.0,3.0,0.0,0.0,3.0,-1.0,-1.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,640.732,6.0,4.125,0.25,0.0,3.0,320.366,3.0,2.03100960115899,0.4629100498862757,0.0,0.0,453.065942123219,4.242640687119285,-0.2238027108715141,1.4401645996461911,0.0,0.0,-1.0,-1.0,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,354.844,5.0,1.0,0.0,0.0,3.0,475.006,7.0,2.0,0.0,0.0,3.0,618.096,4.0,3.0,0.0,0.0,3.0,392.615,5.0,4.0,0.0,0.0,3.0,60.333,1.0,5.0,0.0,0.0,3.0,89.447,1.0,6.0,1.0,0.0,3.0,550.692,5.0,7.0,1.0,0.0,3.0,379.843,5.0,4.375,0.375,0.0,3.0,365.1095,4.125,2.2638462845343543,0.5175491695067657,0.0,0.0,200.1705744401866,2.100170061141308,-0.2262499558606612,0.6440611887195306,0.0,0.0,-0.6014208506329284,-0.7113362642138699,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,89.447,1.0,6.0,1.0,0.0,3.0,550.692,5.0,7.0,1.0,0.0,3.0,379.843,5.0,1.0,0.0,0.0,3.0,770.915,3.0,2.0,0.0,0.0,3.0,678.886,4.0,3.0,0.0,0.0,3.0,472.351,8.0,4.0,0.0,0.0,3.0,62.118,1.0,5.0,0.0,0.0,3.0,223.65,2.0,4.125,0.25,0.0,3.0,403.48775,3.625,2.03100960115899,0.4629100498862757,0.0,0.0,263.3069387527741,2.38671920665766,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.0268594340585332,0.6764180965203459,-3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,349.772,3.0,3.0,0.0,1.0,3.0,247.616,1.0,4.0,0.0,1.0,3.0,865.734,5.0,5.0,0.0,1.0,4.0,1123.755,8.0,6.0,1.0,1.0,4.0,145.917,1.0,7.0,1.0,1.0,4.0,813.013,7.0,1.0,0.0,1.0,4.0,666.562,4.0,3.625,0.25,1.0,3.5,526.5461250000001,3.625,2.2638462845343543,0.4629100498862757,0.0,0.5345224838248488,397.2323949354144,2.9246489410818914,0.2262499558606612,1.4401645996461911,0.0,0.0,0.1516993081401789,0.3105131524215587,-3.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,0
4.0,0.0,1.0,3.0,865.734,5.0,5.0,0.0,1.0,4.0,1123.755,8.0,6.0,1.0,1.0,4.0,145.917,1.0,7.0,1.0,1.0,4.0,813.013,7.0,1.0,0.0,1.0,4.0,666.562,4.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,884.27,2.0,4.0,0.0,1.0,4.0,0.0,0.0,4.0,0.25,1.0,3.875,562.406375,3.375,2.0,0.4629100498862757,0.0,0.3535533905932738,445.683016032355,3.113908889391045,0.0,1.4401645996461911,0.0,-2.8284271247461903,-0.3722617685520184,0.3672703503741338,-4.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,0
3.0,0.0,0.0,4.0,767.674,7.0,4.0,0.0,0.0,4.0,635.389,4.0,5.0,0.0,0.0,4.0,996.129,3.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,490.392,4.0,1.0,0.0,0.0,4.0,231.841,4.0,2.0,0.0,0.0,4.0,636.789,5.0,3.0,0.0,0.0,4.0,1128.117,6.0,3.875,0.25,0.0,4.0,610.791375,4.125,2.03100960115899,0.4629100498862757,0.0,0.0,372.8595034513431,2.100170061141308,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.3103868463804728,-0.8347116596330777,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,134.254,3.0,4.0,0.0,0.0,1.0,91.444,1.0,5.0,0.0,0.0,1.0,68.369,1.0,6.0,1.0,0.0,1.0,25.905,1.0,7.0,1.0,0.0,1.0,326.251,3.0,1.0,0.0,0.0,1.0,397.76,3.0,2.0,0.0,0.0,1.0,69.648,1.0,3.0,0.0,0.0,1.0,81.107,3.0,3.875,0.25,0.0,1.0,149.34224999999998,2.0,2.03100960115899,0.4629100498862757,0.0,0.0,135.956186068212,1.0690449676496976,0.2238027108715141,1.4401645996461911,0.0,0.0,1.3214035020994104,0.0,-12.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,81.107,3.0,4.0,0.0,0.0,1.0,25.773,4.0,5.0,0.0,0.0,1.0,383.29,4.0,6.0,1.0,0.0,1.0,284.282,7.0,7.0,1.0,0.0,1.0,1656.938,6.0,1.0,0.0,0.0,1.0,186.601,4.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,152.275,4.0,3.875,0.25,0.0,1.0,346.28325000000007,4.0,2.03100960115899,0.4629100498862757,0.0,0.0,544.9933817982826,2.070196678027062,0.2238027108715141,1.4401645996461911,0.0,0.0,2.5261546245514963,-0.6440611887195306,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,1.0,25.773,4.0,5.0,0.0,0.0,1.0,383.29,4.0,6.0,1.0,0.0,1.0,284.282,7.0,7.0,1.0,0.0,1.0,1656.938,6.0,1.0,0.0,0.0,1.0,186.601,4.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,152.275,4.0,4.0,0.0,0.0,1.0,264.466,2.0,4.0,0.25,0.0,1.0,369.203125,3.875,2.0,0.4629100498862757,0.0,0.0,536.0300573796312,2.167124493754009,0.0,1.4401645996461911,0.0,0.0,2.5062403811357554,-0.4614409568449601,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,1.0,375.81,2.0,1.0,0.0,0.0,1.0,226.772,3.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,664.754,5.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,523.322,4.0,6.0,1.0,0.0,1.0,443.31,4.0,7.0,1.0,0.0,1.0,703.867,9.0,4.375,0.375,0.0,1.0,367.229375,3.375,2.2638462845343543,0.5175491695067657,0.0,0.0,272.9509875338362,2.9246489410818914,-0.2262499558606612,0.6440611887195306,0.0,0.0,-0.3099200866864706,0.7859194961290489,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
