week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
6.0,1.0,0.0,3.0,389.687,6.0,7.0,1.0,0.0,3.0,714.554,7.0,1.0,0.0,0.0,3.0,151.514,4.0,2.0,0.0,0.0,3.0,67.523,8.0,3.0,0.0,0.0,3.0,0.1,2.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,410.428,6.0,6.0,1.0,0.0,3.0,1083.513,9.0,4.25,0.375,0.0,3.0,352.16487499999994,5.25,2.1213203435596424,0.5175491695067657,0.0,0.0,385.4959709800341,3.058944729337694,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.065848672151774,-0.6737842245146836,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,1.0,3.0,210.396,4.0,5.0,0.0,1.0,3.0,780.944,7.0,6.0,1.0,1.0,3.0,212.229,3.0,7.0,1.0,1.0,3.0,243.144,6.0,1.0,0.0,1.0,3.0,1086.58,6.0,2.0,0.0,1.0,3.0,317.955,4.0,3.0,0.0,1.0,3.0,1589.78,3.0,4.0,0.0,1.0,4.0,566.314,10.0,4.0,0.25,1.0,3.125,625.91775,5.375,2.0,0.4629100498862757,0.0,0.3535533905932738,500.5681623957064,2.38671920665766,0.0,1.4401645996461911,0.0,2.8284271247461903,1.1676677748197162,1.0047763958020672,6.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
6.0,1.0,1.0,3.0,212.229,3.0,7.0,1.0,1.0,3.0,243.144,6.0,1.0,0.0,1.0,3.0,1086.58,6.0,2.0,0.0,1.0,3.0,317.955,4.0,3.0,0.0,1.0,3.0,1589.78,3.0,4.0,0.0,1.0,4.0,566.314,10.0,5.0,0.0,1.0,4.0,625.233,10.0,6.0,1.0,1.0,4.0,257.903,4.0,4.25,0.375,1.0,3.375,612.39225,5.75,2.1213203435596424,0.5175491695067657,0.0,0.5175491695067657,491.5369111871021,2.866057521105554,-0.3142696805273544,0.6440611887195306,0.0,0.6440611887195306,1.3724701018237502,0.8191831704936858,4.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
2.0,0.0,1.0,3.0,317.955,4.0,3.0,0.0,1.0,3.0,1589.78,3.0,4.0,0.0,1.0,4.0,566.314,10.0,5.0,0.0,1.0,4.0,625.233,10.0,6.0,1.0,1.0,4.0,257.903,4.0,7.0,1.0,1.0,4.0,112.744,4.0,1.0,0.0,1.0,4.0,1647.829,6.0,2.0,0.0,1.0,4.0,159.933,3.0,3.75,0.25,1.0,3.75,659.7113750000001,5.5,2.1213203435596424,0.4629100498862757,0.0,0.4629100498862757,618.5830628541183,2.9277002188456,0.3142696805273544,1.4401645996461911,0.0,-1.4401645996461911,1.106650803674072,1.0702370800002248,-7.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
6.0,1.0,0.0,4.0,162.93,4.0,7.0,1.0,0.0,4.0,-1.0,-1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,465.694,7.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,252.217,8.0,6.0,1.0,0.0,4.0,14.217,6.0,4.25,0.375,0.0,4.0,127.86542857142857,3.571428571428572,2.1213203435596424,0.5175491695067657,0.0,0.0,179.25105762017802,3.5523298860110977,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.3280981322589247,0.025494827519396,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,465.694,7.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,252.217,8.0,6.0,1.0,0.0,4.0,14.217,6.0,7.0,1.0,0.0,4.0,161.702,4.0,1.0,0.0,0.0,4.0,0.15,3.0,2.0,0.0,0.0,4.0,0.0,0.0,3.75,0.25,0.0,4.0,111.7475,3.5,2.1213203435596424,0.4629100498862757,0.0,0.0,171.93602176723428,3.295017884191656,0.3142696805273544,1.4401645996461911,0.0,0.0,1.526508834744741,0.1118115487017944,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,7.951,2.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,435.673,8.0,6.0,1.0,0.0,4.0,781.483,6.0,7.0,1.0,0.0,4.0,208.284,4.0,1.0,0.0,0.0,4.0,1.009,5.0,2.0,0.0,0.0,4.0,210.741,3.0,3.0,0.0,0.0,4.0,0.05,1.0,3.875,0.25,0.0,4.0,205.648875,3.625,2.03100960115899,0.4629100498862757,0.0,0.0,280.31951071866825,2.669269563007828,0.2238027108715141,1.4401645996461911,0.0,0.0,1.465062081116718,0.2957639404994823,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,781.483,6.0,7.0,1.0,0.0,4.0,208.284,4.0,1.0,0.0,0.0,4.0,1.009,5.0,2.0,0.0,0.0,4.0,210.741,3.0,3.0,0.0,0.0,4.0,0.05,1.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,144.303,2.0,6.0,1.0,0.0,4.0,0.2,4.0,4.25,0.375,0.0,4.0,168.25874999999996,3.125,2.1213203435596424,0.5175491695067657,0.0,0.0,265.34237554081494,2.03100960115899,-0.3142696805273544,0.6440611887195306,0.0,0.0,2.159248268446494,-0.2238027108715141,9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
4.0,0.0,0.0,4.0,210.92,4.0,5.0,0.0,0.0,4.0,919.722,4.0,6.0,1.0,0.0,4.0,210.527,2.0,7.0,1.0,0.0,4.0,0.05,1.0,1.0,0.0,0.0,4.0,211.745,4.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.15,3.0,4.0,0.0,0.0,4.0,152.267,3.0,4.0,0.25,0.0,4.0,213.172625,2.625,2.0,0.4629100498862757,0.0,0.0,302.1773571766552,1.5059406173077154,0.0,1.4401645996461911,0.0,0.0,2.232917587729808,-0.8208958960486971,-10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
4.0,0.0,0.0,1.0,34.653,7.0,5.0,0.0,0.0,1.0,311.713,7.0,6.0,1.0,0.0,1.0,0.15,3.0,7.0,1.0,0.0,1.0,1163.42,4.0,1.0,0.0,0.0,1.0,175.433,3.0,2.0,0.0,0.0,1.0,456.369,9.0,3.0,0.0,0.0,1.0,393.185,9.0,4.0,0.0,0.0,1.0,215.404,5.0,4.0,0.25,0.0,1.0,343.790875,5.875,2.0,0.4629100498862757,0.0,0.0,367.6988960127324,2.4748737341529163,0.0,1.4401645996461911,0.0,0.0,1.8204120445182017,0.114267984631562,-6.0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,2,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
