week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.875,0.25,0.0,3.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,7097.65,50.0,7.0,1.0,0.0,3.0,6756.317999999999,35.0,1.0,0.0,0.0,3.0,8556.395,19.0,2.0,0.0,0.0,3.0,6542.093,41.0,3.0,0.0,0.0,3.0,5148.373,14.0,4.0,0.0,0.0,3.0,3987.691,29.0,5.0,0.0,0.0,3.0,9299.462,29.0,6.0,1.0,0.0,3.0,6097.657,47.0,4.25,0.375,0.0,3.0,6685.704874999999,33.0,2.1213203435596424,0.5175491695067657,0.0,0.0,1711.932312130313,12.772738827004064,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.0377354550065988,-0.1420494691977902,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,7326.486,18.0,7.0,1.0,0.0,3.0,15538.612,59.0,1.0,0.0,0.0,3.0,10888.901,37.0,2.0,0.0,0.0,3.0,4680.656,18.0,3.0,0.0,0.0,3.0,9985.953,32.0,4.0,0.0,0.0,3.0,4701.553,13.0,5.0,0.0,0.0,3.0,5699.377,36.0,6.0,1.0,0.0,3.0,5411.103999999999,20.0,4.25,0.375,0.0,3.0,8029.08025,29.125,2.1213203435596424,0.5175491695067657,0.0,0.0,3844.482705353209,15.122712341753664,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.1700698429948275,1.0901834559100685,6.0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,1.0,4.0,10054.287,18.0,2.0,0.0,1.0,4.0,12111.793,20.0,3.0,0.0,1.0,4.0,4927.141,27.0,4.0,0.0,1.0,4.0,6292.295999999999,40.0,5.0,0.0,1.0,4.0,5081.579,27.0,6.0,1.0,0.0,4.0,1631.226,15.0,7.0,1.0,0.0,4.0,7516.267,24.0,1.0,0.0,0.0,4.0,1820.8,19.0,3.625,0.25,0.625,4.0,6179.423624999999,23.75,2.2638462845343543,0.4629100498862757,0.5175491695067657,0.0,3673.547119856772,7.851296526234195,0.2262499558606612,1.4401645996461911,-0.6440611887195306,0.0,0.3426234964309447,1.314408972549857,0.0,-1,1,1,2,1,1,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,0,1,1,1,0
5.0,0.0,0.0,4.0,3483.989,52.0,6.0,1.0,0.0,4.0,6313.287,54.0,7.0,1.0,0.0,4.0,5286.004,22.0,1.0,0.0,0.0,4.0,441.086,3.0,2.0,0.0,0.0,4.0,9077.433,28.0,3.0,0.0,0.0,4.0,2631.75,37.0,4.0,0.0,0.0,4.0,4743.668,30.0,5.0,0.0,0.0,4.0,9802.649,45.0,4.125,0.25,0.0,4.0,5222.48325,33.875,2.03100960115899,0.4629100498862757,0.0,0.0,3159.0624358473265,16.948978056002584,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.1365656039581723,-0.6202600684869052,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,2631.75,37.0,4.0,0.0,0.0,4.0,4743.668,30.0,5.0,0.0,0.0,4.0,9802.649,45.0,6.0,1.0,0.0,4.0,5344.569,38.0,7.0,1.0,0.0,4.0,14237.223999999998,32.0,1.0,0.0,0.0,4.0,5863.612,36.0,2.0,0.0,0.0,4.0,3719.97,20.0,3.0,0.0,0.0,4.0,5353.943,28.0,3.875,0.25,0.0,4.0,6462.173124999999,33.25,2.03100960115899,0.4629100498862757,0.0,0.0,3771.90294434249,7.535629654230248,0.2238027108715141,1.4401645996461911,0.0,0.0,1.4993549754283786,-0.313479332097657,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1
6.0,1.0,0.0,4.0,8767.035,29.0,7.0,1.0,0.0,4.0,6096.790999999999,16.0,1.0,0.0,0.0,4.0,7725.667000000001,29.0,2.0,0.0,0.0,4.0,9301.962,61.0,3.0,0.0,0.0,4.0,8193.383,38.0,4.0,0.0,0.0,1.0,3188.51,33.0,5.0,0.0,0.0,1.0,8263.632,49.0,6.0,1.0,0.0,1.0,6328.572,66.0,4.25,0.375,0.0,2.875,7233.194,40.125,2.1213203435596424,0.5175491695067657,0.0,1.5526475085202969,1975.8537285201191,17.19167157168178,-0.3142696805273544,0.6440611887195306,0.0,-0.6440611887195306,-1.3288707444265917,0.373118859282702,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,0,1,1
4.0,0.0,0.0,1.0,2288.67,19.0,5.0,0.0,0.0,1.0,6945.465999999999,33.0,6.0,1.0,0.0,1.0,8385.542,33.0,7.0,1.0,0.0,1.0,1970.805,18.0,1.0,0.0,0.0,1.0,9611.183,37.0,2.0,0.0,0.0,1.0,7188.587,28.0,3.0,0.0,0.0,1.0,7632.972,31.0,4.0,0.0,0.0,1.0,1519.605,25.0,4.0,0.25,0.0,1.0,5692.85375,28.0,2.0,0.4629100498862757,0.0,0.0,3230.044391150055,6.8660656232559525,0.0,1.4401645996461911,0.0,0.0,-0.4035498006416555,-0.441344897729951,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,10828.798,79.0,6.0,1.0,0.0,2.0,4567.674,30.0,7.0,1.0,0.0,2.0,2950.946,29.0,1.0,0.0,0.0,2.0,10418.127,33.0,2.0,0.0,0.0,2.0,8712.577,70.0,3.0,0.0,0.0,2.0,16174.668,25.0,4.0,0.0,0.0,2.0,6102.677000000001,33.0,5.0,0.0,0.0,2.0,1052.844,7.0,4.125,0.25,0.0,2.0,7601.038875,38.25,2.03100960115899,0.4629100498862757,0.0,0.0,4914.201846105296,23.9925583701042,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.4413432918043676,0.899035845345899,-11.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,8066.67,29.0,7.0,1.0,0.0,2.0,230.652,13.0,1.0,0.0,0.0,2.0,6952.280000000001,42.0,2.0,0.0,0.0,2.0,8721.678,28.0,3.0,0.0,0.0,2.0,5672.17,38.0,4.0,0.0,0.0,2.0,4177.244,40.0,5.0,0.0,0.0,2.0,2621.355,16.0,6.0,1.0,0.0,2.0,3710.995,23.0,4.25,0.375,0.0,2.0,5019.1305,28.625,2.1213203435596424,0.5175491695067657,0.0,0.0,2884.9047429268294,10.901343298616265,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.3161668900642517,-0.1935947908365032,10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
