week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,3223.663,60.0,6.0,1.0,0.0,3.0,3155.12,77.0,4.25,0.375,0.0,3.0,797.3478749999999,17.125,2.1213203435596424,0.5175491695067657,0.0,0.0,1476.5150225075297,32.0331859171079,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.4408295880048758,1.525982484842075,-1.0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,1,2,1
5.0,0.0,0.0,3.0,4947.89,51.0,6.0,1.0,0.0,3.0,3121.369,39.0,7.0,1.0,0.0,3.0,3955.625,53.0,1.0,0.0,0.0,3.0,6085.8640000000005,51.0,2.0,0.0,0.0,3.0,4743.147,60.0,3.0,0.0,0.0,3.0,4086.953,42.0,4.0,0.0,0.0,3.0,7055.317999999999,64.0,5.0,0.0,0.0,3.0,6283.691000000001,52.0,4.125,0.25,0.0,3.0,5034.982125,51.5,2.03100960115899,0.4629100498862757,0.0,0.0,1339.713328250748,8.263517065131184,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.1751929469396952,-0.081013454884779,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,3684.539,74.0,5.0,0.0,0.0,4.0,5805.059,26.0,6.0,1.0,0.0,4.0,2105.101,21.0,7.0,1.0,0.0,4.0,1705.112,24.0,1.0,0.0,0.0,4.0,5492.032000000001,53.0,2.0,0.0,0.0,4.0,6197.322999999999,66.0,3.0,0.0,0.0,4.0,3550.993,43.0,4.0,0.0,0.0,1.0,4925.795,72.0,4.0,0.25,0.0,3.625,4183.24425,47.375,2.0,0.4629100498862757,0.0,1.0606601717798212,1692.815519056492,22.077380149956976,0.0,1.4401645996461911,0.0,-2.8284271247461903,-0.3723515862482169,-0.0092714580345024,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
7.0,1.0,0.0,4.0,1705.112,24.0,1.0,0.0,0.0,4.0,5492.032000000001,53.0,2.0,0.0,0.0,4.0,6197.322999999999,66.0,3.0,0.0,0.0,4.0,3550.993,43.0,4.0,0.0,0.0,1.0,4925.795,72.0,5.0,0.0,0.0,1.0,4411.095,39.0,6.0,1.0,0.0,1.0,3494.057,40.0,7.0,1.0,0.0,1.0,2294.875,42.0,4.375,0.375,0.0,2.5,4008.91025,47.375,2.2638462845343543,0.5175491695067657,0.0,1.6035674514745464,1545.1026780226568,15.60162537320116,-0.2262499558606612,0.6440611887195306,0.0,0.0,-0.1506132875356978,0.379774354477073,6.0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,4511.048,48.0,4.0,0.0,0.0,1.0,5215.359,40.0,5.0,0.0,0.0,2.0,1585.6509999999998,19.0,6.0,1.0,0.0,2.0,3188.934,47.0,7.0,1.0,0.0,2.0,1884.355,15.0,1.0,0.0,0.0,2.0,7193.737,55.0,2.0,0.0,0.0,2.0,2113.139,58.0,3.0,0.0,0.0,2.0,3967.758,43.0,3.875,0.25,0.0,1.75,3707.497625,40.625,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,1918.999343533569,15.738374394181522,0.2238027108715141,1.4401645996461911,0.0,-1.4401645996461911,0.7151031402579588,-0.8819369408306384,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
3.0,0.0,0.0,2.0,8048.294,84.0,4.0,0.0,0.0,2.0,5460.8240000000005,78.0,5.0,0.0,0.0,2.0,5723.347,48.0,6.0,1.0,0.0,2.0,1109.698,18.0,7.0,1.0,0.0,2.0,3897.1280000000006,54.0,1.0,0.0,0.0,2.0,6221.593,68.0,2.0,0.0,0.0,2.0,5481.437,74.0,3.0,0.0,0.0,2.0,2889.2210000000005,33.0,3.875,0.25,0.0,2.0,4853.94275,57.125,2.03100960115899,0.4629100498862757,0.0,0.0,2150.988461104984,23.19752141932409,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.4721923433953544,-0.612231636976967,7.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,2992.624,56.0,7.0,1.0,0.0,3.0,6558.919,107.0,1.0,0.0,0.0,3.0,2788.885,30.0,2.0,0.0,0.0,3.0,3520.042,38.0,3.0,0.0,0.0,3.0,2876.075,31.0,4.0,0.0,0.0,3.0,4027.267,50.0,5.0,0.0,0.0,3.0,500.204,13.0,6.0,1.0,0.0,3.0,9644.267,96.0,4.25,0.375,0.0,3.0,4113.535375,52.625,2.1213203435596424,0.5175491695067657,0.0,0.0,2790.9850470944552,32.99323523737209,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.1458812391124895,0.8239252536178496,7.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,4609.263,29.0,6.0,1.0,0.0,3.0,3973.887,39.0,7.0,1.0,0.0,3.0,4737.743,45.0,1.0,0.0,0.0,3.0,4440.229,48.0,2.0,0.0,0.0,3.0,4243.028,41.0,3.0,0.0,0.0,3.0,5317.721,45.0,4.0,0.0,0.0,3.0,1989.884,24.0,5.0,0.0,0.0,3.0,3102.953,37.0,4.125,0.25,0.0,3.0,4051.8385,38.5,2.03100960115899,0.4629100498862757,0.0,0.0,1050.793078316156,8.315218406202998,-0.2238027108715141,1.4401645996461911,0.0,0.0,-1.1543583687536372,-0.8239398335358924,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,4.0,3115.108,41.0,5.0,0.0,0.0,4.0,3937.821,42.0,6.0,1.0,0.0,4.0,8475.351999999999,64.0,7.0,1.0,0.0,4.0,4157.61,45.0,1.0,0.0,0.0,4.0,3715.982,61.0,2.0,0.0,0.0,4.0,2634.572,34.0,3.0,0.0,0.0,4.0,5984.869000000001,55.0,4.0,0.0,0.0,4.0,3276.753,38.0,4.0,0.25,0.0,4.0,4412.258375,47.5,2.0,0.4629100498862757,0.0,0.0,1923.1191847519067,11.096975134821973,0.0,1.4401645996461911,0.0,0.0,1.640062029252898,0.5017984998600598,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,5959.798,68.0,7.0,1.0,0.0,4.0,2681.411,41.0,1.0,0.0,0.0,4.0,4203.029,54.0,2.0,0.0,0.0,4.0,3350.64,43.0,3.0,0.0,0.0,4.0,5676.157,55.0,4.0,0.0,0.0,4.0,6018.566,64.0,5.0,0.0,0.0,4.0,4204.495,42.0,6.0,1.0,0.0,4.0,6074.513000000001,58.0,4.25,0.375,0.0,4.0,4771.076125,53.125,2.1213203435596424,0.5175491695067657,0.0,0.0,1337.1312890451534,10.287822204640092,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.4604412886297626,0.0880183489769755,13.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
