week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
4.0,0.0,0.0,3.0,412.212,2.0,5.0,0.0,0.0,3.0,284.791,10.0,6.0,1.0,0.0,3.0,210.767,2.0,7.0,1.0,0.0,3.0,806.479,3.0,1.0,0.0,0.0,3.0,212.057,1.0,2.0,0.0,0.0,3.0,0.05,1.0,3.0,0.0,0.0,3.0,533.119,4.0,4.0,0.0,0.0,3.0,230.782,5.0,4.0,0.25,0.0,3.0,336.282125,3.5,2.0,0.4629100498862757,0.0,0.0,246.00080866094584,2.97609523657138,0.0,1.4401645996461911,0.0,0.0,0.8802874596743072,1.7342490452445083,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,4.0,0.1,2.0,2.0,0.0,0.0,4.0,382.241,4.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,503.461,11.0,5.0,0.0,0.0,4.0,255.284,4.0,6.0,1.0,0.0,4.0,875.58,5.0,7.0,1.0,0.0,4.0,526.209,7.0,1.0,0.0,0.0,4.0,433.135,7.0,3.625,0.25,0.0,4.0,372.00125,5.0,2.2638462845343543,0.4629100498862757,0.0,0.0,290.0280349876296,3.3806170189140663,0.2262499558606612,1.4401645996461911,0.0,0.0,0.2292681161727223,0.384545185901475,-7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,268.217,2.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,147.369,2.0,6.0,1.0,0.0,1.0,238.986,3.0,7.0,1.0,0.0,1.0,15.372,2.0,1.0,0.0,0.0,1.0,1005.891,8.0,2.0,0.0,0.0,1.0,210.329,1.0,3.0,0.0,0.0,1.0,184.021,3.0,3.875,0.25,0.0,1.0,258.773125,2.625,2.03100960115899,0.4629100498862757,0.0,0.0,317.404443801567,2.38671920665766,0.2238027108715141,1.4401645996461911,0.0,0.0,2.2835435075387958,1.853254241146035,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,210.981,3.0,4.0,0.0,0.0,1.0,247.771,5.0,5.0,0.0,0.0,1.0,356.432,3.0,6.0,1.0,0.0,1.0,770.898,2.0,7.0,1.0,0.0,1.0,660.459,5.0,1.0,0.0,0.0,1.0,1267.525,6.0,2.0,0.0,0.0,1.0,210.372,2.0,3.0,0.0,0.0,1.0,382.453,4.0,3.875,0.25,0.0,1.0,513.361375,3.75,2.03100960115899,0.4629100498862757,0.0,0.0,368.8329333362339,1.48804761828569,0.2238027108715141,1.4401645996461911,0.0,0.0,1.4004219935320044,0.2167811306555635,10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,2.0,40.586,2.0,4.0,0.0,0.0,2.0,159.608,1.0,5.0,0.0,0.0,2.0,6.146,3.0,6.0,1.0,0.0,2.0,468.677,7.0,7.0,1.0,0.0,2.0,0.05,1.0,1.0,0.0,0.0,2.0,48.191,3.0,2.0,0.0,0.0,2.0,430.34,6.0,3.0,0.0,0.0,2.0,194.209,4.0,3.875,0.25,0.0,2.0,168.475875,3.375,2.03100960115899,0.4629100498862757,0.0,0.0,187.07405077397064,2.1998376563477846,0.2238027108715141,1.4401645996461911,0.0,0.0,0.9350747124404478,0.6525137662324878,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,2.0,106.753,4.0,5.0,0.0,0.0,3.0,197.267,5.0,6.0,1.0,0.0,3.0,739.361,7.0,7.0,1.0,0.0,3.0,530.273,4.0,1.0,0.0,0.0,3.0,35.125,1.0,2.0,0.0,0.0,3.0,357.722,2.0,3.0,0.0,0.0,3.0,150.165,10.0,4.0,0.0,0.0,3.0,849.616,11.0,4.0,0.25,0.0,2.875,370.78525,5.5,2.0,0.4629100498862757,0.0,0.3535533905932738,305.1689629878363,3.585685828003181,0.0,1.4401645996461911,0.0,-2.8284271247461903,0.614751405949096,0.4957985342424151,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1
6.0,1.0,0.0,4.0,3385.192,9.0,7.0,1.0,0.0,4.0,712.49,9.0,1.0,0.0,0.0,4.0,845.382,4.0,2.0,0.0,0.0,4.0,1006.686,12.0,3.0,0.0,0.0,4.0,1806.602,8.0,4.0,0.0,0.0,4.0,1457.513,19.0,5.0,0.0,0.0,4.0,1762.085,9.0,6.0,1.0,0.0,4.0,1020.821,11.0,4.25,0.375,0.0,4.0,1499.596375,10.125,2.1213203435596424,0.5175491695067657,0.0,0.0,865.2096356224786,4.290770826519903,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.692173737090923,1.1155606138108924,2.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,452.038,13.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,2519.5,13.0,1.0,0.0,0.0,1.0,149.031,5.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,1742.435,16.0,4.0,0.0,0.0,1.0,1981.449,1.0,5.0,0.0,0.0,1.0,1297.405,10.0,4.125,0.25,0.0,1.0,1017.73225,7.25,2.03100960115899,0.4629100498862757,0.0,0.0,995.2513669374111,6.541078984824621,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.3361190667752424,0.0362419977141405,-2.0,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
6.0,1.0,0.0,2.0,825.246,7.0,7.0,1.0,0.0,2.0,144.208,3.0,1.0,0.0,0.0,2.0,100.749,1.0,2.0,0.0,0.0,2.0,625.4,6.0,3.0,0.0,0.0,2.0,1106.599,6.0,4.0,0.0,0.0,2.0,2069.096,3.0,5.0,0.0,0.0,2.0,369.04,7.0,6.0,1.0,1.0,2.0,0.0,0.0,4.25,0.375,0.125,2.0,655.04225,4.125,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.0,687.8922008692829,2.748376143938713,-0.3142696805273544,0.6440611887195306,2.8284271247461903,0.0,1.3554696384864944,-0.3930969394322862,7.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1
2.0,0.0,0.0,4.0,886.253,6.0,3.0,0.0,0.0,4.0,961.874,2.0,4.0,0.0,0.0,4.0,1161.403,12.0,5.0,0.0,0.0,4.0,77.789,10.0,6.0,1.0,0.0,4.0,1861.425,10.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,1857.343,11.0,2.0,0.0,0.0,4.0,536.435,14.0,3.75,0.25,0.0,4.0,917.81525,8.125,2.1213203435596424,0.4629100498862757,0.0,0.0,710.0164910814698,4.969550137731641,0.3142696805273544,1.4401645996461911,0.0,0.0,0.1397666190422656,-0.7416096578759107,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
