week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
6.0,1.0,1.0,4.0,1702.18,7.0,7.0,1.0,1.0,4.0,861.624,9.0,1.0,0.0,1.0,4.0,543.91,4.0,2.0,0.0,1.0,4.0,1328.498,2.0,3.0,0.0,1.0,4.0,775.212,6.0,4.0,0.0,1.0,4.0,457.434,7.0,5.0,0.0,1.0,4.0,0.2,4.0,6.0,1.0,1.0,4.0,77.278,7.0,4.25,0.375,1.0,4.0,718.2919999999999,5.75,2.1213203435596424,0.5175491695067657,0.0,0.0,584.2188868605425,2.2519832529192065,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.5025006670895791,-0.3877646227998158,-2.0,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,1.0,4.0,1328.498,2.0,3.0,0.0,1.0,4.0,775.212,6.0,4.0,0.0,1.0,4.0,457.434,7.0,5.0,0.0,1.0,4.0,0.2,4.0,6.0,1.0,1.0,4.0,77.278,7.0,7.0,1.0,1.0,4.0,723.898,9.0,1.0,0.0,1.0,4.0,2629.137,4.0,2.0,0.0,1.0,4.0,2116.787,28.0,3.75,0.25,1.0,4.0,1013.5555,8.375,2.1213203435596424,0.4629100498862757,0.0,0.0,947.1685054856924,8.227783940492639,0.3142696805273544,1.4401645996461911,0.0,0.0,0.7889650259121812,2.4326156052972894,9.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,2,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
6.0,1.0,0.0,4.0,454.081,13.0,7.0,1.0,0.0,4.0,1391.038,5.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.05,1.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,811.459,7.0,5.0,0.0,0.0,4.0,396.638,7.0,6.0,1.0,0.0,4.0,1044.423,9.0,4.25,0.375,0.0,4.0,512.211125,5.25,2.1213203435596424,0.5175491695067657,0.0,0.0,527.6499376032338,4.6827952580239325,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.5853383825571276,0.3018882321059472,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,358.261,8.0,1.0,0.0,0.0,4.0,697.298,9.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,83.755,8.0,4.0,0.0,0.0,4.0,1117.831,10.0,5.0,0.0,0.0,4.0,216.049,2.0,6.0,1.0,0.0,4.0,130.546,4.0,4.25,0.375,0.0,4.0,325.4675,5.125,2.1213203435596424,0.5175491695067657,0.0,0.0,394.1397811469573,4.120939559996343,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.4220991808167247,-0.2166361497172892,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,1.0,658.056,9.0,6.0,1.0,0.0,1.0,63.754,6.0,7.0,1.0,0.0,1.0,492.091,10.0,1.0,0.0,0.0,1.0,1060.887,7.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,288.292,7.0,5.0,0.0,0.0,1.0,0.0,0.0,4.125,0.25,0.0,1.0,320.385,4.875,2.03100960115899,0.4629100498862757,0.0,0.0,390.3619093987381,4.223657859520077,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.0695727559700945,-0.3088091762367582,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,873.004,5.0,4.25,0.375,0.25,2.0,109.1255,0.625,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,308.6535242014904,1.7677669529663689,-0.3142696805273544,0.6440611887195306,1.4401645996461911,0.0,2.8284271247461903,2.82842712474619,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1
1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,6.0,1.0,1.0,2.0,873.004,5.0,7.0,1.0,1.0,2.0,391.331,6.0,1.0,0.0,1.0,2.0,494.842,6.0,3.625,0.25,0.5,2.0,219.897125,2.125,2.2638462845343543,0.4629100498862757,0.5345224838248488,0.0,332.37383769202563,2.948970764763288,0.2262499558606612,1.4401645996461911,0.0,0.0,1.303309672627209,0.684469482346721,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,2052.804,18.0,3.0,0.0,0.0,3.0,970.729,15.0,4.0,0.0,0.0,3.0,652.68,11.0,5.0,0.0,0.0,3.0,437.474,11.0,6.0,1.0,0.0,3.0,253.308,7.0,7.0,1.0,0.0,3.0,165.878,11.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,234.71,7.0,3.75,0.25,0.0,3.0,595.947875,10.0,2.1213203435596424,0.4629100498862757,0.0,0.0,663.2422544962496,5.477225575051661,0.3142696805273544,1.4401645996461911,0.0,0.0,1.8034480394957852,-0.479909288480717,0.0,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,3.0,437.474,11.0,6.0,1.0,0.0,3.0,253.308,7.0,7.0,1.0,0.0,3.0,165.878,11.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,234.71,7.0,3.0,0.0,0.0,3.0,70.342,2.0,4.0,0.0,0.0,3.0,651.433,5.0,5.0,0.0,0.0,3.0,105.055,7.0,4.125,0.25,0.0,3.0,239.775,6.25,2.03100960115899,0.4629100498862757,0.0,0.0,213.32933526826545,3.882193783343198,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.098539882279889,-0.3491454349297222,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,234.71,7.0,3.0,0.0,0.0,3.0,70.342,2.0,4.0,0.0,0.0,3.0,651.433,5.0,5.0,0.0,0.0,3.0,105.055,7.0,6.0,1.0,0.0,3.0,983.669,30.0,7.0,1.0,0.0,3.0,231.599,5.0,1.0,0.0,0.0,3.0,571.419,10.0,3.625,0.25,0.0,3.0,356.028375,8.25,2.2638462845343543,0.4629100498862757,0.0,0.0,344.1658921134804,9.315885051121782,0.2262499558606612,1.4401645996461911,0.0,0.0,0.9113602919059972,2.2184329833672725,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1
