week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_sum_10_17_t-7_encoded,unlock_num_sum_10_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_sum_10_17_t-6_encoded,unlock_num_sum_10_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_sum_10_17_t-5_encoded,unlock_num_sum_10_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_sum_10_17_t-4_encoded,unlock_num_sum_10_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_sum_10_17_t-3_encoded,unlock_num_sum_10_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_sum_10_17_t-2_encoded,unlock_num_sum_10_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_sum_10_17_t-1_encoded,unlock_num_sum_10_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_sum_10_17_t-0_encoded,unlock_num_sum_10_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_sum_10_17_mean_encoded,unlock_num_sum_10_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_sum_10_17_std_encoded,unlock_num_sum_10_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_sum_10_17_skew_encoded,unlock_num_sum_10_17_skew_encoded,anomaly_encoded
4.0,0.0,0.0,3.0,222.835,5.0,5.0,0.0,0.0,3.0,843.353,17.0,6.0,1.0,0.0,3.0,891.066,10.0,7.0,1.0,0.0,3.0,27.276000000000003,5.0,1.0,0.0,0.0,3.0,181.409,4.0,2.0,0.0,0.0,3.0,556.874,9.0,3.0,0.0,0.0,3.0,1136.033,19.0,4.0,0.0,0.0,3.0,155.088,2.0,4.0,0.25,0.0,3.0,501.74175,8.875,2.0,0.4629100498862757,0.0,0.0,413.9229032443292,6.220645350076516,0.0,1.4401645996461911,0.0,0.0,0.4061060054503965,0.8060006224168746,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,1.0,3.0,0.05,1.0,7.0,1.0,1.0,3.0,3015.7119999999995,10.0,1.0,0.0,1.0,3.0,1267.68,9.0,2.0,0.0,1.0,3.0,225.64,4.0,3.0,0.0,1.0,3.0,333.593,1.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,4.25,0.375,1.0,3.25,605.334375,3.125,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,1064.511390708692,4.155461122770509,-0.3142696805273544,0.6440611887195306,0.0,1.4401645996461911,2.105266044870366,1.1086692720252154,10.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1
4.0,0.0,0.0,1.0,244.906,8.0,5.0,0.0,0.0,1.0,327.144,6.0,6.0,1.0,0.0,1.0,110.196,5.0,7.0,1.0,0.0,1.0,418.054,5.0,1.0,0.0,0.0,1.0,401.722,12.0,2.0,0.0,0.0,1.0,473.108,6.0,3.0,0.0,0.0,1.0,725.0229999999999,15.0,4.0,0.0,0.0,1.0,138.589,5.0,4.0,0.25,0.0,1.0,354.84275,7.75,2.0,0.4629100498862757,0.0,0.0,198.8123449319914,3.770183777256185,0.0,1.4401645996461911,0.0,0.0,0.645502339144894,1.3675139460242882,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,1.0,2.0,343.45000000000005,3.0,7.0,1.0,1.0,2.0,6001.441000000001,44.0,1.0,0.0,0.0,2.0,913.187,23.0,2.0,0.0,0.0,2.0,718.6800000000001,12.0,3.0,0.0,0.0,2.0,810.8620000000001,9.0,4.0,0.0,0.0,2.0,58.451,3.0,5.0,0.0,0.0,2.0,1315.324,18.0,6.0,1.0,0.0,3.0,2672.862,20.0,4.25,0.375,0.25,2.125,1604.2821250000002,16.5,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.3535533905932738,1943.1593024931212,13.384425917567668,-0.3142696805273544,0.6440611887195306,1.4401645996461911,2.8284271247461903,2.0507033231069296,1.2459433185527051,1.0,-1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,2,1,1,2,2,1,1,0
1.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,1311.541,4.0,2.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,1.0,4.0,106.75,1.0,4.0,0.0,1.0,4.0,0.0,0.0,3.25,0.25,1.0,3.75,177.286375,0.625,2.2519832529192065,0.4629100498862757,0.0,0.4629100498862757,459.8278695176327,1.407885953173359,0.7880377818189804,1.4401645996461911,0.0,-1.4401645996461911,2.792631818405908,2.5275900725748475,6.0,-1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,0,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,0
6.0,1.0,0.0,2.0,1346.6709999999998,4.0,7.0,1.0,0.0,2.0,200.076,4.0,1.0,0.0,0.0,2.0,269.182,2.0,2.0,0.0,0.0,2.0,222.094,2.0,3.0,0.0,0.0,2.0,43.153,3.0,4.0,0.0,0.0,2.0,2262.539,11.0,5.0,0.0,0.0,2.0,668.3829999999999,3.0,6.0,1.0,0.0,2.0,594.751,4.0,4.25,0.375,0.0,2.0,700.856125,4.125,2.1213203435596424,0.5175491695067657,0.0,0.0,752.8187899010791,2.900123150094541,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.5521033477104145,2.365372867438868,-1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,2.0,317.228,2.0,3.0,0.0,0.0,2.0,153.876,3.0,4.0,0.0,0.0,2.0,249.04,1.0,5.0,0.0,0.0,2.0,419.303,2.0,6.0,1.0,0.0,2.0,180.464,2.0,7.0,1.0,0.0,2.0,707.356,4.0,1.0,0.0,0.0,2.0,341.276,4.0,2.0,0.0,0.0,2.0,296.041,3.0,3.75,0.25,0.0,2.0,333.073,2.625,2.1213203435596424,0.4629100498862757,0.0,0.0,173.89476128887347,1.0606601717798212,0.3142696805273544,1.4401645996461911,0.0,0.0,1.5618352171882404,0.0448956686467649,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,0.0,2.0,419.303,2.0,6.0,1.0,0.0,2.0,180.464,2.0,7.0,1.0,0.0,2.0,707.356,4.0,1.0,0.0,0.0,2.0,341.276,4.0,2.0,0.0,0.0,2.0,296.041,3.0,3.0,0.0,0.0,2.0,0.05,1.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,188.952,3.0,4.125,0.25,0.0,2.0,266.68025,2.375,2.03100960115899,0.4629100498862757,0.0,0.0,232.8704019043026,1.407885953173359,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7623290694930398,-0.4799221656787685,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,2.0,341.276,4.0,2.0,0.0,0.0,2.0,296.041,3.0,3.0,0.0,0.0,2.0,0.05,1.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,188.952,3.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,228.263,2.0,1.0,0.0,0.0,2.0,227.181,5.0,3.625,0.25,0.0,2.0,160.220375,2.25,2.2638462845343543,0.4629100498862757,0.0,0.0,140.490517254915,1.8322507626258089,0.2262499558606612,1.4401645996461911,0.0,0.0,-0.223609343400157,0.0696736369672104,8.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,2.0,750.099,2.0,3.0,0.0,0.0,2.0,16.284000000000002,2.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,218.96,4.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,781.8829999999999,4.0,1.0,0.0,0.0,2.0,264.819,3.0,2.0,0.0,0.0,2.0,4038.567,27.0,3.75,0.25,0.0,2.0,758.8265,5.25,2.1213203435596424,0.4629100498862757,0.0,0.0,1362.5506252811306,8.924284685220275,0.3142696805273544,1.4401645996461911,0.0,0.0,2.538892124011618,2.65733322532311,6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1
