week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
3.0,0.0,0.0,3.0,27.543,9.0,4.0,0.0,0.0,3.0,210.079,4.0,5.0,0.0,0.0,3.0,357.599,6.0,6.0,1.0,0.0,3.0,654.861,4.0,7.0,1.0,0.0,3.0,18.615,2.0,1.0,0.0,0.0,3.0,600.1,3.0,2.0,0.0,0.0,3.0,0.1,2.0,3.0,0.0,0.0,3.0,0.1,2.0,3.875,0.25,0.0,3.0,233.62462500000004,4.0,2.03100960115899,0.4629100498862757,0.0,0.0,273.9746083609822,2.449489742783178,0.2238027108715141,1.4401645996461911,0.0,0.0,0.7566577533589516,1.3997084244475302,-5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,3.0,242.427,3.0,1.0,0.0,0.0,3.0,215.308,5.0,2.0,0.0,0.0,3.0,0.1,2.0,3.0,0.0,0.0,3.0,193.642,7.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,713.632,9.0,6.0,1.0,0.0,3.0,1055.784,9.0,7.0,1.0,0.0,3.0,13.873,2.0,4.375,0.375,0.0,3.0,304.34575,4.625,2.2638462845343543,0.5175491695067657,0.0,0.0,382.8013063907959,3.420004177106889,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.391213242001353,0.1977587870769016,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,3.0,119.039,8.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,209.17,3.0,2.0,0.0,0.0,3.0,2.621,5.0,3.0,0.0,0.0,3.0,18.016,6.0,4.0,0.0,0.0,3.0,183.166,6.0,5.0,0.0,0.0,3.0,23.081,3.0,6.0,1.0,0.0,3.0,197.808,4.0,4.25,0.375,0.0,3.0,94.112625,4.375,2.1213203435596424,0.5175491695067657,0.0,0.0,93.04902688051452,2.445841952609133,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.2273101088084247,-0.4235027919189189,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,490.356,5.0,5.0,0.0,0.0,3.0,44.094,4.0,6.0,1.0,0.0,3.0,1151.658,6.0,7.0,1.0,0.0,3.0,302.417,5.0,1.0,0.0,0.0,3.0,489.564,10.0,2.0,0.0,0.0,3.0,482.455,5.0,3.0,0.0,0.0,3.0,1946.087,5.0,4.0,0.0,0.0,3.0,0.05,1.0,4.0,0.25,0.0,3.0,613.335125,5.125,2.0,0.4629100498862757,0.0,0.0,644.8051782343557,2.4748737341529163,0.0,1.4401645996461911,0.0,0.0,1.4721934390163762,0.564271800397095,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5.0,0.0,1.0,4.0,556.892,13.0,6.0,1.0,1.0,4.0,77.734,8.0,7.0,1.0,1.0,4.0,1337.308,7.0,1.0,0.0,1.0,4.0,1057.445,4.0,2.0,0.0,1.0,4.0,344.3,5.0,3.0,0.0,1.0,4.0,114.074,4.0,4.0,0.0,1.0,4.0,21.179,5.0,5.0,0.0,1.0,4.0,1034.921,12.0,4.125,0.25,1.0,4.0,567.981625,7.25,2.03100960115899,0.4629100498862757,0.0,0.0,513.3912838547049,3.5355339059327378,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.4059336934791253,0.8889342392059455,-2.0,1,1,1,2,1,1,1,1,1,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,436.676,6.0,7.0,1.0,0.0,4.0,235.964,7.0,1.0,0.0,0.0,4.0,584.41,6.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,402.792,6.0,4.0,0.0,0.0,4.0,283.822,3.0,5.0,0.0,0.0,4.0,226.985,8.0,6.0,1.0,0.0,4.0,0.2,4.0,4.25,0.375,0.0,4.0,271.356125,5.0,2.1213203435596424,0.5175491695067657,0.0,0.0,204.64092836857824,2.5634797778466227,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.0573148121148936,-1.0854810401467745,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
7.0,1.0,0.0,4.0,174.083,3.0,1.0,0.0,0.0,4.0,1274.072,9.0,2.0,0.0,0.0,4.0,431.811,13.0,3.0,0.0,0.0,4.0,253.047,5.0,4.0,0.0,0.0,4.0,2220.535,4.0,5.0,0.0,0.0,4.0,210.519,9.0,6.0,1.0,0.0,4.0,1195.377,13.0,7.0,1.0,0.0,4.0,43.211,7.0,4.375,0.375,0.0,4.0,725.331875,7.875,2.2638462845343543,0.5175491695067657,0.0,0.0,765.4218764941588,3.833592123769634,-0.2262499558606612,0.6440611887195306,0.0,0.0,1.2147313586996626,0.2488077577675149,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,1.0,350.962,4.0,5.0,0.0,0.0,1.0,496.912,6.0,6.0,1.0,0.0,1.0,572.516,9.0,7.0,1.0,0.0,1.0,1765.0,1.0,1.0,0.0,0.0,1.0,0.2,4.0,2.0,0.0,0.0,1.0,220.452,4.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,817.505,3.0,4.0,0.25,0.0,1.0,527.9433750000001,3.875,2.0,0.4629100498862757,0.0,0.0,573.2383352650194,2.799872446074234,0.0,1.4401645996461911,0.0,0.0,1.606450623776447,0.5345183297926184,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,2.0,1350.301,7.0,7.0,1.0,0.0,2.0,0.1,2.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,419.998,5.0,3.0,0.0,0.0,2.0,850.076,8.0,4.0,0.0,0.0,2.0,254.317,5.0,5.0,0.0,0.0,2.0,1646.646,7.0,6.0,1.0,0.0,2.0,45.005,6.0,4.25,0.375,0.0,2.0,570.8053749999999,5.0,2.1213203435596424,0.5175491695067657,0.0,0.0,642.976977279444,2.7255405754769875,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.8514698068273564,-1.016029918668936,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.75,0.25,0.0,3.0,0.0,0.0,2.1213203435596424,0.4629100498862757,0.0,0.0,0.0,0.0,0.3142696805273544,1.4401645996461911,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,3.0,832.338,11.0,4.0,0.0,0.0,3.0,926.323,3.0,5.0,0.0,0.0,3.0,278.055,7.0,6.0,1.0,0.0,3.0,713.171,15.0,7.0,1.0,0.0,3.0,256.806,12.0,1.0,0.0,0.0,3.0,1871.023,10.0,2.0,0.0,0.0,3.0,764.132,24.0,3.0,0.0,0.0,3.0,1753.579,13.0,3.875,0.25,0.0,3.0,924.428375,11.875,2.03100960115899,0.4629100498862757,0.0,0.0,600.6971130787337,6.151364540838538,0.2238027108715141,1.4401645996461911,0.0,0.0,0.7348843585770265,0.8120606021092455,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,3.0,1143.334,22.0,5.0,0.0,0.0,3.0,623.269,9.0,6.0,1.0,0.0,3.0,751.175,15.0,7.0,1.0,0.0,3.0,711.437,3.0,1.0,0.0,0.0,3.0,433.851,12.0,2.0,0.0,0.0,3.0,189.405,4.0,3.0,0.0,0.0,3.0,170.854,5.0,4.0,0.0,0.0,3.0,601.737,14.0,4.0,0.25,0.0,3.0,578.13275,10.5,2.0,0.4629100498862757,0.0,0.0,317.93148526091954,6.524678426668135,0.0,1.4401645996461911,0.0,0.0,0.3491559600711104,0.5431109288988205,0.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,4.0,782.099,15.0,7.0,1.0,0.0,4.0,893.234,11.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,649.871,18.0,3.0,0.0,0.0,4.0,963.272,9.0,4.0,0.0,0.0,4.0,114.695,6.0,5.0,0.0,0.0,4.0,1216.331,14.0,6.0,1.0,0.0,4.0,1430.266,10.0,4.25,0.375,0.0,4.0,756.221,10.375,2.1213203435596424,0.5175491695067657,0.0,0.0,496.14029637305504,5.629958132298016,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.4407131752352333,-0.6543465467065794,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,538.716,14.0,7.0,1.0,0.0,1.0,1418.486,12.0,1.0,0.0,0.0,1.0,152.436,10.0,2.0,0.0,0.0,1.0,165.312,10.0,3.0,0.0,0.0,1.0,1244.391,14.0,4.0,0.0,0.0,1.0,139.315,3.0,5.0,0.0,0.0,1.0,363.402,13.0,6.0,1.0,0.0,1.0,817.595,6.0,4.25,0.375,0.0,1.0,604.956625,10.25,2.1213203435596424,0.5175491695067657,0.0,0.0,506.1821150218389,3.955105199973465,-0.3142696805273544,0.6440611887195306,0.0,0.0,0.7585511384617455,-1.0044240390249746,-4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,427.741,9.0,4.0,0.0,0.0,1.0,229.554,5.0,5.0,0.0,0.0,1.0,146.103,5.0,6.0,1.0,0.0,1.0,315.697,4.0,7.0,1.0,0.0,1.0,733.359,15.0,1.0,0.0,0.0,1.0,667.067,7.0,2.0,0.0,0.0,1.0,132.226,4.0,3.0,0.0,0.0,1.0,380.102,9.0,3.875,0.25,0.0,1.0,378.981125,7.25,2.03100960115899,0.4629100498862757,0.0,0.0,224.37519292944356,3.732100136460895,0.2238027108715141,1.4401645996461911,0.0,0.0,0.6287163918476812,1.409806347406293,0.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.875,0.25,0.0,4.0,0.0,0.0,2.03100960115899,0.4629100498862757,0.0,0.0,0.0,0.0,0.2238027108715141,1.4401645996461911,0.0,0.0,0.0,0.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
