week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target,anomaly,week_t-7_encoded,is_weekend_t-7_encoded,is_holiday_t-7_encoded,season_t-7_encoded,unlock_duration_hr_17_t-7_encoded,unlock_num_hr_17_t-7_encoded,week_t-6_encoded,is_weekend_t-6_encoded,is_holiday_t-6_encoded,season_t-6_encoded,unlock_duration_hr_17_t-6_encoded,unlock_num_hr_17_t-6_encoded,week_t-5_encoded,is_weekend_t-5_encoded,is_holiday_t-5_encoded,season_t-5_encoded,unlock_duration_hr_17_t-5_encoded,unlock_num_hr_17_t-5_encoded,week_t-4_encoded,is_weekend_t-4_encoded,is_holiday_t-4_encoded,season_t-4_encoded,unlock_duration_hr_17_t-4_encoded,unlock_num_hr_17_t-4_encoded,week_t-3_encoded,is_weekend_t-3_encoded,is_holiday_t-3_encoded,season_t-3_encoded,unlock_duration_hr_17_t-3_encoded,unlock_num_hr_17_t-3_encoded,week_t-2_encoded,is_weekend_t-2_encoded,is_holiday_t-2_encoded,season_t-2_encoded,unlock_duration_hr_17_t-2_encoded,unlock_num_hr_17_t-2_encoded,week_t-1_encoded,is_weekend_t-1_encoded,is_holiday_t-1_encoded,season_t-1_encoded,unlock_duration_hr_17_t-1_encoded,unlock_num_hr_17_t-1_encoded,week_t-0_encoded,is_weekend_t-0_encoded,is_holiday_t-0_encoded,season_t-0_encoded,unlock_duration_hr_17_t-0_encoded,unlock_num_hr_17_t-0_encoded,week_mean_encoded,is_weekend_mean_encoded,is_holiday_mean_encoded,season_mean_encoded,unlock_duration_hr_17_mean_encoded,unlock_num_hr_17_mean_encoded,week_std_encoded,is_weekend_std_encoded,is_holiday_std_encoded,season_std_encoded,unlock_duration_hr_17_std_encoded,unlock_num_hr_17_std_encoded,week_skew_encoded,is_weekend_skew_encoded,is_holiday_skew_encoded,season_skew_encoded,unlock_duration_hr_17_skew_encoded,unlock_num_hr_17_skew_encoded,anomaly_encoded
6.0,1.0,0.0,4.0,83.62,2.0,7.0,1.0,0.0,4.0,73.232,4.0,1.0,0.0,0.0,4.0,234.425,3.0,2.0,0.0,0.0,4.0,10.212,2.0,3.0,0.0,0.0,4.0,28.463,1.0,4.0,0.0,0.0,4.0,6.767,1.0,5.0,0.0,0.0,4.0,580.96,2.0,6.0,1.0,0.0,4.0,805.032,4.0,4.25,0.375,0.0,4.0,227.83887500000003,2.375,2.1213203435596424,0.5175491695067657,0.0,0.0,302.0352745210105,1.1877349391654208,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.3867061805200345,0.3943257160632513,-10.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2.0,0.0,0.0,1.0,210.642,2.0,3.0,0.0,0.0,1.0,172.197,3.0,4.0,0.0,0.0,1.0,7.365,1.0,5.0,0.0,0.0,1.0,39.187,3.0,6.0,1.0,0.0,1.0,388.21,8.0,7.0,1.0,0.0,1.0,2972.849,2.0,1.0,0.0,0.0,1.0,165.668,8.0,2.0,0.0,0.0,1.0,336.594,9.0,3.75,0.25,0.0,1.0,536.589,4.5,2.1213203435596424,0.4629100498862757,0.0,0.0,992.9371489072208,3.251373336211726,0.3142696805273544,1.4401645996461911,0.0,0.0,2.732438827010298,0.531999727765834,-2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,388.21,8.0,7.0,1.0,0.0,1.0,2972.849,2.0,1.0,0.0,0.0,1.0,165.668,8.0,2.0,0.0,0.0,1.0,336.594,9.0,3.0,0.0,0.0,1.0,125.118,5.0,4.0,0.0,0.0,1.0,24.925,3.0,5.0,0.0,0.0,1.0,27.548,1.0,6.0,1.0,0.0,1.0,0.0,0.0,4.25,0.375,0.0,1.0,505.114,4.5,2.1213203435596424,0.5175491695067657,0.0,0.0,1007.4857691902438,3.5050983275386565,-0.3142696805273544,0.6440611887195306,0.0,0.0,2.7154974584817206,0.1061576562153406,-1.0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
3.0,0.0,0.0,1.0,0.1,2.0,4.0,0.0,0.0,1.0,389.11,8.0,5.0,0.0,0.0,1.0,365.08,6.0,6.0,1.0,0.0,1.0,87.085,2.0,7.0,1.0,0.0,1.0,615.575,6.0,1.0,0.0,0.0,1.0,402.541,5.0,2.0,0.0,0.0,1.0,210.801,5.0,3.0,0.0,0.0,1.0,182.61,2.0,3.875,0.25,0.0,1.0,281.61275,4.5,2.03100960115899,0.4629100498862757,0.0,0.0,198.7759647124298,2.2677868380553634,0.2238027108715141,1.4401645996461911,0.0,0.0,0.23871020265529,0.0489953946493442,11.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
6.0,1.0,0.0,1.0,87.085,2.0,7.0,1.0,0.0,1.0,615.575,6.0,1.0,0.0,0.0,1.0,402.541,5.0,2.0,0.0,0.0,1.0,210.801,5.0,3.0,0.0,0.0,1.0,182.61,2.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,14.83,4.0,6.0,1.0,0.0,1.0,54.901,7.0,4.25,0.375,0.0,1.0,196.042875,3.875,2.1213203435596424,0.5175491695067657,0.0,0.0,214.51296538467088,2.356601669474803,-0.3142696805273544,0.6440611887195306,0.0,0.0,1.255366472150215,-0.4134243559066641,-9.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,2.0,29.357,2.0,5.0,0.0,0.0,2.0,1583.791,6.0,6.0,1.0,0.0,2.0,0.05,1.0,7.0,1.0,0.0,2.0,367.854,4.0,1.0,0.0,0.0,2.0,1109.245,12.0,2.0,0.0,0.0,2.0,235.656,4.0,3.0,0.0,0.0,2.0,214.4,4.0,4.0,0.0,0.0,2.0,76.188,3.0,4.0,0.25,0.0,2.0,452.067625,4.5,2.0,0.4629100498862757,0.0,0.0,579.085661571742,3.3806170189140663,0.0,1.4401645996461911,0.0,0.0,1.459713970635497,1.789614134387634,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
6.0,1.0,0.0,4.0,871.613,4.0,7.0,1.0,0.0,4.0,1635.662,13.0,1.0,0.0,0.0,4.0,1448.326,1.0,2.0,0.0,0.0,4.0,327.062,3.0,3.0,0.0,0.0,4.0,1627.438,13.0,4.0,0.0,0.0,4.0,17.691,3.0,5.0,0.0,0.0,4.0,928.395,13.0,6.0,1.0,0.0,4.0,1421.85,13.0,4.25,0.375,0.0,4.0,1034.754625,7.875,2.1213203435596424,0.5175491695067657,0.0,0.0,610.2016290084398,5.540435774506241,-0.3142696805273544,0.6440611887195306,0.0,0.0,-0.7194060286473892,-0.0855732068032251,-6.0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,926.61,3.0,6.0,1.0,0.0,1.0,185.137,7.0,7.0,1.0,0.0,1.0,377.349,3.0,1.0,0.0,1.0,1.0,619.581,12.0,2.0,0.0,1.0,1.0,779.501,5.0,3.0,0.0,1.0,1.0,807.756,11.0,4.0,0.0,1.0,1.0,927.31,8.0,4.0,0.25,0.5,1.0,577.9055,6.125,2.0,0.4629100498862757,0.5345224838248488,0.0,352.0048598337407,4.155461122770509,0.0,1.4401645996461911,0.0,0.0,-0.6821357354581313,0.0893405765784629,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1
1.0,0.0,0.0,1.0,19.529,2.0,2.0,0.0,0.0,1.0,514.214,14.0,3.0,0.0,0.0,1.0,1461.285,5.0,4.0,0.0,0.0,1.0,1608.661,3.0,5.0,0.0,0.0,1.0,2140.744,5.0,6.0,1.0,0.0,1.0,1009.261,10.0,7.0,1.0,0.0,1.0,877.119,14.0,1.0,0.0,0.0,1.0,867.213,7.0,3.625,0.25,0.0,1.0,1062.25325,7.5,2.2638462845343543,0.4629100498862757,0.0,0.0,663.7205214207796,4.69041575982343,0.2262499558606612,1.4401645996461911,0.0,0.0,0.1100102845153597,0.5094666468757444,-10.0,-1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,0
4.0,0.0,0.0,1.0,1608.661,3.0,5.0,0.0,0.0,1.0,2140.744,5.0,6.0,1.0,0.0,1.0,1009.261,10.0,7.0,1.0,0.0,1.0,877.119,14.0,1.0,0.0,0.0,1.0,867.213,7.0,2.0,0.0,0.0,1.0,2181.661,17.0,3.0,0.0,0.0,1.0,58.711,3.0,4.0,0.0,0.0,1.0,152.49,3.0,4.0,0.25,0.0,1.0,1111.9825,7.75,2.0,0.4629100498862757,0.0,0.0,811.0736480739589,5.4182232195751086,0.0,1.4401645996461911,0.0,0.0,0.1266389358649332,0.8433286855338813,5.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
