week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
6.0,1.0,0.0,3.0,32.381,1.0,7.0,1.0,0.0,3.0,977.909,20.0,1.0,0.0,0.0,3.0,649.869,9.0,2.0,0.0,0.0,3.0,1740.94,19.0,3.0,0.0,0.0,3.0,1218.132,9.0,4.0,0.0,0.0,3.0,905.209,23.0,5.0,0.0,0.0,3.0,59.917,6.0,6.0,1.0,0.0,3.0,1329.645,23.0,4.25,0.375,0.0,3.0,864.25025,13.75,2.1213203435596424,0.5175491695067657,0.0,0.0,598.7991746846947,8.49789889998026,-0.31426968052735443,0.6440611887195306,0.0,0.0,-0.2532022681867562,-0.24233604156124824,3.0
2.0,0.0,0.0,3.0,1740.94,19.0,3.0,0.0,0.0,3.0,1218.132,9.0,4.0,0.0,0.0,3.0,905.209,23.0,5.0,0.0,0.0,3.0,59.917,6.0,6.0,1.0,0.0,3.0,1329.645,23.0,7.0,1.0,0.0,3.0,632.41,4.0,1.0,0.0,0.0,3.0,1859.799,15.0,2.0,0.0,0.0,3.0,0.0,0.0,3.75,0.25,0.0,3.0,968.2565,12.375,2.1213203435596424,0.4629100498862757,0.0,0.0,703.4909269170224,8.879148929615141,0.31426968052735443,1.4401645996461911,0.0,0.0,-0.25307789801341535,-0.019667643595590725,-3.0
4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,1054.872,4.0,6.0,1.0,0.0,3.0,867.433,6.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,339.956,7.0,3.0,0.0,0.0,3.0,1454.256,18.0,4.0,0.0,0.0,3.0,2696.831,3.0,4.0,0.25,0.0,3.0,801.6685000000001,4.75,2.0,0.4629100498862757,0.0,0.0,943.1818422437349,6.017830648521585,0.0,1.4401645996461911,0.0,0.0,1.2388478757692936,1.7587444792219986,0.0
6.0,1.0,0.0,3.0,37.88,2.0,7.0,1.0,0.0,3.0,263.116,2.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,1373.055,6.0,3.0,0.0,1.0,3.0,779.787,5.0,4.0,0.0,1.0,3.0,938.183,6.0,5.0,0.0,1.0,3.0,1114.059,4.0,6.0,1.0,1.0,3.0,1679.914,8.0,4.25,0.375,0.625,3.0,773.2492500000001,4.125,2.1213203435596424,0.5175491695067657,0.5175491695067657,0.0,623.8272821418601,2.6423744732991303,-0.31426968052735443,0.6440611887195306,-0.6440611887195306,0.0,0.009746566603878801,-0.17906083518147442,-3.0
6.0,1.0,1.0,3.0,1679.914,8.0,7.0,1.0,1.0,3.0,24.569,1.0,1.0,0.0,1.0,3.0,1037.247,3.0,2.0,0.0,1.0,3.0,2409.546,10.0,3.0,0.0,1.0,3.0,376.138,3.0,4.0,0.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,4.0,247.545,1.0,6.0,1.0,1.0,4.0,162.0,1.0,4.25,0.375,1.0,3.25,742.119875,3.375,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,888.6245390160872,3.6620642110310255,-0.31426968052735443,0.6440611887195306,0.0,1.4401645996461911,1.178901757592248,1.2060896192159856,0.0
7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,937.035,5.0,2.0,0.0,1.0,4.0,2184.563,10.0,3.0,0.0,1.0,4.0,519.431,8.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,1288.575,15.0,6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,4.375,0.375,1.0,4.0,616.2005,4.75,2.2638462845343543,0.5175491695067657,0.0,0.0,805.6017925375503,5.775564289066727,-0.22624995586066124,0.6440611887195306,0.0,0.0,1.186942888368942,0.8178886945400127,-6.0
5.0,0.0,1.0,4.0,1288.575,15.0,6.0,1.0,1.0,4.0,0.0,0.0,7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,1725.453,4.0,2.0,0.0,1.0,4.0,12.988,2.0,3.0,0.0,1.0,4.0,742.271,14.0,4.0,0.0,1.0,4.0,643.607,12.0,5.0,0.0,1.0,4.0,493.743,9.0,4.125,0.25,1.0,4.0,613.3296250000001,7.0,2.03100960115899,0.4629100498862757,0.0,0.0,636.6625929346469,6.25642526870234,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7425485394899646,0.11666838105630661,-7.0
5.0,0.0,1.0,4.0,493.743,9.0,6.0,1.0,0.0,4.0,676.496,8.0,7.0,1.0,0.0,4.0,752.089,9.0,1.0,0.0,0.0,4.0,634.967,13.0,2.0,0.0,0.0,4.0,777.911,9.0,3.0,0.0,0.0,4.0,595.636,5.0,4.0,0.0,0.0,4.0,660.227,9.0,5.0,0.0,0.0,4.0,201.642,8.0,4.125,0.25,0.125,4.0,599.088875,8.75,2.03100960115899,0.4629100498862757,0.3535533905932738,0.0,183.41095854270424,2.187627547301936,-0.2238027108715141,1.4401645996461911,2.8284271247461903,0.0,-1.6644050186859016,0.42300305436802865,-4.0
3.0,0.0,0.0,1.0,364.768,6.0,4.0,0.0,0.0,1.0,519.674,8.0,5.0,0.0,0.0,1.0,12.911,1.0,6.0,1.0,0.0,1.0,1179.656,5.0,7.0,1.0,0.0,1.0,53.074,2.0,1.0,0.0,0.0,1.0,147.292,2.0,2.0,0.0,0.0,1.0,406.903,9.0,3.0,0.0,0.0,1.0,1112.527,10.0,3.875,0.25,0.0,1.0,474.60062500000004,5.375,2.03100960115899,0.4629100498862757,0.0,0.0,450.5082631606019,3.4615231989895516,0.2238027108715141,1.4401645996461911,0.0,0.0,0.833635941640138,0.01937415397854409,13.0
6.0,1.0,0.0,1.0,985.145,21.0,7.0,1.0,0.0,1.0,1998.551,21.0,1.0,0.0,0.0,1.0,963.431,15.0,2.0,0.0,0.0,1.0,1577.588,30.0,3.0,0.0,0.0,1.0,2086.78,6.0,4.0,0.0,0.0,1.0,1591.074,33.0,5.0,0.0,0.0,2.0,2603.507,8.0,6.0,1.0,0.0,2.0,232.535,21.0,4.25,0.375,0.0,1.25,1504.826375,19.375,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,754.4315813072094,9.515964030437033,-0.31426968052735443,0.6440611887195306,0.0,1.4401645996461911,-0.3166527475705729,-0.04565287103788619,-1.0
