week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target
5.0,0.0,1.0,4.0,1432.122,20.0,6.0,1.0,1.0,4.0,4735.174,37.0,7.0,1.0,1.0,4.0,4717.225,26.0,1.0,0.0,1.0,4.0,4199.051,22.0,2.0,0.0,1.0,4.0,5580.444,24.0,3.0,0.0,1.0,4.0,2979.143,24.0,4.0,0.0,1.0,4.0,2359.951,20.0,5.0,0.0,1.0,4.0,7757.528999999999,38.0,4.125,0.25,1.0,4.0,4220.079875,26.375,2.03100960115899,0.4629100498862757,0.0,0.0,1987.4523240705087,7.170126518110701,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.41310539622553744,1.1066815726666628,9.0
2.0,0.0,0.0,4.0,2065.224,17.0,3.0,0.0,0.0,1.0,5291.99,21.0,4.0,0.0,0.0,1.0,5509.137,24.0,5.0,0.0,0.0,1.0,3802.936,36.0,6.0,1.0,0.0,1.0,5746.639,28.0,7.0,1.0,1.0,1.0,4151.897000000001,52.0,1.0,0.0,1.0,1.0,3386.594,31.0,2.0,0.0,1.0,1.0,4309.497,30.0,3.75,0.25,0.375,1.375,4282.9892500000005,29.875,2.1213203435596424,0.4629100498862757,0.5175491695067657,1.0606601717798212,1232.5431037951862,10.76286605483343,0.31426968052735443,1.4401645996461911,0.6440611887195306,2.8284271247461903,-0.5833978625897964,1.2251300178711308,3.0
3.0,0.0,0.0,2.0,5467.427,47.0,4.0,0.0,0.0,2.0,2095.461,30.0,5.0,0.0,0.0,2.0,2232.816,42.0,6.0,1.0,0.0,2.0,4812.694,23.0,7.0,1.0,0.0,2.0,5193.846,23.0,1.0,0.0,0.0,2.0,2636.617,31.0,2.0,0.0,0.0,2.0,3202.873,34.0,3.0,0.0,0.0,2.0,6870.858,40.0,3.875,0.25,0.0,2.0,4064.0739999999996,33.75,2.03100960115899,0.4629100498862757,0.0,0.0,1760.3772484179149,8.74642784226795,0.2238027108715141,1.4401645996461911,0.0,0.0,0.3288923932281402,0.1633319858500084,-8.0
4.0,0.0,0.0,3.0,1311.4820000000002,27.0,5.0,0.0,0.0,3.0,4510.334,35.0,6.0,1.0,0.0,3.0,5463.936,58.0,7.0,1.0,0.0,3.0,4064.969,50.0,1.0,0.0,0.0,3.0,4110.243,41.0,2.0,0.0,0.0,3.0,3933.473,55.0,3.0,0.0,0.0,3.0,3179.862,38.0,4.0,0.0,0.0,3.0,2651.316,54.0,4.0,0.25,0.0,3.0,3653.2018749999997,44.75,2.0,0.4629100498862757,0.0,0.0,1263.8886776581278,11.106626078928869,0.0,1.4401645996461911,0.0,0.0,-0.679175055299801,-0.3531593459179435,6.0
4.0,0.0,0.0,3.0,5619.665,80.0,5.0,0.0,0.0,3.0,4721.648999999999,85.0,6.0,1.0,0.0,3.0,5575.32,57.0,7.0,1.0,0.0,3.0,2605.6,41.0,1.0,0.0,0.0,3.0,5616.076,71.0,2.0,0.0,0.0,3.0,6319.978,60.0,3.0,0.0,0.0,3.0,1709.005,24.0,4.0,0.0,0.0,3.0,2442.2340000000004,32.0,4.0,0.25,0.0,3.0,4326.190875,56.25,2.0,0.4629100498862757,0.0,0.0,1788.3817552429455,22.307910192190956,0.0,1.4401645996461911,0.0,0.0,-0.5148528801622694,-0.18748004150883096,1.0
5.0,0.0,1.0,4.0,10785.686,9.0,6.0,1.0,1.0,4.0,13956.099,70.0,7.0,1.0,0.0,4.0,3950.107,38.0,1.0,0.0,0.0,4.0,5364.755,62.0,2.0,0.0,0.0,4.0,3431.0370000000003,40.0,3.0,0.0,0.0,4.0,2381.897,37.0,4.0,0.0,0.0,4.0,3251.352,35.0,5.0,0.0,0.0,4.0,17622.548000000003,69.0,4.125,0.25,0.25,4.0,7592.935125,45.0,2.03100960115899,0.4629100498862757,0.4629100498862757,0.0,5767.362468041138,20.784609690826528,-0.2238027108715141,1.4401645996461911,1.4401645996461911,0.0,0.937568064301246,-0.3028034149916489,0.0
5.0,0.0,0.0,1.0,4975.77,14.0,6.0,1.0,0.0,1.0,4406.971,26.0,7.0,1.0,0.0,1.0,984.583,5.0,1.0,0.0,0.0,1.0,1401.79,7.0,2.0,0.0,0.0,1.0,542.049,2.0,3.0,0.0,0.0,1.0,1085.575,6.0,4.0,0.0,0.0,1.0,1577.415,8.0,5.0,0.0,0.0,1.0,691.71,7.0,4.125,0.25,0.0,1.0,1958.232875,9.375,2.03100960115899,0.4629100498862757,0.0,0.0,1726.9164277584844,7.52021086330506,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.311962302170561,1.8547219585408539,-5.0
4.0,0.0,0.0,2.0,6003.708,33.0,5.0,0.0,0.0,2.0,2470.475,31.0,6.0,1.0,0.0,2.0,2486.489,48.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1989.585,9.0,2.0,0.0,0.0,2.0,3183.838,15.0,3.0,0.0,0.0,2.0,3077.112,17.0,4.0,0.0,0.0,2.0,1164.577,29.0,4.0,0.25,0.0,2.0,2546.973,22.75,2.0,0.4629100498862757,0.0,0.0,1746.5861825744528,15.350663084793997,0.0,1.4401645996461911,0.0,0.0,0.7998558902641599,0.15540510348581318,-1.0
4.0,0.0,0.0,2.0,1164.577,29.0,5.0,0.0,0.0,2.0,5341.182,13.0,6.0,1.0,0.0,2.0,2285.829,32.0,7.0,1.0,0.0,2.0,1775.071,9.0,1.0,0.0,0.0,2.0,4103.911999999999,10.0,2.0,0.0,0.0,2.0,5602.244000000001,28.0,3.0,0.0,0.0,2.0,3207.604,29.0,4.0,0.0,0.0,2.0,6878.631,19.0,4.0,0.25,0.0,2.0,3794.88125,21.125,2.0,0.4629100498862757,0.0,0.0,2031.2869178985138,9.493418773023762,0.0,1.4401645996461911,0.0,0.0,0.2017799820617406,-0.2488036483533922,0.0
6.0,1.0,0.0,4.0,3602.421,10.0,7.0,1.0,0.0,4.0,966.883,16.0,1.0,0.0,0.0,4.0,4835.148,35.0,2.0,0.0,0.0,4.0,1600.66,21.0,3.0,0.0,0.0,4.0,3050.857,24.0,4.0,0.0,0.0,4.0,1286.061,17.0,5.0,0.0,0.0,4.0,871.8929999999999,22.0,6.0,1.0,0.0,4.0,1657.8719999999998,35.0,4.25,0.375,0.0,4.0,2233.974375,22.5,2.1213203435596424,0.5175491695067657,0.0,0.0,1434.192388528116,8.831760866327848,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.9587863112394133,0.41807152029954303,1.0
