week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target
6.0,1.0,0.0,1.0,4427.194,73.0,7.0,1.0,0.0,1.0,9370.348,60.0,1.0,0.0,0.0,1.0,7457.986,87.0,2.0,0.0,0.0,1.0,4595.877,90.0,3.0,0.0,0.0,1.0,9594.96,61.0,4.0,0.0,0.0,1.0,7070.593,56.0,5.0,0.0,0.0,1.0,7104.202,62.0,6.0,1.0,0.0,1.0,9291.885,56.0,4.25,0.375,0.0,1.0,7364.130625,68.125,2.1213203435596424,0.5175491695067657,0.0,0.0,2041.3267995119486,13.663690152057335,-0.31426968052735443,0.6440611887195306,0.0,0.0,-0.4534002769409777,0.9419345102252873,0.0
2.0,0.0,0.0,1.0,4595.877,90.0,3.0,0.0,0.0,1.0,9594.96,61.0,4.0,0.0,0.0,1.0,7070.593,56.0,5.0,0.0,0.0,1.0,7104.202,62.0,6.0,1.0,0.0,1.0,9291.885,56.0,7.0,1.0,0.0,1.0,10635.345,69.0,1.0,0.0,0.0,1.0,14034.835,67.0,2.0,0.0,0.0,1.0,5415.007,53.0,3.75,0.25,0.0,1.0,8467.838,64.25,2.1213203435596424,0.4629100498862757,0.0,0.0,3065.071788596569,11.78073487884836,0.31426968052735443,1.4401645996461911,0.0,0.0,0.6147821759534894,1.701968313015232,7.0
5.0,0.0,0.0,2.0,6909.755,28.0,6.0,1.0,0.0,2.0,7260.637,35.0,7.0,1.0,0.0,2.0,6074.686,52.0,1.0,0.0,0.0,2.0,7398.999000000001,44.0,2.0,0.0,0.0,2.0,7246.271000000001,44.0,3.0,0.0,0.0,2.0,4033.031,32.0,4.0,0.0,0.0,2.0,9037.202,50.0,5.0,0.0,0.0,2.0,11889.143,58.0,4.125,0.25,0.0,2.0,7481.2155,42.875,2.03100960115899,0.4629100498862757,0.0,0.0,2272.707663386938,10.46678419709566,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7369850776746749,-0.07996733277716545,-10.0
4.0,0.0,0.0,3.0,5831.887000000001,63.0,5.0,0.0,0.0,3.0,4421.702,59.0,6.0,1.0,0.0,3.0,11509.717,86.0,7.0,1.0,0.0,3.0,8572.204,67.0,1.0,0.0,0.0,3.0,5005.491,50.0,2.0,0.0,0.0,3.0,7550.189,97.0,3.0,0.0,0.0,3.0,6099.508,76.0,4.0,0.0,0.0,3.0,4912.478,57.0,4.0,0.25,0.0,3.0,6737.897000000001,69.375,2.0,0.4629100498862757,0.0,0.0,2382.115073499539,15.882942332667998,0.0,1.4401645996461911,0.0,0.0,1.277406015589749,0.7325707553215892,2.0
2.0,0.0,0.0,3.0,7550.189,97.0,3.0,0.0,0.0,3.0,6099.508,76.0,4.0,0.0,0.0,3.0,4912.478,57.0,5.0,0.0,0.0,3.0,5122.771,66.0,6.0,1.0,0.0,3.0,6374.065,89.0,7.0,1.0,0.0,3.0,8498.89,64.0,1.0,0.0,0.0,3.0,3961.314,69.0,2.0,0.0,0.0,3.0,7649.455,89.0,3.75,0.25,0.0,3.0,6271.08375,75.875,2.1213203435596424,0.4629100498862757,0.0,0.0,1560.157943494527,14.307215961584859,0.31426968052735443,1.4401645996461911,0.0,0.0,-0.0291001329965487,0.27721949644474375,-3.0
5.0,0.0,0.0,3.0,7336.833,67.0,6.0,1.0,0.0,3.0,9218.869,79.0,7.0,1.0,0.0,3.0,8705.972,74.0,1.0,0.0,0.0,3.0,5468.29,77.0,2.0,0.0,0.0,3.0,3868.968,49.0,3.0,0.0,0.0,3.0,6484.868,50.0,4.0,0.0,0.0,3.0,5745.870000000001,68.0,5.0,0.0,0.0,3.0,4085.748,72.0,4.125,0.25,0.0,3.0,6364.42725,67.0,2.03100960115899,0.4629100498862757,0.0,0.0,1971.0809026103093,11.538754575033526,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.21611979266308845,-0.935827449278355,-2.0
5.0,0.0,0.0,3.0,4605.97,53.0,6.0,1.0,0.0,3.0,5299.53,50.0,7.0,1.0,0.0,3.0,12616.225,74.0,1.0,0.0,0.0,3.0,10636.058,66.0,2.0,0.0,0.0,3.0,6678.408,39.0,3.0,0.0,0.0,3.0,8315.493,47.0,4.0,0.0,0.0,3.0,1225.528,7.0,5.0,0.0,0.0,3.0,3149.507,27.0,4.125,0.25,0.0,3.0,6565.839875000001,45.375,2.03100960115899,0.4629100498862757,0.0,0.0,3815.058232995269,21.306856709921874,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.31745487421849133,-0.5946988839887457,12.0
6.0,1.0,0.0,4.0,7837.586,40.0,7.0,1.0,0.0,4.0,6019.599,50.0,1.0,0.0,0.0,4.0,5601.124,50.0,2.0,0.0,0.0,4.0,5572.834,50.0,3.0,0.0,0.0,4.0,6399.803,59.0,4.0,0.0,0.0,4.0,3568.49,40.0,5.0,0.0,0.0,4.0,1693.2979999999998,21.0,6.0,1.0,0.0,4.0,3587.275,43.0,4.25,0.375,0.0,4.0,5035.001125,44.125,2.1213203435596424,0.5175491695067657,0.0,0.0,1953.3818299282502,11.306603633022858,-0.31426968052735443,0.6440611887195306,0.0,0.0,-0.4512647227969624,-1.1344266146582784,-5.0
6.0,1.0,0.0,4.0,6960.269,9.0,7.0,1.0,0.0,4.0,1727.201,6.0,1.0,0.0,0.0,4.0,7876.38,25.0,2.0,0.0,0.0,4.0,14293.326,38.0,3.0,0.0,0.0,4.0,9775.229,23.0,4.0,0.0,0.0,4.0,10841.626,33.0,5.0,0.0,0.0,4.0,6407.632,24.0,6.0,1.0,0.0,1.0,4484.083,27.0,4.25,0.375,0.0,3.625,7795.71825,23.125,2.1213203435596424,0.5175491695067657,0.0,1.0606601717798212,3888.4447524685884,10.894789055848147,-0.31426968052735443,0.6440611887195306,0.0,-2.8284271247461903,0.15316555124805406,-0.5185613360043737,-6.0
2.0,0.0,0.0,4.0,14293.326,38.0,3.0,0.0,0.0,4.0,9775.229,23.0,4.0,0.0,0.0,4.0,10841.626,33.0,5.0,0.0,0.0,4.0,6407.632,24.0,6.0,1.0,0.0,1.0,4484.083,27.0,7.0,1.0,0.0,1.0,9984.494,39.0,1.0,0.0,0.0,1.0,11494.062,47.0,2.0,0.0,0.0,1.0,6361.286,23.0,3.75,0.25,0.0,2.5,9205.21725,31.75,2.1213203435596424,0.4629100498862757,0.0,1.6035674514745464,3228.0294072611964,8.956242834709524,0.31426968052735443,1.4401645996461911,0.0,0.0,-0.007758597897242002,0.5995310710531422,8.0
