week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
5.0,0.0,0.0,3.0,1426.29,3.0,6.0,1.0,0.0,3.0,677.73,6.0,7.0,1.0,0.0,3.0,293.596,5.0,1.0,0.0,0.0,3.0,142.5,1.0,2.0,0.0,0.0,3.0,783.457,10.0,3.0,0.0,0.0,3.0,966.479,9.0,4.0,0.0,0.0,3.0,150.0,1.0,5.0,0.0,0.0,3.0,12.499,4.0,4.125,0.25,0.0,3.0,556.568875,4.875,2.03100960115899,0.4629100498862757,0.0,0.0,491.7196400035978,3.3567628964311944,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.677315027945718,0.41593539864107587,0.0
4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,2239.507,3.0,6.0,1.0,0.0,3.0,370.848,3.0,7.0,1.0,0.0,3.0,884.201,4.0,1.0,0.0,0.0,3.0,40.396,1.0,2.0,0.0,0.0,3.0,95.539,9.0,3.0,0.0,0.0,3.0,365.277,7.0,4.0,0.0,0.0,3.0,705.466,7.0,4.0,0.25,0.0,3.0,587.65425,4.25,2.0,0.4629100498862757,0.0,0.0,738.1347352261355,3.1509635714446826,0.0,1.4401645996461911,0.0,0.0,1.9076547209696972,0.20548698825217637,-7.0
6.0,1.0,0.0,3.0,451.782,5.0,7.0,1.0,0.0,3.0,946.978,8.0,1.0,0.0,1.0,3.0,532.279,6.0,2.0,0.0,1.0,3.0,67.817,1.0,3.0,0.0,1.0,3.0,628.968,5.0,4.0,0.0,1.0,3.0,244.411,3.0,5.0,0.0,1.0,3.0,0.05,1.0,6.0,1.0,1.0,3.0,651.204,8.0,4.25,0.375,0.75,3.0,440.43612499999995,4.625,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,319.89433071359116,2.774243783705493,-0.31426968052735443,0.6440611887195306,-1.4401645996461911,0.0,0.012417187164168854,-0.17813846745032122,0.0
6.0,1.0,0.0,4.0,124.064,2.0,7.0,1.0,0.0,4.0,1478.342,3.0,1.0,0.0,0.0,4.0,158.532,4.0,2.0,0.0,0.0,4.0,0.15,3.0,3.0,0.0,0.0,4.0,23.962,3.0,4.0,0.0,0.0,4.0,1070.058,6.0,5.0,0.0,0.0,4.0,272.989,7.0,6.0,1.0,0.0,4.0,458.712,6.0,4.25,0.375,0.0,4.0,448.351125,4.25,2.1213203435596424,0.5175491695067657,0.0,0.0,540.9525337173935,1.8322507626258087,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.326834671653929,0.4412663674589996,-1.0
6.0,1.0,0.0,1.0,435.214,6.0,7.0,1.0,0.0,1.0,212.546,4.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,490.483,11.0,3.0,0.0,0.0,1.0,205.004,3.0,4.0,0.0,0.0,1.0,1944.702,7.0,5.0,0.0,0.0,1.0,236.327,3.0,6.0,1.0,0.0,1.0,464.348,12.0,4.25,0.375,0.0,1.0,498.57800000000003,5.75,2.1213203435596424,0.5175491695067657,0.0,0.0,607.3222784582453,4.131758532565592,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.4091906786990682,0.4151939562844925,-3.0
4.0,0.0,0.0,1.0,375.727,3.0,5.0,0.0,0.0,1.0,448.654,6.0,6.0,1.0,0.0,1.0,261.519,10.0,7.0,1.0,0.0,1.0,0.05,1.0,1.0,0.0,0.0,1.0,300.885,7.0,2.0,0.0,0.0,1.0,59.761,5.0,3.0,0.0,0.0,1.0,207.387,6.0,4.0,0.0,0.0,1.0,808.966,3.0,4.0,0.25,0.0,1.0,307.868625,5.125,2.0,0.4629100498862757,0.0,0.0,251.8863619349791,2.799872446074234,0.0,1.4401645996461911,0.0,0.0,0.9937039963586499,0.29858177630729216,0.0
5.0,0.0,0.0,1.0,211.836,2.0,6.0,1.0,0.0,1.0,56.808,2.0,7.0,1.0,0.0,1.0,372.929,11.0,1.0,0.0,0.0,1.0,599.479,7.0,2.0,0.0,0.0,1.0,39.827,1.0,3.0,0.0,0.0,1.0,94.458,8.0,4.0,0.0,0.0,2.0,275.058,4.0,5.0,0.0,0.0,2.0,1429.62,2.0,4.125,0.25,0.0,1.25,385.00187500000004,4.625,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,461.47588571434517,3.6228441865473595,-0.2238027108715141,1.4401645996461911,0.0,1.4401645996461911,2.0200766546039715,0.8363406806288016,0.0
5.0,0.0,0.0,2.0,0.05,1.0,6.0,1.0,0.0,2.0,118.252,7.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1018.963,5.0,2.0,0.0,0.0,2.0,328.645,7.0,3.0,0.0,0.0,2.0,328.458,6.0,4.0,0.0,0.0,2.0,234.429,6.0,5.0,0.0,0.0,2.0,25.218,3.0,4.125,0.25,0.0,2.0,256.751875,4.375,2.03100960115899,0.4629100498862757,0.0,0.0,337.2963995824264,2.7222627143085005,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.9588644152486292,-0.7532713131838346,0.0
1.0,0.0,0.0,2.0,1304.109,7.0,2.0,0.0,0.0,2.0,581.274,5.0,3.0,0.0,0.0,2.0,1192.854,4.0,4.0,0.0,0.0,2.0,1052.532,7.0,5.0,0.0,0.0,2.0,398.714,3.0,6.0,1.0,0.0,2.0,798.749,7.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.625,0.25,0.0,2.0,666.029,4.125,2.2638462845343543,0.4629100498862757,0.0,0.0,509.55440076404005,2.948970764763288,0.22624995586066124,1.4401645996461911,0.0,0.0,-0.2080634737779864,-0.5187484886554498,0.0
4.0,0.0,0.0,2.0,1052.532,7.0,5.0,0.0,0.0,2.0,398.714,3.0,6.0,1.0,0.0,2.0,798.749,7.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,7.026,1.0,3.0,0.0,0.0,2.0,344.584,5.0,4.0,0.0,0.0,2.0,29.477,2.0,4.0,0.25,0.0,2.0,328.88525,3.125,2.0,0.4629100498862757,0.0,0.0,406.9272942679248,2.9001231500945415,0.0,1.4401645996461911,0.0,0.0,0.9941580138148064,0.3975232024200883,0.0
