week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
3.0,0.0,0.0,3.0,,,4.0,0.0,0.0,3.0,,,5.0,0.0,0.0,3.0,,,6.0,1.0,0.0,3.0,,,7.0,1.0,0.0,3.0,,,1.0,0.0,0.0,3.0,,,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,605.757,6.0,3.875,0.25,0.0,3.0,302.8785,3.0,2.03100960115899,0.4629100498862757,0.0,0.0,428.3348824512194,4.242640687119285,0.2238027108715141,1.4401645996461911,0.0,0.0,,,-10.0
4.0,0.0,0.0,3.0,1319.138,6.0,5.0,0.0,0.0,3.0,1170.348,4.0,6.0,1.0,0.0,3.0,661.688,7.0,7.0,1.0,0.0,3.0,1310.41,5.0,1.0,0.0,0.0,3.0,244.611,3.0,2.0,0.0,0.0,3.0,1740.369,4.0,3.0,0.0,0.0,3.0,789.08,5.0,4.0,0.0,0.0,3.0,608.938,8.0,4.0,0.25,0.0,3.0,980.57275,5.25,2.0,0.4629100498862757,0.0,0.0,486.21468934992373,1.6690459207925603,0.0,1.4401645996461911,0.0,0.0,0.05095361578762487,0.4608805303963677,11.0
5.0,0.0,0.0,3.0,1002.154,7.0,6.0,1.0,0.0,3.0,1145.151,3.0,7.0,1.0,0.0,3.0,291.3,2.0,1.0,0.0,0.0,3.0,702.994,5.0,2.0,0.0,0.0,3.0,374.887,8.0,3.0,0.0,0.0,3.0,1026.765,4.0,4.0,0.0,0.0,3.0,152.339,2.0,5.0,0.0,0.0,3.0,0.0,0.0,4.125,0.25,0.0,3.0,586.94875,3.875,2.03100960115899,0.4629100498862757,0.0,0.0,440.2374074544487,2.6958963523950885,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.0278395951102517,0.2925549374318837,-4.0
6.0,1.0,1.0,4.0,167.333,3.0,7.0,1.0,1.0,4.0,2363.526,15.0,1.0,0.0,1.0,4.0,810.228,8.0,2.0,0.0,1.0,4.0,827.121,2.0,3.0,0.0,1.0,4.0,1897.018,11.0,4.0,0.0,1.0,4.0,755.144,12.0,5.0,0.0,1.0,4.0,784.909,5.0,6.0,1.0,0.0,4.0,872.792,12.0,4.25,0.375,0.875,4.0,1059.758875,8.5,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.0,708.8129742912114,4.750939756661683,-0.31426968052735443,0.6440611887195306,-2.8284271247461903,0.0,1.0743523283549907,-0.19183413213887904,4.0
3.0,0.0,0.0,4.0,397.954,6.0,4.0,0.0,0.0,4.0,0.05,1.0,5.0,0.0,0.0,4.0,1507.414,5.0,6.0,1.0,0.0,4.0,240.006,2.0,7.0,1.0,0.0,4.0,2483.016,2.0,1.0,0.0,0.0,4.0,286.115,4.0,2.0,0.0,0.0,4.0,704.305,4.0,3.0,0.0,0.0,4.0,384.475,1.0,3.875,0.25,0.0,4.0,750.416875,3.125,2.03100960115899,0.4629100498862757,0.0,0.0,834.4681928288113,1.8850918886280925,0.2238027108715141,1.4401645996461911,0.0,0.0,1.6017819257951258,0.2745690768820696,6.0
4.0,0.0,0.0,2.0,201.215,3.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,95.65,3.0,2.0,0.0,0.0,2.0,186.844,3.0,3.0,0.0,0.0,2.0,248.29,5.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.25,0.0,2.0,91.499875,1.75,2.0,0.4629100498862757,0.0,0.0,106.38017146125023,1.9820624179302297,0.0,1.4401645996461911,0.0,0.0,0.4711202424793169,0.4586590719177391,0.0
3.0,0.0,0.0,2.0,122.938,1.0,4.0,0.0,0.0,2.0,995.372,4.0,5.0,0.0,0.0,2.0,799.69,3.0,6.0,1.0,0.0,2.0,421.0,1.0,7.0,1.0,0.0,2.0,147.542,2.0,1.0,0.0,0.0,2.0,648.973,2.0,2.0,0.0,0.0,2.0,536.273,16.0,3.0,0.0,0.0,2.0,1288.841,7.0,3.875,0.25,0.0,2.0,620.078625,4.5,2.03100960115899,0.4629100498862757,0.0,0.0,403.25084486243526,5.0426750270636544,0.2238027108715141,1.4401645996461911,0.0,0.0,0.35123762766878525,2.10339581989879,7.0
5.0,0.0,0.0,4.0,1227.691,8.0,6.0,1.0,0.0,4.0,151.533,1.0,7.0,1.0,0.0,4.0,374.231,2.0,1.0,0.0,0.0,4.0,341.772,7.0,2.0,0.0,0.0,4.0,243.137,4.0,3.0,0.0,0.0,4.0,4.474,3.0,4.0,0.0,0.0,4.0,180.32,3.0,5.0,0.0,0.0,4.0,259.45,4.0,4.125,0.25,0.0,4.0,347.82599999999996,4.0,2.03100960115899,0.4629100498862757,0.0,0.0,373.8116781505285,2.390457218668787,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.2849196069809077,0.752994023880668,-6.0
4.0,0.0,0.0,4.0,1314.858,8.0,5.0,0.0,0.0,4.0,1231.706,5.0,6.0,1.0,0.0,4.0,742.895,1.0,7.0,1.0,0.0,4.0,594.377,5.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,1004.888,8.0,3.0,0.0,0.0,4.0,1181.943,10.0,4.0,0.0,0.0,4.0,2049.008,9.0,4.0,0.25,0.0,4.0,1014.9593749999999,5.75,2.0,0.4629100498862757,0.0,0.0,599.4295977257849,3.693623849670827,0.0,1.4401645996461911,0.0,0.0,0.006531983678207737,-0.6208519899723558,3.0
4.0,0.0,0.0,1.0,331.043,2.0,5.0,0.0,0.0,1.0,1264.691,5.0,6.0,1.0,0.0,1.0,697.81,4.0,7.0,1.0,0.0,1.0,822.265,5.0,1.0,0.0,0.0,1.0,294.634,4.0,2.0,0.0,0.0,1.0,0.05,1.0,3.0,0.0,0.0,1.0,182.686,4.0,4.0,0.0,0.0,1.0,412.794,5.0,4.0,0.25,0.0,1.0,500.746625,3.75,2.0,0.4629100498862757,0.0,0.0,406.5000645847559,1.4880476182856899,0.0,1.4401645996461911,0.0,0.0,0.892428276641089,-1.1706181055400433,0.0
