week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
6.0,1.0,0.0,3.0,,,7.0,1.0,0.0,3.0,,,1.0,0.0,0.0,3.0,,,2.0,0.0,0.0,3.0,,,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,67.079,6.0,6.0,1.0,0.0,3.0,1730.506,12.0,4.25,0.375,0.0,3.0,449.39625,4.5,2.1213203435596424,0.5175491695067657,0.0,0.0,854.6583430862397,5.744562646538029,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.9918623720763604,0.8545630383279712,-9.0
5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,210.637,11.0,7.0,1.0,0.0,3.0,104.237,4.0,1.0,0.0,0.0,3.0,166.376,7.0,2.0,0.0,0.0,3.0,805.568,9.0,3.0,0.0,0.0,3.0,472.173,1.0,4.0,0.0,0.0,3.0,887.177,8.0,5.0,0.0,0.0,3.0,728.118,3.0,4.125,0.25,0.0,3.0,421.78575,5.375,2.03100960115899,0.4629100498862757,0.0,0.0,348.2229408819873,3.9618718519695424,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.2393802751741322,-0.021536343241262215,-2.0
5.0,0.0,0.0,1.0,1452.925,6.0,6.0,1.0,0.0,1.0,306.095,4.0,7.0,1.0,0.0,1.0,364.906,9.0,1.0,0.0,0.0,1.0,1824.69,4.0,2.0,0.0,0.0,1.0,1193.442,5.0,3.0,0.0,0.0,1.0,222.816,7.0,4.0,0.0,0.0,1.0,87.471,3.0,5.0,0.0,0.0,1.0,392.962,4.0,4.125,0.25,0.0,1.0,730.663375,5.25,2.03100960115899,0.4629100498862757,0.0,0.0,658.1797990952965,1.9820624179302297,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.8178777416452542,1.009049958219026,3.0
6.0,1.0,0.0,1.0,932.485,18.0,7.0,1.0,0.0,1.0,752.785,11.0,1.0,0.0,0.0,1.0,11.955,1.0,2.0,0.0,0.0,1.0,193.254,2.0,3.0,0.0,0.0,1.0,524.227,3.0,4.0,0.0,0.0,1.0,1228.045,11.0,5.0,0.0,0.0,1.0,751.884,2.0,6.0,1.0,0.0,1.0,292.182,10.0,4.25,0.375,0.0,1.0,585.852125,7.25,2.1213203435596424,0.5175491695067657,0.0,0.0,407.348605214059,6.135377506140689,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.11451056148291923,0.6253587721981883,7.0
2.0,0.0,0.0,1.0,193.254,2.0,3.0,0.0,0.0,1.0,524.227,3.0,4.0,0.0,0.0,1.0,1228.045,11.0,5.0,0.0,0.0,1.0,751.884,2.0,6.0,1.0,0.0,1.0,292.182,10.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,428.029,4.0,2.0,0.0,0.0,1.0,670.925,11.0,3.75,0.25,0.0,1.0,511.06825,5.375,2.1213203435596424,0.4629100498862757,0.0,0.0,380.7471188994268,4.533604683755678,0.31426968052735443,1.4401645996461911,0.0,0.0,0.724588292338222,0.42256120455083535,-2.0
3.0,0.0,0.0,1.0,816.611,14.0,4.0,0.0,0.0,1.0,1179.373,7.0,5.0,0.0,0.0,1.0,1264.801,20.0,6.0,1.0,0.0,1.0,1763.518,3.0,7.0,1.0,0.0,1.0,1805.865,6.0,1.0,0.0,0.0,1.0,1035.964,11.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,935.327,8.0,3.875,0.25,0.0,1.0,1100.1823749999999,8.625,2.03100960115899,0.4629100498862757,0.0,0.0,572.3994412920149,6.323143431644016,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.7220786534672958,0.6014472249812307,-4.0
5.0,0.0,0.0,3.0,196.722,8.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,841.932,7.0,1.0,0.0,0.0,3.0,734.677,6.0,2.0,0.0,0.0,3.0,585.702,14.0,3.0,0.0,0.0,3.0,73.841,4.0,4.0,0.0,0.0,3.0,260.353,5.0,5.0,0.0,0.0,3.0,1812.017,4.0,4.125,0.25,0.0,3.0,563.1555,6.0,2.03100960115899,0.4629100498862757,0.0,0.0,591.5880581449513,4.035556254807296,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.47363123841381,0.8346856888982772,10.0
1.0,0.0,0.0,3.0,734.677,6.0,2.0,0.0,0.0,3.0,585.702,14.0,3.0,0.0,0.0,3.0,73.841,4.0,4.0,0.0,0.0,3.0,260.353,5.0,5.0,0.0,0.0,3.0,1812.017,4.0,6.0,1.0,0.0,3.0,1310.909,18.0,7.0,1.0,0.0,3.0,1446.059,12.0,1.0,0.0,0.0,3.0,394.641,12.0,3.625,0.25,0.0,3.0,827.2748750000001,9.375,2.2638462845343543,0.4629100498862757,0.0,0.0,624.4631659622156,5.31675249968034,0.22624995586066124,1.4401645996461911,0.0,0.0,0.4686961486351545,0.43593360902830147,-10.0
2.0,0.0,1.0,4.0,2090.152,4.0,3.0,0.0,1.0,4.0,535.397,17.0,4.0,0.0,1.0,4.0,408.92,4.0,5.0,0.0,1.0,4.0,974.448,14.0,6.0,1.0,1.0,4.0,743.288,20.0,7.0,1.0,1.0,4.0,2997.141,4.0,1.0,0.0,1.0,4.0,1399.822,41.0,2.0,0.0,1.0,4.0,898.507,3.0,3.75,0.25,1.0,4.0,1255.959375,13.375,2.1213203435596424,0.4629100498862757,0.0,0.0,882.7575200288077,13.048672619958596,0.31426968052735443,1.4401645996461911,0.0,0.0,1.2952232281781244,1.5287444615967787,8.0
5.0,0.0,1.0,4.0,974.448,14.0,6.0,1.0,1.0,4.0,743.288,20.0,7.0,1.0,1.0,4.0,2997.141,4.0,1.0,0.0,1.0,4.0,1399.822,41.0,2.0,0.0,1.0,4.0,898.507,3.0,3.0,0.0,1.0,4.0,259.02,11.0,4.0,0.0,1.0,4.0,575.519,7.0,5.0,0.0,1.0,4.0,1402.22,7.0,4.125,0.25,1.0,4.0,1156.245625,13.375,2.03100960115899,0.4629100498862757,0.0,0.0,838.4509045827886,12.477837495793436,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.6985738420995413,1.8530848088990663,-7.0
