week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target
5.0,0.0,0.0,3.0,6284.392,226.0,6.0,1.0,0.0,3.0,7382.52,270.0,7.0,1.0,0.0,3.0,8662.841,212.0,1.0,0.0,0.0,3.0,5217.767,161.0,2.0,0.0,0.0,3.0,6524.0830000000005,232.0,3.0,0.0,0.0,3.0,4028.655,163.0,4.0,0.0,0.0,3.0,7362.096,218.0,5.0,0.0,0.0,3.0,4875.756,209.0,4.125,0.25,0.0,3.0,6292.26375,211.375,2.03100960115899,0.4629100498862757,0.0,0.0,1525.5725110728338,35.864576634094774,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.009298100240493571,-0.11301361439175765,0.0
5.0,0.0,0.0,3.0,5161.403,238.0,6.0,1.0,0.0,3.0,6644.0,299.0,7.0,1.0,0.0,3.0,6922.727999999999,315.0,1.0,0.0,0.0,3.0,6715.629999999999,178.0,2.0,0.0,0.0,3.0,5452.528,256.0,3.0,0.0,0.0,3.0,3648.029,203.0,4.0,0.0,0.0,3.0,6783.507,276.0,5.0,0.0,0.0,3.0,5968.689,229.0,4.125,0.25,0.0,3.0,5912.064249999999,249.25,2.03100960115899,0.4629100498862757,0.0,0.0,1125.4224217512726,46.76919010264282,-0.2238027108715141,1.4401645996461911,0.0,0.0,-1.2721090694118744,-0.08106755588491987,-7.0
6.0,1.0,0.0,3.0,9274.731,198.0,7.0,1.0,0.0,3.0,5239.485000000001,214.0,1.0,0.0,0.0,3.0,5989.201999999999,180.0,2.0,0.0,0.0,3.0,9249.935,214.0,3.0,0.0,0.0,3.0,10085.986,233.0,4.0,0.0,0.0,3.0,9870.98,247.0,5.0,0.0,0.0,3.0,9011.714,297.0,6.0,1.0,0.0,3.0,9087.522,228.0,4.25,0.375,0.0,3.0,8476.194375000001,226.375,2.1213203435596424,0.5175491695067657,0.0,0.0,1816.3980328912287,35.29847224536981,-0.31426968052735443,0.6440611887195306,0.0,0.0,-1.3047781042821887,1.0176041264416247,-1.0
2.0,0.0,0.0,3.0,9249.935,214.0,3.0,0.0,0.0,3.0,10085.986,233.0,4.0,0.0,0.0,3.0,9870.98,247.0,5.0,0.0,0.0,3.0,9011.714,297.0,6.0,1.0,0.0,3.0,9087.522,228.0,7.0,1.0,0.0,3.0,5951.978,199.0,1.0,0.0,0.0,3.0,11705.771,191.0,2.0,0.0,0.0,3.0,7852.596,267.0,3.75,0.25,0.0,3.0,9102.06025,234.5,2.1213203435596424,0.4629100498862757,0.0,0.0,1684.088433977669,35.32704346531139,0.31426968052735443,1.4401645996461911,0.0,0.0,-0.5642072319588541,0.6241910449561537,7.0
3.0,0.0,1.0,3.0,5491.092999999999,179.0,4.0,0.0,1.0,3.0,3763.902,100.0,5.0,0.0,1.0,3.0,10065.982,208.0,6.0,1.0,1.0,3.0,6590.553,258.0,7.0,1.0,1.0,3.0,8600.522,223.0,1.0,0.0,1.0,3.0,10207.39,310.0,2.0,0.0,1.0,3.0,14696.978,218.0,3.0,0.0,1.0,3.0,5703.348,120.0,3.875,0.25,1.0,3.0,8139.971,202.0,2.03100960115899,0.4629100498862757,0.0,0.0,3498.8681853632525,68.85803200374356,0.2238027108715141,1.4401645996461911,0.0,0.0,0.7889664900426219,-0.10258869202072185,0.0
6.0,1.0,1.0,3.0,6590.553,258.0,7.0,1.0,1.0,3.0,8600.522,223.0,1.0,0.0,1.0,3.0,10207.39,310.0,2.0,0.0,1.0,3.0,14696.978,218.0,3.0,0.0,1.0,3.0,5703.348,120.0,4.0,0.0,1.0,3.0,9996.241999999998,218.0,5.0,0.0,1.0,4.0,4432.157999999999,107.0,6.0,1.0,1.0,4.0,6330.678000000001,195.0,4.25,0.375,1.0,3.25,8319.733625,206.125,2.1213203435596424,0.5175491695067657,0.0,0.4629100498862757,3295.606181906619,66.99133739308603,-0.31426968052735443,0.6440611887195306,0.0,1.4401645996461911,0.9638004782091979,-0.2189730398134912,0.0
2.0,0.0,1.0,3.0,14696.978,218.0,3.0,0.0,1.0,3.0,5703.348,120.0,4.0,0.0,1.0,3.0,9996.241999999998,218.0,5.0,0.0,1.0,4.0,4432.157999999999,107.0,6.0,1.0,1.0,4.0,6330.678000000001,195.0,7.0,1.0,1.0,4.0,10429.381,284.0,1.0,0.0,1.0,4.0,10732.063000000002,197.0,2.0,0.0,1.0,4.0,4263.780000000001,189.0,3.75,0.25,1.0,3.625,8323.0785,191.0,2.1213203435596424,0.4629100498862757,0.0,0.5175491695067657,3705.5094458123526,56.39148871948674,0.31426968052735443,1.4401645996461911,0.0,-0.6440611887195306,0.506426280248186,-0.11325012624334246,0.0
5.0,0.0,0.0,4.0,5757.587,249.0,6.0,1.0,0.0,4.0,2545.2480000000005,112.0,7.0,1.0,0.0,4.0,4781.903,172.0,1.0,0.0,0.0,4.0,4391.439,197.0,2.0,0.0,0.0,4.0,3820.861,153.0,3.0,0.0,0.0,4.0,2093.452,43.0,4.0,0.0,0.0,4.0,366.777,15.0,5.0,0.0,0.0,4.0,4956.655,189.0,4.125,0.25,0.0,4.0,3589.2402500000003,141.25,2.03100960115899,0.4629100498862757,0.0,0.0,1788.9637013334802,79.7581164700944,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.7641988179720617,-0.5338137309022002,-7.0
3.0,0.0,0.0,4.0,4339.523,195.0,4.0,0.0,0.0,4.0,4419.745,149.0,5.0,0.0,0.0,4.0,4124.482,184.0,6.0,1.0,0.0,4.0,5123.21,167.0,7.0,1.0,0.0,4.0,4541.832,154.0,1.0,0.0,0.0,4.0,3985.964,173.0,2.0,0.0,0.0,4.0,6113.276,204.0,3.0,0.0,0.0,4.0,3882.754,187.0,3.875,0.25,0.0,4.0,4566.34825,176.625,2.03100960115899,0.4629100498862757,0.0,0.0,734.4596152435087,19.382890098523195,0.2238027108715141,1.4401645996461911,0.0,0.0,1.5665409048962273,-0.14035672813741734,-9.0
3.0,0.0,0.0,4.0,6518.245000000001,173.0,4.0,0.0,0.0,4.0,8784.967,174.0,5.0,0.0,0.0,4.0,4049.18,97.0,6.0,1.0,0.0,4.0,4112.897,111.0,7.0,1.0,0.0,4.0,3061.101,94.0,1.0,0.0,0.0,4.0,6988.143,175.0,2.0,0.0,0.0,4.0,4463.045,150.0,3.0,0.0,0.0,4.0,9140.463,214.0,3.875,0.25,0.0,4.0,5889.755125,148.5,2.03100960115899,0.4629100498862757,0.0,0.0,2303.1821608826613,43.54636281350848,0.2238027108715141,1.4401645996461911,0.0,0.0,0.3556180573752572,-0.046806901223341246,0.0
