week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target
4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,3.0,1125.387,19.0,4.0,0.25,0.0,3.0,140.673375,2.375,2.0,0.4629100498862757,0.0,0.0,397.8843895795926,6.7175144212722016,0.0,1.4401645996461911,0.0,0.0,2.8284271247461907,2.8284271247461903,5.0
6.0,1.0,0.0,4.0,3068.121,174.0,7.0,1.0,0.0,4.0,8160.908,149.0,1.0,0.0,0.0,4.0,6227.09,265.0,2.0,0.0,0.0,4.0,2953.131,132.0,3.0,0.0,0.0,4.0,6121.172999999999,151.0,4.0,0.0,0.0,4.0,2478.611,156.0,5.0,0.0,0.0,4.0,6616.479,208.0,6.0,1.0,0.0,4.0,3112.4080000000004,192.0,4.25,0.375,0.0,4.0,4842.240125,178.375,2.1213203435596424,0.5175491695067657,0.0,0.0,2171.577843157264,42.84502804960488,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.30088084309787055,1.2633848204955431,13.0
5.0,0.0,0.0,4.0,7956.732,128.0,6.0,1.0,0.0,4.0,6602.771000000001,175.0,7.0,1.0,0.0,4.0,4296.691,95.0,1.0,0.0,0.0,4.0,8139.074,148.0,2.0,0.0,0.0,4.0,13240.065,168.0,3.0,0.0,0.0,4.0,10280.723,227.0,4.0,0.0,0.0,4.0,10505.356,304.0,5.0,0.0,0.0,4.0,20070.145,116.0,4.125,0.25,0.0,4.0,10136.444625,170.125,2.03100960115899,0.4629100498862757,0.0,0.0,4837.324860682014,67.63650219054374,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.2597050042755813,1.1790737744722006,3.0
2.0,0.0,0.0,1.0,11379.785,160.0,3.0,0.0,0.0,1.0,7165.339,136.0,4.0,0.0,0.0,1.0,4515.078,103.0,5.0,0.0,0.0,1.0,7785.349,139.0,6.0,1.0,0.0,1.0,4384.618,113.0,7.0,1.0,0.0,1.0,6733.382,69.0,1.0,0.0,0.0,1.0,9782.852,120.0,2.0,0.0,0.0,1.0,5348.632,107.0,3.75,0.25,0.0,1.0,7136.879375,118.375,2.1213203435596424,0.4629100498862757,0.0,0.0,2485.218185644411,27.526286138370146,0.31426968052735443,1.4401645996461911,0.0,0.0,0.6269819653459335,-0.35853298618315055,14.0
4.0,0.0,0.0,1.0,5256.951,115.0,5.0,0.0,0.0,1.0,4464.447,122.0,6.0,1.0,0.0,1.0,3817.988,58.0,7.0,1.0,0.0,1.0,3743.671,73.0,1.0,0.0,0.0,1.0,3659.372,109.0,2.0,0.0,0.0,1.0,6442.04,157.0,3.0,0.0,0.0,1.0,4031.043,74.0,4.0,0.0,0.0,1.0,10600.905,127.0,4.0,0.25,0.0,1.0,5252.052125,104.375,2.0,0.4629100498862757,0.0,0.0,2360.5656358991855,33.34639624992696,0.0,1.4401645996461911,0.0,0.0,2.0560839631152303,0.027983926737982723,6.0
1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,2.0,3625.746,49.0,5.0,0.0,0.0,2.0,3000.647,74.0,6.0,1.0,0.0,2.0,4476.473,83.0,7.0,1.0,0.0,2.0,4543.603,81.0,1.0,0.0,0.0,2.0,9387.67,103.0,3.625,0.25,0.0,2.0,3129.267375,48.75,2.2638462845343543,0.4629100498862757,0.0,0.0,3220.9778641951907,42.9675957637181,0.22624995586066124,1.4401645996461911,0.0,0.0,0.9039847599929891,-0.23553565519150882,0.0
4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.0,2072.436,59.0,3.0,0.0,0.0,3.0,2715.8160000000003,79.0,4.0,0.0,0.0,3.0,5901.438,116.0,4.0,0.25,0.0,3.0,1336.21125,31.75,2.0,0.4629100498862757,0.0,0.0,2145.225061479015,46.46580924261869,0.0,1.4401645996461911,0.0,0.0,1.6639398796423013,1.070267310088934,0.0
4.0,0.0,0.0,1.0,4854.714,61.0,5.0,0.0,0.0,1.0,2674.255,49.0,6.0,1.0,0.0,1.0,1752.141,42.0,7.0,1.0,0.0,1.0,2418.61,44.0,1.0,0.0,0.0,1.0,7754.192,66.0,2.0,0.0,0.0,1.0,6544.088,77.0,3.0,0.0,0.0,1.0,4745.5830000000005,53.0,4.0,0.0,0.0,1.0,6652.754,73.0,4.0,0.25,0.0,1.0,4674.542125,58.125,2.0,0.4629100498862757,0.0,0.0,2222.0030453437685,13.18481269166482,0.0,1.4401645996461911,0.0,0.0,-0.016542495221322714,0.2179516568918361,6.0
5.0,0.0,0.0,1.0,3109.333,63.0,6.0,1.0,0.0,1.0,5085.025,42.0,7.0,1.0,0.0,1.0,2023.169,21.0,1.0,0.0,0.0,1.0,4244.049999999999,46.0,2.0,0.0,0.0,1.0,6373.755999999999,65.0,3.0,0.0,0.0,1.0,5431.71,59.0,4.0,0.0,0.0,1.0,7427.558,42.0,5.0,0.0,0.0,1.0,6113.232,72.0,4.125,0.25,0.0,1.0,4975.979125,51.25,2.03100960115899,0.4629100498862757,0.0,0.0,1781.496984557525,16.61109783935341,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.4584933371004502,-0.6560522350627686,0.0
1.0,0.0,0.0,1.0,4244.049999999999,46.0,2.0,0.0,0.0,1.0,6373.755999999999,65.0,3.0,0.0,0.0,1.0,5431.71,59.0,4.0,0.0,0.0,1.0,7427.558,42.0,5.0,0.0,0.0,1.0,6113.232,72.0,6.0,1.0,0.0,1.0,5711.202,88.0,7.0,1.0,0.0,1.0,5569.993,49.0,1.0,0.0,0.0,1.0,4331.966,74.0,3.625,0.25,0.0,1.0,5650.4333750000005,61.875,2.2638462845343543,0.4629100498862757,0.0,0.0,1046.751705503532,15.869445034855055,0.22624995586066124,1.4401645996461911,0.0,0.0,0.16700648884908012,0.31799304266911305,9.0
