week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target
1.0,0.0,0.0,4.0,5682.656,67.0,2.0,0.0,0.0,4.0,5925.334000000001,37.0,3.0,0.0,0.0,4.0,6113.6230000000005,49.0,4.0,0.0,0.0,1.0,6414.6900000000005,46.0,5.0,0.0,0.0,1.0,9268.467,58.0,6.0,1.0,0.0,1.0,2949.226,57.0,7.0,1.0,0.0,1.0,5232.205,53.0,1.0,0.0,1.0,1.0,4868.032,87.0,3.625,0.25,0.125,2.125,5806.779125000001,56.75,2.2638462845343543,0.4629100498862757,0.3535533905932738,1.5526475085202969,1766.8957847854801,15.12566409403945,0.22624995586066124,1.4401645996461911,2.8284271247461903,0.6440611887195306,0.6003220351396863,1.0620568197924305,-7.0
4.0,0.0,0.0,1.0,4597.995999999999,62.0,5.0,0.0,0.0,1.0,5919.379000000001,59.0,6.0,1.0,0.0,1.0,7874.69,39.0,7.0,1.0,0.0,1.0,5450.701999999999,21.0,1.0,0.0,0.0,1.0,4310.712,50.0,2.0,0.0,0.0,1.0,4557.018,65.0,3.0,0.0,0.0,1.0,4087.455,51.0,4.0,0.0,0.0,1.0,5885.0560000000005,72.0,4.0,0.25,0.0,1.0,5335.376,52.375,2.0,0.4629100498862757,0.0,0.0,1245.6459517043472,16.265102871748812,0.0,1.4401645996461911,0.0,0.0,1.266256179150793,-0.9977901623784571,0.0
5.0,0.0,0.0,2.0,6543.15,91.0,6.0,1.0,0.0,2.0,2916.988,35.0,7.0,1.0,0.0,2.0,1238.9730000000002,16.0,1.0,0.0,0.0,2.0,5200.624,57.0,2.0,0.0,0.0,2.0,3322.0420000000004,47.0,3.0,0.0,0.0,2.0,3994.289,115.0,4.0,0.0,0.0,2.0,3831.549,60.0,5.0,0.0,0.0,2.0,4616.472,72.0,4.125,0.25,0.0,2.0,3958.010875,61.625,2.03100960115899,0.4629100498862757,0.0,0.0,1583.813816496338,31.27727381251213,-0.2238027108715141,1.4401645996461911,0.0,0.0,-0.09632536739150034,0.3824973411089764,-9.0
5.0,0.0,0.0,3.0,4894.728999999999,41.0,6.0,1.0,0.0,3.0,2135.333,25.0,7.0,1.0,0.0,3.0,2631.989,12.0,1.0,0.0,0.0,3.0,1100.008,10.0,2.0,0.0,0.0,3.0,2648.377,15.0,3.0,0.0,0.0,3.0,5005.645,25.0,4.0,0.0,0.0,3.0,3779.74,31.0,5.0,0.0,0.0,3.0,6765.85,47.0,4.125,0.25,0.0,3.0,3620.2088750000003,25.75,2.03100960115899,0.4629100498862757,0.0,0.0,1849.387837009042,13.44565782272159,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.44255076519932185,0.433899014955648,3.0
5.0,0.0,0.0,1.0,9063.479,72.0,6.0,1.0,0.0,1.0,6173.62,43.0,7.0,1.0,0.0,1.0,4576.233,27.0,1.0,0.0,0.0,1.0,7834.221,39.0,2.0,0.0,0.0,1.0,8911.344000000001,30.0,3.0,0.0,0.0,1.0,5994.597,40.0,4.0,0.0,0.0,1.0,3319.933,26.0,5.0,0.0,0.0,1.0,5124.743,26.0,4.125,0.25,0.0,1.0,6374.77125,37.875,2.03100960115899,0.4629100498862757,0.0,0.0,2073.908860638408,15.394224334377581,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.05390719945805406,1.814933413909954,0.0
1.0,0.0,0.0,2.0,7566.535,34.0,2.0,0.0,0.0,2.0,5641.865,40.0,3.0,0.0,0.0,2.0,3746.516,43.0,4.0,0.0,0.0,2.0,5044.21,52.0,5.0,0.0,0.0,2.0,6922.664000000001,45.0,6.0,1.0,0.0,2.0,6727.840999999999,29.0,7.0,1.0,0.0,2.0,4621.17,43.0,1.0,0.0,0.0,2.0,5649.081,33.0,3.625,0.25,0.0,2.0,5739.98525,39.875,2.2638462845343543,0.4629100498862757,0.0,0.0,1278.3099097023996,7.4916620318858484,0.22624995586066124,1.4401645996461911,0.0,0.0,-0.08651262248894516,0.07444908389426011,-3.0
4.0,0.0,0.0,3.0,5880.492,32.0,5.0,0.0,0.0,3.0,7189.9,46.0,6.0,1.0,0.0,3.0,6026.504000000001,20.0,7.0,1.0,0.0,3.0,1764.8,7.0,1.0,0.0,0.0,3.0,7171.496,28.0,2.0,0.0,0.0,3.0,6716.085,45.0,3.0,0.0,0.0,3.0,5804.014,34.0,4.0,0.0,0.0,3.0,4976.296,18.0,4.0,0.25,0.0,3.0,5691.198375,28.75,2.0,0.4629100498862757,0.0,0.0,1755.6626393437352,13.44565782272159,0.0,1.4401645996461911,0.0,0.0,-1.8712877150904859,-0.20363809925793314,0.0
6.0,1.0,0.0,2.0,5843.835,61.0,7.0,1.0,0.0,2.0,6913.799,47.0,1.0,0.0,0.0,2.0,9453.627,60.0,2.0,0.0,0.0,2.0,11113.844,47.0,3.0,0.0,0.0,2.0,9718.734,66.0,4.0,0.0,0.0,2.0,4056.331,33.0,5.0,0.0,0.0,2.0,8105.601000000001,55.0,6.0,1.0,0.0,2.0,3163.5420000000004,41.0,4.25,0.375,0.0,2.0,7296.164124999999,51.25,2.1213203435596424,0.5175491695067657,0.0,0.0,2817.899567836118,11.196300409382685,-0.31426968052735443,0.6440611887195306,0.0,0.0,-0.23217166670243997,-0.3325274230724395,-3.0
4.0,0.0,0.0,2.0,5405.389999999999,47.0,5.0,0.0,0.0,2.0,6940.0650000000005,60.0,6.0,1.0,0.0,2.0,8673.945,69.0,7.0,1.0,0.0,2.0,3456.339,43.0,1.0,0.0,0.0,2.0,11502.799,47.0,2.0,0.0,0.0,2.0,7582.504,69.0,3.0,0.0,0.0,2.0,11352.622,47.0,4.0,0.0,0.0,2.0,9790.856,78.0,4.0,0.25,0.0,2.0,8088.0650000000005,57.5,2.0,0.4629100498862757,0.0,0.0,2822.9574178385537,13.2664991614216,0.0,1.4401645996461911,0.0,0.0,-0.34346732496961646,0.42020696318183454,-1.0
5.0,0.0,0.0,2.0,11646.543,63.0,6.0,1.0,0.0,2.0,8570.873,84.0,7.0,1.0,0.0,2.0,4347.601000000001,43.0,1.0,0.0,0.0,2.0,8204.66,69.0,2.0,0.0,0.0,2.0,5273.236,46.0,3.0,0.0,0.0,2.0,6354.004999999999,35.0,4.0,0.0,0.0,2.0,5523.054000000001,81.0,5.0,0.0,0.0,2.0,3109.862,53.0,4.125,0.25,0.0,2.0,6628.729249999999,59.25,2.03100960115899,0.4629100498862757,0.0,0.0,2729.6064824443492,17.974187841775453,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7331033650443679,0.17410182656834347,0.0
