week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_sum_10_17_t-7,unlock_num_sum_10_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_sum_10_17_t-6,unlock_num_sum_10_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_sum_10_17_t-5,unlock_num_sum_10_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_sum_10_17_t-4,unlock_num_sum_10_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_sum_10_17_t-3,unlock_num_sum_10_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_sum_10_17_t-2,unlock_num_sum_10_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_sum_10_17_t-1,unlock_num_sum_10_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_sum_10_17_t-0,unlock_num_sum_10_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_sum_10_17_mean,unlock_num_sum_10_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_sum_10_17_std,unlock_num_sum_10_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_sum_10_17_skew,unlock_num_sum_10_17_skew,target
3.0,0.0,0.0,3.0,5416.462,45.0,4.0,0.0,0.0,3.0,4570.005,64.0,5.0,0.0,0.0,3.0,8673.137,43.0,6.0,1.0,0.0,3.0,3130.753,62.0,7.0,1.0,0.0,3.0,4096.1630000000005,41.0,1.0,0.0,0.0,3.0,16366.041,26.0,2.0,0.0,0.0,3.0,6229.136999999999,32.0,3.0,0.0,0.0,3.0,1572.082,21.0,3.875,0.25,0.0,3.0,6256.7225,41.75,2.03100960115899,0.4629100498862757,0.0,0.0,4597.7440655319515,15.544865941617417,0.2238027108715141,1.4401645996461911,0.0,0.0,1.7607269153980911,0.28329505320546744,-4.0
2.0,0.0,1.0,4.0,11832.106,49.0,3.0,0.0,1.0,4.0,5794.657,33.0,4.0,0.0,1.0,4.0,6560.849999999999,78.0,5.0,0.0,1.0,4.0,2700.254,36.0,6.0,1.0,1.0,4.0,5975.989,34.0,7.0,1.0,1.0,4.0,6953.3240000000005,39.0,1.0,0.0,1.0,4.0,2202.746,32.0,2.0,0.0,1.0,4.0,2935.148,35.0,3.75,0.25,1.0,4.0,5619.38425,42.0,2.1213203435596424,0.4629100498862757,0.0,0.0,3135.5431207877,15.510365197874245,0.31426968052735443,1.4401645996461911,0.0,0.0,0.9821653891411884,2.2548709387423096,0.0
4.0,0.0,0.0,4.0,2150.4120000000003,28.0,5.0,0.0,0.0,4.0,7903.802000000001,14.0,6.0,1.0,0.0,4.0,1922.81,28.0,7.0,1.0,0.0,4.0,5008.531,11.0,1.0,0.0,0.0,4.0,786.08,24.0,2.0,0.0,0.0,4.0,5346.713,20.0,3.0,0.0,0.0,4.0,2985.511,46.0,4.0,0.0,0.0,4.0,2451.551,32.0,4.0,0.25,0.0,4.0,3569.42625,25.375,2.0,0.4629100498862757,0.0,0.0,2332.354689180244,11.018653015941391,0.0,1.4401645996461911,0.0,0.0,0.893897092218125,0.6407858688738265,-9.0
7.0,1.0,0.0,4.0,6822.521000000001,47.0,1.0,0.0,0.0,4.0,9984.697,52.0,2.0,0.0,0.0,4.0,8345.594000000001,53.0,3.0,0.0,0.0,1.0,7276.82,21.0,4.0,0.0,0.0,1.0,5984.316,40.0,5.0,0.0,0.0,1.0,5281.581,51.0,6.0,1.0,0.0,1.0,7219.427,80.0,7.0,1.0,1.0,1.0,4350.578,59.0,4.375,0.375,0.125,2.125,6908.19175,50.375,2.2638462845343543,0.5175491695067657,0.3535533905932738,1.5526475085202969,1765.2155050212305,16.6642260117723,-0.22624995586066124,0.6440611887195306,2.8284271247461903,0.6440611887195306,0.3582615190047891,0.006656495317775152,-5.0
4.0,0.0,0.0,1.0,5728.605,20.0,5.0,0.0,0.0,1.0,2553.511,61.0,6.0,1.0,0.0,1.0,7108.094999999999,37.0,7.0,1.0,0.0,1.0,2642.233,48.0,1.0,0.0,0.0,1.0,4792.641,26.0,2.0,0.0,0.0,1.0,2739.711,47.0,3.0,0.0,0.0,1.0,3904.73,41.0,4.0,0.0,0.0,1.0,6116.981,31.0,4.0,0.25,0.0,1.0,4448.313375,38.875,2.0,0.4629100498862757,0.0,0.0,1760.0164535144822,13.260440630472493,0.0,1.4401645996461911,0.0,0.0,0.27109496937353555,0.227309002180101,3.0
1.0,0.0,0.0,2.0,2663.847,32.0,2.0,0.0,0.0,2.0,3568.9120000000003,30.0,3.0,0.0,0.0,2.0,4849.949,37.0,4.0,0.0,0.0,2.0,3165.897,43.0,5.0,0.0,0.0,2.0,4814.988,48.0,6.0,1.0,0.0,2.0,8854.44,65.0,7.0,1.0,0.0,2.0,4456.968,53.0,1.0,0.0,0.0,2.0,2649.075,45.0,3.625,0.25,0.0,2.0,4378.0095,44.125,2.2638462845343543,0.4629100498862757,0.0,0.0,2018.1237618156272,11.519393585229588,0.22624995586066124,1.4401645996461911,0.0,0.0,1.793054299735549,0.6094232006726293,6.0
3.0,0.0,0.0,2.0,2609.325,36.0,4.0,0.0,0.0,2.0,6718.736,31.0,5.0,0.0,0.0,2.0,3839.334,41.0,6.0,1.0,0.0,2.0,3485.208,57.0,7.0,1.0,0.0,2.0,3648.616,76.0,1.0,0.0,0.0,2.0,4354.37,27.0,2.0,0.0,0.0,2.0,949.579,23.0,3.0,0.0,0.0,2.0,3265.105,39.0,3.875,0.25,0.0,2.0,3608.784125,41.25,2.03100960115899,0.4629100498862757,0.0,0.0,1625.076509141597,17.44173975594997,0.2238027108715141,1.4401645996461911,0.0,0.0,0.4731493468026946,1.2802962519000434,-6.0
6.0,1.0,0.0,2.0,5377.906999999999,44.0,7.0,1.0,0.0,2.0,3827.721,35.0,1.0,0.0,0.0,2.0,4493.821,47.0,2.0,0.0,0.0,2.0,3399.7210000000005,45.0,3.0,0.0,0.0,2.0,7176.414,41.0,4.0,0.0,0.0,2.0,3243.459,23.0,5.0,0.0,1.0,2.0,6610.843999999999,59.0,6.0,1.0,1.0,2.0,3429.133,24.0,4.25,0.375,0.25,2.0,4694.8775,39.75,2.1213203435596424,0.5175491695067657,0.4629100498862757,0.0,1534.0897534007397,12.080089876676059,-0.31426968052735443,0.6440611887195306,1.4401645996461911,0.0,0.7763454863821168,-0.10543110544429267,-5.0
2.0,0.0,0.0,2.0,3399.7210000000005,45.0,3.0,0.0,0.0,2.0,7176.414,41.0,4.0,0.0,0.0,2.0,3243.459,23.0,5.0,0.0,1.0,2.0,6610.843999999999,59.0,6.0,1.0,1.0,2.0,3429.133,24.0,7.0,1.0,1.0,2.0,2145.065,35.0,1.0,0.0,1.0,2.0,2287.829,46.0,2.0,0.0,1.0,2.0,4528.282,28.0,3.75,0.25,0.625,2.0,4102.593375,37.625,2.1213203435596424,0.4629100498862757,0.5175491695067657,0.0,1879.6611640012547,12.489281118508897,0.31426968052735443,1.4401645996461911,-0.6440611887195306,0.0,0.8643273873084731,0.41317628354752767,13.0
5.0,0.0,1.0,2.0,6610.843999999999,59.0,6.0,1.0,1.0,2.0,3429.133,24.0,7.0,1.0,1.0,2.0,2145.065,35.0,1.0,0.0,1.0,2.0,2287.829,46.0,2.0,0.0,1.0,2.0,4528.282,28.0,3.0,0.0,1.0,2.0,1304.339,34.0,4.0,0.0,1.0,2.0,349.554,22.0,5.0,0.0,1.0,2.0,2973.035,67.0,4.125,0.25,1.0,2.0,2953.510125,39.375,2.03100960115899,0.4629100498862757,0.0,0.0,1952.2757289253436,16.509196571262073,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7671569711634172,0.7763675809566782,-10.0
