week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,833.075,3.0,1.0,0.0,0.0,3.0,1536.599,14.0,2.0,0.0,0.0,3.0,692.066,3.0,3.0,0.0,0.0,3.0,558.738,5.0,4.0,0.0,0.0,3.0,1252.762,7.0,5.0,0.0,0.0,3.0,319.757,3.0,6.0,1.0,0.0,3.0,751.966,6.0,4.25,0.375,0.0,3.0,743.120375,5.125,2.1213203435596424,0.5175491695067657,0.0,0.0,487.7910621734144,4.189698250300543,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.22979789201297812,1.4061035402239546,-1.0
6.0,1.0,1.0,4.0,361.289,2.0,7.0,1.0,1.0,4.0,1563.683,8.0,1.0,0.0,1.0,4.0,894.94,5.0,2.0,0.0,1.0,4.0,1174.482,8.0,3.0,0.0,1.0,4.0,1197.673,7.0,4.0,0.0,1.0,4.0,806.864,12.0,5.0,0.0,1.0,4.0,964.417,5.0,6.0,1.0,1.0,4.0,309.147,3.0,4.25,0.375,1.0,4.0,909.0618750000001,6.25,2.1213203435596424,0.5175491695067657,0.0,0.0,423.5789763143983,3.1959796173138706,-0.31426968052735443,0.6440611887195306,0.0,0.0,-0.14513674687370093,0.5032546514622066,-9.0
4.0,0.0,0.0,4.0,628.884,9.0,5.0,0.0,0.0,4.0,1931.648,4.0,6.0,1.0,0.0,4.0,2675.254,3.0,7.0,1.0,0.0,4.0,1011.955,5.0,1.0,0.0,0.0,4.0,1022.58,4.0,2.0,0.0,0.0,4.0,1165.521,9.0,3.0,0.0,0.0,4.0,1260.904,6.0,4.0,0.0,0.0,4.0,1656.572,9.0,4.0,0.25,0.0,4.0,1419.16475,6.125,2.0,0.4629100498862757,0.0,0.0,647.3888225569258,2.5319388392523003,0.0,1.4401645996461911,0.0,0.0,1.043220385563197,0.23653248830004187,6.0
4.0,0.0,0.0,1.0,767.849,8.0,5.0,0.0,0.0,1.0,1536.434,9.0,6.0,1.0,0.0,1.0,224.212,10.0,7.0,1.0,0.0,1.0,866.589,5.0,1.0,0.0,0.0,1.0,321.797,8.0,2.0,0.0,0.0,1.0,78.612,3.0,3.0,0.0,0.0,1.0,593.964,2.0,4.0,0.0,0.0,1.0,266.417,4.0,4.0,0.25,0.0,1.0,581.98425,6.125,2.0,0.4629100498862757,0.0,0.0,474.3910544771355,2.997022331772464,0.0,1.4401645996461911,0.0,0.0,1.2071094507990947,-0.11741276141373891,-5.0
6.0,1.0,0.0,2.0,1192.849,4.0,7.0,1.0,0.0,2.0,229.678,2.0,1.0,0.0,0.0,2.0,425.675,5.0,2.0,0.0,0.0,2.0,1087.601,10.0,3.0,0.0,0.0,2.0,930.359,6.0,4.0,0.0,0.0,2.0,594.642,3.0,5.0,0.0,0.0,2.0,2650.707,2.0,6.0,1.0,0.0,2.0,1144.677,19.0,4.25,0.375,0.0,2.0,1032.0235,6.375,2.1213203435596424,0.5175491695067657,0.0,0.0,744.0080487387216,5.730557190560593,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.5830138325215821,1.860322617935979,5.0
2.0,0.0,0.0,2.0,526.802,4.0,3.0,0.0,0.0,2.0,2770.991,5.0,4.0,0.0,0.0,2.0,1673.808,8.0,5.0,0.0,0.0,2.0,648.51,5.0,6.0,1.0,1.0,2.0,2288.823,6.0,7.0,1.0,1.0,2.0,975.768,6.0,1.0,0.0,1.0,2.0,1424.399,5.0,2.0,0.0,1.0,2.0,1337.179,4.0,3.75,0.25,0.5,2.0,1455.785,5.375,2.1213203435596424,0.4629100498862757,0.5345224838248488,0.0,777.4890247129813,1.3024701806293193,0.31426968052735443,1.4401645996461911,0.0,0.0,0.5768517040208547,1.139535129778294,14.0
4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,88.423,2.0,6.0,1.0,0.0,1.0,899.77,3.0,7.0,1.0,0.0,1.0,654.706,2.0,1.0,0.0,0.0,1.0,153.156,3.0,2.0,0.0,0.0,1.0,154.8,1.0,3.0,0.0,0.0,1.0,1229.548,6.0,4.0,0.0,0.0,1.0,56.251,1.0,4.0,0.25,0.0,1.0,404.58175000000006,2.25,2.0,0.4629100498862757,0.0,0.0,462.74425927464824,1.8322507626258087,0.0,1.4401645996461911,0.0,0.0,1.0129510447068197,1.184451828442578,0.0
6.0,1.0,0.0,3.0,746.519,6.0,7.0,1.0,0.0,3.0,215.996,4.0,1.0,0.0,0.0,3.0,1247.907,4.0,2.0,0.0,0.0,3.0,950.77,5.0,3.0,0.0,0.0,3.0,680.55,6.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,207.405,12.0,6.0,1.0,0.0,3.0,0.0,0.0,4.25,0.375,0.0,3.0,506.14337499999993,4.625,2.1213203435596424,0.5175491695067657,0.0,0.0,466.2765229529844,3.814914340921881,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.38481565267595447,0.7136986949607688,1.0
2.0,0.0,0.0,4.0,285.84,4.0,3.0,0.0,0.0,4.0,1259.165,6.0,4.0,0.0,0.0,4.0,1449.803,4.0,5.0,0.0,0.0,4.0,424.186,4.0,6.0,1.0,0.0,4.0,1786.799,4.0,7.0,1.0,0.0,4.0,1909.832,6.0,1.0,0.0,0.0,4.0,2331.46,2.0,2.0,0.0,0.0,4.0,1427.28,2.0,3.75,0.25,0.0,4.0,1359.295625,4.0,2.1213203435596424,0.4629100498862757,0.0,0.0,705.1372307878269,1.5118578920369088,0.31426968052735443,1.4401645996461911,0.0,0.0,-0.4839484525255201,0.0,0.0
4.0,0.0,0.0,1.0,347.865,2.0,5.0,0.0,0.0,1.0,1051.002,6.0,6.0,1.0,0.0,1.0,552.792,3.0,7.0,1.0,0.0,1.0,1090.808,6.0,1.0,0.0,0.0,1.0,817.824,4.0,2.0,0.0,0.0,1.0,1181.566,12.0,3.0,0.0,0.0,1.0,103.227,2.0,4.0,0.0,0.0,1.0,1468.113,8.0,4.0,0.25,0.0,1.0,826.649625,5.375,2.0,0.4629100498862757,0.0,0.0,460.6215415665284,3.420004177106889,0.0,1.4401645996461911,0.0,0.0,-0.33232243722408433,1.0307562965249792,4.0
6.0,1.0,0.0,1.0,1545.751,9.0,7.0,1.0,0.0,1.0,1452.095,11.0,1.0,0.0,0.0,1.0,857.224,6.0,2.0,0.0,0.0,1.0,848.656,11.0,3.0,0.0,0.0,1.0,739.097,6.0,4.0,0.0,0.0,1.0,1901.423,11.0,5.0,0.0,0.0,1.0,1441.34,8.0,6.0,1.0,0.0,1.0,2535.318,5.0,4.25,0.375,0.0,1.0,1415.113,8.375,2.1213203435596424,0.5175491695067657,0.0,0.0,609.4013186783052,2.5035688811888406,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.7227000976543078,-0.1308673111002032,0.0
