week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
6.0,1.0,0.0,3.0,,,7.0,1.0,0.0,3.0,,,1.0,0.0,0.0,3.0,,,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,635.709,5.0,4.0,0.0,0.0,3.0,1443.179,3.0,5.0,0.0,0.0,3.0,501.351,9.0,6.0,1.0,0.0,3.0,1617.185,3.0,4.25,0.375,0.0,3.0,839.4848,4.0,2.1213203435596424,0.5175491695067657,0.0,0.0,676.3612313314535,3.3166247903554,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.06954737086225625,0.6852530558585537,3.0
5.0,0.0,0.0,4.0,322.387,11.0,6.0,1.0,0.0,4.0,801.841,6.0,7.0,1.0,0.0,4.0,32.288,3.0,1.0,0.0,0.0,4.0,229.833,5.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,83.305,1.0,5.0,0.0,0.0,4.0,316.575,3.0,4.125,0.25,0.0,4.0,223.27862500000003,3.625,2.03100960115899,0.4629100498862757,0.0,0.0,269.6772643835789,3.7008686239082538,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.587703665898269,1.1396598608969728,4.0
1.0,0.0,0.0,4.0,407.02,4.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,1.0,0.1,2.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,103.488,2.0,6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,1.0,1.0,271.745,10.0,1.0,0.0,1.0,1.0,1620.79,12.0,3.625,0.25,0.25,1.75,300.392875,3.75,2.2638462845343543,0.4629100498862757,0.4629100498862757,1.3887301496588271,554.8865509353981,4.713203338949606,0.22624995586066124,1.4401645996461911,1.4401645996461911,1.4401645996461911,2.438466674306719,1.1584068586295637,7.0
1.0,0.0,0.0,1.0,509.666,3.0,2.0,0.0,0.0,1.0,1147.696,6.0,3.0,0.0,0.0,1.0,70.47,2.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,14.481,1.0,6.0,1.0,0.0,1.0,2206.771,2.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3.625,0.25,0.0,1.0,493.63550000000004,1.75,2.2638462845343543,0.4629100498862757,0.0,0.0,802.0127761533122,2.052872551885702,0.22624995586066124,1.4401645996461911,0.0,0.0,1.757877303467195,1.3705474893945335,2.0
4.0,0.0,0.0,1.0,1058.754,4.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,1.005,4.0,7.0,1.0,0.0,1.0,178.891,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.05,1.0,3.0,0.0,0.0,1.0,707.213,4.0,4.0,0.0,0.0,1.0,0.15,3.0,4.0,0.25,0.0,1.0,243.25787499999996,2.375,2.0,0.4629100498862757,0.0,0.0,410.52547072447715,1.7677669529663689,0.0,1.4401645996461911,0.0,0.0,1.569740903011087,-0.5527554723789697,0.0
6.0,1.0,0.0,3.0,488.114,9.0,7.0,1.0,0.0,3.0,155.403,6.0,1.0,0.0,0.0,3.0,473.676,11.0,2.0,0.0,0.0,3.0,158.852,2.0,3.0,0.0,0.0,3.0,525.523,8.0,4.0,0.0,0.0,3.0,1565.303,47.0,5.0,0.0,0.0,3.0,35.524,4.0,6.0,1.0,0.0,3.0,332.552,8.0,4.25,0.375,0.0,3.0,466.868375,11.875,2.1213203435596424,0.5175491695067657,0.0,0.0,479.05865079368715,14.475965302133444,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.050283427755624,2.6084110013711985,6.0
6.0,1.0,0.0,4.0,80.738,4.0,7.0,1.0,0.0,4.0,24.161,2.0,1.0,0.0,0.0,4.0,564.218,11.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,753.107,8.0,5.0,0.0,0.0,4.0,915.624,41.0,6.0,1.0,0.0,4.0,818.649,20.0,4.25,0.375,0.0,4.0,394.56212500000004,10.75,2.1213203435596424,0.5175491695067657,0.0,0.0,406.33093729810133,13.946325680981353,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.1821181601514765,1.7547470056166983,-6.0
5.0,0.0,0.0,4.0,1010.458,30.0,6.0,1.0,0.0,4.0,142.534,8.0,7.0,1.0,0.0,4.0,79.043,7.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,1018.316,11.0,3.0,0.0,0.0,4.0,259.489,8.0,4.0,0.0,0.0,4.0,691.419,17.0,5.0,0.0,0.0,4.0,433.69,2.0,4.125,0.25,0.0,4.0,454.36862499999995,10.375,2.03100960115899,0.4629100498862757,0.0,0.0,408.2071593009529,9.48589177975075,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.5046894140724749,1.3567741064886119,0.0
5.0,0.0,0.0,4.0,1113.941,15.0,6.0,1.0,0.0,4.0,657.899,6.0,7.0,1.0,0.0,4.0,278.67,12.0,1.0,0.0,0.0,4.0,549.982,9.0,2.0,0.0,0.0,4.0,198.362,2.0,3.0,0.0,0.0,4.0,348.367,10.0,4.0,0.0,0.0,1.0,987.766,8.0,5.0,0.0,0.0,1.0,1551.767,12.0,4.125,0.25,0.0,3.25,710.84425,9.25,2.03100960115899,0.4629100498862757,0.0,1.3887301496588271,471.4424636337625,4.026696625558687,-0.2238027108715141,1.4401645996461911,0.0,-1.4401645996461911,0.7528384851410996,-0.5404458433574081,-3.0
3.0,0.0,0.0,1.0,856.015,12.0,4.0,0.0,0.0,1.0,1014.303,19.0,5.0,0.0,0.0,1.0,872.808,9.0,6.0,1.0,0.0,1.0,923.856,10.0,7.0,1.0,0.0,1.0,14.928,2.0,1.0,0.0,0.0,1.0,548.179,7.0,2.0,0.0,0.0,1.0,47.172,1.0,3.0,0.0,0.0,1.0,652.428,16.0,3.875,0.25,0.0,1.0,616.211125,9.5,2.03100960115899,0.4629100498862757,0.0,0.0,390.55954714026734,6.25642526870234,0.2238027108715141,1.4401645996461911,0.0,0.0,-0.8921127407503808,0.07466776387603623,0.0
