week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
6.0,1.0,1.0,1.0,528.958,5.0,7.0,1.0,0.0,1.0,1089.547,6.0,1.0,0.0,0.0,1.0,364.039,5.0,2.0,0.0,0.0,1.0,210.665,3.0,3.0,0.0,0.0,1.0,183.071,3.0,4.0,0.0,0.0,1.0,50.055,1.0,5.0,0.0,0.0,1.0,422.34,7.0,6.0,1.0,0.0,1.0,179.76,3.0,4.25,0.375,0.125,1.0,378.55437499999994,4.125,2.1213203435596424,0.5175491695067657,0.3535533905932738,0.0,326.0348963206842,1.9594095320493148,-0.31426968052735443,0.6440611887195306,2.8284271247461903,0.0,1.6894213375458922,-0.07833399275775303,10.0
2.0,0.0,0.0,1.0,210.665,3.0,3.0,0.0,0.0,1.0,183.071,3.0,4.0,0.0,0.0,1.0,50.055,1.0,5.0,0.0,0.0,1.0,422.34,7.0,6.0,1.0,0.0,1.0,179.76,3.0,7.0,1.0,0.0,1.0,5.778,4.0,1.0,0.0,0.0,1.0,603.788,6.0,2.0,0.0,0.0,1.0,28.619,3.0,3.75,0.25,0.0,1.0,210.5095,3.75,2.1213203435596424,0.4629100498862757,0.0,0.0,207.70286267990764,1.9086270308410553,0.31426968052735443,1.4401645996461911,0.0,0.0,1.0958934307671342,0.6369428153671803,-6.0
6.0,1.0,0.0,2.0,104.298,3.0,7.0,1.0,0.0,2.0,861.181,6.0,1.0,0.0,0.0,2.0,416.957,5.0,2.0,0.0,0.0,2.0,285.307,2.0,3.0,0.0,0.0,2.0,811.001,2.0,4.0,0.0,0.0,2.0,1941.074,3.0,5.0,0.0,0.0,2.0,0.529,4.0,6.0,1.0,0.0,2.0,249.656,7.0,4.25,0.375,0.0,2.0,583.750375,4.0,2.1213203435596424,0.5175491695067657,0.0,0.0,628.99776320473,1.8516401995451028,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.6506920486219623,0.5400617248673216,4.0
3.0,0.0,0.0,2.0,0.05,1.0,4.0,0.0,0.0,2.0,1102.517,8.0,5.0,0.0,0.0,2.0,63.353,4.0,6.0,1.0,0.0,2.0,46.228,1.0,7.0,1.0,0.0,2.0,686.645,3.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,68.716,3.0,3.0,0.0,0.0,2.0,180.055,5.0,3.875,0.25,0.0,2.0,268.4455,3.125,2.03100960115899,0.4629100498862757,0.0,0.0,405.9932308242871,2.5877458475338284,0.2238027108715141,1.4401645996461911,0.0,0.0,1.6692118719547766,0.806879857227828,3.0
6.0,1.0,0.0,2.0,0.0,0.0,7.0,1.0,0.0,2.0,33.379,3.0,1.0,0.0,0.0,2.0,150.05,2.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,8.422,2.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,0.0,0.0,4.25,0.375,0.0,2.0,23.981375,0.875,2.1213203435596424,0.5175491695067657,0.0,0.0,52.234689417604194,1.246423454758225,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.5817524924296555,0.8945134372105534,2.0
6.0,1.0,1.0,2.0,,,7.0,1.0,1.0,2.0,,,1.0,0.0,1.0,2.0,,,2.0,0.0,1.0,2.0,,,3.0,0.0,1.0,2.0,,,4.0,0.0,1.0,2.0,0.0,0.0,5.0,0.0,1.0,2.0,435.824,11.0,6.0,1.0,1.0,2.0,690.457,13.0,4.25,0.375,1.0,2.0,375.42699999999996,8.0,2.1213203435596424,0.5175491695067657,0.0,0.0,349.1683912083108,7.0,-0.31426968052735443,0.6440611887195306,0.0,0.0,-0.7550931517299698,-1.5743440233236154,2.0
6.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,3.0,118.504,4.0,1.0,0.0,0.0,3.0,163.805,4.0,2.0,0.0,0.0,3.0,46.417,2.0,3.0,0.0,0.0,3.0,219.67,7.0,4.0,0.0,0.0,3.0,71.236,2.0,5.0,0.0,0.0,3.0,224.987,6.0,6.0,1.0,0.0,3.0,1063.773,13.0,4.25,0.375,0.0,3.0,238.54899999999998,4.75,2.1213203435596424,0.5175491695067657,0.0,0.0,342.95906315810595,4.026696625558687,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.5236751532214345,1.240618595885224,-10.0
4.0,0.0,0.0,4.0,865.45,11.0,5.0,0.0,0.0,4.0,1880.877,8.0,6.0,1.0,0.0,4.0,1480.854,7.0,7.0,1.0,0.0,4.0,704.186,6.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,1744.807,9.0,3.0,0.0,0.0,4.0,833.822,7.0,4.0,0.0,0.0,4.0,190.448,3.0,4.0,0.25,0.0,4.0,962.5555,6.375,2.0,0.4629100498862757,0.0,0.0,690.6813193750894,3.4615231989895516,0.0,1.4401645996461911,0.0,0.0,0.011522041734909937,-0.8072564157726705,-11.0
6.0,1.0,0.0,4.0,901.588,5.0,7.0,1.0,0.0,4.0,25.883,1.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,138.662,3.0,3.0,0.0,0.0,4.0,429.746,12.0,4.0,0.0,0.0,4.0,372.197,8.0,5.0,0.0,0.0,4.0,3248.0,1.0,6.0,1.0,0.0,4.0,290.311,7.0,4.25,0.375,0.0,4.0,675.798375,4.625,2.1213203435596424,0.5175491695067657,0.0,0.0,1078.1019803672084,4.172614801981401,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.4612034112281482,0.6673550080139404,2.0
1.0,0.0,0.0,1.0,467.887,8.0,2.0,0.0,0.0,1.0,885.681,17.0,3.0,0.0,0.0,1.0,374.743,12.0,4.0,0.0,0.0,1.0,1322.507,5.0,5.0,0.0,0.0,1.0,1025.665,12.0,6.0,1.0,0.0,1.0,126.531,9.0,7.0,1.0,0.0,1.0,1156.922,11.0,1.0,0.0,0.0,1.0,466.964,10.0,3.625,0.25,0.0,1.0,728.3625,10.5,2.2638462845343543,0.4629100498862757,0.0,0.0,426.48620576319433,3.5050983275386565,0.22624995586066124,1.4401645996461911,0.0,0.0,0.05127681314734637,0.4246306248613624,-3.0
