week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
3.0,0.0,0.0,2.0,,,4.0,0.0,0.0,2.0,,,5.0,0.0,0.0,3.0,,,6.0,1.0,0.0,3.0,,,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,436.315,8.0,2.0,0.0,0.0,3.0,388.98,3.0,3.0,0.0,0.0,3.0,137.504,5.0,3.875,0.25,0.0,2.75,240.69975,4.0,2.03100960115899,0.4629100498862757,0.0,0.4629100498862757,207.2342402860026,3.366501646120693,0.2238027108715141,1.4401645996461911,0.0,-1.4401645996461911,-0.3220051523589792,0.0,0.0
6.0,1.0,0.0,3.0,,,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,436.315,8.0,2.0,0.0,0.0,3.0,388.98,3.0,3.0,0.0,0.0,3.0,137.504,5.0,4.0,0.0,0.0,3.0,94.903,4.0,5.0,0.0,0.0,3.0,244.468,9.0,6.0,1.0,0.0,3.0,794.805,8.0,4.25,0.375,0.0,3.0,299.5678571428571,5.285714285714286,2.1213203435596424,0.5175491695067657,0.0,0.0,268.6023805016308,3.251373336211726,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.021684360698718,-0.4787997549892504,3.0
6.0,1.0,0.0,3.0,85.217,4.0,7.0,1.0,0.0,3.0,294.859,5.0,1.0,0.0,0.0,3.0,545.134,10.0,2.0,0.0,0.0,3.0,161.827,5.0,3.0,0.0,0.0,3.0,243.831,2.0,4.0,0.0,0.0,3.0,60.659,2.0,5.0,0.0,0.0,3.0,123.214,3.0,6.0,1.0,0.0,3.0,0.0,0.0,4.25,0.375,0.0,3.0,189.342625,3.875,2.1213203435596424,0.5175491695067657,0.0,0.0,172.82218209059153,2.997022331772464,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.3290892301356616,1.1363167248685577,2.0
6.0,1.0,0.0,4.0,371.001,4.0,7.0,1.0,0.0,4.0,934.469,6.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,427.45,6.0,3.0,0.0,0.0,4.0,213.841,4.0,4.0,0.0,0.0,4.0,71.333,2.0,5.0,0.0,0.0,4.0,974.703,4.0,6.0,1.0,0.0,4.0,2754.339,1.0,4.25,0.375,0.0,4.0,718.392,3.375,2.1213203435596424,0.5175491695067657,0.0,0.0,898.5811567171564,2.1998376563477846,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.0029069561899377,-0.3136762835102191,4.0
6.0,1.0,0.0,2.0,22.957,2.0,7.0,1.0,0.0,2.0,1674.49,6.0,1.0,0.0,0.0,2.0,155.574,2.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,266.293,2.0,4.0,0.0,0.0,2.0,421.25,3.0,5.0,0.0,0.0,2.0,83.632,2.0,6.0,1.0,0.0,2.0,961.773,7.0,4.25,0.375,0.0,2.0,448.246125,3.0,2.1213203435596424,0.5175491695067657,0.0,0.0,585.7370794998232,2.32992949004287,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.6423329118308838,0.9035737634515286,-6.0
5.0,0.0,0.0,3.0,0.15,3.0,6.0,1.0,0.0,3.0,382.292,13.0,7.0,1.0,0.0,3.0,229.203,3.0,1.0,0.0,0.0,3.0,1021.822,4.0,2.0,0.0,0.0,3.0,75.138,1.0,3.0,0.0,0.0,3.0,123.386,1.0,4.0,0.0,0.0,3.0,343.482,4.0,5.0,0.0,0.0,3.0,33.122,5.0,4.125,0.25,0.0,3.0,276.07437500000003,4.25,2.03100960115899,0.4629100498862757,0.0,0.0,332.31046190742325,3.8078865529319543,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.915920199122406,2.0620931426443128,0.0
3.0,0.0,0.0,4.0,731.29,1.0,4.0,0.0,0.0,4.0,58.24,3.0,5.0,0.0,0.0,4.0,905.947,10.0,6.0,1.0,0.0,4.0,253.564,5.0,7.0,1.0,0.0,4.0,1793.859,6.0,1.0,0.0,0.0,4.0,271.146,7.0,2.0,0.0,0.0,4.0,1040.091,8.0,3.0,0.0,0.0,4.0,710.081,5.0,3.875,0.25,0.0,4.0,720.52725,5.625,2.03100960115899,0.4629100498862757,0.0,0.0,553.8682239748651,2.8252686345094435,0.2238027108715141,1.4401645996461911,0.0,0.0,0.8883830179087504,-0.14965613774979084,4.0
6.0,1.0,0.0,4.0,253.564,5.0,7.0,1.0,0.0,4.0,1793.859,6.0,1.0,0.0,0.0,4.0,271.146,7.0,2.0,0.0,0.0,4.0,1040.091,8.0,3.0,0.0,0.0,4.0,710.081,5.0,4.0,0.0,0.0,4.0,661.51,8.0,5.0,0.0,0.0,4.0,83.095,5.0,6.0,1.0,0.0,4.0,908.078,13.0,4.25,0.375,0.0,4.0,715.178,7.125,2.1213203435596424,0.5175491695067657,0.0,0.0,550.1971882713635,2.6958963523950885,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.9812106736323799,1.690621211639079,0.0
4.0,0.0,0.0,2.0,500.697,5.0,5.0,0.0,0.0,2.0,1462.64,6.0,6.0,1.0,0.0,2.0,377.0,1.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,498.614,7.0,2.0,0.0,0.0,2.0,480.161,6.0,3.0,0.0,0.0,2.0,0.05,1.0,4.0,0.0,0.0,2.0,829.934,6.0,4.0,0.25,0.0,2.0,518.637,4.0,2.0,0.4629100498862757,0.0,0.0,470.2929948492596,2.8284271247461903,0.0,1.4401645996461911,0.0,0.0,1.0795359847705865,-0.5555838995037159,0.0
3.0,0.0,0.0,3.0,1679.298,11.0,4.0,0.0,0.0,3.0,344.773,2.0,5.0,0.0,0.0,3.0,459.0,1.0,6.0,1.0,0.0,3.0,320.27,5.0,7.0,1.0,0.0,3.0,1270.419,5.0,1.0,0.0,0.0,3.0,214.043,1.0,2.0,0.0,0.0,3.0,149.3,1.0,3.0,0.0,0.0,3.0,837.314,3.0,3.875,0.25,0.0,3.0,659.3021249999999,3.625,2.03100960115899,0.4629100498862757,0.0,0.0,555.2211653287203,3.420004177106889,0.2238027108715141,1.4401645996461911,0.0,0.0,1.1084325915140902,1.654834816465179,0.0
