week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
3.0,0.0,0.0,3.0,715.667,14.0,4.0,0.0,0.0,3.0,679.518,8.0,5.0,0.0,0.0,3.0,211.851,8.0,6.0,1.0,0.0,3.0,600.0,1.0,7.0,1.0,0.0,3.0,139.919,7.0,1.0,0.0,0.0,3.0,1851.456,15.0,2.0,0.0,0.0,3.0,802.881,16.0,3.0,0.0,0.0,3.0,540.069,10.0,3.875,0.25,0.0,3.0,692.670125,9.875,2.03100960115899,0.4629100498862757,0.0,0.0,524.2993512833342,4.998213966722799,0.2238027108715141,1.4401645996461911,0.0,0.0,1.68234878317717,-0.45977824585659455,-3.0
2.0,0.0,0.0,3.0,161.302,6.0,3.0,0.0,0.0,3.0,3446.96,3.0,4.0,0.0,0.0,3.0,3151.609,3.0,5.0,0.0,0.0,3.0,945.199,5.0,6.0,1.0,0.0,3.0,1323.883,8.0,7.0,1.0,0.0,3.0,2015.092,2.0,1.0,0.0,0.0,3.0,841.967,11.0,2.0,0.0,0.0,3.0,1844.955,11.0,3.75,0.25,0.0,3.0,1716.370875,6.125,2.1213203435596424,0.4629100498862757,0.0,0.0,1139.686016796285,3.563204817496262,0.31426968052735443,1.4401645996461911,0.0,0.0,0.4143357892445561,0.4448499319352195,-6.0
6.0,1.0,0.0,3.0,925.466,6.0,7.0,1.0,0.0,3.0,2064.732,2.0,1.0,0.0,0.0,3.0,18.869,2.0,2.0,0.0,1.0,3.0,332.9,3.0,3.0,0.0,1.0,3.0,1546.359,16.0,4.0,0.0,1.0,3.0,643.133,2.0,5.0,0.0,1.0,3.0,1194.674,3.0,6.0,1.0,1.0,3.0,996.303,4.0,4.25,0.375,0.625,3.0,965.3045,4.75,2.1213203435596424,0.5175491695067657,0.5175491695067657,0.0,654.7620748937303,4.743416490252569,-0.31426968052735443,0.6440611887195306,-0.6440611887195306,0.0,0.273470326158169,2.4133699984269152,1.0
2.0,0.0,1.0,3.0,332.9,3.0,3.0,0.0,1.0,3.0,1546.359,16.0,4.0,0.0,1.0,3.0,643.133,2.0,5.0,0.0,1.0,3.0,1194.674,3.0,6.0,1.0,1.0,3.0,996.303,4.0,7.0,1.0,1.0,3.0,267.957,2.0,1.0,0.0,1.0,3.0,977.041,2.0,2.0,0.0,1.0,3.0,1006.163,9.0,3.75,0.25,1.0,3.0,870.56625,5.125,2.1213203435596424,0.4629100498862757,0.0,0.0,432.8020899806779,4.969550137731641,0.31426968052735443,1.4401645996461911,0.0,0.0,-0.08848086075718783,1.9122965927924456,-1.0
6.0,1.0,1.0,4.0,561.734,10.0,7.0,1.0,1.0,4.0,813.092,4.0,1.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,1.0,4.0,2748.375,3.0,3.0,0.0,1.0,4.0,315.835,5.0,4.0,0.0,1.0,4.0,3600.0,1.0,5.0,0.0,1.0,4.0,842.524,10.0,6.0,1.0,1.0,4.0,1640.525,21.0,4.25,0.375,1.0,4.0,1315.260625,6.75,2.1213203435596424,0.5175491695067657,0.0,0.0,1262.19001557202,6.840008354213778,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.0391838996680485,1.4200241573174357,-7.0
2.0,0.0,1.0,4.0,2748.375,3.0,3.0,0.0,1.0,4.0,315.835,5.0,4.0,0.0,1.0,4.0,3600.0,1.0,5.0,0.0,1.0,4.0,842.524,10.0,6.0,1.0,1.0,4.0,1640.525,21.0,7.0,1.0,1.0,4.0,138.746,4.0,1.0,0.0,1.0,4.0,958.818,15.0,2.0,0.0,1.0,4.0,404.35,6.0,3.75,0.25,1.0,4.0,1331.146625,8.125,2.1213203435596424,0.4629100498862757,0.0,0.0,1250.197498009236,6.812540956626557,0.31426968052735443,1.4401645996461911,0.0,0.0,1.0575505018608518,1.1200288481937855,0.0
3.0,0.0,1.0,4.0,1221.761,14.0,4.0,0.0,1.0,4.0,129.904,4.0,5.0,0.0,1.0,4.0,1798.933,21.0,6.0,1.0,0.0,4.0,52.818,5.0,7.0,1.0,0.0,4.0,612.757,19.0,1.0,0.0,0.0,4.0,194.603,6.0,2.0,0.0,0.0,4.0,642.464,17.0,3.0,0.0,0.0,4.0,510.867,16.0,3.875,0.25,0.375,4.0,645.513375,12.75,2.03100960115899,0.4629100498862757,0.5175491695067657,0.0,597.866574121431,6.7559497587576205,0.2238027108715141,1.4401645996461911,0.6440611887195306,0.0,1.1465733510804685,-0.32383210434536586,0.0
5.0,0.0,0.0,4.0,815.771,14.0,6.0,1.0,0.0,4.0,1425.54,6.0,7.0,1.0,0.0,4.0,75.815,3.0,1.0,0.0,0.0,4.0,432.248,16.0,2.0,0.0,0.0,4.0,600.0,1.0,3.0,0.0,0.0,4.0,38.351,3.0,4.0,0.0,0.0,4.0,201.106,5.0,5.0,0.0,0.0,4.0,138.962,6.0,4.125,0.25,0.0,4.0,465.97412499999996,6.75,2.03100960115899,0.4629100498862757,0.0,0.0,474.2516875931831,5.391792704790177,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.3170898737549628,1.0581192596835423,-6.0
3.0,0.0,0.0,4.0,38.351,3.0,4.0,0.0,0.0,4.0,201.106,5.0,5.0,0.0,0.0,4.0,138.962,6.0,6.0,1.0,0.0,4.0,38.522,2.0,7.0,1.0,0.0,4.0,209.71,6.0,1.0,0.0,0.0,4.0,1174.161,13.0,2.0,0.0,0.0,4.0,17.714,5.0,3.0,0.0,0.0,4.0,82.868,2.0,3.875,0.25,0.0,4.0,237.67425,5.25,2.03100960115899,0.4629100498862757,0.0,0.0,385.56260205083987,3.5355339059327378,0.2238027108715141,1.4401645996461911,0.0,0.0,2.6256682794799717,1.6647313934220431,0.0
6.0,1.0,0.0,4.0,101.412,4.0,7.0,1.0,0.0,4.0,45.631,4.0,1.0,0.0,0.0,4.0,53.875,2.0,2.0,0.0,0.0,4.0,311.004,9.0,3.0,0.0,0.0,4.0,448.685,16.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,246.341,8.0,6.0,1.0,0.0,4.0,324.568,5.0,4.25,0.375,0.0,4.0,191.4395,6.0,2.1213203435596424,0.5175491695067657,0.0,0.0,163.07160232504353,4.9856938190329,-0.31426968052735443,0.6440611887195306,0.0,0.0,0.3429861317082994,1.1342799255350315,-1.0
