week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
3.0,0.0,0.0,4.0,2023.416,6.0,4.0,0.0,0.0,4.0,553.819,4.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,1688.997,5.0,7.0,1.0,0.0,4.0,32.467,1.0,1.0,0.0,0.0,4.0,229.112,4.0,2.0,0.0,0.0,4.0,1333.399,2.0,3.0,0.0,0.0,4.0,0.0,0.0,3.875,0.25,0.0,4.0,732.65125,2.75,2.03100960115899,0.4629100498862757,0.0,0.0,827.294655976204,2.3145502494313788,0.2238027108715141,1.4401645996461911,0.0,0.0,0.6656689776678184,0.03456395039150859,2.0
6.0,1.0,0.0,4.0,1688.997,5.0,7.0,1.0,0.0,4.0,32.467,1.0,1.0,0.0,0.0,4.0,229.112,4.0,2.0,0.0,0.0,4.0,1333.399,2.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,20.613,2.0,4.25,0.375,0.0,4.0,413.0735,1.75,2.1213203435596424,0.5175491695067657,0.0,0.0,688.642281013258,1.9086270308410553,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4718108298727355,0.8013151548167753,-2.0
5.0,0.0,0.0,1.0,469.823,4.0,6.0,1.0,0.0,1.0,31.277,2.0,7.0,1.0,0.0,1.0,1329.302,8.0,1.0,0.0,0.0,1.0,60.411,1.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,169.79,5.0,4.125,0.25,0.0,1.0,257.575375,2.5,2.03100960115899,0.4629100498862757,0.0,0.0,461.43769922027,2.9277002188455996,-0.2238027108715141,1.4401645996461911,0.0,0.0,2.266967322906962,1.02469507659596,-3.0
6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,141.141,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,914.794,8.0,3.0,0.0,0.0,1.0,378.282,3.0,4.0,0.0,0.0,1.0,2.98,2.0,5.0,0.0,0.0,1.0,376.166,3.0,6.0,1.0,0.0,1.0,1490.021,9.0,4.25,0.375,0.0,1.0,412.923,3.5,2.1213203435596424,0.5175491695067657,0.0,0.0,534.1876616222323,3.3380918415851206,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.4321562479844576,0.8603103234065532,1.0
5.0,0.0,0.0,3.0,470.523,7.0,6.0,1.0,0.0,3.0,1445.964,2.0,7.0,1.0,0.0,3.0,2.005,1.0,1.0,0.0,0.0,3.0,1202.206,4.0,2.0,0.0,0.0,3.0,609.878,5.0,3.0,0.0,0.0,3.0,484.382,4.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,17.673,3.0,4.125,0.25,0.0,3.0,529.078875,3.25,2.03100960115899,0.4629100498862757,0.0,0.0,550.9732756356667,2.2519832529192065,-0.2238027108715141,1.4401645996461911,0.0,0.0,0.7376707012265351,0.18762804329023344,5.0
2.0,0.0,0.0,3.0,258.645,4.0,3.0,0.0,0.0,3.0,0.05,1.0,4.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,3.0,413.922,6.0,6.0,1.0,0.0,3.0,1500.211,7.0,7.0,1.0,0.0,3.0,337.447,6.0,1.0,0.0,0.0,3.0,1112.15,5.0,2.0,0.0,0.0,3.0,1926.232,2.0,3.75,0.25,0.0,3.0,693.582125,3.875,2.1213203435596424,0.4629100498862757,0.0,0.0,727.1795033166428,2.5877458475338284,0.31426968052735443,1.4401645996461911,0.0,0.0,0.8195809300205391,-0.4111686628785483,11.0
6.0,1.0,0.0,4.0,559.393,4.0,7.0,1.0,0.0,4.0,122.283,2.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,174.592,2.0,4.0,0.0,0.0,4.0,0.05,1.0,5.0,0.0,0.0,4.0,265.978,5.0,6.0,1.0,0.0,4.0,1612.578,6.0,4.25,0.375,0.0,4.0,341.85925,2.5,2.1213203435596424,0.5175491695067657,0.0,0.0,547.0134703989735,2.2677868380553634,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.2420294769202176,0.44095855184409843,-5.0
6.0,1.0,0.0,1.0,0.05,1.0,7.0,1.0,0.0,1.0,152.159,2.0,1.0,0.0,0.0,1.0,1120.554,6.0,2.0,0.0,0.0,1.0,540.686,3.0,3.0,0.0,1.0,1.0,385.88,14.0,4.0,0.0,1.0,1.0,1501.057,19.0,5.0,0.0,1.0,1.0,0.0,0.0,6.0,1.0,1.0,1.0,375.077,3.0,4.25,0.375,0.5,1.0,509.4328750000001,6.0,2.1213203435596424,0.5175491695067657,0.5345224838248488,0.0,539.5392738021785,6.8452277432633934,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.078199706000883,1.3361632083630584,-2.0
4.0,0.0,0.0,1.0,751.35,6.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,540.793,4.0,7.0,1.0,0.0,1.0,110.17,1.0,1.0,0.0,0.0,1.0,207.005,3.0,2.0,0.0,0.0,1.0,32.367,1.0,3.0,0.0,0.0,1.0,678.644,18.0,4.0,0.0,0.0,1.0,183.863,3.0,4.0,0.25,0.0,1.0,313.024,4.5,2.0,0.4629100498862757,0.0,0.0,298.4510244244439,5.7817446699565895,0.0,1.4401645996461911,0.0,0.0,0.5763246353201164,2.2469779855481815,2.0
6.0,1.0,0.0,2.0,1495.267,17.0,7.0,1.0,0.0,2.0,0.05,1.0,1.0,0.0,0.0,2.0,777.897,25.0,2.0,0.0,0.0,2.0,1771.686,25.0,3.0,0.0,0.0,2.0,1672.767,12.0,4.0,0.0,0.0,2.0,885.155,4.0,5.0,0.0,0.0,2.0,174.575,6.0,6.0,1.0,0.0,2.0,1547.211,12.0,4.25,0.375,0.0,2.0,1040.576,12.75,2.1213203435596424,0.5175491695067657,0.0,0.0,689.0384868212059,9.09866552224634,-0.31426968052735443,0.6440611887195306,0.0,0.0,-0.5417313876552411,0.291502797564615,-6.0
