week_t-7,is_weekend_t-7,is_holiday_t-7,season_t-7,unlock_duration_hr_17_t-7,unlock_num_hr_17_t-7,week_t-6,is_weekend_t-6,is_holiday_t-6,season_t-6,unlock_duration_hr_17_t-6,unlock_num_hr_17_t-6,week_t-5,is_weekend_t-5,is_holiday_t-5,season_t-5,unlock_duration_hr_17_t-5,unlock_num_hr_17_t-5,week_t-4,is_weekend_t-4,is_holiday_t-4,season_t-4,unlock_duration_hr_17_t-4,unlock_num_hr_17_t-4,week_t-3,is_weekend_t-3,is_holiday_t-3,season_t-3,unlock_duration_hr_17_t-3,unlock_num_hr_17_t-3,week_t-2,is_weekend_t-2,is_holiday_t-2,season_t-2,unlock_duration_hr_17_t-2,unlock_num_hr_17_t-2,week_t-1,is_weekend_t-1,is_holiday_t-1,season_t-1,unlock_duration_hr_17_t-1,unlock_num_hr_17_t-1,week_t-0,is_weekend_t-0,is_holiday_t-0,season_t-0,unlock_duration_hr_17_t-0,unlock_num_hr_17_t-0,week_mean,is_weekend_mean,is_holiday_mean,season_mean,unlock_duration_hr_17_mean,unlock_num_hr_17_mean,week_std,is_weekend_std,is_holiday_std,season_std,unlock_duration_hr_17_std,unlock_num_hr_17_std,week_skew,is_weekend_skew,is_holiday_skew,season_skew,unlock_duration_hr_17_skew,unlock_num_hr_17_skew,target
6.0,1.0,0.0,3.0,1443.413,4.0,7.0,1.0,0.0,3.0,1011.32,4.0,1.0,0.0,0.0,3.0,362.313,2.0,2.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,213.326,3.0,4.0,0.0,0.0,3.0,30.269,1.0,5.0,0.0,0.0,3.0,234.009,5.0,6.0,1.0,0.0,3.0,3363.964,2.0,4.25,0.375,0.0,3.0,832.32675,2.625,2.1213203435596424,0.5175491695067657,0.0,0.0,1140.9754968464172,1.685018016012207,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.899426501838134,-0.16796192398840085,2.0
4.0,0.0,0.0,4.0,70.67,3.0,5.0,0.0,0.0,4.0,0.0,0.0,6.0,1.0,0.0,4.0,0.05,1.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,,,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,4.0,0.05,1.0,4.0,0.0,0.0,4.0,150.952,3.0,4.0,0.25,0.0,4.0,31.67457142857143,1.1428571428571428,2.0,0.4629100498862757,0.0,0.0,58.81866324803475,1.3451854182690985,0.0,1.4401645996461911,0.0,0.0,1.8319806423002742,0.7981681900089777,9.0
4.0,0.0,0.0,4.0,2684.395,4.0,5.0,0.0,0.0,4.0,698.98,4.0,6.0,1.0,0.0,4.0,575.574,1.0,7.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.05,1.0,2.0,0.0,0.0,4.0,979.949,6.0,3.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,4.0,0.25,0.0,4.0,617.3685,2.0,2.0,0.4629100498862757,0.0,0.0,920.9454856414839,2.32992949004287,0.0,1.4401645996461911,0.0,0.0,1.935885967990156,0.8132163871063757,-10.0
6.0,1.0,0.0,1.0,0.0,0.0,7.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,184.619,1.0,2.0,0.0,0.0,1.0,395.813,6.0,3.0,0.0,0.0,1.0,51.303,2.0,4.0,0.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,1.0,58.193,3.0,6.0,1.0,0.0,1.0,196.613,6.0,4.25,0.375,0.0,1.0,110.81762499999999,2.25,2.1213203435596424,0.5175491695067657,0.0,0.0,139.9912409871596,2.5495097567963922,-0.31426968052735443,0.6440611887195306,0.0,0.0,1.3706761869373498,0.801705519465983,-9.0
3.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,6.0,1.0,0.0,2.0,150.214,3.0,7.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,3.875,0.25,0.0,1.875,18.77675,0.375,2.03100960115899,0.4629100498862757,0.0,0.3535533905932738,53.10866901457803,1.0606601717798212,0.2238027108715141,1.4401645996461911,0.0,-2.8284271247461903,2.8284271247461903,2.8284271247461903,-5.0
6.0,1.0,1.0,2.0,0.0,0.0,7.0,1.0,1.0,2.0,0.05,1.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,1003.093,9.0,3.0,0.0,1.0,2.0,0.05,1.0,4.0,0.0,1.0,2.0,271.542,4.0,5.0,0.0,1.0,2.0,2401.933,21.0,6.0,1.0,1.0,2.0,184.51,2.0,4.25,0.375,1.0,2.0,482.64725000000004,4.75,2.1213203435596424,0.5175491695067657,0.0,0.0,846.8150213376422,7.206148168652337,-0.31426968052735443,0.6440611887195306,0.0,0.0,2.1095649227726208,2.04967876216791,11.0
2.0,0.0,0.0,3.0,945.681,2.0,3.0,0.0,0.0,3.0,266.313,1.0,4.0,0.0,0.0,3.0,0.05,1.0,5.0,0.0,0.0,3.0,1007.31,3.0,6.0,1.0,0.0,3.0,480.748,3.0,7.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,3.0,257.598,5.0,2.0,0.0,0.0,3.0,180.943,4.0,3.75,0.25,0.0,3.0,392.330375,2.375,2.1213203435596424,0.4629100498862757,0.0,0.0,392.5628902310477,1.685018016012207,0.31426968052735443,1.4401645996461911,0.0,0.0,0.8440163983465014,0.16796192398840085,0.0
5.0,0.0,1.0,4.0,499.238,4.0,6.0,1.0,1.0,4.0,56.443,1.0,7.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,4.0,99.013,1.0,2.0,0.0,1.0,4.0,39.703,1.0,3.0,0.0,1.0,4.0,671.425,6.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,1018.714,4.0,4.125,0.25,1.0,4.0,298.067,2.125,2.03100960115899,0.4629100498862757,0.0,0.0,385.75390892936616,2.2320714274285347,-0.2238027108715141,1.4401645996461911,0.0,0.0,1.1356341319112109,0.8205567241851333,9.0
1.0,0.0,1.0,4.0,99.013,1.0,2.0,0.0,1.0,4.0,39.703,1.0,3.0,0.0,1.0,4.0,671.425,6.0,4.0,0.0,1.0,4.0,0.0,0.0,5.0,0.0,1.0,4.0,1018.714,4.0,6.0,1.0,1.0,4.0,563.195,6.0,7.0,1.0,1.0,4.0,1129.803,7.0,1.0,0.0,1.0,4.0,2734.658,21.0,3.625,0.25,1.0,4.0,782.063875,5.75,2.2638462845343543,0.4629100498862757,0.0,0.0,900.7121162055906,6.713525792862389,0.22624995586066124,1.4401645996461911,0.0,0.0,1.637456618745366,1.975811172886382,-4.0
1.0,0.0,1.0,4.0,2734.658,21.0,2.0,0.0,1.0,4.0,3600.0,1.0,3.0,0.0,1.0,4.0,2459.91,5.0,4.0,0.0,1.0,4.0,1544.807,6.0,5.0,0.0,1.0,4.0,173.207,5.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,2925.164,17.0,1.0,0.0,0.0,4.0,1243.707,15.0,3.625,0.25,0.625,4.0,1835.1816250000002,8.75,2.2638462845343543,0.4629100498862757,0.5175491695067657,0.0,1312.913862477868,7.833080036431573,0.22624995586066124,1.4401645996461911,-0.6440611887195306,0.0,-0.27265673424878073,0.547809554928254,-1.0
4.0,0.0,1.0,4.0,1544.807,6.0,5.0,0.0,1.0,4.0,173.207,5.0,6.0,1.0,0.0,4.0,0.0,0.0,7.0,1.0,0.0,4.0,2925.164,17.0,1.0,0.0,0.0,4.0,1243.707,15.0,2.0,0.0,0.0,4.0,2008.083,13.0,3.0,0.0,0.0,4.0,1225.041,13.0,4.0,0.0,0.0,4.0,753.056,10.0,4.0,0.25,0.25,4.0,1234.1331249999998,9.875,2.0,0.4629100498862757,0.4629100498862757,0.0,958.8207358722989,5.767829500154902,0.0,1.4401645996461911,1.4401645996461911,0.0,0.46330328223332023,-0.5754054587815076,5.0
